"district_id","2010","2011","2012","2013","2014","2015","2016"
"d314",,81,55,70,44,57,47
"d301",,40,44,41,42,80,48
"d322",,52,90,57,60,69,57
"d323",,54,49,29,37,34,29
"d315",,26,25,17,30,18,17
"d324",,76,96,77,88,64,
"d216",,31,39,27,36,24,22
"d316",,41,59,36,43,39,37
"d302",,21,45,30,64,40,25
"d303",,28,28,25,31,25,23
"d217",,24,25,22,26,20,17
"d218",,32,39,24,24,24,26
"d201",,30,32,24,42,20,18
"d420",,25,33,24,27,24,24
"d117",,32,30,27,37,22,22
"d219",,23,22,24,25,21,19
"d118",,49,26,26,33,24,22
"d220",,19,19,19,26,32,23
"d225",,28,29,21,21,22,21
"d416",,25,,24,48,18,18
"d401",,25,30,24,31,18,20
"d402",,26,27,24,27,23,23
"d202",,26,29,21,30,21,20
"d221",,15,24,19,22,20,23
"d119",,30,40,22,40,23,21
"d120",,26,32,41,53,25,24
"d226",,27,37,23,43,30,21
"d317",,18,25,29,29,24,28
"d121",,26,38,23,32,22,21
"d304",,29,31,24,26,25,24
"d403",,28,32,23,27,21,20
"d417",,26,31,23,26,22,22
"d203",,26,34,22,31,17,18
"d418",,29,40,25,31,21,22
"d204",,26,29,25,31,24,21
"d318",,163,300,105,116,105,136
"d404",,24,24,20,25,22,20
"d405",,29,34,28,33,25,23
"d213",,36,28,23,24,21,18
"d101",,21,28,23,22,25,28
"d222",,22,25,22,28,21,22
"d122",,28,29,29,33,24,25
"d102",,24,25,22,26,22,20
"d205",,35,43,26,34,23,23
"d413",,26,28,29,32,24,23
"d414",,26,29,24,23,23,21
"d206",,23,21,21,24,21,18
"d406",,29,33,25,27,23,21
"d207",,25,17,17,33,22,24
"d112",,32,35,31,27,25,21
"d407",,24,36,25,27,22,21
"d103",,27,26,21,27,21,19
"d227",,17,30,18,25,19,17
"d419",,28,35,25,32,25,24
"d421",,32,29,25,32,24,21
"d408",,33,28,22,29,23,23
"d305",,48,49,38,36,31,25
"d319",,21,28,23,20,24,26
"d325",,17,25,19,26,19,19
"d306",,59,72,123,101,102,68
"d208",,28,21,20,19,21,24
"d228",,27,31,20,20,19,18
"d123",,27,34,23,30,22,20
"d422",,29,37,27,28,24,24
"d415",,33,39,26,31,23,22
"d326",,46,,15,24,25,25
"d307",,26,30,24,35,24,21
"d229",,24,33,23,29,20,21
"d104",,31,38,26,37,21,21
"d124",,28,28,27,45,24,25
"d114",,23,27,24,21,21,20
"d223",,37,37,30,22,21,23
"d320",,45,44,34,42,30,28
"d105",,30,28,22,30,23,21
"d409",,25,27,24,22,19,19
"d214",,25,25,26,44,18,20
"d209",,24,27,24,26,23,21
"d410",,26,30,25,33,24,23
"d423",,27,35,24,24,24,24
"d115",,24,30,24,41,24,22
"d308",,36,55,46,25,23,35
"d309",,19,36,29,25,23,20
"d106",,25,27,22,28,22,22
"d107",,28,42,27,37,23,22
"d108",,29,30,24,37,21,21
"d311",,41,,,32,,
"d116",,27,31,24,43,21,21
"d109",,20,26,17,25,18,16
"d230",,25,40,29,24,24,22
"d224",,25,38,23,28,19,19
"d327",,198,82,119,72,62,105
"d310",,22,39,20,29,24,20
"d231",,24,31,22,19,18,15
"d424",,24,28,21,35,21,19
"d411",,26,29,24,25,23,22
"d328",,21,101,37,40,30,31
"d329",,58,71,42,71,18,20
"d321",,27,26,24,24,20,18
"d312",,56,50,37,41,34,35
"d210",,22,28,21,22,19,19
"d110",,27,29,26,28,23,23
"d425",,26,34,26,31,23,24
"d412",,24,27,24,33,21,21
"d111",,32,40,27,34,25,24
"d232",,27,32,19,22,19,18
"d426",,30,33,28,29,24,24
"d215",,38,36,23,32,23,19
"d211",,27,28,23,27,23,22
"d212",,26,28,24,37,21,19
"d113",,24,25,22,22,21,20
"d313",,44,79,35,45,24,20
"d330",,28,49,29,39,32,24
