"series","country-year"
"id","out-oof-net"
"type","simple"
"parent",
"name","Net Other Official Flows provided"
"columns","id, year, value"
"description","Net OOF disbursed by each donor country"
"default-scale","lin"
"theme","official"
"theme-order","8"
"global-picture-color-ramp","darkpurple"
"uom","USD"
"uom_display","USD"
"source","Development Initiatives based on OECD-DAC data"
"calculation",
"format",
"highorlow","lowisbetter"
"range","100000000, 200000000, 300000000, 500000000, 1000000000"
"interpolated",
"missing-donor","NA"
"missing-recipient","NR"
"laymans-decription","Net other offical finance provided to developing countries"
"laymans-heading","Net other official finance to developing countries"
