"id","value.1995","value-ncu.1995","value.1996","value-ncu.1996","value.1997","value-ncu.1997","value.1998","value-ncu.1998","value.1999","value-ncu.1999","value.2000","value-ncu.2000","value.2001","value-ncu.2001","value.2002","value-ncu.2002","value.2003","value-ncu.2003","value.2004","value-ncu.2004","value.2005","value-ncu.2005","value.2006","value-ncu.2006","value.2007","value-ncu.2007","value.2008","value-ncu.2008","value.2009","value-ncu.2009","value.2010","value-ncu.2010","value.2011","value-ncu.2011","value.2012","value-ncu.2012","value.2013","value-ncu.2013"
"AD",,105,,120,,184,,484,,111,,110,,134,,185,,177,,185,,166,,177,,185,,178,,442,,779,,763,,1542,,1267
"AE",1575.9185634093,2141,1480.469715585,2130,1519.0106976353,2161,1525.7983160196,2076,1387.9250474625,2055,1284.6163576334,2123,1459.5284097075,2355,1280.4867560224,2144,1300.3790775228,2266,1142.9522471619,2161,993.5666624015,2189,937.6882730397,2313,862.0659937719,2393,854.01487404,2810,1115.1037079232,3112,950.654268971,2945,873.561124932,3134,853.914330528,3136,1073.8191292301,4051
"AF",,,,,,,,,,,,,,,2.893583525,50,2.7406116612,63,4.3055164224,108,3.692263073,106,4.9984208664,156,5.3143439141,181,9.1910661223,367,10.5124221733,409,11.9551003136,464,11.0211214275,475,11.9978366729,611,10.863966297,645
"AG",325.8406202744,632,306.4331470155,615,326.3810114775,665,343.1871592152,712,360.6323592,750,370.652062776,760,368.38963824,780,360.4955416868,772,370.00944071,785,361.511158674,795,422.5163789262,962,471.1877170491,1083,499.1358191708,1217,501.2694660294,1258,440.1131598945,1107,475.1441321942,1229,474.5073321885,1245,456.3664310128,1232,399.670624848,1056
"AL",25.8016882627,1057,23.8492821554,1261,17.4040066752,1472,18.906471188,1870,29.6281899672,2802,28.592758076,2888,30.5945950344,3189,30.783500901,3215,38.2278328432,3619,55.4897513142,4594,58.3843079753,4831,63.8792260848,5292,61.1072675064,4839,76.0641966016,5696,34.6464185994,2994,28.5337584488,2837,30.6640408826,3041,28.0263411184,3032,29.4418891508,3164
"AM",19.7617069355,3235,16.8000783156,3378,12.8666107504,3608,15.65278792,5048,15.0280922824,5146,11.2003789046,3814,16.7541863016,6116,15.9960467784,6087,20.208755286,8115,22.511318796,8856,40.7501928924,14172,54.9059791365,18159,78.0150321344,22112,78.7465820863,21149,65.0554417525,21275,61.9281005,22450,65.5737812976,24712,62.9082673918,25274,64.0303200075,27075
"AO",,,26400.7292031772,1,22373.4654707604,3,8907.9398726028,3,1733.2193816073,27,378.985697167,110,289.4310225345,385,105.865766424,615,77.8824426996,1428,88.397078469,2534,81.424531658,3092,149.7637038456,5928,136.2102539935,5795,188.0833154584,9368,172.8946736076,8429,115.6083535224,7992,119.0446692316,10444,118.396144462,11303,174.8262038325,17193
"AR",688.172713242,140,673.7829344741,137,716.446461977,145,779.1510791335,155,839.8150296296,164,780.5001637818,154,773.7809286459,151,190.2197397315,155,222.179918396,184,237.131452119,215,268.6529373244,268,273.26753982,330,297.7885196715,429,320.8211123113,571,319.049518977,735,216.941144097,615,242.7671819893,851,323.8372998718,1474,281.786715635,1825
"AT",1096.1730146124,642,1057.4135035616,656,991.6377267342,707,1032.5735141274,749,1047.4251504375,795,924.9739068096,818,902.6505415266,839,961.465677315,858,1171.3225943352,883,1333.908533802,930,1383.075413182,982,1418.442169371,1018,1608.8505532814,1079,1833.590853353,1165,1810.977222977,1235,1748.968945667,1270,1883.6026467225,1331,1775.3760733965,1381,1814.140320051,1390
"AU",1725.5867663952,1394,1895.0395319328,1474,1915.6274638763,1591,1701.8547538994,1678,1901.006854865,1850,1755.9821459835,1977,1600.7376131568,2096,1778.2952999043,2283,2149.164535651,2378,2577.8063677051,2611,2694.4444781839,2753,2714.9419378506,2949,3140.8158245412,3198,3229.53191691,3445,3158.1807624628,3638,3682.67889682,3850,4255.3272412216,4132,4296.0300120309,4147,4034.5682057312,4216
"AZ",21.129055504,4,21.7121861605,5,22.0725077835,5,18.3828859236,4,21.0866156705,5,16.506428151,5,14.993756386,5,16.3279247184,6,17.6793972579,7,23.312382603,10,27.1154712387,13,37.7614136636,19,54.6595684192,32,54.6522193663,37,93.1203833874,53,85.1720162535,55,79.8090421757,61,90.3813370877,71,89.5215588602,71
"BA",,0,,1,,2,1.9383757496,2,2.673870261,3,2.16251930220001,3,2.6737094276,4,2.67758939320001,4,3.95757063950001,5,8.49646503600002,10,10.6881104161,13,13.1924470541,17,8.75696311600001,11,14.9807679813,19,38.1314706756,51,30.9009151528,44,33.7653568701,47,28.90588327,44,7.43508932650002,11
"BB",442.9097346816,612,453.6170514336,636,456.177885849,645,449.35404032,695,459.575583879,746,486.6985385064,792,514.8109246566,858,553.2304819364,932,543.3833445354,927,530.9314610606,958,511.0234590391,983,528.8334265247,1067,594.816932593,1235,644.1410819304,1341,621.5554531095,1365,599.9095562499,1269,595.6393916704,1232,614,1228,611.6840418568,1228
"BD",9.605154879,162,9.372537172,170,8.058860336,160,7.5001776979,167,7.3610522112,177,7.390024608,192,7.7955777966,222,7.98291683,245,7.5818637768,244,8.2087145838,283,7.3509500448,288,7.8672226096,346,7.7396389826,371,7.869141657,405,8.4570935827,467,9.1687781694,554,8.9312613936,624,8.4370363066,671,10.3622646153,871
"BE",368.62987524,200,382.6793077467,219,327.14248044,218,268.6131859875,185,288.6070590416,208,258.0918031617,219,259.6846872288,232,214.061496228,185,404.8425029518,298,424.107654868,290,458.011382496,320,459.530343443,326,480.95528192,320,559.3376051988,354,558.6018066594,378,511.8095752511,371,540.3738694152,381,516.8009141868,402,548.934825684,420
"BF",7.3261808165,2177,8.0135707792,2449,7.7880688074,2758,7.9942340787,3089,8.4410595534,3554,6.687583539,3230,6.0924740734,3146,8.0602621619,4069,11.6830765556,4996,17.3831068185,6767,21.7365908325,8765,20.652417338,8204,24.3641941434,9066,26.889848524,10178,23.2861249035,9531,25.6443118848,11322,24.0815510616,10856,23.3440937559,11911,26.895226128,13170
"BG",3471.7228649088,4,1054.982117056,7,116.7747656845,77,119.4660954583,101,115.0637666026,106,97.8095900136,111,86.0762115357,107,98.0589969777,121,108.1636474158,114,112.156286872,112,113.0583274909,121,74.8916380325,85,95.1319987956,108,122.9979147324,141,102.889098923,130,92.4162871968,126,94.6065660054,129,69.016634862,105,78.739971138,115
"BH",698.780847167,130,683.320630144,128,758.459960928,144,710.8136866014,123,706.2115582625,125,601.8796980672,119,618.7409700197,121,637.763550732,126,624.5273535414,134,571.1181554312,136,539.0510640376,146,522.3727325278,154,534.9510065403,171,553.3329501561,197,632.7390682312,196,591.9800412145,197,537.7813791372,198,632.8777104006,238,727.946945654,278
"BI",15.2992272,480,11.3537145332,494,7.5753321792,498,7.9815618149,743,5.9240764506,798,5.3421239328,1042,5.500362342,1410,4.6518595788,1379,2.9751454194,1106,6.5328110875,2825,8.1146602673,3961,10.6046048837,5063,10.30092224,5600,7.7421211644,5726,6.89218893,5825,14.27630589,13155,13.6839754809,14823,10.8605218638,15666,10.5242353104,18256
"BJ",13.3952570775,3805,12.705174097,3955,10.2028315506,3757,10.8954439934,4267,11.620789434,4770,9.3197075511,4611,11.1961657034,5869,9.7635957948,4964,13.7356834692,5929,14.8338062568,5847,16.0272101046,6583,16.4563793108,6919,17.641652742,6966,17.8669574706,7042,18.4712359634,7843,19.260799536,8745,21.9767033785,9763,21.3923613748,10916,19.6876703843,9809
"BN",910.342298808,522,1206.2326363481,719,1102.1578172487,751,1170.2086294712,794,997.534604448,765,804.702256236,810,772.6229141876,763,782.25937354,775,819.3420751416,838,808.765866159,930,710.8705975872,956,663.9533420044,938,728.3801930097,987,739.418186302,1060,893.595245319,1026,936.0956000261,1061,847.9140717025,1067,869.0050507008,1086,923.3619135078,1119
"BO",32.2204096788,51,24.6125046356,46,23.9996174096,49,28.8012344202,66,32.6850369831,81,30.6608695625,85,26.59680088,80,27.4056686208,92,30.4141523112,116,29.7687737491,127,36.8326139766,169,34.6745627569,179,37.0532601177,201,43.464840624,240,54.735794542,286,51.3880319244,292,50.3551498932,324,52.624722655,361,76.1336558612,553
