"id","entity-name","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","1960","1961","1962","1963","1964"
"AU","Australia",956973890,973537723,1168000282,1261434450,1401208800,1527395556,1434537411,1653335895,1349712663,1616802796,1967444591,1293728504,1362190839,1795056228,1782068231,1684919177,1465567969,2044588405,1784306270,1799326163,2078131706,2030369594,1508984000,2205594812,1853248949,1663405046,1814089156,1850010671,1859061333,1950054010,2048655309,1707118923,1760881175,1858305208,1838795243,1972064315,1888519243,1983888213,1979029069,2016424664,2143723991,2604802615,2819689309,2981621145,2942894899,3284446998,3643565527,3952893082,3755700590,3624218248,3493610000,,,,,
"AT","Austria",328414978,304452701,305235934,153536997,130220075,91011755,94965531,119646388,212479602,275931396,318964523,195746813,354970493,437127710,326097295,405068266,579753039,633757896,434591762,530031791,729846252,416601925,342223168,493239758,481553854,238828593,414379310,261892929,272146132,409163004,679627683,599897391,642642948,602682959,672078076,684805507,995720282,767561055,614183960,736412701,1666357543,1542834148,1669714298,1475170735,998583914,1100072941,945780075,998399710,1008463651,1046563713,1323510000,0,5494596,62901516,5092922,108568997
"BE","Belgium",820803668,500912421,535215111,620413560,788959098,768624614,870477799,981645425,986000671,1010282755,1184713969,1040011399,980502275,1191527232,1268414455,1128170983,1316058644,1306014956,1330456170,1327056078,1288134959,1170580898,1209124937,1018441550,1218983743,1271301213,1181473143,1125139085,1082351107,921954591,1141202820,1054192739,1008289241,1162728807,1038552300,1269060361,1354268311,1562599957,2210867262,1557674617,2043356200,1991341361,1765842642,2009600965,2259754943,2682931021,2341601151,2046377397,1942424989,2054782607,1905140000,742977211,630582796,565780769,643231021,663259497
"CA","Canada",642916931,1152585412,1018430772,1018771493,1193742351,1744436096,1858502024,2068291874,2095670749,2471787681,2862844352,2516269417,2882644328,3095155629,2881169382,2662815545,2724238784,2591621157,2924584044,3379292116,3464274571,3549801657,3596728133,3980871873,3616464896,3668460498,3650351228,3699614692,3715298448,3637848430,3283340346,2786882074,3186028301,2852164430,2805378074,2748687987,2477615702,3246724444,2837260305,3267849062,4262896976,3807872133,3870860388,4382676424,3963672649,4544251817,4419313562,4553099767,4055297308,3660977144,4277230000,321511123,312269265,302098244,641587850,773924591
"CZ","Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,51699187,58044293,,,,28733485,27392945,32881110,50572249,72725257,123309028,129467930,150489956,167625227,161738885,188761589,173460104,187492105,191491350,183104163,173597573,180942970,1.99e+08,,,,,
"dac-countries-total","DAC Countries, Total",36411872644,34702410388,36981173934,36908123327,39681249612,38201530906,39222189936,42623508908,37458762266,43405898391,45549718341,43947556104,45794724641,51142762661,52125533926,56826483466,55580391761,61955211474,61490362740,66021258569,67235663049,68963443851,67703727209,72978964982,71581771926,76260763771,79220187060,80339977124,74487258525,74630808882,67181834134,67024393511,62893468822,68525661365,69048694798,72080594305,74170106710,79559308823,83071557361,87753910296,115092732314,109543008738,101228014133,112814537571,114473421608,120660076025,119468826920,114936891165,121303882630,123298782226,131433570000,31058672852,37658052550,36993516927,37490800158,35182111420
"DK","Denmark",39126360,98633235,113744873,265696220,475068824,471381447,545200839,600284805,642440127,731460331,745656456,747173814,821102254,1038976391,1099559360,1135195866,1088772069,1187043063,1155995180,1405556684,1352020221,1588894513,1584759007,1610300773,1692825947,1741876539,1795897445,1936256480,1986316378,2073878973,2024271359,2240870063,2312486668,2409402024,2514254590,2715692418,2676211276,2491071979,2176442433,2263367241,2280097269,2345793359,2400436425,2395226557,2471213311,2572667948,2484528410,2405567990,2498554568,2544672533,2565570000,10258334,31204474,6389422,6678740,30716123
"EU","European Union",8790593,10645053,10335833,13077529,9000398,1159423331,1366543688,1296408174,1723859925,2492093661,2557403616,1966989705,1998074643,2396616332,3000078909,2410835104,3723507549,3017044357,3119379787,3647376774,3827068744,3150124366,2998108464,4183360988,4487019415,4001010793,5200685219,5798520786,5761457334,6650584727,6272760613,6408806871,6827069252,6648141289,6636629115,7523770243,9172507939,7772453605,8352175720,9041565231,9570071367,10150724221,10325651516,10910614257,11511629087,11279135655,14512064491,15591319313,13528782339,13913596432,13669600000,346171,1634081,4999458,5728132,7464976
"FI","Finland",,,,,,47950971,87483924,122383222,134422035,146962180,160364515,157216423,139187555,147240437,202391011,227851625,295616848,324463745,367397957,423120215,492891763,571025532,654313156,809713590,909460211,924165782,1056692871,804829509,555708560,406848228,437176037,483812411,496704324,519546759,564537909,571571314,596921930,668082202,671823488,738819428,971280649,882110101,925103074,1011989966,1138064758,1232463103,1206989057,1190686770,1221364258,1370307581,1.288e+09,,,,,
"FR","France",4529659789,3343549763,4855430517,3969758178,4371393612,4466914984,4630142220,4716755805,4280409234,4556455855,4520716313,4351572055,4208126442,4407320538,5037588499,5368236857,6344785286,7034490369,7091211835,7915110645,7980260962,7561341469,8302799246,8252639523,9144727393,9388515043,9773498753,10071691121,10137641120,10537877105,9340548679,8334569681,7979029030,7271156931,7434929361,6167063293,6361443848,7737083518,8378387399,8752912098,10163089402,10413626635,8681032547,8880974145,10616464994,11313874277,10749178367,10634644519,9629927257,8973522314,9039300000,6536646786,7055778991,6603740793,5983756592,5665809208
"DE","Germany",3704566535,3099814688,3552922091,4439367742,4358937646,3886503374,4241533442,4062989500,4351796848,5109509692,5429630425,5052212249,4843313761,5498367875,6997357065,6960551987,7403100863,7518606167,7722230936,7389953266,7911171004,7362129741,6859404115,7114633239,7783706792,8278217058,9265190013,8954697983,8338675561,7858799667,7510317192,7913504626,7011552218,6740748257,6927501569,7337093119,7390253546,7396597531,7768564957,7762369068,10317785683,10540504770,11195205153,11987112850,10543355038,11821259512,12088221152,11830775305,12341820742,14123034550,17940210000,2591922136,3249831159,3284382097,3648243143,3657120429
"GR","Greece",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213767103,214913521,229639777,247869295,339415055,304899072,384127928,406933611,317762997,373000542,394046368,412827015,527345014,459370883,400174548,317021665,264320250,191225199,203420996,238690000,,,,,
"IS","Iceland",,,,,,,,,,,,,,,,,,,,,,,,,,2504998,9956608,5775053,9062985,8185025,,,9956504,8722882,9111594,10866999,13996575,16153683,18803198,20203728,22416220,34869528,35687201,45625224,40680057,31874999,26146063,27891649,35728282,35101268,39880000,,,,,
"IE","Ireland",,,,,,,,,,29293025,32417987,36567182,33641119,82622759,78823784,70172827,70885180,115699689,84149214,95777599,105855917,124733152,90440564,94296351,82615752,83875565,107097068,95722675,121905035,160360066,201135455,234543061,250251307,265728634,331738582,344600924,408702955,512250913,523770300,559699277,647318549,890001581,943242843,1024145988,839352628,804089939,765783711,730805966,731456579,705208328,718370000,,,,,
"IT","Italy",470621401,443831498,953382725,1197572829,1045793562,1094859123,1265815369,630800771,1039807080,1090453627,791025752,1064748814,832723573,1342314809,821696168,1743861180,1875972499,2344413062,2349865564,3334935857,3219048235,5125146865,4570383722,5249100031,5902442461,4467012517,4236389795,4963376733,4500342216,3968003534,2291001157,3084624067,1738447111,3112208186,2541785912,2194788353,2594926851,3418309690,2882689119,2587377885,5249583860,3649837619,3561480295,4036228784,2782108577,2649994226,3590320348,2424131905,2904323745,3367825181,4003980000,954199809,801817206,836970056,1078665319,548181525
"JP","Japan",1960060886,1933163166,2698532005,2591298762,3029131471,2982642126,3068195053,3071926273,3973853566,3940494571,3809957997,3384317712,3702276924,4317811981,5313341048,6504867052,5794229467,6117728091,7229055496,8161058448,7132355692,7349001634,8225512934,9010632464,9345082790,9694388411,10604615051,10017632009,8834108806,9529406404,9672789746,7332469053,8033147134,9889983143,9963666650,10599899710,8815624499,8703368118,7834419824,7443862972,11297925376,10246455892,7233498052,8033717385,7185582304,8054039309,7476584279,7231751821,9616050652,8483906507,9202810000,884666971,1030640807,820857479,1235626828,970277442
"KR","Korea",,,,,,,,,,,,,,,,,,,,,,,48320619,57658216,49774578,86411959,76890354,101314642,142650026,166143458,123092475,168957713,224037434,310221565,462751571,291043780,400089817,396203858,478770001,517715644,814464715,458515255,668803106,894110730,1008041563,1274300210,1356395545,1647198908,1744429159,1764837870,1915390000,,,,,
"LU","Luxembourg",,,,,,,,,,,,,,,,,,,,,,,,,,45164683,74277252,58916541,81526017,62029719,90456973,110951666,149958020,180807094,190071541,223275565,261649287,258554527,276595740,298247114,311870949,327379520,381908551,387419279,394461572,390598633,362829175,367895364,373883311,365849308,362880000,,,,,
"NL","Netherlands",447780197,,659456407,1040271730,1109993294,1453891994,1390378405,1707895583,1429281733,1699999258,2031346617,2336531250,2532335378,2509829601,3064943069,3186019149,3501687096,3478945844,2954447776,3477580504,3169171934,3574471373,3585634795,3674191701,3652779853,3742775831,3696633882,3713725078,3540076235,3384704949,3748191341,3907628505,4005776181,4118303352,4354631664,4861188537,4864027667,4690441960,4561624538,4327056686,5159662780,5313009208,5446506233,5666180786,5377054342,5542521527,5258065867,4883533121,4589798191,4672753443,5725510000,314430763,368409850,540359450,197519463,335314557
"NZ","New Zealand",,,,,,121490593,128611811,135711888,137556352,198894974,342091226,280183781,242888521,206019314,225489006,215446954,195472862,195461126,191814928,190606185,187501449,213922448,192799251,193078945,169682287,180432851,194772726,199654328,195689861,199164722,197340019,182208032,238867822,246275031,255703801,246081552,251033610,247057846,263854728,286274729,339450881,339975313,355851552,396409880,386884747,360700543,396444404,410942652,402054401,430558695,441760000,,,,,
"NO","Norway",39808313,53434876,42087034,255779122,272549837,302689193,322878178,426421222,471078498,617132832,746101707,859337163,1041791833,1172241755,1293408352,1261341426,1248359844,1520332504,1680935407,1638824787,1742718551,2093884749,1989732432,2006123402,1881929190,2171769315,2155049411,2241973321,1995394219,2229522663,2126411297,2190069150,2322758658,2527368503,2534747908,2286879178,2450472665,2791036730,2896812089,2802328686,3128281640,3019298114,3393983264,3212131464,3798037252,3696194676,3493080565,3502622818,4048399809,3935929066,4277660000,15329776,16573699,15402149,28476365,31521470
"PL","Poland",,,,,,,,,,,103203554,96739549,60190979,67935233,67203857,83392612,12955052,6446306,4083531,9001798,41036895,30020511,18201206,15651811,9199955,3277942,1265785,,,,,,,28014668,32568945,47161980,52912853,20713036,37274624,145196507,218659494,301462937,313065012,274111269,337959623,323246576,339431509,366943916,410905274,378761795,440890000,,,,,
"PT","Portugal",,190109554,427276230,,,,,,,,,,,,,,,,,,,,101149741,195503354,253675233,261780929,347800090,415988321,370587867,459937652,340825814,290060879,364685580,372952896,401871076,440227594,433638571,474953108,379309595,1087564574,384562332,387879652,410010500,504550584,427250345,564615180,588377539,524356216,417198390,364592790,308030000,11881422,416184696,,,
"SK","Slovak Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16781496,13666194,19186388,13968255,24272408,37645575,71302242,64211420,64462411,75188234,62354498,63768758,69773418,69031632,71747200,69567806,84910000,,,,,
"SI","Slovenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36396761,44750643,48468709,54967745,58039285,50696638,51166445,51379094,52020523,51550387,63290000,,,,,
"ES","Spain",,,,,,,,,,,,,,,,313716255,560745284,467692230,190417283,370669695,554874835,495644027,470334633,449585743,923524578,1361615404,1658457605,1844408676,1875210498,1908324419,1747655897,1594183061,1771071782,1969406620,1986373735,1947835679,2801224021,2519927655,2318509742,2520552946,2993548762,3602414177,4310057193,5349851073,5302486051,5027500549,3359217063,1772314794,1967696226,1580087599,1396740000,,,,,
"SE","Sweden",110207385,,151046602,402443960,656505809,607205207,761887975,826687597,980590739,1331388857,1529713987,1522979873,1823958264,1690336532,1877992550,1615773561,1704574111,2106371592,1785715543,1760051877,1948548589,1971288677,2113268063,2101816209,2417333208,2287352554,2275743193,2505229878,2372301114,2354754598,1965668901,2145321810,2083775739,1955892905,2085918763,2514020502,2565551659,2866752183,2795707276,2866287551,3571227983,4074013152,3985880025,4156709538,4458815225,4149923840,4568557086,4410705730,4671971451,5183989880,7089300000,7825289,11602085,22995733,51422241,93867043
"CH","Switzerland",112047013,167297397,95162704,343091257,408683256,398013147,327297730,631921907,489037649,446126922,551730946,543481296,573000508,590919760,659732649,767688046,785206912,821123507,1058238709,1027318966,1113422222,1101519494,1157789582,1247674952,1219116188,1331306075,1499042965,1902135323,1360405990,1539575223,1458685875,1441657350,1503516085,1483479307,1656476072,1687090504,1701717332,1630028105,1930085164,2111765874,2411447568,2211703872,2120114551,2298620891,2565442158,2449744545,2759482615,2922951469,3029651030,3315073262,3561500000,34424185,126494470,40501999,52292526,96757721
"GB","United Kingdom",3831374464,4022743561,3735779557,3914783344,4212897643,3885691417,4587012110,4498338258,4081334716,4531568203,4365686437,4551150615,5213105255,5591269163,6518732788,4256348838,5231094836,4601097733,4516511577,4348703572,4560216620,4346487448,3987155734,4883427761,4809685157,4183677085,4791250983,4685431291,4847766415,5142095585,4875295127,4733274012,4731262899,5183935535,4656101500,6388553983,6739017489,6811761131,7740628804,8462228973,11292604622,12530021317,8862471025,11121247703,12381764872,14052046461,14054402690,14051181581,17961040046,18123723190,18544860000,3293456294,4254512141,3810003955,3649174357,4282585139
"US","United States",20328677266,19734091554,17552750458,17269887706,17161333546,15184184278,14296511050,17385292910,11094392539,14054017425,14549898556,14463745069,14646882289,16538625258,12636442422,17652081227,13089971276,17486982561,16553988750,17233654028,18049814813,17983510348,16708297171,17959384111,13089046684,18728461123,17921269622,18235198393,15394811741,14769439153,10740860620,13423658388,9683515392,12226877100,12536199235,13346116362,14975449171,17167643473,20667652719,24282818573,33339504888,27255580159,24585890114,29261866034,31656822501,32176651453,32914861915,31992745464,32114887638,33430473829,30985540000,16187657245,19999728498,20843598252,21577823237,19298543464
