country,region,year,oda-gross-bl-dest-region
AU,89,2006,615739
AU,298,2006,17558697
AU,298,2006,86155080
AU,498,2006,912285
AU,498,2006,1410008
AU,798,2006,495436267
AU,798,2006,173201600
AU,798,2006,857553159
AU,889,2006,912079991
AU,999,2006,379554871
AT,89,2006,161670062
AT,298,2006,26327199
AT,298,2006,609584958
AT,498,2006,21794582
AT,498,2006,5692425
AT,798,2006,277107596
AT,798,2006,21792209
AT,798,2006,20808041
AT,889,2006,1018773
AT,999,2006,108426122
BE,89,2006,46934550
BE,298,2006,35851454
BE,298,2006,957343610
BE,498,2006,28531230
BE,498,2006,73868786
BE,798,2006,22340204
BE,798,2006,32209559
BE,798,2006,70867052
BE,889,2006,67186
BE,999,2006,363144933
CA,89,2006,86251669
CA,298,2006,38984787
CA,298,2006,1008011696
CA,498,2006,215186210
CA,498,2006,82836877
CA,798,2006,91636546
CA,798,2006,362808013
CA,798,2006,186656118
CA,889,2006,20710
CA,999,2006,433970387
CZ,89,2006,0
CZ,298,2006,0
CZ,298,2006,0
CZ,498,2006,0
CZ,498,2006,0
CZ,798,2006,0
CZ,798,2006,0
CZ,798,2006,0
CZ,889,2006,0
CZ,999,2006,0
DK,89,2006,0
DK,298,2006,15324880
DK,298,2006,653046733
DK,498,2006,53404828
DK,498,2006,24544783
DK,798,2006,48508394
DK,798,2006,123843567
DK,798,2006,166674917
DK,889,2006,0
DK,999,2006,164332273
FI,89,2006,21409988
FI,298,2006,6403389
FI,298,2006,235651385
FI,498,2006,26251033
FI,498,2006,11340630
FI,798,2006,22608768
FI,798,2006,53575380
FI,798,2006,51876093
FI,889,2006,128082
FI,999,2006,133279661
FR,89,2006,360015376
FR,298,2006,1118857971
FR,298,2006,5347948773
FR,498,2006,176508938
FR,498,2006,239863204
FR,798,2006,1169244697
FR,798,2006,162666689
FR,798,2006,651086249
FR,889,2006,9611240
FR,999,2006,610952130
DE,89,2006,777442036
DE,298,2006,451715882
DE,298,2006,3891002413
DE,498,2006,193889189
DE,498,2006,440951850
DE,798,2006,764712276
DE,798,2006,857179823
DE,798,2006,1188876145
DE,889,2006,2379504
DE,999,2006,956821819
GR,89,2006,104342023
GR,298,2006,4579142
GR,298,2006,14972312
GR,498,2006,531954
GR,498,2006,1277339
GR,798,2006,27282501
GR,798,2006,21619547
GR,798,2006,1892012
GR,889,2006,104271
GR,999,2006,50221710
IS,89,2006,0
IS,298,2006,0
IS,298,2006,0
IS,498,2006,0
IS,498,2006,0
IS,798,2006,0
IS,798,2006,0
IS,798,2006,0
IS,889,2006,0
IS,999,2006,0
IE,89,2006,5248870
IE,298,2006,553908
IE,298,2006,376272154
IE,498,2006,13769225
IE,498,2006,4990457
IE,798,2006,11812105
IE,798,2006,19952324
IE,798,2006,27836041
IE,889,2006,33071
IE,999,2006,154044706
IT,89,2006,260569107
IT,298,2006,119748953
IT,298,2006,1314062746
IT,498,2006,13663573
IT,498,2006,90207636
IT,798,2006,632830253
IT,798,2006,46438540
IT,798,2006,89376563
IT,889,2006,27794661
IT,999,2006,71041753
JP,89,2006,372016895
JP,298,2006,308328139
JP,298,2006,4716175688
JP,498,2006,527621705
JP,498,2006,571621750
JP,798,2006,1371177202
JP,798,2006,2531799141
JP,798,2006,6236962613
JP,889,2006,133698487
JP,999,2006,640421337
KR,89,2006,31143007
KR,298,2006,10168990
KR,298,2006,39905445
KR,498,2006,13126310
KR,498,2006,12879749
KR,798,2006,70871522
KR,798,2006,77356455
KR,798,2006,92923507
KR,889,2006,1721486
KR,999,2006,41457782
LU,89,2006,14128714
LU,298,2006,3744052
LU,298,2006,124469306
LU,498,2006,25416064
LU,498,2006,8625316
LU,798,2006,8094999
LU,798,2006,10056910
LU,798,2006,28115041
LU,889,2006,0
LU,999,2006,22739751
NL,89,2006,81914930
NL,298,2006,17107168
NL,298,2006,1505780258
NL,498,2006,68816936
NL,498,2006,129610837
NL,798,2006,87964561
NL,798,2006,266932175
NL,798,2006,311517010
NL,889,2006,304232
NL,999,2006,2727857533
NZ,89,2006,0
NZ,298,2006,16949
NZ,298,2006,14209636
NZ,498,2006,3492365
NZ,498,2006,4032526
NZ,798,2006,6057406
NZ,798,2006,14385526
NZ,798,2006,48471415
NZ,889,2006,156500932
NZ,999,2006,35514636
NO,89,2006,174988275
NO,298,2006,3808767
NO,298,2006,1077440826
NO,498,2006,97453695
NO,498,2006,53559431
NO,798,2006,218401483
NO,798,2006,356747024
NO,798,2006,133672366
NO,889,2006,850128
NO,999,2006,928897924
PT,89,2006,15087991
PT,298,2006,469467
PT,298,2006,141663298
PT,498,2006,499803
PT,498,2006,2299905
PT,798,2006,1318096
PT,798,2006,9467155
PT,798,2006,44939885
PT,889,2006,0
PT,999,2006,18721667
ES,89,2006,139196965
ES,298,2006,342024345
ES,298,2006,403591019
ES,498,2006,490206465
ES,498,2006,294082168
ES,798,2006,319123094
ES,798,2006,51804780
ES,798,2006,117485999
ES,889,2006,353106
ES,999,2006,322184245
SE,89,2006,177520707
SE,298,2006,5642897
SE,298,2006,1036701164
SE,498,2006,160079980
SE,498,2006,69870159
SE,798,2006,433333236
SE,798,2006,242698964
SE,798,2006,173600230
SE,889,2006,147015
SE,999,2006,1129880403
CH,89,2006,242263856
CH,298,2006,23213202
CH,298,2006,418844181
CH,498,2006,63172841
CH,498,2006,80591748
CH,798,2006,62222371
CH,798,2006,221626052
CH,798,2006,73765697
CH,889,2006,205279
CH,999,2006,601626245
GB,89,2006,215255655
GB,298,2006,0
GB,298,2006,5539911267
GB,498,2006,67228310
GB,498,2006,28449107
GB,798,2006,228380952
GB,798,2006,1226761929
GB,798,2006,266448400
GB,889,2006,2981371
GB,999,2006,655316364
US,89,2006,821607595
US,298,2006,506311621
US,298,2006,6344932110
US,498,2006,939673865
US,498,2006,1485190556
US,798,2006,6155560692
US,798,2006,3215375681
US,798,2006,725643195
US,889,2006,207038637
US,999,2006,4121761996
1,89,2006,0
1,298,2006,0
1,298,2006,211630326
1,498,2006,0
1,498,2006,0
1,798,2006,0
1,798,2006,0
1,798,2006,0
1,889,2006,0
1,999,2006,0
2,89,2006,0
2,298,2006,7453278
2,298,2006,10944528221
2,498,2006,0
2,498,2006,0
2,798,2006,0
2,798,2006,0
2,798,2006,0
2,889,2006,0
2,999,2006,0
4,89,2006,0
4,298,2006,0
4,298,2006,0
4,498,2006,0
4,498,2006,0
4,798,2006,0
4,798,2006,0
4,798,2006,0
4,889,2006,0
4,999,2006,0
5,89,2006,0
5,298,2006,0
5,298,2006,0
5,498,2006,0
5,498,2006,0
5,798,2006,0
5,798,2006,0
5,798,2006,0
5,889,2006,0
5,999,2006,0
6,89,2006,0
6,298,2006,0
6,298,2006,0
6,498,2006,0
6,498,2006,0
6,798,2006,0
6,798,2006,0
6,798,2006,0
6,889,2006,0
6,999,2006,0
7,89,2006,0
7,298,2006,0
7,298,2006,0
7,498,2006,0
7,498,2006,0
7,798,2006,0
7,798,2006,0
7,798,2006,0
7,889,2006,0
7,999,2006,0
9,89,2006,0
9,298,2006,0
9,298,2006,0
9,498,2006,0
9,498,2006,0
9,798,2006,0
9,798,2006,0
9,798,2006,0
9,889,2006,0
9,999,2006,0
EU,89,2006,1519909116
EU,298,2006,1029046912
EU,298,2006,3960526695
EU,498,2006,607632071
EU,498,2006,373128692
EU,798,2006,1100240305
EU,798,2006,1038726451
EU,798,2006,438596074
EU,889,2006,93399874
EU,999,2006,1126737710
10,89,2006,0
10,298,2006,0
10,298,2006,0
10,498,2006,0
10,498,2006,0
10,798,2006,0
10,798,2006,0
10,798,2006,0
10,889,2006,0
10,999,2006,0
