country,bundle,year,in-oda-gross-bundle
51,A,2006,22460911
51,B,2006,89615990
51,C,2006,52946569
51,D,2006,4096128
51,E,2006,192980565
51,F,2006,180059747
51,G,2006,205135666
52,A,2006,27314887
52,B,2006,35017310
52,C,2006,12181
52,D,2006,37221
52,E,2006,111745475
52,F,2006,49865224
52,G,2006,145408491
53,A,2006,54266768
53,B,2006,35058202
53,C,2006,3466614
53,D,2006,522184
53,E,2006,130836705
53,F,2006,192032829
53,G,2006,244697780
54,A,2006,19488921
54,B,2006,7113323
54,E,2006,48015520
54,F,2006,8992744
54,G,2006,70968932
55,A,2006,35713376
55,B,2006,1283334488
55,C,2006,434283908
55,D,2006,1263320720
55,E,2006,2772654175
55,F,2006,6003714131
55,G,2006,4490645431
56,A,2006,198979185
56,B,2006,17880856
56,C,2006,835672
56,D,2006,5860358
56,E,2006,90533892
56,F,2006,274415161
56,G,2006,147115676
57,A,2006,57949731
57,B,2006,35901905
57,C,2006,828998
57,D,2006,335760
57,E,2006,36273644
57,F,2006,5494660
57,G,2006,80377943
58,B,2006,153732877
58,C,2006,1413984
58,D,2006,74170
58,E,2006,93121139
58,F,2006,12964712
58,G,2006,42970872
59,A,2006,16589905
59,B,2006,13359472
59,C,2006,12947127
59,D,2006,911390
59,E,2006,101190004
59,F,2006,5473202
59,G,2006,71129686
60,A,2006,7103579
60,B,2006,58707204
60,C,2006,3844056
60,D,2006,12439
60,E,2006,90956127
60,F,2006,16213844
60,G,2006,60973026
61,A,2006,3249492
61,B,2006,51806661
61,E,2006,34196702
61,F,2006,9993080
61,G,2006,72317852
62,B,2006,53923448
62,C,2006,206801
62,D,2006,12961
62,E,2006,24306105
62,F,2006,13928193
62,G,2006,52383011
63,A,2006,27507787
63,B,2006,1733843
63,C,2006,630831
63,D,2006,536116
63,E,2006,36889723
63,F,2006,1337783
63,G,2006,29901231
64,A,2006,29331846
64,B,2006,58730842
64,C,2006,6173
64,E,2006,11651826
64,F,2006,195076
64,G,2006,6580002
65,A,2006,67190691
65,B,2006,424832254
65,C,2006,219778724
65,D,2006,6650883
65,E,2006,507854799
65,F,2006,98647502
65,G,2006,450642683
66,B,2006,14994618
66,E,2006,14343287
66,F,2006,89873676
66,G,2006,3802307
67,B,2006,485463
67,C,2006,771848
67,E,2006,23017858
67,F,2006,5926
67,G,2006,45763392
AF,A,2006,53391294
AF,B,2006,1200378166
AF,C,2006,186522020
AF,D,2006,6085631
AF,E,2006,544945950
AF,F,2006,14673968
AF,G,2006,1100580784
AG,B,2006,199128
AG,E,2006,3909202
AG,G,2006,560393
AI,B,2006,4894315
AI,G,2006,298255
AL,A,2006,92391237
AL,B,2006,26761698
AL,D,2006,39261
AL,E,2006,137926535
AL,F,2006,17409337
AL,G,2006,98804895
AM,A,2006,63012507
AM,B,2006,46532910
AM,C,2006,14963045
AM,D,2006,474108
AM,E,2006,28126419
AM,F,2006,21009130
AM,G,2006,99819082
AO,A,2006,32894131
AO,B,2006,52720928
AO,C,2006,21808368
AO,D,2006,3227165
AO,E,2006,127228128
AO,F,2006,8149636
AO,G,2006,95958933
AR,A,2006,36409898
AR,B,2006,10372311
AR,C,2006,4182996
AR,D,2006,86697
AR,E,2006,40490765
AR,F,2006,11181192
AR,G,2006,44249566
AZ,A,2006,62400703
AZ,B,2006,24337836
AZ,C,2006,9056310
AZ,D,2006,23633
AZ,E,2006,31881638
AZ,F,2006,6138213
AZ,G,2006,80197100
BA,A,2006,66844316
BA,B,2006,26249983
BA,D,2006,43203
BA,E,2006,224261538
BA,F,2006,33532952
BA,G,2006,150543105
BB,B,2006,1697390
BB,E,2006,2137287
BB,F,2006,76470
BB,G,2006,2911954
BD,A,2006,381839543
BD,B,2006,497519593
BD,C,2006,87188289
BD,D,2006,2071028
BD,E,2006,227762019
BD,F,2006,341316675
BD,G,2006,289807328
BF,A,2006,113541218
BF,B,2006,343283919
BF,C,2006,34186864
BF,D,2006,3442064
BF,E,2006,225558496
BF,F,2006,1431868738
BF,G,2006,122460280
BI,A,2006,36061664
BI,B,2006,132368281
BI,C,2006,56053706
BI,D,2006,1474043
BI,E,2006,136239680
BI,F,2006,56008094
BI,G,2006,95753505
BJ,A,2006,59300917
BJ,B,2006,62517738
BJ,C,2006,7773128
BJ,D,2006,2718996
BJ,E,2006,149273930
BJ,F,2006,1199528295
BJ,G,2006,69356496
BO,A,2006,44579705
BO,B,2006,88701437
BO,C,2006,50810155
BO,D,2006,5525931
BO,E,2006,174963189
BO,F,2006,2137788512
BO,G,2006,293962464
BR,A,2006,75893191
BR,B,2006,9562959
BR,C,2006,827621
BR,D,2006,6510846
BR,E,2006,92105192
BR,F,2006,39367590
BR,G,2006,180950167
BT,A,2006,11884355
BT,B,2006,22785830
BT,C,2006,313274
BT,D,2006,1524776
BT,E,2006,40130989
BT,F,2006,551995
BT,G,2006,26925068
BW,B,2006,23871899
BW,D,2006,627859
BW,E,2006,22432598
BW,F,2006,6577653
BW,G,2006,40062226
BY,B,2006,701215
BY,D,2006,8641
BY,E,2006,30398983
BY,F,2006,16731978
BY,G,2006,20194854
BZ,B,2006,127479
BZ,E,2006,5793963
BZ,F,2006,34480
BZ,G,2006,5095853
CD,A,2006,165905166
CD,B,2006,227285263
CD,C,2006,101122708
CD,D,2006,3713260
CD,E,2006,524881610
CD,F,2006,1172809332
CD,G,2006,326065952
CF,B,2006,103728712
CF,C,2006,5259548
CF,D,2006,623450
CF,E,2006,52123007
CF,F,2006,20642105
CF,G,2006,30585730
CG,A,2006,14096170
CG,B,2006,61862660
CG,C,2006,12458057
CG,D,2006,1681591
CG,E,2006,36348728
CG,F,2006,326668706
CG,G,2006,15400586
CI,A,2006,1437035
CI,B,2006,45297595
CI,C,2006,10581147
CI,D,2006,1927126
CI,E,2006,170396103
CI,F,2006,105809573
CI,G,2006,48783507
CK,B,2006,2636834
CK,D,2006,65177
CK,E,2006,8105000
CK,F,2006,27830955
CK,G,2006,3747472
CL,A,2006,42198802
CL,B,2006,1525287
CL,C,2006,887665
CL,D,2006,456681
CL,E,2006,24017852
CL,F,2006,11460446
CL,G,2006,45527368
CM,A,2006,70850938
CM,B,2006,194833891
CM,C,2006,14192027
CM,D,2006,2238880
CM,E,2006,145768215
CM,F,2006,3384659526
CM,G,2006,66296242
CN,A,2006,1541338805
CN,B,2006,42667416
CN,C,2006,27200612
CN,D,2006,1738416
CN,E,2006,260165622
CN,F,2006,410318374
CN,G,2006,787408029
CO,B,2006,34942020
CO,C,2006,17601091
CO,D,2006,4080343
CO,E,2006,193720455
CO,F,2006,43746833
CO,G,2006,838124834
CR,A,2006,13287956
CR,B,2006,4589056
CR,D,2006,306347
CR,E,2006,20403140
CR,F,2006,2335109
CR,G,2006,27695245
CU,B,2006,7104807
CU,C,2006,3711850
CU,D,2006,191801
CU,E,2006,24888278
CU,F,2006,2600496
CU,G,2006,37062249
CV,A,2006,38623786
CV,B,2006,27293708
CV,C,2006,10144878
CV,D,2006,372902
CV,E,2006,34104913
CV,F,2006,30139045
CV,G,2006,20984432
DJ,A,2006,13187836
DJ,B,2006,6409337
