country,year,oof-bundle,in-oof-bundle
AF,2006,A,0
51,2006,A,0
AL,2006,A,0
52,2006,A,0
AO,2006,A,0
AI,2006,A,0
AG,2006,A,0
AR,2006,A,1750000
AM,2006,A,0
53,2006,A,0
AZ,2006,A,0
BD,2006,A,1580000
BB,2006,A,0
BY,2006,A,640000
BZ,2006,A,0
BJ,2006,A,0
BT,2006,A,0
BO,2006,A,20000
BA,2006,A,20000
BW,2006,A,0
BR,2006,A,3330000
BF,2006,A,0
BI,2006,A,0
KH,2006,A,4280000
CM,2006,A,3510000
CV,2006,A,0
CF,2006,A,0
54,2006,A,0
TD,2006,A,0
CL,2006,A,2830000
CN,2006,A,26160000
CO,2006,A,30000
KM,2006,A,0
CD,2006,A,0
CG,2006,A,0
CK,2006,A,0
CR,2006,A,0
CI,2006,A,0
HR,2006,A,1960000
CU,2006,A,0
CY,2006,A,0
55,2006,A,185830000
DJ,2006,A,0
DM,2006,A,0
DO,2006,A,0
EC,2006,A,0
EG,2006,A,261700000
SV,2006,A,0
GQ,2006,A,0
ER,2006,A,0
ET,2006,A,0
56,2006,A,520000
57,2006,A,0
FJ,2006,A,4290000
MK,2006,A,0
GA,2006,A,0
GM,2006,A,0
GE,2006,A,0
GH,2006,A,1160000
GD,2006,A,0
GT,2006,A,0
GN,2006,A,0
GW,2006,A,0
GY,2006,A,0
HT,2006,A,0
HN,2006,A,25590000
IN,2006,A,20200000
ID,2006,A,17670000
IR,2006,A,20000
JM,2006,A,0
JO,2006,A,2710000
KZ,2006,A,0
KE,2006,A,3490000
KI,2006,A,880000
KR,2006,A,0
KP,2006,A,2930000
XK,2006,A,0
KG,2006,A,0
LA,2006,A,3080000
LB,2006,A,5030000
LS,2006,A,0
LR,2006,A,0
MG,2006,A,0
MW,2006,A,0
MY,2006,A,7750000
MV,2006,A,0
ML,2006,A,0
MT,2006,A,0
MH,2006,A,0
MR,2006,A,0
MU,2006,A,1130000
YT,2006,A,0
MX,2006,A,2180000
NR,2006,A,780000
58,2006,A,0
MD,2006,A,0
MN,2006,A,0
ME,2006,A,0
MS,2006,A,0
MA,2006,A,0
MZ,2006,A,0
MM,2006,A,1730000
NA,2006,A,0
NR,2006,A,1150000
NP,2006,A,670000
NI,2006,A,0
NE,2006,A,0
NG,2006,A,1360000
59,2006,A,0
60,2006,A,0
61,2006,A,7960000
OM,2006,A,0
PK,2006,A,3010000
PW,2006,A,0
PA,2006,A,0
PG,2006,A,6260000
PY,2006,A,0
PE,2006,A,0
PH,2006,A,6240000
RW,2006,A,3330000
WS,2006,A,770000
ST,2006,A,0
SN,2006,A,0
RS,2006,A,50000
SC,2006,A,0
SL,2006,A,0
SI,2006,A,0
SB,2006,A,2250000
SO,2006,A,0
62,2006,A,280000
ZA,2006,A,5610000
63,2006,A,0
64,2006,A,0
65,2006,A,0
SS,2006,A,0
LK,2006,A,5690000
SH,2006,A,0
KN,2006,A,0
LC,2006,A,0
VC,2006,A,0
66,2006,A,6620000
SD,2006,A,0
SR,2006,A,0
SZ,2006,A,0
SY,2006,A,0
TJ,2006,A,0
TZ,2006,A,0
TH,2006,A,9020000
TL,2006,A,1260000
TG,2006,A,0
TO,2006,A,550000
TT,2006,A,0
TN,2006,A,0
TR,2006,A,7170000
TM,2006,A,0
TC,2006,A,0
TV,2006,A,0
UG,2006,A,10000
UA,2006,A,920000
UY,2006,A,0
UZ,2006,A,0
VU,2006,A,2210000
VE,2006,A,0
VN,2006,A,8470000
WF,2006,A,0
PS,2006,A,470000
67,2006,A,0
YE,2006,A,0
ZM,2006,A,0
ZW,2006,A,4830000
AF,2007,A,0
51,2007,A,0
AL,2007,A,0
52,2007,A,0
AO,2007,A,10000
AI,2007,A,0
AG,2007,A,0
AR,2007,A,1440000
AM,2007,A,0
53,2007,A,0
AZ,2007,A,0
BD,2007,A,1450000
BB,2007,A,0
BY,2007,A,20000
BZ,2007,A,0
BJ,2007,A,0
BT,2007,A,0
BO,2007,A,10000
BA,2007,A,10000
BW,2007,A,0
BR,2007,A,2280000
BF,2007,A,0
BI,2007,A,0
KH,2007,A,3700000
CM,2007,A,5370000
CV,2007,A,0
CF,2007,A,0
54,2007,A,0
TD,2007,A,0
CL,2007,A,2850000
CN,2007,A,23720000
CO,2007,A,30000
KM,2007,A,0
CD,2007,A,0
CG,2007,A,0
CK,2007,A,0
CR,2007,A,0
CI,2007,A,0
HR,2007,A,1560000
CU,2007,A,0
CY,2007,A,0
55,2007,A,294850000
DJ,2007,A,0
DM,2007,A,0
DO,2007,A,0
EC,2007,A,0
EG,2007,A,254980000
SV,2007,A,0
GQ,2007,A,0
ER,2007,A,0
ET,2007,A,0
56,2007,A,2330000
57,2007,A,0
FJ,2007,A,3340000
MK,2007,A,10000
GA,2007,A,0
GM,2007,A,0
GE,2007,A,0
GH,2007,A,960000
GD,2007,A,0
GT,2007,A,0
GN,2007,A,0
GW,2007,A,0
GY,2007,A,0
HT,2007,A,20000
HN,2007,A,0
IN,2007,A,18130000
ID,2007,A,10740000
IR,2007,A,2530000
JM,2007,A,0
JO,2007,A,9400000
KZ,2007,A,10000
KE,2007,A,3010000
KI,2007,A,590000
KR,2007,A,0
KP,2007,A,1510000
XK,2007,A,0
KG,2007,A,0
LA,2007,A,7530000
LB,2007,A,3860000
LS,2007,A,0
LR,2007,A,0
MG,2007,A,0
MW,2007,A,0
MY,2007,A,14830000
MV,2007,A,0
ML,2007,A,0
MT,2007,A,0
MH,2007,A,0
MR,2007,A,0
MU,2007,A,750000
YT,2007,A,0
MX,2007,A,1900000
NR,2007,A,620000
58,2007,A,0
MD,2007,A,0
MN,2007,A,10000
ME,2007,A,0
MS,2007,A,0
MA,2007,A,0
MZ,2007,A,0
MM,2007,A,1280000
NA,2007,A,0
NR,2007,A,660000
NP,2007,A,620000
NI,2007,A,0
NE,2007,A,0
NG,2007,A,1370000
59,2007,A,10000
60,2007,A,0
61,2007,A,7830000
OM,2007,A,0
PK,2007,A,2840000
PW,2007,A,0
PA,2007,A,0
PG,2007,A,7960000
PY,2007,A,0
PE,2007,A,0
PH,2007,A,6410000
RW,2007,A,3610000
WS,2007,A,630000
ST,2007,A,0
SN,2007,A,0
RS,2007,A,2450000
SC,2007,A,0
SL,2007,A,0
SI,2007,A,0
SB,2007,A,3270000
SO,2007,A,0
62,2007,A,0
ZA,2007,A,4460000
63,2007,A,0
64,2007,A,0
65,2007,A,0
SS,2007,A,0
LK,2007,A,2000000
SH,2007,A,0
KN,2007,A,0
LC,2007,A,0
VC,2007,A,0
66,2007,A,5800000
SD,2007,A,1580000
SR,2007,A,0
SZ,2007,A,0
SY,2007,A,0
TJ,2007,A,0
TZ,2007,A,0
TH,2007,A,8580000
TL,2007,A,1350000
TG,2007,A,0
TO,2007,A,490000
TT,2007,A,1020000
TN,2007,A,0
TR,2007,A,5000000
TM,2007,A,0
TC,2007,A,0
TV,2007,A,0
UG,2007,A,0
UA,2007,A,10000
UY,2007,A,10000
UZ,2007,A,0
VU,2007,A,2120000
VE,2007,A,0
VN,2007,A,5390000
WF,2007,A,0
PS,2007,A,480000
67,2007,A,0
YE,2007,A,0
ZM,2007,A,0
ZW,2007,A,1220000
AF,2008,A,0
51,2008,A,0
AL,2008,A,0
52,2008,A,170000
AO,2008,A,0
AI,2008,A,0
AG,2008,A,0
AR,2008,A,1170000
AM,2008,A,0
53,2008,A,720000
AZ,2008,A,0
BD,2008,A,1010000
BB,2008,A,0
BY,2008,A,0
BZ,2008,A,0
BJ,2008,A,0
BT,2008,A,0
BO,2008,A,10000
BA,2008,A,10000
BW,2008,A,0
BR,2008,A,1620000
BF,2008,A,0
BI,2008,A,0
KH,2008,A,13280000
CM,2008,A,0
CV,2008,A,0
CF,2008,A,0
54,2008,A,0
TD,2008,A,0
CL,2008,A,1970000
CN,2008,A,25100000
CO,2008,A,10000
KM,2008,A,0
CD,2008,A,0
CG,2008,A,0
CK,2008,A,80000
CR,2008,A,0
CI,2008,A,0
HR,2008,A,970000
CU,2008,A,0
CY,2008,A,0
55,2008,A,62220000
DJ,2008,A,0
DM,2008,A,0
DO,2008,A,0
EC,2008,A,10000
EG,2008,A,250820000
SV,2008,A,0
GQ,2008,A,0
ER,2008,A,0
ET,2008,A,0
56,2008,A,1290000
57,2008,A,0
FJ,2008,A,2910000
MK,2008,A,10000
GA,2008,A,0
GM,2008,A,0
GE,2008,A,0
GH,2008,A,590000
GD,2008,A,0
GT,2008,A,0
GN,2008,A,0
GW,2008,A,0
GY,2008,A,0
HT,2008,A,20000
HN,2008,A,0
IN,2008,A,7320000
ID,2008,A,8810000
IR,2008,A,1800000
JM,2008,A,0
JO,2008,A,50470000
KZ,2008,A,0
KE,2008,A,2250000
KI,2008,A,640000
KR,2008,A,0
KP,2008,A,2360000
XK,2008,A,0
KG,2008,A,0
LA,2008,A,2180000
LB,2008,A,1890000
LS,2008,A,0
LR,2008,A,0
MG,2008,A,0
MW,2008,A,0
MY,2008,A,9440000
MV,2008,A,0
ML,2008,A,0
MT,2008,A,0
MH,2008,A,250000
MR,2008,A,0
MU,2008,A,560000
YT,2008,A,0
MX,2008,A,1380000
NR,2008,A,860000
58,2008,A,900000
MD,2008,A,0
MN,2008,A,10000
ME,2008,A,0
MS,2008,A,0
MA,2008,A,0
MZ,2008,A,0
MM,2008,A,970000
NA,2008,A,0
NR,2008,A,290000
NP,2008,A,400000
NI,2008,A,0
NE,2008,A,0
NG,2008,A,660000
59,2008,A,100000
60,2008,A,0
61,2008,A,8600000
OM,2008,A,0
PK,2008,A,1880000
PW,2008,A,160000
PA,2008,A,0
PG,2008,A,5550000
PY,2008,A,0
PE,2008,A,10000
PH,2008,A,4430000
RW,2008,A,2770000
WS,2008,A,970000
ST,2008,A,0
SN,2008,A,0
RS,2008,A,1780000
SC,2008,A,0
SL,2008,A,0
SI,2008,A,0
SB,2008,A,1440000
SO,2008,A,0
62,2008,A,0
ZA,2008,A,2620000
63,2008,A,0
64,2008,A,0
65,2008,A,0
SS,2008,A,0
LK,2008,A,1450000
SH,2008,A,0
KN,2008,A,0
LC,2008,A,0
VC,2008,A,0
66,2008,A,5040000
SD,2008,A,1550000
SR,2008,A,0
SZ,2008,A,0
SY,2008,A,0
TJ,2008,A,0
TZ,2008,A,0
TH,2008,A,6100000
TL,2008,A,1300000
TG,2008,A,0
TO,2008,A,300000
TT,2008,A,450000
TN,2008,A,0
TR,2008,A,3040000
TM,2008,A,0
TC,2008,A,0
TV,2008,A,630000
UG,2008,A,0
UA,2008,A,0
UY,2008,A,10000
UZ,2008,A,0
VU,2008,A,1380000
VE,2008,A,0
VN,2008,A,5020000
WF,2008,A,0
PS,2008,A,270000
67,2008,A,0
YE,2008,A,0
ZM,2008,A,0
ZW,2008,A,1040000
