country,year,from-oda-interest
UG,2009,15715968
UY,2009,1504877
UZ,2009,18746809
VC,2009,1299283
VN,2009,219424581
VU,2009,728136
WF,2009,134170
WS,2009,1686521
YE,2009,25808568
YT,2009,1772968
ZA,2009,17660767
ZM,2009,6927144
ZW,2009,839228
51,2010,7708601
52,2010,5635303
55,2010,7670968
59,2010,2183622
61,2010,256390
63,2010,20771
65,2010,874860
67,2010,166173
AF,2010,8763196
AG,2010,62247
AL,2010,11477796
AM,2010,14575581
AO,2010,14757084
AR,2010,9076348
AZ,2010,12363001
BA,2010,12786375
BB,2010,145401
BD,2010,177600543
BF,2010,14322297
BI,2010,1902018
BJ,2010,7126200
BO,2010,22080170
BR,2010,60481881
BT,2010,2773014
BW,2010,2706209
BY,2010,2251925
BZ,2010,446477
CD,2010,16875819
CF,2010,992840
CG,2010,4482340
CI,2010,32788670
CK,2010,280417
CL,2010,4070026
CM,2010,48843918
CN,2010,574133387
CO,2010,6164235
CR,2010,8152498
CU,2010,249259
CV,2010,6276100
DJ,2010,3614494
DM,2010,596283
DO,2010,16031004
DZ,2010,19731031
EC,2010,21337385
EG,2010,212346520
ER,2010,4690147
ET,2010,18409677
FJ,2010,481312
GA,2010,3676900
GD,2010,1329385
GE,2010,15902946
GH,2010,26104886
GM,2010,2713752
GN,2010,8882490
GQ,2010,884242
GT,2010,13078004
GW,2010,3437707
GY,2010,3884275
HN,2010,12291735
HR,2010,1832304
HT,2010,8587473
ID,2010,589367552
IN,2010,561384195
IQ,2010,743903
IR,2010,7968397
JM,2010,12968352
JO,2010,40075024
KE,2010,62660586
KG,2010,12928640
KH,2010,16122269
KI,2010,135015
KM,2010,1515339
KN,2010,508703
KP,2010,405047
KZ,2010,22767070
LA,2010,19600119
LB,2010,20697082
LC,2010,1314986
LK,2010,157721540
LR,2010,725788
LS,2010,4637968
MA,2010,116048248
MD,2010,4357268
ME,2010,1299366
MG,2010,13506268
MH,2010,851637
MK,2010,4687668
ML,2010,14284493
MM,2010,1115030
MN,2010,18358263
MR,2010,7850171
MU,2010,8011329
MV,2010,2181618
MW,2010,4380835
MX,2010,21667698
MY,2010,50043516
MZ,2010,19497129
NA,2010,9165634
NE,2010,5217479
NG,2010,27980205
NI,2010,12707100
NP,2010,30599584
NR,2010,529676
OM,2010,5172139
PA,2010,4267732
PE,2010,61835454
PG,2010,11115854
PH,2010,277082773
PK,2010,225675418
PS,2010,9968
PY,2010,20295327
RS,2010,14378903
RW,2010,4032132
SB,2010,1007424
SC,2010,1545221
SD,2010,8555073
SL,2010,1939062
SN,2010,17101970
SO,2010,69856
SR,2010,297713
ST,2010,155787
SV,2010,21752706
SY,2010,36814049
SZ,2010,2438801
TD,2010,11577052
TG,2010,11616956
TH,2010,105634381
TJ,2010,7497279
TM,2010,1262108
TN,2010,62850449
TO,2010,612763
TR,2010,88797285
TT,2010,114244
TV,2010,93472
TZ,2010,28898186
UA,2010,2178321
UG,2010,18879172
UY,2010,2022447
UZ,2010,19496966
VC,2010,571414
VE,2010,252320
VN,2010,244726196
VU,2010,804812
WF,2010,109774
WS,2010,1568569
XK,2010,89714
YE,2010,24290798
YT,2010,4131522
ZA,2010,34016500
ZM,2010,5356352
ZW,2010,602377
51,2011,5954446
52,2011,5754967
55,2011,19076039
59,2011,2783273
61,2011,885708
63,2011,19522
65,2011,3777167
67,2011,276301
AF,2011,10412968
AG,2011,298328
AI,2011,140839
AL,2011,15660692
AM,2011,16281350
AO,2011,13538321
AR,2011,12204834
AZ,2011,13565633
BA,2011,22963062
BD,2011,180071747
BF,2011,16746347
BI,2011,2807735
BJ,2011,11394300
BO,2011,15056250
BR,2011,66405354
BT,2011,3452396
BW,2011,3958096
BY,2011,2052906
BZ,2011,1774937
CD,2011,94339087
CF,2011,1551838
CG,2011,1783198
CI,2011,25586130
CK,2011,292460
CL,2011,10797448
CM,2011,12193924
CN,2011,558592283
CO,2011,6604965
CR,2011,7122972
CU,2011,2532960
