country,year,university-college-enrolment
MD,2000,32.52967
MG,2000,2.18513
MV,2000,
MX,2000,19.29516
MH,2000,
MK,2000,22.63251
ML,2000,2.05913
MT,2000,19.84788
MM,2000,
ME,2000,
MN,2000,30.17709
MP,2000,
MZ,2000,0.66636
MR,2000,
MU,2000,11.02747
MW,2000,0.32616
MY,2000,25.74227
NA,2000,
NC,2000,
NE,2000,
NG,2000,
NI,2000,
NL,2000,52.54465
NO,2000,69.34229
NP,2000,4.35054
NZ,2000,66.15093
OM,2000,
PK,2000,
PA,2000,41.12896
PE,2000,
PH,2000,
PW,2000,40.63989
PG,2000,
PL,2000,50.28599
PR,2000,
KP,2000,
PT,2000,47.55606
PY,2000,15.71809
PF,2000,
QA,2000,
RO,2000,24.11611
RU,2000,55.40109
RW,2000,1.20299
SA,2000,22.63417
SD,2000,
SN,2000,
SG,2000,
SB,2000,
SL,2000,1.62316
SV,2000,20.65926
SM,2000,
SO,2000,
RS,2000,
SS,2000,
ST,2000,
SR,2000,
SK,2000,28.43127
SI,2000,55.11092
SE,2000,67.10568
SZ,2000,4.45921
SX,2000,
SC,2000,
SY,2000,
TC,2000,
TD,2000,0.83114
TG,2000,
TH,2000,35.14095
TJ,2000,18.26356
TM,2000,
TL,2000,
TO,2000,4.85778
TT,2000,6.06039
TN,2000,18.83266
TR,2000,
TV,2000,
TZ,2000,0.67551
UG,2000,2.59394
UA,2000,48.72779
UY,2000,34.34268
US,2000,67.84923
UZ,2000,12.61705
VC,2000,
VE,2000,28.25935
VI,2000,
VN,2000,9.32551
VU,2000,3.82954
PS,2000,23.86342
WS,2000,7.56238
YE,2000,
ZA,2000,
CD,2000,
ZM,2000,2.39038
ZW,2000,
AW,2001,29.05586
AD,2001,
AF,2001,
AO,2001,
AL,2001,14.01383
AE,2001,
AR,2001,58.27672
AM,2001,32.81435
AS,2001,
AG,2001,
AU,2001,65.19178
AT,2001,56.82897
AZ,2001,
BI,2001,1.12819
BE,2001,58.24527
BJ,2001,4.46439
BF,2001,1.15666
BD,2001,6.40931
BG,2001,43.01794
BH,2001,
BS,2001,
BA,2001,23.10346
BY,2001,56.79771
BZ,2001,15.04481
BM,2001,
BO,2001,36.97282
BR,2001,
BB,2001,40.28374
BN,2001,14.24664
BT,2001,
BW,2001,6.0309
CF,2001,
CA,2001,
CH,2001,39.68128
CL,2001,
CN,2001,9.83335
CI,2001,
CM,2001,4.62893
CG,2001,4.36318
CO,2001,24.78947
KM,2001,
CV,2001,1.60763
CR,2001,
CU,2001,25.14311
CW,2001,
KY,2001,24.58858
CY,2001,21.61252
CZ,2001,30.07788
DE,2001,
DJ,2001,0.69048
DM,2001,
DK,2001,60.02826
DO,2001,
DZ,2001,15.24848
EC,2001,
EG,2001,31.16712
ER,2001,1.33971
ES,2001,60.77522
EE,2001,60.37787
ET,2001,1.48196
FI,2001,84.43053
FJ,2001,
FR,2001,55.85262
FO,2001,
FM,2001,
GA,2001,8.20971
GB,2001,58.87527
GE,2001,38.91862
GH,2001,
GN,2001,
GM,2001,
GW,2001,
GQ,2001,
GR,2001,58.73001
GD,2001,
GL,2001,
GT,2001,
GU,2001,
GY,2001,
HK,2001,
HN,2001,15.42436
HR,2001,33.51016
HT,2001,
HU,2001,39.68776
ID,2001,14.35612
IN,2001,9.78483
IE,2001,51.72226
IR,2001,20.24645
IQ,2001,
IS,2001,47.63999
IL,2001,51.78589
IT,2001,51.89096
JM,2001,17.93916
JO,2001,
JP,2001,49.91419
KZ,2001,34.61152
KE,2001,2.81555
KG,2001,40.18546
KH,2001,2.36669
KI,2001,
KN,2001,
KR,2001,82.73275
XK,2001,
KW,2001,23.68738
LA,2001,3.09247
LB,2001,43.4013
LR,2001,
LY,2001,54.83807
LC,2001,
LI,2001,
LK,2001,
LS,2001,2.51627
LT,2001,56.60204
LU,2001,10.21577
LV,2001,63.30484
MO,2001,46.3321
MF,2001,
MA,2001,10.27369
MC,2001,
MD,2001,31.7273
MG,2001,2.0804
MV,2001,
MX,2001,20.09684
MH,2001,
MK,2001,24.52125
ML,2001,2.20563
MT,2001,23.13591
MM,2001,10.33052
ME,2001,16.71044
MN,2001,34.20376
MP,2001,
MZ,2001,
MR,2001,3.38212
MU,2001,17.10541
MW,2001,0.37139
MY,2001,25.047
NA,2001,7.0327
NC,2001,
NE,2001,
NG,2001,
NI,2001,
NL,2001,54.56146
NO,2001,70.27974
NP,2001,4.66355
NZ,2001,66.55252
OM,2001,
PK,2001,
PA,2001,40.59614
PE,2001,31.40779
PH,2001,30.37105
PW,2001,37.03704
PG,2001,
PL,2001,55.44863
PR,2001,
KP,2001,
PT,2001,50.37983
PY,2001,17.58322
PF,2001,
QA,2001,19.17956
RO,2001,29.003
RU,2001,61.26443
RW,2001,1.53726
SA,2001,23.94357
SD,2001,
SN,2001,
SG,2001,
SB,2001,
SL,2001,2.07895
SV,2001,19.75449
SM,2001,
SO,2001,
RS,2001,
SS,2001,
ST,2001,
SR,2001,
SK,2001,30.08351
SI,2001,60.33394
SE,2001,70.29635
SZ,2001,4.28869
SX,2001,
SC,2001,
SY,2001,
TC,2001,
TD,2001,0.82524
TG,2001,
TH,2001,39.22846
TJ,2001,17.69055
TM,2001,
TL,2001,
TO,2001,4.16743
TT,2001,6.43571
TN,2001,21.20027
TR,2001,25.26073
TV,2001,
TZ,2001,0.69332
UG,2001,2.80495
UA,2001,51.97728
UY,2001,37.55541
US,2001,68.61805
UZ,2001,13.08292
VC,2001,
VE,2001,
VI,2001,
VN,2001,9.38302
VU,2001,3.77327
PS,2001,26.11632
WS,2001,
YE,2001,
ZA,2001,
CD,2001,
ZM,2001,
ZW,2001,
AW,2002,26.69797
AD,2002,
AF,2002,
AO,2002,0.86361
AL,2002,14.73868
AE,2002,
AR,2002,62.22986
AM,2002,35.23941
AS,2002,
AG,2002,
AU,2002,74.02367
AT,2002,46.12931
AZ,2002,
BI,2002,1.76393
BE,2002,59.24444
BJ,2002,5.26469
BF,2002,1.41163
BD,2002,6.11266
BG,2002,40.86433
BH,2002,
BS,2002,
BA,2002,23.21736
BY,2002,59.25915
BZ,2002,16.80434
BM,2002,
BO,2002,37.24976
BR,2002,
BB,2002,
BN,2002,14.53481
BT,2002,
BW,2002,6.51705
CF,2002,
CA,2002,
CH,2002,40.85155
CL,2002,40.3659
CN,2002,12.41981
CI,2002,
CM,2002,5.05544
CG,2002,3.88885
CO,2002,24.87423
KM,2002,
CV,2002,3.87481
CR,2002,
CU,2002,26.87868
CW,2002,
KY,2002,22.35085
CY,2002,25.10229
CZ,2002,34.60981
DE,2002,
DJ,2002,1.01653
DM,2002,
DK,2002,63.5351
DO,2002,
DZ,2002,16.74901
EC,2002,
EG,2002,32.27221
ER,2002,1.2467
ES,2002,62.13234
EE,2002,62.84376
ET,2002,1.6595
FI,2002,84.96138
FJ,2002,
FR,2002,53.70435
FO,2002,
FM,2002,
GA,2002,
GB,2002,62.15572
GE,2002,41.28475
GH,2002,
GN,2002,
GM,2002,
GW,2002,
GQ,2002,
GR,2002,66.66192
GD,2002,
GL,2002,
GT,2002,9.46136
GU,2002,
GY,2002,
HK,2002,
HN,2002,17.16233
HR,2002,36.40949
HT,2002,
HU,2002,44.56082
ID,2002,15.01006
IN,2002,10.35687
IE,2002,53.35593
IR,2002,19.10472
IQ,2002,12.7037
IS,2002,54.0475
IL,2002,56.80097
IT,2002,54.51629
JM,2002,19.09413
JO,2002,30.84805
JP,2002,50.70765
KZ,2002,39.82332
KE,2002,2.82259
KG,2002,43.275
KH,2002,2.45063
KI,2002,
KN,2002,
KR,2002,85.75135
XK,2002,
KW,2002,23.82139
LA,2002,4.15078
LB,2002,44.86877
LR,2002,
LY,2002,59.23589
LC,2002,
LI,2002,
LK,2002,
LS,2002,2.47953
LT,2002,61.27275
LU,2002,11.85194
LV,2002,67.72078
MO,2002,62.34604
MF,2002,
MA,2002,10.21006
MC,2002,
MD,2002,32.20523
MG,2002,2.15636
MV,2002,
MX,2002,21.0693
MH,2002,16.27614
MK,2002,26.99358
ML,2002,2.21856
MT,2002,22.77548
MM,2002,
ME,2002,15.89396
