country,sector,bundle,year,in-oda-gross-sector-bundle
51,A,B,2006,8543039
51,A,E,2006,2376034
51,A,G,2006,19259936
51,B,B,2006,19121991
51,B,C,2006,1131714
51,B,E,2006,30771565
51,B,G,2006,25130630
51,C,B,2006,6734437
51,C,E,2006,2623189
51,C,G,2006,14010570
51,D,B,2006,19749901
51,D,E,2006,22585803
51,D,G,2006,64990423
51,E,B,2006,7652613
51,E,E,2006,8365325
51,E,G,2006,10962473
51,F,A,2006,10623027
51,F,B,2006,1164520
51,F,E,2006,11902998
51,F,G,2006,9802270
51,G,A,2006,4115317
51,G,B,2006,1039091
51,G,E,2006,7282221
51,G,G,2006,7443965
51,H,B,2006,2763293
51,H,C,2006,186460
51,H,E,2006,21358404
51,H,G,2006,9181240
51,I,A,2006,2838880
51,I,E,2006,1657600
51,I,G,2006,8106581
51,J,B,2006,914855
51,J,E,2006,11252612
51,J,G,2006,12102390
51,K,A,2006,4883687
51,K,B,2006,5297456
51,K,D,2006,4096128
51,K,E,2006,23507724
51,K,F,2006,176183485
51,K,G,2006,17828146
51,L,B,2006,8101358
51,M,F,2006,3876261
51,N,B,2006,8533430
51,N,C,2006,51628394
51,N,E,2006,49297082
51,N,G,2006,6317038
52,A,B,2006,691161
52,A,E,2006,16026926
52,A,G,2006,22197283
52,B,B,2006,574685
52,B,E,2006,5481819
52,B,G,2006,16312167
52,C,E,2006,717853
52,C,G,2006,-5521
52,D,B,2006,3153298
52,D,E,2006,15037260
52,D,G,2006,51152663
52,E,B,2006,12982
52,E,E,2006,952214
52,E,G,2006,2697840
52,F,B,2006,1160007
52,F,E,2006,16784042
52,F,G,2006,2726346
52,G,A,2006,27314887
52,G,E,2006,1011331
52,G,G,2006,3552825
52,H,E,2006,3248402
52,H,G,2006,9743978
52,I,E,2006,1609374
52,I,G,2006,14787341
52,J,E,2006,3260905
52,J,G,2006,5778784
52,K,B,2006,5784953
52,K,D,2006,37221
52,K,E,2006,30847995
52,K,F,2006,49865224
52,K,G,2006,13498456
52,L,B,2006,1308
52,N,B,2006,23638912
52,N,C,2006,12181
52,N,E,2006,16767348
52,N,G,2006,2966323
53,A,B,2006,13198
53,A,E,2006,4653646
53,A,F,2006,8992993
53,A,G,2006,37346721
53,B,B,2006,387739
53,B,C,2006,89868
53,B,E,2006,12570313
53,B,G,2006,12239180
53,C,B,2006,796234
53,C,E,2006,1112011
53,C,G,2006,2328315
53,D,B,2006,9415620
53,D,E,2006,5508012
53,D,G,2006,76108529
53,E,B,2006,6424769
53,E,E,2006,3933649
53,E,G,2006,2834578
53,F,A,2006,38536381
53,F,B,2006,2338546
53,F,E,2006,6160535
53,F,G,2006,7825101
53,G,A,2006,4381895
53,G,B,2006,1639367
53,G,E,2006,1168414
53,G,G,2006,9039037
53,H,B,2006,2182766
53,H,E,2006,29161357
53,H,G,2006,21553110
53,I,A,2006,11348491
53,I,B,2006,2378009
53,I,E,2006,4105111
53,I,G,2006,35123697
53,J,B,2006,6919859
53,J,E,2006,24988192
53,J,G,2006,5607916
53,K,B,2006,1376052
53,K,D,2006,522184
53,K,E,2006,12790425
53,K,F,2006,183039835
53,K,G,2006,23372327
53,N,B,2006,1186036
53,N,C,2006,3376746
53,N,E,2006,24685036
53,N,G,2006,11319261
54,A,G,2006,915216
54,B,B,2006,1986980
54,B,E,2006,-16449
54,B,G,2006,7612298
54,C,E,2006,5805951
