country-from,country-to,bundle,year,oda-gross-bl-bundle
1,CD,F,2006,135328618
1,CM,F,2006,11885237
1,ET,F,2006,19398797
1,GH,F,2006,14234103
1,MR,F,2006,5335492
1,SN,F,2006,7491010
1,TZ,F,2006,1368233
1,UG,F,2006,937304
1,ZM,F,2006,15651526
2,65,A,2006,8953128
2,65,B,2006,10109926
2,65,E,2006,12958369
2,65,F,2006,76578480
2,65,G,2006,8871668
2,AO,A,2006,1818224
2,AO,E,2006,967330
2,BF,A,2006,29366896
2,BF,B,2006,9801219
2,BF,E,2006,1170642
2,BF,F,2006,333606563
2,BI,A,2006,2632874
2,BI,E,2006,643111
2,BI,F,2006,7254367
2,BJ,A,2006,22388037
2,BJ,B,2006,1005276
2,BJ,E,2006,1872117
2,BJ,F,2006,296277930
2,CD,A,2006,5579336
2,CD,B,2006,3524319
2,CD,E,2006,1474234
2,CD,F,2006,5848886
2,CG,E,2006,36711
2,CI,E,2006,1811249
2,CM,A,2006,21888003
2,CM,E,2006,2973150
2,CM,F,2006,180551059
2,CV,A,2006,1983241
2,CV,E,2006,13565
2,DJ,A,2006,3660691
2,DJ,E,2006,1491495
2,EG,A,2006,6401255
2,EG,E,2006,1052022
2,ER,A,2006,6060979
2,ER,B,2006,1260930
2,ER,E,2006,1031508
2,ET,A,2006,52652376
2,ET,E,2006,2976561
2,ET,F,2006,800359254
2,GH,A,2006,26944637
2,GH,B,2006,37422821
2,GH,E,2006,2169675
2,GH,F,2006,416313287
2,GM,A,2006,10549124
2,GM,E,2006,1575141
2,GN,A,2006,12953656
2,GN,B,2006,4933071
2,GN,E,2006,1133773
2,GQ,A,2006,886203
2,GQ,B,2006,92747
2,GQ,E,2006,68452
2,GW,A,2006,4166605
2,GW,E,2006,985188
2,GW,F,2006,4076847
2,KE,A,2006,13851944
2,KE,B,2006,2154161
2,KE,E,2006,443064
2,LS,A,2006,13789695
2,LS,B,2006,245940
2,LS,E,2006,217073
2,MG,A,2006,34068312
2,MG,E,2006,1320836
2,MG,F,2006,330769205
2,ML,A,2006,35535064
2,ML,B,2006,59427752
2,ML,E,2006,3768264
2,ML,F,2006,467146477
2,MR,A,2006,11209820
2,MR,E,2006,172390
2,MR,F,2006,218169241
2,MW,A,2006,23157211
2,MW,B,2006,3035469
2,MW,E,2006,1282234
2,MW,F,2006,353098989
2,MZ,A,2006,52988699
2,MZ,B,2006,227084
2,MZ,E,2006,1588769
2,MZ,F,2006,442071549
2,NE,A,2006,14130396
2,NE,B,2006,14915451
2,NE,E,2006,2219581
2,NE,F,2006,207988705
2,NG,A,2006,9813270
2,NG,B,2006,6482710
2,NG,E,2006,179263
2,RW,A,2006,31839202
2,RW,B,2006,3426548
2,RW,E,2006,1748333
2,RW,F,2006,234013352
2,SL,A,2006,4521595
2,SL,B,2006,18137707
2,SL,E,2006,1951645
2,SL,F,2006,3115545
2,SN,A,2006,29211722
2,SN,B,2006,1950260
2,SN,E,2006,734349
2,SN,F,2006,316743240
2,ST,A,2006,677884
2,ST,B,2006,65707
2,ST,E,2006,24728
2,ST,F,2006,1887858
2,TD,A,2006,19586185
2,TD,B,2006,16990864
2,TD,E,2006,2571435
2,TD,F,2006,405368
2,TG,E,2006,212218
2,TZ,A,2006,50306637
2,TZ,B,2006,10728422
2,TZ,E,2006,2613298
2,TZ,F,2006,588015734
2,UG,A,2006,52533959
2,UG,B,2006,6712533
2,UG,E,2006,1869436
2,UG,F,2006,438539054
2,ZM,A,2006,36771155
2,ZM,E,2006,225017
2,ZM,F,2006,270855544
11,55,E,2006,56786313
11,AL,E,2006,845482
11,AM,E,2006,1505653
11,AR,E,2006,5455099
11,BA,E,2006,486442
11,BD,E,2006,1262432
11,BF,E,2006,3219782
11,BI,E,2006,1598309
11,BJ,E,2006,127401
11,BO,E,2006,1389834
11,BR,E,2006,9358217
11,BT,E,2006,683335
