country,bundle,year,out-oda-gross-bundle
1,F,2006,211630326
2,A,2006,652878033
2,B,2006,212650928
2,E,2006,59546243
2,F,2006,5993686543
2,G,2006,8871668
11,E,2006,220172917
12,B,2006,25772288
12,C,2006,6110047
12,E,2006,1395155398
12,G,2006,22716957
15,A,2006,6291890930
15,B,2006,2470423997
15,E,2006,34404511
15,F,2006,37387269633
15,G,2006,514898943
21,B,2006,861685692
21,F,2006,4602586896
27,B,2006,17132441
27,E,2006,192077921
28,B,2006,3883827
28,C,2006,1245042
28,E,2006,512762509
28,G,2006,1551284
31,B,2006,15593472
31,E,2006,218434548
31,G,2006,11836533
33,B,2006,2239752
33,C,2006,3747375
33,E,2006,596382524
33,F,2006,239664789
33,G,2006,10828442
AT,B,2006,26368236
AT,C,2006,2283492
AT,D,2006,1923797
AT,E,2006,74418897
AT,F,2006,1044145599
AT,G,2006,105081924
AU,A,2006,37592980
AU,B,2006,356535512
AU,C,2006,77027967
AU,D,2006,3507713
AU,E,2006,394958148
AU,F,2006,588165202
AU,G,2006,1466690177
BE,A,2006,29980950
BE,B,2006,108462518
BE,C,2006,24878513
BE,D,2006,24978846
BE,E,2006,115202670
BE,F,2006,673002956
BE,G,2006,654652091
CA,A,2006,2567
CA,B,2006,523555189
CA,C,2006,235251732
CA,D,2006,27114084
CA,E,2006,359857958
CA,F,2006,632729915
CA,G,2006,727851574
CH,A,2006,33344413
CH,B,2006,102284548
CH,C,2006,51201489
CH,D,2006,149725584
CH,E,2006,781553882
CH,F,2006,413906998
CH,G,2006,255514550
DE,A,2006,1110772329
DE,B,2006,202205884
DE,C,2006,113197493
DE,D,2006,8328217
DE,E,2006,1002443962
DE,F,2006,4632696675
DE,G,2006,2455326387
DK,B,2006,91811480
DK,C,2006,12076029
DK,D,2006,84827859
DK,E,2006,877648420
DK,F,2006,141734786
DK,G,2006,41581804
ES,A,2006,350743638
ES,B,2006,377482596
ES,C,2006,61319439
ES,D,2006,8144906
ES,E,2006,434384798
ES,F,2006,755377518
ES,G,2006,492599299
EU,A,2006,618336326
EU,B,2006,2709052353
EU,C,2006,514651089
EU,D,2006,2645517
EU,E,2006,5974001280
EU,F,2006,837400562
EU,G,2006,631856766
FI,A,2006,14753976
FI,B,2006,73361826
FI,C,2006,11160291
FI,D,2006,23107198
FI,E,2006,207665659
FI,F,2006,27950768
FI,G,2006,204524674
FR,A,2006,810011968
FR,B,2006,362432810
FR,C,2006,58227421
FR,D,2006,75049165
FR,E,2006,1226646870
FR,F,2006,6548052105
FR,G,2006,766334940
GB,B,2006,1045714318
GB,C,2006,269781426
GB,E,2006,730071178
GB,F,2006,3582420705
GB,G,2006,2602745727
GR,B,2006,7103301
GR,C,2006,1409053
GR,D,2006,25959
GR,E,2006,88677870
GR,F,2006,40110966
GR,G,2006,89495652
IE,B,2006,29035403
IE,C,2006,13993807
IE,E,2006,516627167
IE,F,2006,44523296
IE,G,2006,10333193
IT,A,2006,234004118
IT,B,2006,121654708
IT,C,2006,20383751
IT,D,2006,10896234
IT,E,2006,233398436
IT,F,2006,1862205620
IT,G,2006,183190915
JP,A,2006,7102525931
JP,B,2006,677870998
JP,C,2006,128184788
JP,D,2006,24598115
JP,E,2006,1305370237
JP,F,2006,5519814246
JP,G,2006,2651458652
KR,A,2006,138932236
KR,B,2006,37929551
KR,C,2006,217439
KR,D,2006,5208150
KR,E,2006,57004735
KR,F,2006,27156152
KR,G,2006,125106000
LU,B,2006,2481207
LU,C,2006,21780664
LU,D,2006,1248152
LU,E,2006,170612555
LU,F,2006,24968339
LU,G,2006,24299230
NL,A,2006,214259
NL,B,2006,1356320999
NL,C,2006,212403680
NL,D,2006,981214620
NL,E,2006,1288136559
NL,F,2006,805743707
NL,G,2006,553771806
NO,A,2006,103557534
NO,B,2006,1346707990
NO,C,2006,114187371
NO,E,2006,574729220
NO,F,2006,366426277
NO,G,2006,540211522
NZ,B,2006,72864468
NZ,C,2006,4415391
NZ,D,2006,24021997
NZ,E,2006,79665890
NZ,F,2006,39545624
NZ,G,2006,62168017
PT,A,2006,21266122
PT,B,2006,9325059
PT,D,2006,8102518
PT,E,2006,46558515
PT,F,2006,50720092
PT,G,2006,98494972
SE,A,2006,19297385
SE,B,2006,539078544
SE,C,2006,9741913
SE,D,2006,18416484
SE,E,2006,1852501742
SE,F,2006,789959533
SE,G,2006,200479144
US,B,2006,3490324001
US,C,2006,2460418652
US,E,2006,4458476225
US,F,2006,4155727108
US,G,2006,9958149971
1,F,2007,188526475
2,A,2007,681228071
2,B,2007,445490143
2,C,2007,3380326
2,E,2007,58578751
2,F,2007,15441876
2,G,2007,6328877
10,B,2007,769137573
10,C,2007,169106387
10,E,2007,47269907
10,F,2007,54972483
11,E,2007,206576989
12,B,2007,37230090
12,C,2007,5462964
12,E,2007,1678882934
12,G,2007,18040686
15,A,2007,5216254151
15,B,2007,3985499888
15,E,2007,50389914
15,F,2007,1640101748
15,G,2007,689955159
21,B,2007,536933336
21,F,2007,20426695
27,B,2007,64525898
27,E,2007,141940676
28,B,2007,2985842
28,C,2007,721471
28,E,2007,478739217
28,G,2007,1712465
31,B,2007,6762720
31,E,2007,217814233
31,G,2007,6824318
33,B,2007,3299200
33,C,2007,12025762
33,E,2007,764665336
33,F,2007,257312581
33,G,2007,11949884
AT,B,2007,19614127
AT,C,2007,2616010
AT,D,2007,1417790
AT,E,2007,75135405
AT,F,2007,1173758976
AT,G,2007,110138905
AU,A,2007,4579549
AU,B,2007,486356058
AU,C,2007,67184391
AU,D,2007,22230570
AU,E,2007,404882746
AU,F,2007,555640746
AU,G,2007,1725481852
BE,A,2007,36041859
BE,B,2007,115537637
BE,C,2007,26987055
BE,D,2007,22963559
BE,E,2007,227729927
BE,F,2007,430973262
BE,G,2007,496435680
CA,B,2007,558995614
CA,C,2007,244060051
CA,D,2007,23275284
CA,E,2007,395873997
CA,F,2007,324584148
CA,G,2007,1130221568
CH,A,2007,32134953
CH,B,2007,100119552
CH,C,2007,48634306
CH,E,2007,826566452
CH,F,2007,440529991
CH,G,2007,234816776
DE,A,2007,1214838997
DE,B,2007,193927934
DE,C,2007,108622238
DE,E,2007,964902029
DE,F,2007,4225415809
DE,G,2007,2579621645
DK,B,2007,171616294
DK,C,2007,8180230
DK,D,2007,115692914
DK,E,2007,856586760
DK,F,2007,320028962
DK,G,2007,56459373
ES,A,2007,331244945
ES,B,2007,1035764419
ES,C,2007,101448021
ES,D,2007,1308264
ES,E,2007,770539828
ES,F,2007,486774819
ES,G,2007,685458839
EU,A,2007,195190286
EU,B,2007,2920120855
EU,C,2007,923562203
EU,D,2007,424245
EU,E,2007,5762227699
EU,F,2007,740123089
EU,G,2007,905488470
FI,A,2007,9515692
FI,B,2007,113798613
FI,C,2007,14851295
FI,D,2007,7338623
FI,E,2007,128959101
FI,F,2007,80177064
FI,G,2007,253365695
FR,A,2007,879731311
FR,B,2007,486696346
FR,C,2007,42250547
FR,D,2007,84675526
FR,E,2007,613981640
FR,F,2007,3866423990
FR,G,2007,1703436651
GB,A,2007,700217628
GB,B,2007,2030464381
GB,C,2007,177978944
GB,D,2007,92856436
GB,E,2007,1937371762
GB,F,2007,636897454
GB,G,2007,1015125501
GR,B,2007,26394025
GR,C,2007,7192763
GR,E,2007,48083394
GR,F,2007,77292245
GR,G,2007,93740759
IE,B,2007,253799587
IE,C,2007,18260671
IE,D,2007,171407
IE,E,2007,363521802
IE,F,2007,52697363
IE,G,2007,35074164
IT,A,2007,344084128
IT,B,2007,150426623
IT,C,2007,19641164
IT,D,2007,23396499
IT,E,2007,257714877
IT,F,2007,674528460
IT,G,2007,127693099
JP,A,2007,6932297661
JP,B,2007,1089206740
JP,C,2007,204386457
JP,D,2007,159204393
JP,E,2007,1264518063
JP,F,2007,3632985811
JP,G,2007,2536332165
KR,A,2007,155990345
KR,B,2007,38751744
KR,C,2007,537703
KR,E,2007,73444572
KR,F,2007,33535449
KR,G,2007,188132665
LU,B,2007,13600103
LU,C,2007,12355478
LU,D,2007,7730835
LU,E,2007,208697373
LU,F,2007,19470984
LU,G,2007,14562448
NL,B,2007,1502975490
NL,C,2007,30567997
NL,D,2007,712407951
NL,E,2007,1139074308
NL,F,2007,851412329
NL,G,2007,535973612
NO,A,2007,326411046
NO,B,2007,1471344155
NO,C,2007,17289859
NO,E,2007,741965626
NO,F,2007,438802063
NO,G,2007,559297008
NZ,B,2007,28724444
NZ,C,2007,6194368
NZ,D,2007,29583909
NZ,E,2007,193952482
NZ,F,2007,26318126
NZ,G,2007,4090389
PT,A,2007,23824520
PT,B,2007,12013618
PT,D,2007,3206403
PT,E,2007,62283229
PT,F,2007,51256658
PT,G,2007,121249485
SE,A,2007,69373106
SE,B,2007,520082845
SE,C,2007,17927987
SE,D,2007,22018222
SE,E,2007,1678114915
SE,F,2007,614460850
SE,G,2007,249782940
US,B,2007,5608182627
US,C,2007,2364367042
US,E,2007,9268244084
US,F,2007,2287258625
US,G,2007,1825955481
1,F,2008,180167359
2,A,2008,872123834
2,B,2008,896875767
2,E,2008,52327978
2,F,2008,22728796
2,G,2008,3033276
10,B,2008,421624601
10,C,2008,261595618
10,E,2008,57475505
10,F,2008,43494773
11,A,2008,677464
11,B,2008,301324
11,E,2008,425316865
12,B,2008,30340457
12,C,2008,32535187
12,E,2008,2113181139
12,G,2008,28366918
15,A,2008,5215943615
15,B,2008,3173694806
15,E,2008,60207314
15,F,2008,316791453
15,G,2008,682816173
21,B,2008,1025345099
21,F,2008,30439281
27,B,2008,81039882
27,E,2008,131440995
28,B,2008,14652433
28,C,2008,294680
28,E,2008,479595876
28,G,2008,9332619
29,B,2008,5129726
29,E,2008,4874048
29,G,2008,986607
31,B,2008,805226
31,E,2008,270703558
31,G,2008,6455204
33,B,2008,3497903
33,C,2008,20973203
33,E,2008,718682037
33,F,2008,245376497
33,G,2008,12385980
37,C,2008,318231870
37,E,2008,3467381
AT,A,2008,4123839
AT,B,2008,73499333
AT,C,2008,3878075
AT,D,2008,1539312
AT,E,2008,107540053
AT,F,2008,924877062
AT,G,2008,107687952
AU,A,2008,73113894
AU,B,2008,455740491
AU,C,2008,199736152
AU,D,2008,17172389
AU,E,2008,1040314160
AU,F,2008,493626116
AU,G,2008,1313170099
BE,A,2008,22152884
BE,B,2008,205914937
BE,C,2008,41761045
BE,D,2008,35091532
BE,E,2008,179160902
BE,F,2008,341680042
BE,G,2008,593411570
CA,B,2008,569552864
CA,C,2008,302495759
CA,D,2008,12730300
CA,E,2008,893136521
CA,F,2008,843091745
CA,G,2008,1089203254
CH,A,2008,30509520
CH,B,2008,121529554
CH,C,2008,58092062
CH,E,2008,812983762
CH,F,2008,599591623
CH,G,2008,210908382
DE,A,2008,1524212938
DE,B,2008,431427817
DE,C,2008,133063146
DE,E,2008,849271221
DE,F,2008,4311485226
DE,G,2008,3083980647
DK,A,2008,18522995
DK,B,2008,505531896
DK,C,2008,23046146
DK,D,2008,42362896
DK,E,2008,480291021
DK,F,2008,264960566
DK,G,2008,92500891
ES,A,2008,566598511
ES,B,2008,1608339674
ES,C,2008,176529011
ES,D,2008,1816277
ES,E,2008,588121716
ES,F,2008,923563549
ES,G,2008,964834961
EU,B,2008,3150168633
EU,C,2008,846760120
EU,D,2008,575076
EU,E,2008,5543547495
EU,F,2008,960193981
EU,G,2008,1468840563
FI,A,2008,13957913
FI,B,2008,149613495
FI,C,2008,21398044
FI,D,2008,7398559
FI,E,2008,96175389
FI,F,2008,122564958
FI,G,2008,256078441
FR,A,2008,1288570605
FR,B,2008,785331024
FR,C,2008,71825492
FR,D,2008,89667812
FR,E,2008,991758883
FR,F,2008,2728512822
FR,G,2008,1442969192
GB,A,2008,748659999
GB,B,2008,2442327246
GB,C,2008,197738353
GB,D,2008,127472996
GB,E,2008,1881637314
GB,F,2008,1026913564
GB,G,2008,1110585752
GR,B,2008,34751576
GR,C,2008,10047833
GR,D,2008,289266
GR,E,2008,18534847
GR,F,2008,115979764
GR,G,2008,109376187
IE,B,2008,534352805
IE,C,2008,24214051
IE,E,2008,147696655
IE,F,2008,62990893
IE,G,2008,26672574
IT,A,2008,145775211
IT,B,2008,253730263
IT,C,2008,57965496
IT,D,2008,1805601
IT,E,2008,406665934
IT,F,2008,916271219
IT,G,2008,159500503
JP,A,2008,8200154448
JP,B,2008,782030066
JP,C,2008,357551971
JP,D,2008,152943707
JP,E,2008,1471391263
JP,F,2008,2495373248
JP,G,2008,2477433941
KR,A,2008,227444948
KR,B,2008,5268940
KR,C,2008,2623225
KR,E,2008,117888810
KR,F,2008,49855760
KR,G,2008,223671239
LU,B,2008,3735165
LU,C,2008,17112791
LU,D,2008,8101100
LU,E,2008,223115652
LU,F,2008,24166939
LU,G,2008,11657482
NL,A,2008,6031847
NL,B,2008,1302959265
NL,C,2008,29152854
NL,D,2008,853893969
NL,E,2008,1756690602
NL,F,2008,715344872
NL,G,2008,394860689
NO,A,2008,148542723
NO,B,2008,1484702311
NO,C,2008,41604288
NO,E,2008,576005371
NO,F,2008,454739168
NO,G,2008,620748937
NZ,B,2008,82250555
NZ,C,2008,8000791
NZ,D,2008,28723101
NZ,E,2008,118122228
NZ,F,2008,46242458
NZ,G,2008,54640622
PT,A,2008,43030919
PT,B,2008,7936726
PT,C,2008,85980950
PT,D,2008,6389522
PT,E,2008,38280540
PT,F,2008,52239630
PT,G,2008,112852018
