country,year,from-oof-capital
AF,2006,650000
51,2006,5230000
AL,2006,45620000
52,2006,4110000
AO,2006,15500000
AI,2006,800000
AG,2006,1900000
AR,2006,3130860000
AM,2006,18090000
53,2006,19910000
AZ,2006,243940000
BD,2006,29370000
BB,2006,34140000
BY,2006,38680000
BZ,2006,14550000
BJ,2006,2070000
BT,2006,0
BO,2006,107460000
BA,2006,100410000
BW,2006,12160000
BR,2006,4693690000
BF,2006,280000
BI,2006,0
KH,2006,6600000
CM,2006,137410000
CV,2006,1160000
CF,2006,67640000
54,2006,0
TD,2006,12390000
CL,2006,313470000
CN,2006,2692330000
CO,2006,755040000
KM,2006,0
CD,2006,33800000
CG,2006,30930000
CK,2006,380000
CR,2006,124840000
CI,2006,16740000
HR,2006,245500000
CU,2006,3050000
CY,2006,0
55,2006,160330000
DJ,2006,0
DM,2006,2080000
DO,2006,206900000
EC,2006,280010000
EG,2006,339680000
SV,2006,189820000
GQ,2006,890000
ER,2006,0
ET,2006,22080000
56,2006,78280000
57,2006,30220000
FJ,2006,14250000
MK,2006,44030000
GA,2006,144380000
GM,2006,0
GE,2006,34210000
GH,2006,28310000
GD,2006,3010000
GT,2006,164000000
GN,2006,9380000
GW,2006,0
GY,2006,3650000
HT,2006,90000
HN,2006,49620000
IN,2006,1123890000
ID,2006,5063200000
IR,2006,619650000
JM,2006,219500000
JO,2006,134070000
KZ,2006,463240000
KE,2006,30680000
KI,2006,0
KR,2006,0
KP,2006,7700000
XK,2006,0
KG,2006,16780000
LA,2006,1290000
LB,2006,208040000
LS,2006,8780000
LR,2006,20000
MG,2006,5730000
MW,2006,2790000
MY,2006,1054850000
MV,2006,7250000
ML,2006,2890000
MT,2006,0
MH,2006,0
MR,2006,36050000
MU,2006,49570000
YT,2006,0
MX,2006,14068360000
NR,2006,240000
58,2006,6240000
MD,2006,46080000
MN,2006,830000
ME,2006,11020000
MS,2006,0
MA,2006,752940000
MZ,2006,38730000
MM,2006,80860000
NA,2006,6310000
NR,2006,0
NP,2006,9590000
NI,2006,15050000
NE,2006,23450000
NG,2006,4350680000
59,2006,97640000
60,2006,0
61,2006,0
OM,2006,17690000
PK,2006,565310000
PW,2006,2850000
PA,2006,284980000
PG,2006,91140000
PY,2006,96660000
PE,2006,1478900000
PH,2006,2175050000
RW,2006,0
WS,2006,0
ST,2006,0
SN,2006,18890000
RS,2006,376760000
SC,2006,29130000
SL,2006,1220000
SI,2006,0
SB,2006,0
SO,2006,0
62,2006,30000
ZA,2006,174050000
63,2006,126420000
64,2006,30110000
65,2006,34940000
SS,2006,0
LK,2006,55460000
SH,2006,0
KN,2006,5560000
LC,2006,6530000
VC,2006,1820000
66,2006,0
SD,2006,1460000
SR,2006,4840000
SZ,2006,11570000
SY,2006,35170000
TJ,2006,5040000
TZ,2006,13630000
TH,2006,1324810000
TL,2006,0
TG,2006,13110000
TO,2006,910000
TT,2006,133490000
TN,2006,981980000
TR,2006,1790800000
TM,2006,172080000
TC,2006,300000
TV,2006,0
UG,2006,10440000
UA,2006,714060000
UY,2006,848820000
UZ,2006,206950000
VU,2006,0
VE,2006,677100000
VN,2006,262030000
WF,2006,2030000
PS,2006,0
67,2006,1440000
YE,2006,2350000
ZM,2006,39150000
ZW,2006,15200000
AF,2007,8970000
51,2007,8940000
AL,2007,31760000
52,2007,12110000
AO,2007,15150000
AI,2007,830000
AG,2007,9820000
AR,2007,3135800000
AM,2007,27150000
53,2007,7580000
AZ,2007,763880000
BD,2007,50770000
BB,2007,35080000
BY,2007,62000000
BZ,2007,22290000
BJ,2007,1370000
BT,2007,1250000
BO,2007,86250000
BA,2007,125800000
BW,2007,21950000
BR,2007,3624470000
BF,2007,2770000
BI,2007,0
KH,2007,13790000
CM,2007,68450000
CV,2007,2820000
CF,2007,3970000
54,2007,0
TD,2007,7140000
CL,2007,395630000
CN,2007,3186450000
CO,2007,896010000
KM,2007,10530000
CD,2007,34750000
CG,2007,104150000
CK,2007,370000
CR,2007,156540000
CI,2007,90860000
HR,2007,276570000
CU,2007,4410000
CY,2007,0
55,2007,1754860000
DJ,2007,0
DM,2007,2240000
DO,2007,366470000
EC,2007,186930000
EG,2007,655890000
SV,2007,182700000
GQ,2007,0
ER,2007,0
ET,2007,20180000
56,2007,101060000
57,2007,0
FJ,2007,9750000
MK,2007,241240000
GA,2007,119320000
GM,2007,0
GE,2007,82270000
GH,2007,42900000
GD,2007,4150000
GT,2007,113630000
GN,2007,8480000
GW,2007,490000
GY,2007,3180000
HT,2007,32830000
HN,2007,25510000
IN,2007,917630000
ID,2007,4968760000
IR,2007,777690000
JM,2007,182040000
JO,2007,157860000
KZ,2007,315060000
KE,2007,106140000
KI,2007,0
KR,2007,0
KP,2007,1600000
XK,2007,0
KG,2007,19930000
LA,2007,2450000
LB,2007,200140000
LS,2007,8530000
LR,2007,236740000
MG,2007,6550000
MW,2007,2710000
MY,2007,1271020000
MV,2007,11620000
ML,2007,410000
MT,2007,0
MH,2007,460000
MR,2007,22950000
MU,2007,22100000
YT,2007,12200000
MX,2007,3347870000
NR,2007,120000
58,2007,26740000
MD,2007,43810000
MN,2007,690000
ME,2007,112830000
MS,2007,0
MA,2007,555900000
MZ,2007,2338340000
MM,2007,32300000
NA,2007,16910000
NR,2007,0
NP,2007,9630000
NI,2007,15780000
NE,2007,8940000
NG,2007,638850000
59,2007,31340000
60,2007,0
61,2007,0
OM,2007,459030000
PK,2007,558190000
PW,2007,0
PA,2007,233750000
PG,2007,142430000
PY,2007,130300000
PE,2007,1824890000
PH,2007,1411440000
RW,2007,1350000
WS,2007,530000
ST,2007,0
SN,2007,36980000
RS,2007,141320000
SC,2007,2580000
SL,2007,0
SI,2007,0
SB,2007,0
SO,2007,0
62,2007,0
ZA,2007,174600000
63,2007,79410000
64,2007,18180000
65,2007,26450000
SS,2007,0
LK,2007,61350000
SH,2007,0
KN,2007,7340000
LC,2007,9380000
VC,2007,2290000
66,2007,3050000
SD,2007,0
SR,2007,5100000
SZ,2007,16390000
SY,2007,38590000
TJ,2007,9800000
TZ,2007,11650000
TH,2007,1193930000
TL,2007,0
TG,2007,9080000
TO,2007,9560000
TT,2007,112440000
TN,2007,861350000
TR,2007,1772580000
TM,2007,111480000
TC,2007,19570000
TV,2007,0
UG,2007,5630000
UA,2007,719760000
UY,2007,247310000
UZ,2007,156610000
VU,2007,0
VE,2007,929120000
VN,2007,301270000
WF,2007,1750000
PS,2007,450000
67,2007,1190000
YE,2007,1120000
ZM,2007,50280000
ZW,2007,43250000
AF,2008,25420000
51,2008,8120000
AL,2008,32100000
52,2008,28590000
AO,2008,13810000
AI,2008,1300000
AG,2008,3520000
AR,2008,2418350000
AM,2008,27410000
53,2008,1790000
AZ,2008,811380000
BD,2008,66150000
BB,2008,44210000
BY,2008,47090000
BZ,2008,19770000
BJ,2008,1950000
BT,2008,1020000
BO,2008,82820000
BA,2008,165830000
BW,2008,7810000
BR,2008,3477670000
BF,2008,6050000
BI,2008,0
KH,2008,11980000
CM,2008,49130000
CV,2008,5040000
CF,2008,0
54,2008,0
TD,2008,31030000
CL,2008,591500000
CN,2008,2972110000
CO,2008,624680000
KM,2008,0
CD,2008,104930000
CG,2008,22000000
CK,2008,190000
CR,2008,326130000
CI,2008,671360000
HR,2008,297350000
CU,2008,8230000
CY,2008,0
55,2008,973660000
DJ,2008,710000
DM,2008,3220000
DO,2008,372470000
EC,2008,248770000
EG,2008,737370000
SV,2008,191570000
GQ,2008,0
ER,2008,460000
ET,2008,9570000
56,2008,76100000
57,2008,0
FJ,2008,6380000
MK,2008,53430000
GA,2008,210470000
GM,2008,0
GE,2008,58720000
GH,2008,40670000
GD,2008,4880000
GT,2008,145030000
GN,2008,6170000
GW,2008,400000
GY,2008,3960000
HT,2008,340000
HN,2008,52090000
IN,2008,1058030000
ID,2008,4437680000
IR,2008,777570000
JM,2008,167980000
JO,2008,596060000
KZ,2008,315360000
KE,2008,57100000
KI,2008,200000
KR,2008,0
KP,2008,0
XK,2008,0
KG,2008,21490000
LA,2008,2130000
LB,2008,279600000
LS,2008,4610000
LR,2008,40930000
MG,2008,7850000
MW,2008,16470000
MY,2008,439400000
MV,2008,17120000
ML,2008,410000
MT,2008,0
MH,2008,250000
MR,2008,15590000
MU,2008,23730000
YT,2008,10520000
MX,2008,2380060000
NR,2008,0
58,2008,3050000
MD,2008,47320000
MN,2008,2520000
ME,2008,23610000
MS,2008,0
MA,2008,520900000
MZ,2008,90740000
MM,2008,98520000
NA,2008,22510000
NR,2008,1110000
NP,2008,14520000
NI,2008,28790000
NE,2008,11770000
NG,2008,503910000
59,2008,43560000
60,2008,0
61,2008,0
OM,2008,186040000
PK,2008,572290000
PW,2008,0
PA,2008,158850000
PG,2008,55840000
PY,2008,112980000
PE,2008,700230000
PH,2008,1849170000
RW,2008,2370000
WS,2008,8930000
ST,2008,290000
SN,2008,38350000
RS,2008,162730000
SC,2008,850000
SL,2008,0
SI,2008,0
SB,2008,80000
SO,2008,0
62,2008,0
ZA,2008,445600000
63,2008,89720000
64,2008,0
65,2008,27400000
SS,2008,0
LK,2008,52030000
SH,2008,0
KN,2008,8010000
LC,2008,15120000
VC,2008,2650000
66,2008,430000
SD,2008,2930000
SR,2008,5520000
SZ,2008,24240000
SY,2008,46710000
TJ,2008,10750000
TZ,2008,19860000
TH,2008,605110000
TL,2008,0
TG,2008,141830000
TO,2008,180000
TT,2008,107240000
TN,2008,563310000
TR,2008,1565160000
TM,2008,95810000
TC,2008,0
TV,2008,0
UG,2008,24310000
UA,2008,837790000
UY,2008,244660000
UZ,2008,236900000
VU,2008,550000
VE,2008,441710000
VN,2008,365300000
WF,2008,5580000
PS,2008,1670000
67,2008,890000
YE,2008,1090000
ZM,2008,67790000
ZW,2008,7460000
AF,2009,29790000
51,2009,24190000
AL,2009,48870000
52,2009,30450000
AO,2009,14330000
AI,2009,1300000
AG,2009,2330000
AR,2009,2035160000
AM,2009,35370000
53,2009,30000
AZ,2009,253690000
BD,2009,105450000
BB,2009,65800000
BY,2009,29970000
BZ,2009,16420000
BJ,2009,1630000
BT,2009,170000
BO,2009,104470000
BA,2009,178360000
BW,2009,12920000
BR,2009,5001200000
BF,2009,11790000
BI,2009,0
KH,2009,46860000
CM,2009,65300000
CV,2009,5170000
CF,2009,30000
54,2009,0
TD,2009,6820000
CL,2009,1002680000
CN,2009,4239200000
CO,2009,706440000
KM,2009,1000000
CD,2009,55600000
CG,2009,13880000
CK,2009,550000
CR,2009,90190000
CI,2009,608710000
HR,2009,325520000
CU,2009,1090000
CY,2009,0
55,2009,207040000
DJ,2009,350000
DM,2009,2570000
DO,2009,246800000
EC,2009,234620000
EG,2009,651710000
SV,2009,358160000
GQ,2009,8070000
ER,2009,450000
ET,2009,16850000
56,2009,261280000
57,2009,0
FJ,2009,6670000
MK,2009,89550000
GA,2009,122060000
GM,2009,4990000
GE,2009,128800000
GH,2009,41970000
GD,2009,4850000
GT,2009,153840000
GN,2009,7370000
GW,2009,0
GY,2009,1600000
HT,2009,3970000
HN,2009,31480000
IN,2009,1371590000
ID,2009,4123720000
IR,2009,668260000
JM,2009,220060000
JO,2009,145710000
KZ,2009,508160000
KE,2009,52360000
KI,2009,200000
KR,2009,0
KP,2009,10000
XK,2009,217880000
KG,2009,22550000
LA,2009,4240000
LB,2009,236260000
LS,2009,4030000
LR,2009,32720000
MG,2009,40610000
MW,2009,6550000
MY,2009,331490000
MV,2009,32820000
ML,2009,280000
MT,2009,0
MH,2009,440000
MR,2009,30850000
MU,2009,23350000
YT,2009,9050000
MX,2009,2416000000
NR,2009,0
58,2009,4100000
MD,2009,48810000
MN,2009,25320000
ME,2009,20110000
