country,year,from_trademispricing
AE,2001,0
AE,2002,0
AE,2003,0
AE,2004,0
AE,2005,0
AE,2006,0
AE,2007,0
AE,2008,0
AE,2009,1426990000
AE,2010,0
AE,2011,0
AF,2001,
AF,2002,2878710000
AF,2003,1809710000
AF,2004,1196800000
AF,2005,881510000
AF,2006,251990000
AF,2007,0
AF,2008,0
AF,2009,0
AF,2010,0
AF,2011,0
AG,2001,
AG,2002,
AG,2003,
AG,2004,
AG,2005,
AG,2006,
AG,2007,
AG,2008,
AG,2009,
AG,2010,
AG,2011,0
AL,2001,26040000
AL,2002,2550000
AL,2003,22950000
AL,2004,15310000
AL,2005,95670000
AL,2006,113770000
AL,2007,256710000
AL,2008,135930000
AL,2009,50600000
AL,2010,42320000
AL,2011,264050000
AM,2001,572410000
AM,2002,174780000
AM,2003,447240000
AM,2004,384370000
AM,2005,526960000
AM,2006,481520000
AM,2007,826180000
AM,2008,974630000
AM,2009,834930000
AM,2010,1000740000
AM,2011,1064840000
AO,2001,
AO,2002,
AO,2003,
AO,2004,
AO,2005,
AO,2006,
AO,2007,
AO,2008,
AO,2009,
AO,2010,2164770000
AO,2011,0
AR,2001,884450000
AR,2002,1427190000
AR,2003,0
AR,2004,1780420000
AR,2005,1020350000
AR,2006,0
AR,2007,1269350000
AR,2008,5211050000
AR,2009,0
AR,2010,0
AR,2011,0
AW,2001,
AW,2002,
AW,2003,
AW,2004,
AW,2005,
AW,2006,
AW,2007,
AW,2008,
AW,2009,
AW,2010,
AW,2011,
AZ,2001,
AZ,2002,
AZ,2003,
AZ,2004,
AZ,2005,
AZ,2006,
AZ,2007,
AZ,2008,
AZ,2009,
AZ,2010,
AZ,2011,
BA,2001,962250000
BA,2002,0
BA,2003,0
BA,2004,0
BA,2005,0
BA,2006,0
BA,2007,0
BA,2008,0
BA,2009,0
BA,2010,0
BA,2011,0
BB,2001,28420000
BB,2002,357750000
BB,2003,386280000
BB,2004,636430000
BB,2005,555390000
BB,2006,68210000
BB,2007,52300000
BB,2008,0
BB,2009,0
BB,2010,24400000
BB,2011,0
BD,2001,1034090000
BD,2002,389800000
BD,2003,1086810000
BD,2004,1043640000
BD,2005,540720000
BD,2006,2662010000
BD,2007,2067820000
BD,2008,1036700000
BD,2009,401050000
BD,2010,2189870000
BD,2011,1662320000
BF,2001,338530000
BF,2002,232410000
BF,2003,158590000
