country,channel,bundle,year,in-oda-gross-channel-bundle
51,A,B,2006,9545590
51,A,C,2006,-9956
51,A,E,2006,12029137
51,A,F,2006,43265
51,A,G,2006,27221239
51,D,B,2006,16871275
51,D,C,2006,1467659
51,D,E,2006,34679111
51,D,F,2006,-56
51,D,G,2006,17307815
51,E,B,2006,7855911
51,E,D,2006,2262751
51,E,E,2006,8170109
51,E,G,2006,6333467
51,F,B,2006,140734
51,F,E,2006,3881777
51,F,G,2006,2760648
51,G,E,2006,7128
51,H,B,2006,24828650
51,H,C,2006,4363348
51,H,E,2006,65067495
51,H,F,2006,4062722
51,H,G,2006,19220327
51,I,A,2006,13800252
51,I,B,2006,1172828
51,I,E,2006,11582222
51,I,F,2006,367710
51,I,G,2006,6458614
51,J,A,2006,8660658
51,J,B,2006,29200999
51,J,C,2006,47125517
51,J,D,2006,1833377
51,J,E,2006,57563582
51,J,F,2006,175586104
51,J,G,2006,125833552
52,A,B,2006,82065
52,A,E,2006,58974566
52,A,F,2006,5887474
52,A,G,2006,52651014
52,D,B,2006,8640746
52,D,E,2006,9972288
52,D,G,2006,25518524
52,E,B,2006,9662219
52,E,D,2006,37221
52,E,E,2006,794193
52,F,E,2006,142116
52,F,G,2006,786148
52,H,B,2006,12183350
52,H,E,2006,12718046
52,H,G,2006,8473820
52,I,A,2006,27314887
52,I,C,2006,12181
52,I,E,2006,8314063
52,I,F,2006,160560
52,I,G,2006,22377288
52,J,B,2006,4448928
52,J,E,2006,20830200
52,J,F,2006,43817189
52,J,G,2006,35601695
53,A,B,2006,3089160
53,A,C,2006,1149079
53,A,E,2006,35527888
53,A,F,2006,55929249
53,A,G,2006,126283097
53,D,B,2006,5301142
53,D,C,2006,2317534
53,D,E,2006,28731659
53,D,F,2006,32865
53,D,G,2006,41861122
53,E,B,2006,757303
53,E,D,2006,522184
53,E,E,2006,1169026
53,E,G,2006,2663685
53,F,B,2006,876443
53,F,E,2006,1304236
53,F,G,2006,753979
53,G,B,2006,14257
53,H,B,2006,14930984
53,H,E,2006,45399682
53,H,F,2006,649
53,H,G,2006,10088041
53,I,A,2006,54266768
53,I,B,2006,60151
53,I,E,2006,7584029
53,I,F,2006,328951
53,I,G,2006,6983938
53,J,B,2006,10028759
53,J,E,2006,11120182
53,J,F,2006,135741113
53,J,G,2006,56063915
54,A,B,2006,1720099
54,A,E,2006,31939620
54,A,F,2006,9010937
54,A,G,2006,22194480
54,D,E,2006,422956
54,D,F,2006,-18193
54,D,G,2006,3564647
54,E,B,2006,20737
