country,channel,year,out-oda-gross-channel
EU,I,2007,1274425604
FI,A,2007,110333921
FI,D,2007,4203936
FI,E,2007,134201232
FI,F,2007,2461770
FI,G,2007,1825487
FI,H,2007,148985991
FI,I,2007,205993745
FR,A,2007,2880272681
FR,D,2007,1912950
FR,E,2007,54751394
FR,F,2007,26165826
FR,H,2007,6616154
FR,J,2007,4707477006
GB,A,2007,3465766856
GB,E,2007,673908221
GB,F,2007,188876254
GB,G,2007,47124698
GB,H,2007,1764777253
GB,J,2007,450458825
GR,A,2007,227446037
GR,G,2007,125632
GR,H,2007,24861757
GR,I,2007,269760
IE,A,2007,237712466
IE,D,2007,153679250
IE,E,2007,100241042
IE,F,2007,5685689
IE,G,2007,21942891
IE,H,2007,200539535
IE,I,2007,3707426
IE,J,2007,16696
IT,A,2007,342697611
IT,D,2007,131590055
IT,G,2007,122947
IT,H,2007,95939474
IT,J,2007,1027134764
JP,A,2007,2159797647
JP,E,2007,11079309
JP,H,2007,522316592
JP,I,2007,12191546
JP,J,2007,13113546197
KR,A,2007,467518517
KR,E,2007,7139408
KR,G,2007,210908
KR,H,2007,15059825
KR,I,2007,463820
LU,J,2007,276417223
NL,A,2007,1867460390
NL,D,2007,5128926
NL,E,2007,1315657908
NL,F,2007,157104185
NL,G,2007,73814225
NL,H,2007,1061071577
NL,I,2007,292174477
NO,A,2007,1261584074
NO,D,2007,838170809
NO,E,2007,125958680
NO,G,2007,47987410
NO,H,2007,1097978131
NO,I,2007,183430655
NZ,D,2007,219008
NZ,J,2007,288644712
PT,A,2007,237821011
PT,E,2007,6051022
PT,F,2007,1987
PT,J,2007,29959894
SE,A,2007,1021399354
SE,D,2007,463722547
SE,E,2007,322248436
SE,F,2007,277659
SE,G,2007,10643188
SE,H,2007,695033063
SE,I,2007,472510555
SE,J,2007,185926064
US,A,2007,7974082495
US,D,2007,255705131
US,E,2007,3268746474
US,G,2007,60892597
US,H,2007,2890879936
US,J,2007,6903701227
1,J,2008,180167359
2,J,2008,1847089653
10,A,2008,197951638
10,H,2008,527886484
10,I,2008,35932711
10,J,2008,22419664
11,H,2008,426295655
12,A,2008,1526910994
12,D,2008,337065479
12,E,2008,32928579
12,H,2008,250453093
12,I,2008,57065556
15,H,2008,316096433
15,J,2008,9133356928
21,A,2008,1055784381
27,H,2008,68480754
27,I,2008,144000123
28,J,2008,503875609
29,J,2008,10990382
31,A,2008,80008008
31,D,2008,22660943
31,H,2008,175221921
31,J,2008,73115
33,J,2008,1000915622
37,J,2008,321699251
AT,A,2008,956886838
AT,D,2008,2096352
AT,E,2008,60070374
AT,F,2008,4519549
