country,year,oof-bundle,out-oof-bundle
14,2006,B,0
16,2006,B,0
18,2006,B,0
19,2006,B,0
22,2006,B,0
24,2006,B,0
TR,2006,B,8440000
AU,2007,B,0
AT,2007,B,87980000
BE,2007,B,0
CA,2007,B,1944540000
DK,2007,B,0
FI,2007,B,100380000
FR,2007,B,0
DE,2007,B,296720000
GR,2007,B,0
IT,2007,B,0
JP,2007,B,762350000
KR,2007,B,924230000
LU,2007,B,0
NL,2007,B,0
NZ,2007,B,0
NO,2007,B,6250000
PT,2007,B,0
ES,2007,B,0
SE,2007,B,0
CH,2007,B,0
GB,2007,B,2290000
US,2007,B,0
1,2007,B,0
5,2007,B,0
8,2007,B,0
9,2007,B,0
EU,2007,B,0
14,2007,B,0
16,2007,B,0
18,2007,B,0
19,2007,B,0
22,2007,B,0
24,2007,B,0
TR,2007,B,7280000
AU,2008,B,0
AT,2008,B,214710000
BE,2008,B,0
CA,2008,B,3448810000
DK,2008,B,0
FI,2008,B,0
FR,2008,B,0
DE,2008,B,521920000
GR,2008,B,0
IT,2008,B,36460000
JP,2008,B,614380000
KR,2008,B,1115190000
LU,2008,B,0
NL,2008,B,0
NZ,2008,B,0
NO,2008,B,0
PT,2008,B,0
ES,2008,B,0
SE,2008,B,0
CH,2008,B,0
GB,2008,B,230000
US,2008,B,16450000
1,2008,B,0
5,2008,B,0
8,2008,B,0
9,2008,B,0
EU,2008,B,0
14,2008,B,0
16,2008,B,0
18,2008,B,0
19,2008,B,0
22,2008,B,0
24,2008,B,0
TR,2008,B,32710000
AU,2009,B,0
AT,2009,B,177110000
BE,2009,B,0
CA,2009,B,1827470000
DK,2009,B,0
FI,2009,B,77970000
FR,2009,B,0
DE,2009,B,135400000
GR,2009,B,0
IT,2009,B,0
JP,2009,B,341980000
KR,2009,B,965110000
LU,2009,B,0
NL,2009,B,0
NZ,2009,B,0
NO,2009,B,0
PT,2009,B,0
ES,2009,B,0
SE,2009,B,0
CH,2009,B,0
GB,2009,B,0
US,2009,B,1641400000
1,2009,B,0
5,2009,B,0
8,2009,B,0
9,2009,B,0
EU,2009,B,0
14,2009,B,0
16,2009,B,0
18,2009,B,0
19,2009,B,0
22,2009,B,0
24,2009,B,0
TR,2009,B,29240000
AU,2010,B,0
AT,2010,B,152520000
BE,2010,B,0
CA,2010,B,3586070000
DK,2010,B,0
FI,2010,B,0
FR,2010,B,0
DE,2010,B,2610000
GR,2010,B,0
IT,2010,B,0
JP,2010,B,594740000
KR,2010,B,4614790000
LU,2010,B,0
NL,2010,B,0
NZ,2010,B,0
NO,2010,B,0
PT,2010,B,0
ES,2010,B,0
SE,2010,B,0
CH,2010,B,0
GB,2010,B,0
US,2010,B,669020000
1,2010,B,0
5,2010,B,0
8,2010,B,0
9,2010,B,0
EU,2010,B,0
14,2010,B,0
16,2010,B,0
18,2010,B,0
19,2010,B,0
22,2010,B,0
24,2010,B,0
TR,2010,B,6530000
AU,2011,B,0
AT,2011,B,227120000
BE,2011,B,0
CA,2011,B,10580610000
DK,2011,B,1710000
FI,2011,B,1050020000
FR,2011,B,0
DE,2011,B,135030000
GR,2011,B,0
IT,2011,B,0
JP,2011,B,647050000
KR,2011,B,363410000
LU,2011,B,0
NL,2011,B,0
NZ,2011,B,0
NO,2011,B,0
PT,2011,B,0
ES,2011,B,0
SE,2011,B,0
CH,2011,B,0
GB,2011,B,0
US,2011,B,2263200000
1,2011,B,0
5,2011,B,0
8,2011,B,0
9,2011,B,0
EU,2011,B,0
14,2011,B,0
16,2011,B,0
18,2011,B,0
19,2011,B,0
22,2011,B,0
24,2011,B,0
TR,2011,B,37150000
AU,2012,B,0
AT,2012,B,147710000
BE,2012,B,0
CA,2012,B,3996690000
DK,2012,B,120000
FI,2012,B,0
FR,2012,B,0
DE,2012,B,16020000
GR,2012,B,0
IT,2012,B,0
JP,2012,B,589450000
KR,2012,B,548550000
LU,2012,B,0
NL,2012,B,0
NZ,2012,B,0
NO,2012,B,0
PT,2012,B,0
ES,2012,B,0
SE,2012,B,0
CH,2012,B,0
GB,2012,B,0
US,2012,B,3162010000
1,2012,B,0
5,2012,B,0
8,2012,B,0
9,2012,B,0
EU,2012,B,0
14,2012,B,0
16,2012,B,0
18,2012,B,0
19,2012,B,0
22,2012,B,0
24,2012,B,0
TR,2012,B,70090000
AU,2006,C,0
AT,2006,C,82930000
BE,2006,C,33430000
CA,2006,C,15280000
DK,2006,C,55470000
FI,2006,C,0
FR,2006,C,350870000
DE,2006,C,25950000
GR,2006,C,0
IT,2006,C,127470000
JP,2006,C,15680100000
KR,2006,C,1277850000
LU,2006,C,0
NL,2006,C,378200000
NZ,2006,C,0
NO,2006,C,0
PT,2006,C,0
ES,2006,C,0
SE,2006,C,98110000
CH,2006,C,24370000
GB,2006,C,8880000
US,2006,C,168740000
1,2006,C,955580000
5,2006,C,5119390000
8,2006,C,97180000
9,2006,C,1562570000
EU,2006,C,3660720000
14,2006,C,13357610000
16,2006,C,7042280000
18,2006,C,45330000
19,2006,C,4364090000
22,2006,C,0
24,2006,C,0
TR,2006,C,0
AU,2007,C,0
AT,2007,C,13610000
BE,2007,C,29420000
CA,2007,C,240000
DK,2007,C,30830000
FI,2007,C,0
FR,2007,C,226300000
DE,2007,C,1133650000
GR,2007,C,0
IT,2007,C,45390000
JP,2007,C,11265870000
KR,2007,C,1423570000
LU,2007,C,0
NL,2007,C,0
NZ,2007,C,0
NO,2007,C,0
PT,2007,C,2053450000
ES,2007,C,6060000
SE,2007,C,41890000
CH,2007,C,0
GB,2007,C,14650000
US,2007,C,146910000
1,2007,C,1495250000
5,2007,C,5597310000
8,2007,C,109420000
9,2007,C,2381610000
EU,2007,C,5986670000
14,2007,C,10684010000
16,2007,C,7181710000
18,2007,C,42880000
19,2007,C,4622270000
22,2007,C,0
24,2007,C,0
TR,2007,C,0
AU,2008,C,0
AT,2008,C,54750000
BE,2008,C,46460000
CA,2008,C,0
DK,2008,C,48340000
FI,2008,C,36790000
FR,2008,C,896490000
DE,2008,C,2032670000
GR,2008,C,0
IT,2008,C,925720000
JP,2008,C,6186320000
KR,2008,C,2737760000
LU,2008,C,0
