country,year,out_PDA
AT,2011,181880000
AU,2011,1110920000
BE,2011,452010000
CA,2011,1449170000
CH,2011,643940000
DE,2011,1597690000
DK,2011,155220000
ES,2011,478600000
FI,2011,78130000
FR,2011,972390000
GB,2011,4850920000
GR,2011,180000
IE,2011,202340000
IT,2011,583330000
JP,2011,639760000
KR,2011,174510000
LU,2011,32210000
NL,2011,840730000
NO,2011,287470000
NZ,2011,96600000
PT,2011,8910000
SE,2011,241380000
US,2011,30359550000
