country,year,out-oda-gross
AU,1990,2262390000
AT,1990,705250000
BE,1990,1487740000
CA,1990,5686060000
CZ,1990,0
DK,1990,2024370000
FI,1990,1017770000
FR,1990,11587610000
DE,1990,12058670000
GR,1990,0
IS,1990,2420000
IE,1990,93490000
IT,1990,5156500000
JP,1990,16419770000
KR,1990,85440000
LU,1990,51640000
NL,1990,4594070000
NZ,1990,199490000
NO,1990,2958760000
PL,1990,3960000
PT,1990,283160000
SK,1990,0
SI,1990,0
ES,1990,1556540000
SE,1990,2674280000
CH,1990,1429460000
GB,1990,4193970000
US,1990,19470480000
BG,1990,0
TW,1990,38850000
CY,1990,0
EE,1990,0
HU,1990,0
IL,1990,0
KW,1990,2240270000
LV,1990,0
LI,1990,0
LT,1990,0
MT,1990,0
RO,1990,0
RU,1990,0
SA,1990,5981090000
TH,1990,0
TR,1990,5010000
AE,1990,3994030000
AU,1991,2443310000
AT,1991,847940000
BE,1991,1388050000
CA,1991,4646540000
CZ,1991,0
DK,1991,2063450000
FI,1991,1171510000
FR,1991,11965580000
DE,1991,11774660000
GR,1991,0
IS,1991,9600000
IE,1991,119370000
IT,1991,4855030000
JP,1991,17604750000
KR,1991,75450000
LU,1991,84940000
NL,1991,4581210000
NZ,1991,215780000
NO,1991,2924170000
PL,1991,1530000
PT,1991,376170000
SK,1991,0
SI,1991,0
ES,1991,1952980000
SE,1991,2661210000
CH,1991,1615400000
GB,1991,4780710000
US,1991,29963930000
BG,1991,0
TW,1991,191190000
CY,1991,0
EE,1991,0
HU,1991,18690000
IL,1991,0
KW,1991,822100000
LV,1991,0
LI,1991,0
LT,1991,0
MT,1991,0
RO,1991,0
RU,1991,0
SA,1991,3082890000
TH,1991,0
TR,1991,201070000
AE,1991,2432450000
AU,1992,2488260000
AT,1992,853240000
BE,1992,1335630000
CA,1992,4681920000
CZ,1992,0
DK,1992,2247170000
FI,1992,958870000
FR,1992,12562580000
DE,1992,11385830000
GR,1992,0
IS,1992,5570000
IE,1992,106680000
IT,1992,5843360000
JP,1992,17307130000
KR,1992,99440000
LU,1992,69650000
NL,1992,4505510000
NZ,1992,221200000
NO,1992,3049210000
PL,1992,0
PT,1992,449750000
SK,1992,0
SI,1992,0
ES,1992,2174530000
SE,1992,2948860000
CH,1992,2045950000
GB,1992,4830260000
US,1992,19398440000
BG,1992,0
TW,1992,153990000
CY,1992,0
EE,1992,0
HU,1992,560000
IL,1992,0
KW,1992,532240000
LV,1992,0
LI,1992,0
LT,1992,0
MT,1992,0
RO,1992,0
RU,1992,0
SA,1992,1550680000
TH,1992,0
TR,1992,148290000
AE,1992,945380000
AU,1993,2492450000
AT,1993,780100000
BE,1993,1272320000
CA,1993,5049060000
CZ,1993,59470000
DK,1993,2285220000
FI,1993,647530000
FR,1993,12611420000
DE,1993,10718940000
GR,1993,0
IS,1993,8740000
IE,1993,135940000
IT,1993,5844720000
JP,1993,17615820000
KR,1993,139610000
LU,1993,93160000
NL,1993,4346090000
NZ,1993,216310000
NO,1993,2711510000
PL,1993,0
PT,1993,410050000
SK,1993,0
SI,1993,0
ES,1993,2239360000
SE,1993,2773600000
CH,1993,1465260000
GB,1993,4837600000
US,1993,17964590000
BG,1993,0
TW,1993,90380000
CY,1993,0
EE,1993,0
HU,1993,0
IL,1993,0
KW,1993,813120000
LV,1993,0
LI,1993,0
LT,1993,0
MT,1993,0
RO,1993,0
RU,1993,0
SA,1993,1127320000
TH,1993,0
TR,1993,100960000
AE,1993,951630000
AU,1994,2619200000
AT,1994,797550000
BE,1994,1103740000
CA,1994,4606370000
CZ,1994,66770000
DK,1994,2470060000
FI,1994,457040000
FR,1994,13566190000
DE,1994,9977320000
GR,1994,0
IS,1994,7890000
IE,1994,175820000
IT,1994,4720480000
JP,1994,16586230000
KR,1994,163330000
LU,1994,104460000
NL,1994,4219880000
NZ,1994,218370000
NO,1994,3029180000
PL,1994,0
PT,1994,503470000
SK,1994,0
SI,1994,0
ES,1994,2312630000
SE,1994,2754530000
CH,1994,1657860000
GB,1994,5128020000
US,1994,15973890000
BG,1994,0
TW,1994,113100000
CY,1994,0
EE,1994,0
HU,1994,0
IL,1994,0
KW,1994,1223290000
LV,1994,0
LI,1994,0
LT,1994,0
MT,1994,0
RO,1994,0
RU,1994,0
SA,1994,868040000
TH,1994,0
TR,1994,122260000
AE,1994,564780000
AU,1995,2758840000
AT,1995,736320000
BE,1995,1359710000
CA,1995,4209530000
CZ,1995,0
DK,1995,2588420000
FI,1995,518180000
FR,1995,11992700000
DE,1995,9614160000
GR,1995,0
IS,1995,0
IE,1995,224060000
IT,1995,3118090000
JP,1995,17139040000
KR,1995,127570000
LU,1995,99080000
NL,1995,4672320000
NZ,1995,216490000
NO,1995,2894070000
PL,1995,0
PT,1995,377780000
SK,1995,0
SI,1995,0
ES,1995,2148770000
SE,1995,2301420000
CH,1995,1569680000
GB,1995,4880970000
US,1995,11606380000
BG,1995,0
TW,1995,121380000
CY,1995,0
EE,1995,0
HU,1995,0
IL,1995,0
KW,1995,739910000
LV,1995,0
LI,1995,0
LT,1995,0
MT,1995,0
RO,1995,0
RU,1995,0
SA,1995,795420000
TH,1995,0
TR,1995,185830000
AE,1995,362970000
AU,1996,2299740000
AT,1996,656880000
BE,1996,1261960000
CA,1996,3549970000
CZ,1996,0
DK,1996,2600970000
FI,1996,547570000
FR,1996,11060370000
DE,1996,10312590000
GR,1996,266300000
IS,1996,0
IE,1996,261180000
IT,1996,3670530000
JP,1996,14704910000
KR,1996,166030000
LU,1996,126880000
NL,1996,4779020000
NZ,1996,199310000
NO,1996,2981320000
PL,1996,0
PT,1996,317680000
SK,1996,0
SI,1996,0
ES,1996,1986530000
