country,year,govtspend_USD
AF,1990,
AF,1991,
AF,1992,
AF,1993,
AF,1994,
AF,1995,
AF,1996,
AF,1997,
AF,1998,
AF,1999,
AF,2000,
AF,2001,
AF,2002,578.92
AF,2003,1021.17
AF,2004,1311.89
AF,2005,1561.70
AF,2006,1931.72
AF,2007,2445.38
AF,2008,2630.77
AF,2009,3222.94
AF,2010,3441.19
AF,2011,3882.68
AF,2012,5055.96
AL,1990,
AL,1991,
AL,1992,
AL,1993,
AL,1994,
AL,1995,
AL,1996,
AL,1997,1613.99
AL,1998,2002.44
AL,1999,2230.68
AL,2000,2236.21
AL,2001,2359.68
AL,2002,2376.15
AL,2003,2326.01
AL,2004,2522.91
AL,2005,2564.93
AL,2006,2799.66
AL,2007,2977.07
AL,2008,3481.86
AL,2009,3794.48
AL,2010,3567.92
AL,2011,3550.97
AL,2012,3459.18
DZ,1990,28360.13
DZ,1991,30290.95
DZ,1992,31807.55
DZ,1993,35576.69
DZ,1994,33358.38
DZ,1995,32775.71
DZ,1996,32647.88
DZ,1997,35589.50
DZ,1998,38065.78
DZ,1999,40431.72
DZ,2000,37655.72
DZ,2001,42423.52
DZ,2002,49148.57
DZ,2003,49486.23
DZ,2004,49310.88
DZ,2005,46060.39
DZ,2006,49828.88
DZ,2007,59408.22
DZ,2008,69300.72
DZ,2009,78596.71
DZ,2010,71207.24
DZ,2011,79725.33
DZ,2012,91012.79
AO,1990,
AO,1991,
AO,1992,
AO,1993,
AO,1994,
AO,1995,
AO,1996,
AO,1997,
AO,1998,
AO,1999,
AO,2000,17930.65
AO,2001,15630.79
AO,2002,16302.29
AO,2003,19044.66
AO,2004,17523.00
AO,2005,20542.64
AO,2006,27389.67
AO,2007,36024.39
AO,2008,55188.10
AO,2009,42767.70
AO,2010,42234.45
AO,2011,44032.07
AO,2012,47028.59
AG,1990,
AG,1991,
AG,1992,
AG,1993,
AG,1994,
AG,1995,
AG,1996,
AG,1997,163.49
AG,1998,257.08
AG,1999,219.42
AG,2000,338.63
AG,2001,315.80
AG,2002,394.22
AG,2003,417.38
AG,2004,363.63
AG,2005,414.78
AG,2006,415.22
AG,2007,382.98
AG,2008,393.82
AG,2009,479.40
AG,2010,257.75
AG,2011,279.75
AG,2012,252.91
AR,1990,
AR,1991,
AR,1992,
AR,1993,
AR,1994,
AR,1995,63033.35
AR,1996,66071.90
AR,1997,71104.41
AR,1998,75610.79
AR,1999,80395.77
AR,2000,79046.81
AR,2001,79475.54
AR,2002,92876.47
AR,2003,79073.40
AR,2004,90309.05
AR,2005,95846.10
AR,2006,103608.21
AR,2007,122610.90
AR,2008,133298.93
AR,2009,148719.64
AR,2010,165009.75
AR,2011,190527.43
AR,2012,210461.45
AM,1990,
AM,1991,
AM,1992,
AM,1993,
AM,1994,
AM,1995,
AM,1996,
AM,1997,
AM,1998,
AM,1999,
AM,2000,
AM,2001,
AM,2002,
AM,2003,
AM,2004,
AM,2005,1438.62
AM,2006,1644.05
AM,2007,2106.00
AM,2008,2240.65
AM,2009,2474.29
AM,2010,2264.90
AM,2011,2204.88
AM,2012,2331.22
AU,1990,233886.16
AU,1991,250127.71
AU,1992,264724.23
AU,1993,275558.22
AU,1994,285587.68
AU,1995,293023.74
AU,1996,304406.57
AU,1997,310060.72
AU,1998,344672.90
AU,1999,374978.86
AU,2000,376011.67
AU,2001,397687.12
AU,2002,405887.46
AU,2003,417433.02
AU,2004,432802.84
AU,2005,443382.34
AU,2006,455313.26
AU,2007,472122.29
AU,2008,494187.43
