country,channel,bundle,year,out-oda-gross-channel-bundle
1,J,F,2006,211630326
2,A,A,2006,652878033
2,A,B,2006,212650928
2,A,E,2006,59546243
2,A,F,2006,76578480
2,A,G,2006,8871668
2,J,F,2006,5917108062
11,H,E,2006,220172917
12,A,B,2006,20015281
12,A,C,2006,5126971
12,A,E,2006,950973443
12,A,G,2006,3749981
12,D,B,2006,3615630
12,D,C,2006,983076
12,D,E,2006,135828020
12,D,G,2006,18966976
12,E,E,2006,48141648
12,H,B,2006,2141375
12,H,E,2006,200578108
12,I,E,2006,59634176
15,H,F,2006,37387269633
15,J,A,2006,6291890930
15,J,B,2006,2470423997
15,J,E,2006,34404511
15,J,G,2006,514898943
21,A,B,2006,861685692
21,A,F,2006,4602586896
27,J,B,2006,17132441
27,J,E,2006,192077921
28,J,B,2006,3883827
28,J,C,2006,1245042
28,J,E,2006,512762509
28,J,G,2006,1551284
31,A,B,2006,9472153
31,A,E,2006,67418378
31,A,G,2006,4733198
31,D,B,2006,6414
31,D,E,2006,16713655
31,D,G,2006,307211
31,H,B,2006,6114904
31,H,E,2006,134312518
31,H,G,2006,6796123
31,J,E,2006,-10004
33,J,B,2006,2239752
33,J,C,2006,3747375
33,J,E,2006,596382524
33,J,F,2006,239664789
33,J,G,2006,10828442
AT,A,B,2006,10957007
AT,A,E,2006,25885931
AT,A,F,2006,931431395
AT,A,G,2006,27568733
AT,D,G,2006,271080
AT,E,B,2006,272864
AT,E,C,2006,156991
AT,E,D,2006,1138413
AT,E,E,2006,12763960
AT,E,F,2006,8930509
AT,E,G,2006,48213103
AT,F,B,2006,565167
AT,F,E,2006,1313729
AT,F,G,2006,2402191
AT,H,B,2006,12686734
AT,H,C,2006,2126501
AT,H,D,2006,742139
AT,H,E,2006,17141456
AT,H,F,2006,64223
AT,H,G,2006,5006331
AT,I,B,2006,1886461
AT,I,E,2006,9603672
AT,I,F,2006,1462043
AT,I,G,2006,21620483
AT,J,D,2006,43243
AT,J,E,2006,7710146
AT,J,F,2006,102257426
AU,A,A,2006,37592980
AU,A,B,2006,24313665
AU,A,C,2006,1294702
AU,A,E,2006,82802042
AU,A,F,2006,569018443
AU,A,G,2006,394998961
AU,D,B,2006,20765293
AU,D,C,2006,-253063
AU,D,D,2006,564790
AU,D,E,2006,23739306
AU,D,F,2006,290086
AU,D,G,2006,71395644
AU,E,B,2006,16603566
AU,E,C,2006,2506212
AU,E,E,2006,5520510
AU,E,G,2006,6185636
AU,H,B,2006,131286994
AU,H,C,2006,71538516
AU,H,D,2006,808249
AU,H,E,2006,84660925
AU,H,F,2006,252633
AU,H,G,2006,62831965
AU,I,B,2006,78004222
AU,I,C,2006,580332
AU,I,D,2006,2089919
AU,I,E,2006,111917635
AU,I,F,2006,4494520
AU,I,G,2006,577663311
AU,J,B,2006,85561770
AU,J,C,2006,1361265
AU,J,D,2006,44754
AU,J,E,2006,86317729
AU,J,F,2006,14109518
AU,J,G,2006,353614657
BE,A,A,2006,29980950
BE,A,B,2006,71980265
BE,A,C,2006,1239388
BE,A,D,2006,4444052
BE,A,E,2006,59019366
BE,A,F,2006,652667846
BE,A,G,2006,373111557
BE,D,B,2006,2183943
BE,D,E,2006,754529
BE,D,F,2006,880688
BE,D,G,2006,34893259
BE,E,B,2006,1904773
BE,E,C,2006,1356279
BE,E,D,2006,20534793
BE,E,E,2006,23596552
BE,E,F,2006,19454421
BE,E,G,2006,142754996
BE,F,E,2006,33203
BE,F,G,2006,14279803
BE,H,B,2006,32286173
BE,H,C,2006,22282845
BE,H,E,2006,31799018
BE,H,G,2006,89612474
BE,I,B,2006,107363
CA,J,A,2006,2567
CA,J,B,2006,523555189
CA,J,C,2006,235251732
CA,J,D,2006,27114084
CA,J,E,2006,359857958
CA,J,F,2006,632729915
CA,J,G,2006,727851574
CH,A,B,2006,81209
CH,A,E,2006,4535327
CH,A,F,2006,15790
CH,A,G,2006,10235786
CH,E,B,2006,3823616
CH,E,C,2006,9786877
CH,E,D,2006,149725584
CH,E,E,2006,206827173
CH,E,F,2006,2008808
CH,E,G,2006,35692722
CH,F,B,2006,372210
CH,F,C,2006,4511
CH,F,E,2006,71246711
CH,F,F,2006,131965
CH,F,G,2006,19101161
CH,G,E,2006,2597577
CH,H,B,2006,20320432
CH,H,C,2006,35399465
CH,H,E,2006,117734664
CH,H,F,2006,1217015
CH,H,G,2006,44542306
CH,I,E,2006,3358916
CH,I,G,2006,5640679
CH,J,A,2006,33344413
CH,J,B,2006,77687079
CH,J,C,2006,6010634
