country,year,value
VE,2004,14.76
VE,2005,22.67
VE,2006,43.97
VE,2007,
VE,2008,
VE,2009,
VE,2010,
VE,2011,
VN,2000,70.44
VN,2001,73.24
VN,2002,68.52
VN,2003,95.64
VN,2004,111.41
VN,2005,128.4
VN,2006,147.17
VN,2007,202.16
VN,2008,222.36
VN,2009,
VN,2010,
VN,2011,
VU,2000,
VU,2001,
VU,2002,
VU,2003,
VU,2004,
VU,2005,
VU,2006,
VU,2007,
VU,2008,
VU,2009,
VU,2010,
VU,2011,
WS,2000,
WS,2001,
WS,2002,
WS,2003,
WS,2004,
WS,2005,
WS,2006,
WS,2007,
WS,2008,
WS,2009,
WS,2010,
WS,2011,
YE,2000,206.03
YE,2001,250.66
YE,2002,140.59
YE,2003,128.57
YE,2004,129.93
YE,2005,153.26
YE,2006,
YE,2007,
YE,2008,
YE,2009,
YE,2010,
YE,2011,
ZA,2000,71.08
ZA,2001,70.54
ZA,2002,83.14
ZA,2003,92.06
ZA,2004,86.89
ZA,2005,102.12
ZA,2006,115.99
ZA,2007,138.07
ZA,2008,162.34
ZA,2009,172.6
ZA,2010,
ZA,2011,
ZM,2000,221.52
ZM,2001,213.56
ZM,2002,255.74
ZM,2003,204.63
ZM,2004,242.08
ZM,2005,338.92
ZM,2006,715.95
ZM,2007,134.99
ZM,2008,133.39
ZM,2009,147.25
ZM,2010,102.5
ZM,2011,
ZW,2000,
ZW,2001,
ZW,2002,
ZW,2003,
ZW,2004,
ZW,2005,
ZW,2006,
ZW,2007,
ZW,2008,
ZW,2009,
ZW,2010,
ZW,2011,
#N/A,2000,
#N/A,2000,
#N/A,2001,
#N/A,2001,
#N/A,2002,
#N/A,2002,
#N/A,2003,
#N/A,2003,
#N/A,2004,
#N/A,2004,
#N/A,2005,
#N/A,2005,
#N/A,2006,
#N/A,2006,
#N/A,2007,
#N/A,2007,
#N/A,2008,
#N/A,2008,
#N/A,2009,
#N/A,2009,
#N/A,2010,
#N/A,2010,
#N/A,2011,
#N/A,2011,
