country,year,in_fdi_profits
US,1990,22383300000
US,1991,23524460000
US,1992,28884900000
US,1993,35259450000
US,1994,31849740000
US,1995,30841390000
US,1996,34606280000
US,1997,40869890000
US,1998,29124230000
US,1999,35171090000
US,2000,36786530000
US,2001,30017870000
US,2002,29431340000
US,2003,43675840000
US,2004,56095220000
US,2005,63468320000
US,2006,75039580000
US,2007,78038080000
US,2008,73711450000
US,2009,61538760000
US,2010,70209510000
US,2011,66799410000
US,2012,64013000000
UK,1990,
UK,1991,
UK,1992,
UK,1993,
UK,1994,
UK,1995,
UK,1996,
UK,1997,
UK,1998,
UK,1999,
UK,2000,
UK,2001,
UK,2002,
UK,2003,5629000000
UK,2004,7974000000
UK,2005,10905000000
UK,2006,7533000000
UK,2007,8905000000
UK,2008,7235000000
UK,2009,8491000000
UK,2010,12205000000
UK,2011,13947000000
UK,2012,13329000000
FI,1990,
FI,1991,
FI,1992,
FI,1993,
FI,1994,
FI,1995,
FI,1996,
FI,1997,
FI,1998,
FI,1999,
FI,2000,102950000
FI,2001,303000000
FI,2002,112540000
FI,2003,404730000
FI,2004,458310000
FI,2005,582980000
FI,2006,754720000
FI,2007,1390160000
FI,2008,1303140000
FI,2009,1280600000
FI,2010,1538600000
FI,2011,109890000
FI,2012,292840000
