country,sector,year,in-oda-gross-sector
51,A,2006,30179010
51,B,2006,76155902
51,C,2006,23368197
51,D,2006,107326128
51,E,2006,26980413
51,F,2006,33492815
51,G,2006,19880596
51,H,2006,33489398
51,I,2006,12603062
51,J,2006,24269858
51,K,2006,231796629
51,L,2006,8101358
51,M,2006,3876261
51,N,2006,115775946
52,A,2006,38915371
52,B,2006,22368673
52,C,2006,712333
52,D,2006,69343223
52,E,2006,3663036
52,F,2006,20670396
52,G,2006,31879044
52,H,2006,12992381
52,I,2006,16396715
52,J,2006,9039689
52,K,2006,100033850
52,L,2006,1308
52,N,2006,43384765
53,A,2006,51006560
53,B,2006,25287102
53,C,2006,4236561
53,D,2006,91032162
53,E,2006,13192998
53,F,2006,54860565
53,G,2006,16228715
53,H,2006,52897234
53,I,2006,52955309
53,J,2006,37515968
53,K,2006,221100825
53,N,2006,40567081
54,A,2006,915216
54,B,2006,9582830
54,C,2006,5957969
54,D,2006,26359577
54,E,2006,5518296
54,F,2006,16449093
54,G,2006,16263685
54,H,2006,7645675
54,I,2006,8463210
54,J,2006,7184088
54,K,2006,46709252
54,N,2006,3530547
55,A,2006,829066100
55,B,2006,2454915045
55,C,2006,109314056
55,D,2006,1073972710
55,E,2006,334030178
55,F,2006,155325529
55,G,2006,483742180
55,H,2006,390713009
55,I,2006,290079311
55,J,2006,457194484
55,K,2006,8543488432
55,L,2006,57432557
55,M,2006,20506971
55,N,2006,1083885663
56,A,2006,12024352
56,B,2006,13619287
56,C,2006,881886
56,D,2006,79662113
56,E,2006,17001987
56,F,2006,6866107
56,G,2006,171330485
56,H,2006,6829036
56,I,2006,34134795
56,J,2006,3337253
56,K,2006,382183931
56,N,2006,7749564
57,A,2006,1781334
57,B,2006,31236262
57,C,2006,2952913
57,D,2006,29162722
57,E,2006,4693026
57,F,2006,3797872
57,G,2006,18179917
57,H,2006,11701199
57,I,2006,44428700
57,J,2006,16230411
57,K,2006,13850065
57,N,2006,39148215
58,A,2006,8047721
58,B,2006,1064896
58,C,2006,9418092
58,D,2006,44410024
58,E,2006,17237466
58,F,2006,14351765
58,G,2006,1892051
58,H,2006,1529907
58,I,2006,26100655
58,J,2006,7610356
58,K,2006,38343875
58,N,2006,134270943
59,A,2006,3711582
59,B,2006,28184261
59,C,2006,460106
59,D,2006,45594437
59,E,2006,10820300
59,F,2006,3206361
59,G,2006,20200476
59,H,2006,26503687
59,I,2006,29073859
59,J,2006,19533369
59,K,2006,23899839
59,L,2006,1020769
59,N,2006,9391737
60,A,2006,37607113
60,B,2006,6642510
60,C,2006,6803216
60,D,2006,32689017
60,E,2006,30611517
60,F,2006,15043509
60,G,2006,8085423
60,H,2006,3626393
60,I,2006,27651556
60,J,2006,9533719
60,K,2006,42522137
60,N,2006,16994163
61,A,2006,12181760
61,B,2006,32752002
61,C,2006,1041080
61,D,2006,43102160
61,E,2006,3062356
61,F,2006,720783
61,G,2006,13448059
61,H,2006,11987860
61,I,2006,1933651
61,J,2006,6465758
61,K,2006,33571099
61,N,2006,11297217
62,A,2006,3504165
62,B,2006,7355205
62,C,2006,4117301
62,D,2006,15049479
62,E,2006,5400356
62,F,2006,731474
62,G,2006,1016652
62,H,2006,10824021
62,I,2006,240648
62,J,2006,7123621
62,K,2006,36575882
62,N,2006,52821711
63,A,2006,6470441
63,B,2006,3074832
63,C,2006,795297
63,D,2006,27361139
63,E,2006,4387347
63,F,2006,2578471
63,G,2006,26632134
63,H,2006,5333022
63,I,2006,5007083
63,J,2006,1924711
63,K,2006,9247119
63,N,2006,5725715
64,A,2006,90990
64,B,2006,637281
64,C,2006,24761
64,D,2006,2686280
64,E,2006,2208699
64,F,2006,15135635
64,G,2006,14364182
64,H,2006,1525113
64,I,2006,82165
64,J,2006,135615
64,K,2006,3103164
64,N,2006,66501878
65,A,2006,38260114
65,B,2006,295877332
65,C,2006,51378598
65,D,2006,200645922
65,E,2006,53256470
65,F,2006,49269173
65,G,2006,53995031
65,H,2006,115767929
65,I,2006,27861908
65,J,2006,41984567
65,K,2006,154046137
65,M,2006,77761328
65,N,2006,615493024
66,A,2006,3273784
66,B,2006,4129929
66,C,2006,617288
66,D,2006,13424733
66,E,2006,5923169
66,F,2006,492227
66,G,2006,3454321
66,H,2006,134783
66,I,2006,133856
66,J,2006,183529
66,K,2006,1536090
66,M,2006,89286710
66,N,2006,423463
67,A,2006,4496724
67,B,2006,19698912
67,C,2006,392901
67,D,2006,9421612
67,E,2006,1028676
67,F,2006,436583
67,G,2006,2163862
67,H,2006,852189
67,I,2006,10371919
67,J,2006,1865270
67,K,2006,3918989
67,N,2006,15396847
AF,A,2006,102564323
AF,B,2006,192935163
AF,C,2006,36283673
AF,D,2006,942877261
AF,E,2006,135539675
AF,F,2006,249958642
AF,G,2006,495730345
AF,H,2006,139777135
AF,I,2006,37720262
AF,J,2006,420869
AF,K,2006,303036297
AF,L,2006,56967651
AF,N,2006,412766513
AG,A,2006,1263647
AG,B,2006,97448
AG,D,2006,553352
AG,E,2006,38981
AG,F,2006,23708
AG,H,2006,2608113
AG,K,2006,83471
AI,D,2006,220765
AI,E,2006,25425
AI,F,2006,4894315
AI,G,2006,52063
AL,A,2006,30171481
AL,B,2006,30921927
AL,C,2006,31558901
AL,D,2006,92804713
AL,E,2006,11734208
AL,F,2006,74477124
AL,G,2006,12008390
AL,H,2006,12699857
AL,I,2006,5357425
AL,J,2006,11839239
AL,K,2006,35577016
