country,year,from-oof-interest
VN,2007,30240000
WF,2007,680000
PS,2007,280000
67,2007,470000
YE,2007,1250000
ZM,2007,18190000
ZW,2007,19200000
AF,2008,8140000
51,2008,5350000
AL,2008,23710000
52,2008,6100000
AO,2008,8990000
AI,2008,830000
AG,2008,640000
AR,2008,765720000
AM,2008,11110000
53,2008,0
AZ,2008,31050000
BD,2008,36720000
BB,2008,16400000
BY,2008,10700000
BZ,2008,11250000
BJ,2008,440000
BT,2008,1460000
BO,2008,25950000
BA,2008,79000000
BW,2008,415270000
BR,2008,1541030000
BF,2008,1880000
BI,2008,0
KH,2008,2410000
CM,2008,36010000
CV,2008,1760000
CF,2008,5170000
54,2008,0
TD,2008,2680000
CL,2008,88920000
CN,2008,1323850000
CO,2008,563720000
KM,2008,10000
CD,2008,35250000
CG,2008,151050000
CK,2008,20000
CR,2008,39720000
CI,2008,156430000
HR,2008,157380000
CU,2008,1440000
CY,2008,0
55,2008,77170000
DJ,2008,0
DM,2008,1170000
DO,2008,125200000
EC,2008,150940000
EG,2008,351290000
SV,2008,94260000
GQ,2008,0
ER,2008,0
ET,2008,20330000
56,2008,46880000
57,2008,0
FJ,2008,3610000
MK,2008,30380000
GA,2008,122160000
GM,2008,80000
GE,2008,31170000
GH,2008,25420000
GD,2008,3060000
GT,2008,112850000
GN,2008,24220000
GW,2008,0
GY,2008,3900000
HT,2008,1260000
HN,2008,8420000
IN,2008,733560000
ID,2008,1094620000
IR,2008,100250000
JM,2008,82340000
JO,2008,70350000
KZ,2008,110270000
KE,2008,17280000
KI,2008,0
KR,2008,0
KP,2008,30000
XK,2008,0
KG,2008,5330000
LA,2008,8200000
LB,2008,75650000
LS,2008,4300000
LR,2008,29680000
MG,2008,18670000
MW,2008,3450000
MY,2008,38020000
MV,2008,6430000
ML,2008,100000
MT,2008,0
MH,2008,220000
MR,2008,16020000
MU,2008,9610000
YT,2008,2930000
MX,2008,588090000
NR,2008,0
58,2008,11190000
MD,2008,16330000
MN,2008,5290000
ME,2008,24580000
MS,2008,0
MA,2008,302390000
MZ,2008,40270000
MM,2008,0
NA,2008,8790000
NR,2008,1230000
NP,2008,8240000
NI,2008,11270000
NE,2008,2790000
NG,2008,211650000
59,2008,13420000
60,2008,0
61,2008,500000
OM,2008,31380000
PK,2008,243400000
PW,2008,0
PA,2008,69510000
PG,2008,25940000
PY,2008,48650000
PE,2008,381150000
PH,2008,420340000
RW,2008,1850000
WS,2008,1020000
ST,2008,0
SN,2008,17980000
RS,2008,226860000
SC,2008,1920000
SL,2008,0
SI,2008,0
SB,2008,210000
SO,2008,0
62,2008,0
ZA,2008,125410000
63,2008,31120000
64,2008,3050000
65,2008,24110000
SS,2008,0
LK,2008,25650000
SH,2008,0
KN,2008,13250000
LC,2008,8150000
VC,2008,3750000
66,2008,620000
SD,2008,990000
SR,2008,3900000
SZ,2008,11380000
SY,2008,28870000
TJ,2008,4290000
TZ,2008,5070000
TH,2008,26370000
TL,2008,0
TG,2008,49940000
TO,2008,0
TT,2008,42660000
TN,2008,363150000
TR,2008,779310000
TM,2008,1230000
TC,2008,0
TV,2008,0
UG,2008,10510000
UA,2008,269690000
UY,2008,132440000
UZ,2008,45960000
VU,2008,0
VE,2008,86210000
VN,2008,29670000
WF,2008,150000
PS,2008,860000
67,2008,410000
YE,2008,7030000
ZM,2008,18760000
ZW,2008,580000
AF,2009,8950000
51,2009,18530000
AL,2009,25010000
52,2009,3910000
AO,2009,810000
AI,2009,770000
AG,2009,1750000
AR,2009,646250000
AM,2009,13980000
53,2009,0
AZ,2009,34680000
BD,2009,30220000
BB,2009,16400000
BY,2009,10880000
BZ,2009,8750000
BJ,2009,240000
BT,2009,420000
BO,2009,21290000
BA,2009,29730000
BW,2009,6020000
BR,2009,1317630000
BF,2009,2860000
BI,2009,0
KH,2009,3430000
CM,2009,20920000
CV,2009,1830000
CF,2009,1220000
54,2009,0
TD,2009,410000
CL,2009,90050000
CN,2009,995940000
CO,2009,568680000
KM,2009,740000
CD,2009,111400000
CG,2009,62300000
CK,2009,50000
CR,2009,33610000
CI,2009,520010000
HR,2009,128830000
CU,2009,1790000
CY,2009,0
55,2009,69580000
DJ,2009,780000
DM,2009,960000
DO,2009,105890000
EC,2009,127410000
EG,2009,315490000
SV,2009,91250000
GQ,2009,0
ER,2009,0
ET,2009,4740000
56,2009,36500000
57,2009,0
FJ,2009,3440000
MK,2009,29060000
GA,2009,34930000
GM,2009,1310000
GE,2009,51330000
GH,2009,36170000
GD,2009,2480000
GT,2009,118280000
GN,2009,32030000
GW,2009,0
GY,2009,1630000
HT,2009,730000
HN,2009,13080000
IN,2009,559840000
ID,2009,786610000
IR,2009,78550000
JM,2009,79320000
JO,2009,52900000
KZ,2009,96090000
KE,2009,12220000
KI,2009,0
KR,2009,0
KP,2009,0
XK,2009,10000
KG,2009,4870000
LA,2009,6370000
LB,2009,63840000
LS,2009,2890000
LR,2009,57060000
MG,2009,37900000
MW,2009,1810000
MY,2009,14030000
MV,2009,7310000
ML,2009,140000
MT,2009,0
MH,2009,270000
MR,2009,8550000
MU,2009,9570000
YT,2009,2010000
MX,2009,644890000
NR,2009,0
58,2009,9790000
MD,2009,13230000
MN,2009,8340000
ME,2009,12600000
MS,2009,0
MA,2009,294980000
MZ,2009,24000000
MM,2009,0
NA,2009,17200000
NR,2009,30000
NP,2009,4500000
NI,2009,11270000
NE,2009,630000
NG,2009,67600000
59,2009,15090000
60,2009,210000
61,2009,1910000
OM,2009,21210000
PK,2009,201200000
PW,2009,0
PA,2009,86140000
PG,2009,18280000
PY,2009,45010000
PE,2009,330170000
PH,2009,353720000
RW,2009,760000
WS,2009,1050000
ST,2009,0
SN,2009,13960000
RS,2009,125040000
SC,2009,580000
SL,2009,0
SI,2009,0
SB,2009,260000
SO,2009,0
62,2009,0
ZA,2009,151180000
63,2009,27060000
64,2009,5240000
65,2009,9540000
SS,2009,0
LK,2009,22230000
SH,2009,0
KN,2009,3120000
LC,2009,7190000
VC,2009,3600000
66,2009,450000
SD,2009,1970000
SR,2009,3950000
SZ,2009,11930000
SY,2009,30290000
TJ,2009,4100000
TZ,2009,11130000
TH,2009,21030000
TL,2009,0
TG,2009,12740000
TO,2009,0
TT,2009,36480000
TN,2009,234310000
TR,2009,737490000
TM,2009,580000
TC,2009,0
TV,2009,0
UG,2009,16330000
UA,2009,245850000
UY,2009,131980000
UZ,2009,40040000
VU,2009,0
VE,2009,85870000
VN,2009,44240000
WF,2009,650000
PS,2009,2910000
67,2009,640000
YE,2009,12400000
ZM,2009,18520000
ZW,2009,260000
AF,2010,4310000
51,2010,22980000
AL,2010,20660000
52,2010,6630000
AO,2010,1050000
AI,2010,860000
AG,2010,1860000
AR,2010,618570000
AM,2010,17050000
53,2010,0
AZ,2010,29940000
BD,2010,29630000
BB,2010,13580000
BY,2010,10720000
BZ,2010,7550000
BJ,2010,410000
BT,2010,1140000
BO,2010,15930000
BA,2010,42970000
BW,2010,12750000
BR,2010,1029350000
BF,2010,1490000
BI,2010,0
KH,2010,1490000
CM,2010,18050000
CV,2010,1510000
CF,2010,1020000
54,2010,0
TD,2010,1540000
CL,2010,57980000
CN,2010,534680000
CO,2010,559060000
KM,2010,100000
CD,2010,220930000
CG,2010,66120000
CK,2010,60000
CR,2010,29810000
CI,2010,71850000
HR,2010,101240000
CU,2010,1690000
CY,2010,0
55,2010,65840000
DJ,2010,2950000
DM,2010,800000
DO,2010,133180000
EC,2010,122770000
EG,2010,271120000
SV,2010,72500000
GQ,2010,16400000
ER,2010,0
ET,2010,2880000
56,2010,6280000
57,2010,770000
FJ,2010,2240000
MK,2010,17760000
GA,2010,19500000
GM,2010,300000
GE,2010,47260000
GH,2010,35720000
GD,2010,2100000
GT,2010,144860000
GN,2010,700000
GW,2010,0
GY,2010,970000
HT,2010,18350000
HN,2010,12480000
IN,2010,299440000
ID,2010,652830000
IR,2010,36160000
JM,2010,67810000
JO,2010,52120000
KZ,2010,86270000
KE,2010,10520000
KI,2010,0
KR,2010,0
KP,2010,0
