country,year,sector,aid-bundle,value
AF,2006,A,A,0
AF,2006,A,B,27230
AF,2006,A,E,24111
AF,2006,A,F,2556
AF,2006,A,G,32272
AF,2006,B,B,868
AF,2006,B,E,45108
AF,2006,B,G,123973
AF,2006,C,A,1492
AF,2006,C,B,7946
AF,2006,C,E,15454
AF,2006,C,G,6516
AF,2006,D,A,2316
AF,2006,D,B,325270
AF,2006,D,E,137334
AF,2006,D,G,361425
AF,2006,E,B,5912
AF,2006,E,E,18764
AF,2006,E,G,94241
AF,2006,F,A,18799
AF,2006,F,B,7609
AF,2006,F,E,22405
AF,2006,F,G,174407
AF,2006,G,A,2122
AF,2006,G,B,386303
AF,2006,G,E,447
AF,2006,G,G,55287
AF,2006,H,A,11190
AF,2006,H,B,24722
AF,2006,H,C,54859
AF,2006,H,E,6819
AF,2006,H,G,23792
AF,2006,I,A,3927
AF,2006,I,B,6275
AF,2006,I,E,238
AF,2006,I,G,24620
AF,2006,J,E,368
AF,2006,J,G,15
AF,2006,K,A,6695
AF,2006,K,B,109299
AF,2006,K,D,4701
AF,2006,K,E,60187
AF,2006,K,F,9291
AF,2006,K,G,74810
AF,2006,L,B,47058
AF,2006,N,B,106290
AF,2006,N,C,110349
AF,2006,N,E,136461
AF,2006,N,G,11119
AF,2007,A,A,0
AF,2007,A,B,53879
AF,2007,A,E,37615
AF,2007,A,F,3376
AF,2007,A,G,54000
AF,2007,B,B,51285
AF,2007,B,C,5059
AF,2007,B,E,148822
AF,2007,B,G,40726
AF,2007,C,A,1851
AF,2007,C,B,9632
AF,2007,C,E,10568
AF,2007,C,G,34314
AF,2007,D,A,3329
AF,2007,D,B,325897
AF,2007,D,E,353758
AF,2007,D,G,263944
AF,2007,E,A,566
AF,2007,E,B,9720
AF,2007,E,E,15565
AF,2007,E,G,322942
AF,2007,F,A,24802
AF,2007,F,B,123174
AF,2007,F,E,80603
AF,2007,F,G,63607
AF,2007,G,A,4053
AF,2007,G,B,43591
AF,2007,G,E,466127
AF,2007,G,G,6187
AF,2007,H,A,9216
AF,2007,H,B,17455
AF,2007,H,C,49686
AF,2007,H,E,24626
AF,2007,H,G,49746
AF,2007,I,A,2119
AF,2007,I,B,23217
AF,2007,I,E,11647
AF,2007,I,G,9883
AF,2007,J,E,2088
AF,2007,J,G,5127
AF,2007,K,B,173887
AF,2007,K,D,5271
AF,2007,K,E,75332
AF,2007,K,F,6594
AF,2007,K,G,21631
AF,2007,L,B,191346
AF,2007,M,F,59457
AF,2007,N,B,44581
AF,2007,N,C,88326
AF,2007,N,E,156780
AF,2007,N,G,11854
AF,2008,A,A,0
AF,2008,A,B,98564
AF,2008,A,E,79207
AF,2008,A,F,2733
AF,2008,A,G,51142
AF,2008,B,B,49499
AF,2008,B,C,844
AF,2008,B,E,151408
AF,2008,B,G,55775
AF,2008,C,A,2367
AF,2008,C,B,25090
AF,2008,C,E,17924
AF,2008,C,G,9382
AF,2008,D,A,3167
AF,2008,D,B,498043
AF,2008,D,E,432198
AF,2008,D,F,2
AF,2008,D,G,430667
AF,2008,E,B,16978
AF,2008,E,E,10960
AF,2008,E,F,0
AF,2008,E,G,227007
AF,2008,F,A,30908
AF,2008,F,B,300103
AF,2008,F,E,292426
AF,2008,F,F,98
AF,2008,F,G,31013
AF,2008,G,A,54
AF,2008,G,B,17816
AF,2008,G,E,209259
AF,2008,G,F,257
AF,2008,G,G,4665
AF,2008,H,A,4831
AF,2008,H,B,44001
AF,2008,H,C,68376
AF,2008,H,E,45256
AF,2008,H,F,0
AF,2008,H,G,142950
AF,2008,I,A,1855
AF,2008,I,B,247
AF,2008,I,E,23577
AF,2008,I,F,0
AF,2008,I,G,36256
AF,2008,J,B,319
AF,2008,J,E,5264
AF,2008,J,G,566
AF,2008,K,B,126013
AF,2008,K,C,2
AF,2008,K,D,4774
AF,2008,K,E,85016
AF,2008,K,F,5868
AF,2008,K,G,23605
AF,2008,L,B,43249
AF,2008,M,F,14892
AF,2008,N,B,123319
AF,2008,N,C,251977
AF,2008,N,E,458276
AF,2008,N,F,34
AF,2008,N,G,7880
AF,2009,A,A,0
AF,2009,A,B,77719
AF,2009,A,E,76353
AF,2009,A,F,3042
AF,2009,A,G,112971
AF,2009,B,B,38323
AF,2009,B,C,24739
AF,2009,B,E,187588
AF,2009,B,G,100349
AF,2009,C,A,3549
AF,2009,C,B,18507
AF,2009,C,E,31485
AF,2009,C,G,32385
AF,2009,D,A,3154
AF,2009,D,B,590342
AF,2009,D,E,578534
AF,2009,D,F,7278
AF,2009,D,G,714770
AF,2009,E,A,1250
AF,2009,E,B,22312
AF,2009,E,E,58137
AF,2009,E,F,1943
AF,2009,E,G,298791
AF,2009,F,A,18448
AF,2009,F,B,405328
AF,2009,F,E,432467
AF,2009,F,F,2113
AF,2009,F,G,99642
AF,2009,G,A,65
AF,2009,G,B,110989
AF,2009,G,E,113261
AF,2009,G,F,182
AF,2009,G,G,16141
AF,2009,H,A,932
AF,2009,H,B,35099
AF,2009,H,C,107432
AF,2009,H,E,106428
AF,2009,H,F,35
AF,2009,H,G,326439
AF,2009,I,A,-191
AF,2009,I,B,4808
AF,2009,I,E,24898
AF,2009,I,G,17918
AF,2009,J,B,318
AF,2009,J,E,15128
AF,2009,J,G,1666
AF,2009,K,B,120957
AF,2009,K,C,16059
AF,2009,K,D,2282
AF,2009,K,E,77063
AF,2009,K,F,8090
AF,2009,K,G,26579
AF,2009,L,B,45824
AF,2009,M,F,1438
AF,2009,N,B,100047
AF,2009,N,C,127384
AF,2009,N,E,370561
AF,2009,N,F,9
AF,2009,N,G,12390
AF,2010,A,B,135906
AF,2010,A,D,1050
AF,2010,A,E,124221
AF,2010,A,F,16602
AF,2010,A,G,113141
AF,2010,B,B,98309
AF,2010,B,C,3006
AF,2010,B,D,639
AF,2010,B,E,130457
AF,2010,B,F,19467
AF,2010,B,G,54012
AF,2010,C,A,2135
AF,2010,C,B,10644
