"series","country-year"
"id","out-oda-and-repayments"
"type","composite"
"parent",
"name","Gross Official Development Assistance disbursed by donors with capital and interest repayments"
"columns","id, year, out-oda-gross, capital-repayment, interest-repayment"
"description","Gross ODA disbursed by donors with capital and interest repayments"
"default-scale","lin"
"theme",
"uom","USD"
"uom_display","USD"
"source","Development Initiatives based on OECD-DAC data"
"calculation",
"format",
"highorlow",
"range",
"interpolated",
"missing-donor","NA"
"missing-recipient","NR"
"laymans-decription",
"laymans-heading",
"theme-order",
