"id","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012","value.2013"
"AW",,,,,,,,,,,,,,
"AD",,,,,,,,,,,,,,
"AF",,,0,0,0,0,0,0,0,0,0,0,2,0
"AO",106,43,66,36,135,,,,785,278,,,,
"AL",0,0,0,1,0,1,1,1,31,45,36,16,20,14
"AE",,,,,,,,,,,,,,
"AR",30,64,40,98,90,104,128,113,81,208,88,101,84,97
"AM",21,5,12,28,59,58,52,49,29,46,68,73,69,88
"AS",,,,,,,,,,,,,,
"AG",,,,,,,,,,,,,,
"AU",,,,,,,,,,,,,,
"AT",,,,,,,,,,,,,,
"AZ",244,145,26,13,16,94,,,38335,774,678,375,245,171
"BI",3,15889,,101392,14805,366,10715,959,0,0,0,0,0,0
"BE",,,,,,,,,,,,,,
"BJ",0,1,94,50,21,17,28,21,17,23,31,41,0,0
"BF",13,75,62,37,61,20,21,3,36,34,76,0,0,0
"BD",26,49,39,51,54,79,97,121,95,155,138,120,138,122
"BG",11,18,25,26,22,23,24,30,28,54,103,136,136,157
"BH",,,,,,,,,,,,,,
"BS",,,,,,,,,,,,,,
"BA",0,2,2,3,12,28,32,19,19,0,19,55,56,16
"BY",4,14,11,22,46,44,66,24,31,46,75,30,86,106
"BZ",131,54,130,,38,27,47,60,63,52,105,42,35,95
"BM",,,,,,,,,,,,,,
"BO",20,24,27,118,342,,139,176,133,182,134,114,156,0
"BR",13,22,36,59,38,73,74,57,64,81,55,48,38,43
"BB",,,,,,,,,,,,,,
"BN",,,,,,,,,,,,,,
"BT",,,0,0,0,0,1,42,16,0,13,18,8,94
"BW",1151,1120,222,240,279,383,214,217,201,366,537,26,79,0
"CF",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA",,,,,,,,,,,,,,
"CH",,,,,,,,,,,,,,
"CL",,,,,,,,,,,,,,
"CN",50,46,34,37,31,66,68,74,67,112,139,165,142,167
"CI",121,99,133,202,129,119,150,124,130,152,166,0,0,0
"CM",26,74,15,37,216,119,17,203,787,59,31,43,96,0
"CG",288,517,438,121,126,88,73,73,0,0,0,0,0,0
"CO",27,36,50,88,81,35,69,73,82,107,148,110,96,80
"KM",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CV",12,11,11,8,6,13,18,15,14,15,35,27,40,70
"CR",279,123,53,112,42,86,58,60,36,73,41,23,26,31
"CU",,,,,,,,,,,,,,
"CW",,,,,,,,,,,,,,
"KY",,,,,,,,,,,,,,
"CY",,,,,,,,,,,,,,
"CZ",,,,,,,,,,,,,,
"DE",,,,,,,,,,,,,,
"DJ",126,127,127,42,15,26,5,2,2,7,25,23,7,0
"DM",162,91,88,50,79,70,26,27,22,31,31,35,22,30
"DK",,,,,,,,,,,,,,
"DO",112,101,126,227,182,157,178,132,58,70,90,86,63,134
"DZ",0,0,0,0,0,479,333,318,234,214,211,245,497,0
"EC",,71,52,68,115,203,360,597,74,267,335,109,116,0
"EG",7,6,14,20,3,12,9,9,7,31,82,,83,0
"ER",16,0,0,0,0,0,0,0,0,0,0,0,0,0
"ES",,,,,,,,,,,,,,
"EE",,,,,,,,,,,,,,
"ET",7,3,4,4,5,8,4,8,15,8,12,4,2,0
"FI",,,,,,,,,,,,,,
"FJ",253,141,177,214,56,72,36,34,36,29,41,42,46,0
"FR",,,,,,,,,,,,,,
"FO",,,,,,,,,,,,,,
"FM",,,,,,,,,,,,,,
"GA",,,813,174,373,234,0,0,0,0,0,0,0,0
"GB",,,,,,,,,,,,,,
"GE",28,45,47,27,20,26,8,17,23,40,58,76,82,80
"GH",15,20,112,55,66,49,21,39,0,17,16,33,58,0
"GN",85,2717,4,95,0,0,0,14,4,62,0,3,6,0
"GM",0,0,0,135,44,60,46,50,61,30,31,31,41,0
"GW",0,0,19,4,1,0,0,0,5,32,17,0,0,0
"GQ",,,,,,,,,,,,,,
"GR",,,,,,,,,,,,,,
"GD",71,55,56,29,38,31,23,21,23,53,48,46,55,25
"GL",,,,,,,,,,,,,,
"GT",108,41,140,121,91,73,103,110,118,158,124,142,89,78
"GU",,,,,,,,,,,,,,
"GY",9,9,9,9,9,9,9,7,7,8,7,7,4,2
"HK",,,,,,,,,,,,,,
"HN",42,70,85,72,71,80,93,58,53,118,70,90,115,110
"HR",,,,,,,,,,,,,,
"HT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HU",0,0,0,0,0,77,156,418,301,912,892,256,108,487
"ID",,,,,439,114,196,156,115,181,93,93,91,0
"IN",0,39,41,56,60,69,38,43,25,34,79,66,68,45
"IE",,,,,,,,,,,,,,
"IR",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IQ",,,,,,,,,,,,,,
"IS",,,,,,,,,,,,,,
"IL",,,,,,,,,,,,,,
"IT",,,,,,,,,,,,,,
"JM",62,49,91,45,60,66,43,61,26,43,56,51,28,46
"JO",4,12,18,9,5,4,4,6,9,13,49,48,55,47
"JP",,,,,,,,,,,,,,
"KZ",82,40,39,68,56,189,104,96,103,77,241,183,179,233
"KE",26,913,273,40,67,165,77,17,54,52,34,31,43,0
"KG",,512,420,59,33,85,22,19,47,63,57,88,38,30
"KH",83,91,110,190,156,60,56,41,49,65,53,56,43,50
"KI",,,,,,,,,,,,,,
"KN",,,,,,,,,,,,,,
"KR",,,,,,,,,,,,,,
"XK",,,,,,,,,,,,,,
"KW",,,,,,,,,,,,,,
"LA",0,83,237,37,67,90,12,15,11,23,16,5,18,0
"LB",0,0,0,2,4,3,3,2,3,2,5,5,6,0
"LR",0,0,0,0,7,9,13,11,8,3,0,2,0,0
"LY",,,,,,,,,,,,,,
"LC",57,49,40,28,60,62,14,16,32,23,25,12,29,23
"LI",,,,,,,,,,,,,,
"LK",63,60,50,40,41,42,75,58,62,57,63,39,48,84
"LS",211,305,334,286,285,279,438,293,47,66,622,727,811,0
"LT",,,,,,,,,,,,,,
"LU",,,,,,,,,,,,,,
"LV",,,,,,,,,,,,,,
"MO",,,,,,,,,,,,,,
"MF",,,,,,,,,,,,,,
"MA",64,14,100,26,75,36,28,26,34,90,92,81,77,38
"MC",,,,,,,,,,,,,,
"MD",2,0,0,34,34,24,42,34,21,67,73,89,67,67
"MG",5,41,106,33,22,44,0,0,0,0,0,0,0,0
"MV",154,194,143,123,69,42,43,183,137,149,126,109,99,0
"MX",33,19,16,19,15,34,51,43,42,50,37,54,93,57
"MH",,,,,,,,,,,,,,
"MK",15,0,37,57,21,148,14,68,43,69,109,59,289,97
"ML",92,115,93,91,150,85,301,360,181,61,99,73,0,0
"MT",,,,,,,,,,,,,,
"MM",65,272,301,255,300,591,473,195,218,186,141,78,0,0
"ME",,,,,,,,,4,6,13,8,5,6
"MN",16,9,7,4,10,22,59,34,13,19,27,13,13,14
"MP",,,,,,,,,,,,,,
"MZ",0,8,8,13,68,263,307,130,92,27,21,9,1,1
"MR",0,0,0,0,0,0,0,0,0,,0,0,0,0
"MU",3,,31,38,122,81,84,27,43,79,1079,139,182,299
"MW",38,35,134,95,63,37,159,54,71,209,179,71,71,0
"MY",189,1071,191,272,168,205,146,116,193,765,169,148,182,150
"NA",,,,,,,,,,,,,,
"NC",,,,,,,,,,,,,,
"NE",23,0,114,81,78,69,25,22,7,11,2,0,0,0
"NG",174,157,95,153,126,52,118,215,206,174,328,259,315,0
"NI",26,51,35,38,32,34,30,24,18,28,27,15,20,20
"NL",,,,,,,,,,,,,,
"NO",,,,,,,,,,,,,,
"NP",,0,,285,,2308,,916,4363,23,57,62,37,33
"NZ",,,,,,,,,,,,,,
"OM",,,,,,,,,,,,,,
"PK",139,123,70,167,133,85,60,53,59,109,106,159,276,222
"PA",80,141,249,96,96,109,48,86,79,104,80,65,88,76
"PE",43,11,22,83,161,156,194,142,121,127,127,156,96,0
"PH",10,350,79,217,200,83,78,80,161,107,226,145,123,101
"PW",,,,,,,,,,,,,,
"PG",201,323,1190,439,1554,1524,,703,,127,1604,,2353,0
"PL",,,,,,,,,,,,,,
"PR",,,,,,,,,,,,,,
