id,name
concessional,Concessional lending
non-concessional,Non-concessional lending
bonds,Bonds
commercial-banks,Commercial banks
other-private,Other private
loans,Loans
grants,Grants
tech-coop,Technical assistance / cooperation
export-cred,Export credits / trade finance
equity-inv,Equity investments
unspecified,Unspecified
other,Other
