currency,month,year,value
Algerian Dinar,07,1998,NaN
Algerian Dinar,08,1998,NaN
Algerian Dinar,09,1998,NaN
Algerian Dinar,10,1998,NaN
Algerian Dinar,11,1998,NaN
Algerian Dinar,12,1998,NaN
Algerian Dinar,01,1999,NaN
Algerian Dinar,02,1999,NaN
Algerian Dinar,03,1999,NaN
Algerian Dinar,04,1999,NaN
Algerian Dinar,05,1999,NaN
Algerian Dinar,06,1999,NaN
Algerian Dinar,07,1999,NaN
Algerian Dinar,08,1999,NaN
Algerian Dinar,09,1999,NaN
Algerian Dinar,10,1999,NaN
Algerian Dinar,11,1999,NaN
Algerian Dinar,12,1999,NaN
Algerian Dinar,01,2000,NaN
Algerian Dinar,02,2000,NaN
Algerian Dinar,03,2000,NaN
Algerian Dinar,04,2000,NaN
Algerian Dinar,05,2000,NaN
Algerian Dinar,06,2000,NaN
Algerian Dinar,07,2000,NaN
Algerian Dinar,08,2000,NaN
Algerian Dinar,09,2000,NaN
Algerian Dinar,10,2000,NaN
Algerian Dinar,11,2000,NaN
Algerian Dinar,12,2000,NaN
Algerian Dinar,01,2001,NaN
Algerian Dinar,02,2001,NaN
Algerian Dinar,03,2001,NaN
Algerian Dinar,04,2001,NaN
Algerian Dinar,05,2001,NaN
Algerian Dinar,06,2001,NaN
Algerian Dinar,07,2001,NaN
Algerian Dinar,08,2001,NaN
Algerian Dinar,09,2001,NaN
Algerian Dinar,10,2001,NaN
Algerian Dinar,11,2001,NaN
Algerian Dinar,12,2001,NaN
Algerian Dinar,01,2002,NaN
Algerian Dinar,02,2002,NaN
Algerian Dinar,03,2002,NaN
Algerian Dinar,04,2002,NaN
Algerian Dinar,05,2002,NaN
Algerian Dinar,06,2002,NaN
Algerian Dinar,07,2002,NaN
Algerian Dinar,08,2002,NaN
Algerian Dinar,09,2002,NaN
Algerian Dinar,10,2002,NaN
Algerian Dinar,11,2002,NaN
Algerian Dinar,12,2002,NaN
Algerian Dinar,01,2003,NaN
Algerian Dinar,02,2003,NaN
Algerian Dinar,03,2003,NaN
Algerian Dinar,04,2003,NaN
Algerian Dinar,05,2003,NaN
Algerian Dinar,06,2003,NaN
Algerian Dinar,07,2003,NaN
Algerian Dinar,08,2003,NaN
Algerian Dinar,09,2003,NaN
Algerian Dinar,10,2003,NaN
Algerian Dinar,11,2003,NaN
Algerian Dinar,12,2003,NaN
Algerian Dinar,01,2004,NaN
Algerian Dinar,02,2004,NaN
Algerian Dinar,03,2004,NaN
Algerian Dinar,04,2004,NaN
Algerian Dinar,05,2004,NaN
Algerian Dinar,06,2004,NaN
Algerian Dinar,07,2004,NaN
Algerian Dinar,08,2004,NaN
Algerian Dinar,09,2004,NaN
Algerian Dinar,10,2004,NaN
Algerian Dinar,11,2004,NaN
Algerian Dinar,12,2004,NaN
Algerian Dinar,01,2005,NaN
Algerian Dinar,02,2005,NaN
Algerian Dinar,03,2005,NaN
Algerian Dinar,04,2005,NaN
Algerian Dinar,05,2005,NaN
Algerian Dinar,06,2005,NaN
Algerian Dinar,07,2005,NaN
Algerian Dinar,08,2005,NaN
Algerian Dinar,09,2005,NaN
Algerian Dinar,10,2005,NaN
Algerian Dinar,11,2005,NaN
Algerian Dinar,12,2005,NaN
Algerian Dinar,01,2006,NaN
Algerian Dinar,02,2006,NaN
Algerian Dinar,03,2006,NaN
Algerian Dinar,04,2006,NaN
Algerian Dinar,05,2006,NaN
Algerian Dinar,06,2006,NaN
Algerian Dinar,07,2006,NaN
Algerian Dinar,08,2006,NaN
Algerian Dinar,09,2006,NaN
Algerian Dinar,10,2006,NaN
Algerian Dinar,11,2006,NaN
Algerian Dinar,12,2006,NaN
Algerian Dinar,01,2007,NaN
Algerian Dinar,02,2007,NaN
Algerian Dinar,03,2007,NaN
Algerian Dinar,04,2007,NaN
Algerian Dinar,05,2007,NaN
Algerian Dinar,06,2007,NaN
Algerian Dinar,07,2007,NaN
Algerian Dinar,08,2007,NaN
Algerian Dinar,09,2007,NaN
Algerian Dinar,10,2007,NaN
Algerian Dinar,11,2007,NaN
Algerian Dinar,12,2007,NaN
Algerian Dinar,01,2008,NaN
Algerian Dinar,02,2008,NaN
Algerian Dinar,03,2008,NaN
Algerian Dinar,04,2008,NaN
Algerian Dinar,05,2008,NaN
Algerian Dinar,06,2008,NaN
Algerian Dinar,07,2008,NaN
Algerian Dinar,08,2008,NaN
Algerian Dinar,09,2008,NaN
Algerian Dinar,10,2008,NaN
Algerian Dinar,11,2008,NaN
Algerian Dinar,12,2008,NaN
Algerian Dinar,01,2009,NaN
Algerian Dinar,02,2009,NaN
Algerian Dinar,03,2009,NaN
Algerian Dinar,04,2009,NaN
Algerian Dinar,05,2009,NaN
Algerian Dinar,06,2009,NaN
Algerian Dinar,07,2009,NaN
Algerian Dinar,08,2009,NaN
Algerian Dinar,09,2009,NaN
Algerian Dinar,10,2009,NaN
Algerian Dinar,11,2009,NaN
Algerian Dinar,12,2009,NaN
Algerian Dinar,01,2010,NaN
Algerian Dinar,02,2010,NaN
Algerian Dinar,03,2010,NaN
Algerian Dinar,04,2010,NaN
Algerian Dinar,05,2010,75.3621833333
Algerian Dinar,06,2010,75.6429352941
Algerian Dinar,07,2010,74.7256428571
Algerian Dinar,08,2010,75.3656277778
Algerian Dinar,09,2010,75.1149055556
Algerian Dinar,10,2010,74.2097705882
Algerian Dinar,11,2010,74.2811157895
Algerian Dinar,12,2010,74.3890619048
Algerian Dinar,01,2011,73.3626055556
Algerian Dinar,02,2011,72.8671333333
Algerian Dinar,03,2011,72.288165
Algerian Dinar,04,2011,71.7172444444
Algerian Dinar,05,2011,72.170385
Algerian Dinar,06,2011,71.9228578947
Algerian Dinar,07,2011,72.1442833333
Algerian Dinar,08,2011,72.1208045455
Algerian Dinar,09,2011,73.6061625
Algerian Dinar,10,2011,73.5784947368
Algerian Dinar,11,2011,73.8472588235
Algerian Dinar,12,2011,74.8091
Algerian Dinar,01,2012,76.23604375
Algerian Dinar,02,2012,74.77144375
Algerian Dinar,03,2012,74.4491058824
Algerian Dinar,04,2012,74.151225
Algerian Dinar,05,2012,75.0767571429
Algerian Dinar,06,2012,77.7805952381
Algerian Dinar,07,2012,80.880345
Algerian Dinar,08,2012,81.1165130435
Algerian Dinar,09,2012,79.5459153846
Algerian Dinar,10,2012,79.242555
Algerian Dinar,11,2012,79.4606388889
Algerian Dinar,12,2012,78.2108571429
Algerian Dinar,01,2013,77.9254
Algerian Dinar,02,2013,77.9002111111
Algerian Dinar,03,2013,78.7409578947
Algerian Dinar,04,2013,78.6494090909
Algerian Dinar,05,2013,78.8723090909
Algerian Dinar,06,2013,78.80454
Algerian Dinar,07,2013,79.2786666667
Algerian Dinar,08,2013,80.3282428571
Algerian Dinar,09,2013,81.645545
Algerian Dinar,10,2013,81.335335
Algerian Dinar,11,2013,80.3741722222
Algerian Dinar,12,2013,78.6769263158
Algerian Dinar,01,2014,78.11781
Algerian Dinar,02,2014,77.9096222222
Algerian Dinar,03,2014,77.6858611111
Algerian Dinar,04,2014,78.6198428571
Algerian Dinar,05,2014,78.82402
Algerian Dinar,06,2014,79.299847619
Algerian Dinar,07,2014,79.487895
Algerian Dinar,08,2014,80.0096952381
Algerian Dinar,09,2014,81.2848857143
Algerian Dinar,10,2014,83.4676227273
Algerian Dinar,11,2014,84.7608705882
Algerian Dinar,12,2014,86.9182047619
Algerian Dinar,01,2015,89.4103
Algerian Dinar,02,2015,93.90753125
Australian Dollar,07,1998,1.6176563675
