id,level,name,color-id
expenditure,1,Expenditure,lightblue-high
revenue,1,Revenue,lightblue-high
administration,2,Administration,darkpurple-high
community-based-services,2,Community Based Services,orange-low
conditional-government-transfers,2,Conditional Government Transfers,orange-high
discretionary-government-transfers,2,Discretionary Government Transfers,orange-high
donor-funding,2,Donor Funding,blue-high
education,2,Education,purple-high
finance,2,Finance,purple-mid
health,2,Health,red-high
internal-audit,2,Internal Audit,yellow-low
local-development-grant,2,Local Development Grant,orange-high
locally-raised-revenues,2,Locally Raised Revenues,red-high
multi-sectoral-transfers-to-llgs,2,Multi Sectoral Transfers To Llgs,lightblue-low
natural-resources,2,Natural Resources,orange-mid
other-government-transfers,2,Other Government Transfers,orange-high
planning,2,Planning,red-mid
production-and-marketing,2,Production and Marketing,yellow-mid
roads-and-engineering,2,Roads and Engineering,yellow-high
statutory-bodies,2,Statutory Bodies,red-low
water,2,Water,lightblue-mid
a2z-project,3,A2Z Project,
aasps-danida-transport-fund,3,Aasps Danida Transport Fund,
abbatouir,3,Abbatouir,
abek,3,Abek,
acav--support,3,Acav  Support,
accord,3,Accord,
acfor,3,Acfor,
acode,3,Acode,
adra----u---,3,Adra    U   ,
advance-recoveries,3,Advance Recoveries,
advertisementsbillboards,3,Advertisements/billboards,
advertisementsor-billboards,3,Advertisementsor Billboards,
advertisementsor-bill-boards,3,Advertisementsor Bill Boards,
afenet,3,Afenet,
afnet,3,Afnet,
africare,3,Africare,
agency-fees,3,Agency Fees,
agency-fees---levy-from-forestry---,3,Agency Fees   Levy From Forestry   ,
agency-fees-or--tender-fees,3,Agency Fees Or  Tender Fees,
agency-fees---tender-fees---,3,Agency Fees   Tender Fees   ,
agriculture,3,Agriculture,
agricultuture-technology-transfer,3,Agricultuture Technology Transfer,
agri-skills-for--you--fundfs-from-zoaor-ceford,3,Agri Skills For  You  Fundfs From Zoaor Ceford,
ahip,3,Ahip,
aids-information-centre,3,Aids Information Centre,
akright-fund,3,Akright Fund,
allowances-arrears---dr-musitwa---,3,Allowances Arrears   Dr Musitwa   ,
allowances-to-medical-workers,3,Allowances To Medical Workers,
alref,3,Alref,
alrep,3,Alrep,
amref,3,Amref,
animal-&-crop-husbandry-related-levies,3,Animal & Crop Husbandry Related Levies,
animal-and-crop-levies---live-stock-exit---,3,Animal And Crop Levies   Live Stock Exit   ,
animal--crop-husbandry-related-levies,3,Animal  Crop Husbandry Related Levies,
apoc,3,Apoc,
apocc,3,Apocc,
application-fees,3,Application Fees,
application-fees-from-tenderers,3,Application Fees From Tenderers,
application-fees----loans---,3,Application Fees    Loans   ,
application-fees----non-refundable-fees---,3,Application Fees    Non Refundable Fees   ,
application-feesor-tender-fees,3,Application Feesor Tender Fees,
aqouaya,3,Aqouaya,
aquaya,3,Aquaya,
assessment-rate,3,Assessment Rate,
avain-influenza,3,Avain Influenza,
avian-and-human-influenza-funds,3,Avian And Human Influenza Funds,
avian-and-human-influenza-preparedness----ahip---,3,Avian And Human Influenza Preparedness    Ahip   ,
avian-and-human--influenza-preparedness-project--maaif,3,Avian And Human  Influenza Preparedness Project  Maaif,
avian-and-human-influeza-project,3,Avian And Human Influeza Project,
avian-disease-surveillance,3,Avian Disease Surveillance,
avian-flu,3,Avian Flu,
avian-flue,3,Avian Flue,
avian-flu-surveillance,3,Avian Flu Surveillance,
avian-from-maaif,3,Avian From Maaif,
avian-influenza,3,Avian Influenza,
avian-influenza-project----aip---,3,Avian Influenza Project    Aip   ,
avian-influenza-virus-funds,3,Avian Influenza Virus Funds,
avian-inluenza-survielence,3,Avian Inluenza Survielence,
aviation-human-and-influenza-project----ahip---,3,Aviation Human And Influenza Project    Ahip   ,
avsi,3,Avsi,
balance-bor-f-naads,3,Balance Bor F Naads,
balance-bor-f-roads,3,Balance Bor F Roads,
balyor----hivor-aids---,3,Balyor    Hivor Aids   ,
