id,very-high,high,mid,low
red,#820820,#ba0c2f,#d66d82,#f7ced5
darkred,#5b0516,#820820,#ba0c2f,#f7ced5
grey,#000000,#333333,#7f7f7f,#cccccc
black,#000000,#000000,#666666,#cccccc
yellow,#80850b,#b7bf10,#d4d970,#f7f2cf
darkyellow,#595d07,#80850b,#b7bf10,#f7f2cf
orange,#a35200,#ea7600,#f2ad66,#fbe4cc
darkorange,#723900,#a35200,#ea7600,#fbe4cc
purple,#662363,#93328e,#be84bb,#e9d6e8
darkpurple,#471845,#662363,#93328e,#e9d6e8
blue,#122541,#1b365d,#76869e,#d1d7df
darkblue,#0c192d,#122541,#1b365d,#d1d7df
lightblue,#00688c,#0095c8,#66bfde,#cceaf4
darklightblue,#004862,#00688c,#0095c8,#cceaf4
