id,name,default
poorest20pct,Poverty,poorest20pct
vulnerability,Vulnerability,climate-vulnerability
dpf,Domestic resources,govtspend-pc
intlmix,International resources,largest-intl-flow
official,International official finance,in-oda-gross
ha,Humanitarian finance,in-ha
health,Health,life-expectancy-at-birth
education,Education,primary-school-enrolment
employment,Employment,total-unemployment
data-revolution,Data revolution,latest-census
forward-looking-oda,Forward looking ODA,iati/iati-budgets-gb
