country-id,adm1-id,adm2-id,adm2-name
UGA,UGA1,UGA101,Kalangala
UGA,UGA1,UGA102,Kampala
UGA,UGA1,UGA103,Kiboga
UGA,UGA1,UGA104,Luwero
UGA,UGA1,UGA105,Masaka
UGA,UGA1,UGA106,Mpigi
UGA,UGA1,UGA107,Mubende
UGA,UGA1,UGA108,Mukono
UGA,UGA1,UGA109,Nakasongola
UGA,UGA1,UGA110,Rakai
UGA,UGA1,UGA111,Ssembabule
UGA,UGA1,UGA112,Kayunga
UGA,UGA1,UGA113,Wakiso
UGA,UGA1,UGA114,Lyantonde
UGA,UGA1,UGA115,Mityana
UGA,UGA1,UGA116,Nakaseke
UGA,UGA2,UGA201,Bugiri
UGA,UGA2,UGA202,Busia
UGA,UGA2,UGA203,Iganga
UGA,UGA2,UGA204,Jinja
UGA,UGA2,UGA205,Kamuli
UGA,UGA2,UGA206,Kapchorwa
UGA,UGA2,UGA207,Katakwi
UGA,UGA2,UGA208,Kumi
UGA,UGA2,UGA209,Mbale
UGA,UGA2,UGA210,Pallisa
UGA,UGA2,UGA211,Soroti
UGA,UGA2,UGA212,Tororo
UGA,UGA2,UGA213,Kaberamaido
UGA,UGA2,UGA214,Mayuge
UGA,UGA2,UGA215,Sironko
UGA,UGA2,UGA216,Amuria
UGA,UGA2,UGA217,Budaka
UGA,UGA2,UGA218,Bududa
UGA,UGA2,UGA219,Bukedea
UGA,UGA2,UGA220,Bukwa
UGA,UGA2,UGA221,Butaleja
UGA,UGA2,UGA222,Kaliro
UGA,UGA2,UGA223,Manafwa
UGA,UGA2,UGA224,Namutumba
UGA,UGA3,UGA301,Adjumani
UGA,UGA3,UGA302,Apac
UGA,UGA3,UGA303,Arua
UGA,UGA3,UGA304,Gulu
UGA,UGA3,UGA305,Kitgum
UGA,UGA3,UGA307,Lira
UGA,UGA3,UGA308,Moroto
UGA,UGA3,UGA309,Moyo
UGA,UGA3,UGA310,Nebbi
UGA,UGA3,UGA311,Nakapiripirit
UGA,UGA3,UGA312,Pader
UGA,UGA3,UGA313,Yumbe
UGA,UGA3,UGA315,Amolatar
UGA,UGA3,UGA316,Amuru
UGA,UGA3,UGA317,Dokolo
UGA,UGA3,UGA319,Koboko
UGA,UGA3,UGA320,Maracha/Terego
UGA,UGA3,UGA321,Oyam
UGA,UGA4,UGA401,Bundibugyo
UGA,UGA4,UGA402,Bushenyi
UGA,UGA4,UGA403,Hoima
UGA,UGA4,UGA404,Kabale
UGA,UGA4,UGA405,Kabarole
UGA,UGA4,UGA406,Kasese
UGA,UGA4,UGA407,Kibaale
UGA,UGA4,UGA408,Kisoro
UGA,UGA4,UGA409,Masindi
UGA,UGA4,UGA410,Mbarara
UGA,UGA4,UGA411,Ntungamo
UGA,UGA4,UGA412,Rukungiri
UGA,UGA4,UGA413,Kamwenge
UGA,UGA4,UGA414,Kanungu
UGA,UGA4,UGA415,Kyenjojo
UGA,UGA4,UGA416,Buliisa
UGA,UGA4,UGA417,Ibanda
UGA,UGA4,UGA418,Isingiro
UGA,UGA4,UGA419,Kiruhura
