id,year,estimate,value
AG,1981,FALSE,2.8879033657
AU,1981,FALSE,3.4440759104
AT,1981,FALSE,2.0324335783
AZ,1981,FALSE,
BI,1981,FALSE,20.4050580773
BE,1981,FALSE,2.319650655
BJ,1981,FALSE,4.1477692771
BF,1981,FALSE,2.4841097158
BD,1981,FALSE,6.8231374688
BG,1981,FALSE,2309.3650793651
BH,1981,FALSE,2.1349159101
BS,1981,FALSE,2.1478826443
BA,1981,FALSE,
BY,1981,FALSE,
BZ,1981,FALSE,1.5832290201
BO,1981,FALSE,549404
BR,1981,FALSE,
BB,1981,FALSE,2.7498334107
BN,1981,FALSE,
BT,1981,TRUE,8.8160454165
BW,1981,FALSE,17.1731018119
CF,1981,FALSE,3.900478916
CA,1981,FALSE,2.3546073709
CH,1981,FALSE,1.7528970688
CL,1981,FALSE,25.6836821871
CN,1981,FALSE,5.5040166717
CI,1981,FALSE,3.4900725059
CM,1981,FALSE,3.2793938671
CD,1981,FALSE,
CG,1981,FALSE,4.1502780804
CO,1981,FALSE,82.974551764
KM,1981,FALSE,4.104304314
CV,1981,FALSE,4.104304314
CR,1981,FALSE,3.8865267904
CY,1981,FALSE,114.2515127298
CZ,1981,FALSE,3.2952657923
DE,1981,FALSE,
DJ,1981,FALSE,1.9633712027
DM,1981,FALSE,
DK,1981,FALSE,2.7267924167
DO,1981,FALSE,2.5137369009
DZ,1981,FALSE,66.6770685579
EC,1981,FALSE,35.8441540386
EG,1981,FALSE,2.0472928564
ER,1981,FALSE,23.9214267897
ES,1981,FALSE,
EE,1981,FALSE,4.3732754881
ET,1981,FALSE,
FI,1981,FALSE,11.4275167785
FJ,1981,FALSE,2.6620062742
FR,1981,FALSE,3.2861129197
FM,1981,FALSE,2.2916564663
GA,1981,FALSE,
GB,1981,FALSE,4.1844946026
GE,1981,FALSE,2.7930512793
GH,1981,FALSE,
GN,1981,FALSE,3125.097826087
GM,1981,FALSE,109.1196140036
GW,1981,FALSE,12.9958513875
GQ,1981,FALSE,3.0030940746
GR,1981,FALSE,14.5038283392
GD,1981,FALSE,16.3118419155
GT,1981,FALSE,2.5315113728
GY,1981,FALSE,21.9703643911
HK,1981,FALSE,240.0928270042
HN,1981,FALSE,2.8832162844
HR,1981,FALSE,19.7783333333
HT,1981,FALSE,
HU,1981,FALSE,37.9170245662
ID,1981,FALSE,26.450909818
IO,1981,FALSE,32.1218652038
IE,1981,FALSE,9.8235956261
IR,1981,FALSE,3.2620870071
IQ,1981,FALSE,371.5417004049
IS,1981,FALSE,
IL,1981,FALSE,33.3265827093
IT,1981,FALSE,970.8035714286
JM,1981,FALSE,4.2667562824
JO,1981,FALSE,186.0447619048
JP,1981,FALSE,5.0572613919
KZ,1981,FALSE,0.9654144432
KE,1981,FALSE,
KG,1981,FALSE,15.6188071188
KH,1981,FALSE,
KI,1981,FALSE,
KN,1981,FALSE,3.3716359717
KP,1981,FALSE,3.3844526705
KW,1981,FALSE,3.6851825442
LA,1981,FALSE,2.2884673065
LB,1981,FALSE,1055.3663366337
LR,1981,FALSE,1925.88
LY,1981,FALSE,
LC,1981,FALSE,9.6997510312
LK,1981,FALSE,2.5694953256
LS,1981,FALSE,20.2335365854
LT,1981,FALSE,16.0371095488
LU,1981,FALSE,
LV,1981,FALSE,2.4885486242
MA,1981,FALSE,
MD,1981,FALSE,2.8653999531
MG,1981,FALSE,
MV,1981,FALSE,62.5780672759
MX,1981,FALSE,6.8578716587
MH,1981,FALSE,1080.6846846847
MK,1981,FALSE,
ML,1981,FALSE,
MT,1981,FALSE,4.2107504216
MM,1981,FALSE,
ME,1981,FALSE,
MN,1981,FALSE,
MZ,1981,FALSE,464.4536585366
MR,1981,FALSE,755.9597701149
MU,1981,FALSE,
MW,1981,FALSE,7.2343743846
MY,1981,FALSE,398.6639676113
NA,1981,FALSE,2.8225341324
NE,1981,FALSE,
NG,1981,FALSE,2.8211752694
NI,1981,FALSE,284.6988764045
NL,1981,FALSE,
NO,1981,FALSE,1.8211137963
NP,1981,FALSE,3.7806230106
NZ,1981,FALSE,15.318193272
OM,1981,FALSE,3.815875251
PK,1981,FALSE,2.3276063419
PA,1981,FALSE,13.6354272105
PE,1981,FALSE,2.12944308
PH,1981,FALSE,
PW,1981,FALSE,12.9263915184
PG,1981,FALSE,
PL,1981,FALSE,5.6454759023
PT,1981,FALSE,2393.3529411765
PY,1981,FALSE,8.8868577075
QA,1981,FALSE,77.3690994039
RO,1981,FALSE,3.2800743374
RU,1981,FALSE,5282.5
RW,1981,FALSE,
SA,1981,FALSE,11.088779041
SD,1981,FALSE,1.8847585552
SN,1981,FALSE,6477.2916666667
SG,1981,FALSE,3.1310316043
SB,1981,FALSE,1.6367819765
SL,1981,FALSE,19.2262898737
SV,1981,FALSE,6021.0571428572
SM,1981,FALSE,3.282229648
CS,1981,FALSE,
SS,1981,FALSE,
ST,1981,FALSE,
SR,1981,FALSE,864.471890971
SK,1981,FALSE,4118.0769230769
SI,1981,FALSE,
SE,1981,FALSE,
SZ,1981,FALSE,2.9481132075
SC,1981,FALSE,12.7168862275
SY,1981,FALSE,5.3408487446
TD,1981,FALSE,
TG,1981,FALSE,4.0496984244
TH,1981,FALSE,4.6800744554
TJ,1981,FALSE,3.0045941612
TM,1981,FALSE,
TL,1981,FALSE,
TO,1981,FALSE,
TT,1981,FALSE,4.2349896058
TN,1981,FALSE,5.2567173588
TR,1981,FALSE,4.8438327157
TV,1981,FALSE,38662.5454545455
TW,1981,FALSE,
TZ,1981,FALSE,199.023006135
UG,1981,FALSE,4162.0847457627
UA,1981,FALSE,
UY,1981,FALSE,3808.7608695652
US,1981,FALSE,2.1997732894
XK,1981,FALSE,
UZ,1981,FALSE,
VC,1981,FALSE,2.6503030065
VE,1981,FALSE,3306.4241860465
VN,1981,FALSE,70457
VU,1981,FALSE,3.1568375746
AS,1981,FALSE,7.1333509026
YE,1981,FALSE,
ZA,1981,FALSE,23.0428765265
ZM,1981,FALSE,15364.375
ZW,1981,FALSE,
AF,1982,FALSE,
AO,1982,FALSE,
AL,1982,FALSE,34.5739594083
AE,1982,FALSE,3.0681341009
AR,1982,FALSE,
AM,1982,FALSE,
AG,1982,FALSE,2.5806557885
AU,1982,FALSE,3.0728537434
AT,1982,FALSE,1.9295285693
AZ,1982,FALSE,
BI,1982,FALSE,19.1168480358
BE,1982,FALSE,2.1564276049
BJ,1982,FALSE,3.6412184937
BF,1982,FALSE,2.2359898837
BD,1982,FALSE,6.2536695118
BG,1982,FALSE,2273.28125
BH,1982,FALSE,2.1608043986
BS,1982,FALSE,2.0277165235
BA,1982,FALSE,
BY,1982,FALSE,
BZ,1982,FALSE,1.4649599389
BO,1982,FALSE,274702
BR,1982,FALSE,
BB,1982,FALSE,2.5028674313
BN,1982,FALSE,
BT,1982,TRUE,8.3023332919
BW,1982,FALSE,15.5725183374
CF,1982,FALSE,3.4123087142
CA,1982,FALSE,2.1705327805
CH,1982,FALSE,1.6329205788
CL,1982,FALSE,22.8050445667
CN,1982,FALSE,5.5177410116
CI,1982,FALSE,3.2228719948
CM,1982,FALSE,2.9164473684
CD,1982,FALSE,
CG,1982,FALSE,4.0312056211
CO,1982,FALSE,66.5104311544
KM,1982,FALSE,3.7204888253
CV,1982,FALSE,3.7204888253
CR,1982,FALSE,3.3103326047
CY,1982,FALSE,62.0337837838
CZ,1982,FALSE,2.9933448486
DE,1982,FALSE,
DJ,1982,FALSE,1.8739101616
DM,1982,FALSE,
DK,1982,FALSE,2.5731850381
DO,1982,FALSE,2.2831453358
DZ,1982,FALSE,62.0149516271
EC,1982,FALSE,35.1790148724
EG,1982,FALSE,2.0753309052
ER,1982,FALSE,21.6937867592
ES,1982,FALSE,
EE,1982,FALSE,3.8536585366
ET,1982,FALSE,
FI,1982,FALSE,10.9647252433
FJ,1982,FALSE,2.437758726
FR,1982,FALSE,3.082944282
FM,1982,FALSE,2.0443734117
GA,1982,FALSE,
GB,1982,FALSE,3.8434875241
GE,1982,FALSE,2.6038898374
GH,1982,FALSE,
GN,1982,FALSE,1742.4787878788
GM,1982,FALSE,84.1677341181
GW,1982,FALSE,14.3185373286
GQ,1982,FALSE,2.2750441819
GR,1982,FALSE,10.3296081863
GD,1982,FALSE,12.8219954649
