id,year,estimate,value
AF,1980,FALSE,
AO,1980,FALSE,
AL,1980,FALSE,9.4986361157
AE,1980,FALSE,3.707336385
AR,1980,FALSE,
AM,1980,FALSE,
AG,1980,FALSE,2.7
AU,1980,FALSE,0.8775683467
AT,1980,FALSE,0.9389184331
AZ,1980,FALSE,
BI,1980,FALSE,89.9726027397
BE,1980,FALSE,0.7238122566
BJ,1980,FALSE,224.9548961424
BF,1980,FALSE,211.2464655985
BD,1980,FALSE,15.4541921651
BG,1980,FALSE,0.0009745127
BH,1980,FALSE,0.3771903772
BS,1980,FALSE,1
BA,1980,FALSE,
BY,1980,FALSE,
BZ,1980,FALSE,2
BO,1980,FALSE,
BR,1980,FALSE,
BB,1980,FALSE,1.9990300679
BN,1980,FALSE,
BT,1980,TRUE,7.874015748
BW,1980,FALSE,0.7483443709
CF,1980,FALSE,235.8490566038
CA,1980,FALSE,1.1692167511
CH,1980,FALSE,1.6757160249
CL,1980,FALSE,39.0005226481
CN,1980,FALSE,1.4983983692
CI,1980,FALSE,211.2719527544
CM,1980,FALSE,209.2019871879
CD,1980,FALSE,
CG,1980,FALSE,211.3024483917
CO,1980,FALSE,47.2800871028
KM,1980,FALSE,212.0592592593
CV,1980,FALSE,40.0700636943
CR,1980,FALSE,8.5706892983
CY,1980,FALSE,0.6031969911
CZ,1980,FALSE,
DE,1980,FALSE,0.9279276444
DJ,1980,FALSE,
DM,1980,FALSE,2.7183098592
DK,1980,FALSE,5.6359293635
DO,1980,FALSE,1
DZ,1980,FALSE,3.8374344684
EC,1980,FALSE,1
EG,1980,FALSE,0.7000134102
ER,1980,FALSE,
ES,1980,FALSE,0.4298696784
EE,1980,FALSE,
ET,1980,FALSE,2.0699406815
FI,1980,FALSE,0.6270709199
FJ,1980,FALSE,0.8180341186
FR,1980,FALSE,0.6433242534
FM,1980,FALSE,
GA,1980,FALSE,211.2905820106
GB,1980,FALSE,0.4298702927
GE,1980,FALSE,
GH,1980,FALSE,0.0002696872
GN,1980,FALSE,73.5060869565
GM,1980,FALSE,1.7225274725
GW,1980,FALSE,211.1087866109
GQ,1980,FALSE,207.5185185185
GR,1980,FALSE,0.1247180328
GD,1980,FALSE,2.702970297
GT,1980,FALSE,1
GY,1980,FALSE,2.5474060823
HK,1980,FALSE,4.9761383837
HN,1980,FALSE,2
HR,1980,FALSE,
HT,1980,FALSE,4.9980595084
HU,1980,FALSE,32.5319506479
ID,1980,FALSE,626.9907310856
IO,1980,FALSE,7.8629668827
IE,1980,FALSE,0.6169904049
IR,1980,FALSE,70.6148957045
IQ,1980,FALSE,
IS,1980,FALSE,4.797958571
IL,1980,FALSE,0.0051290746
IT,1980,FALSE,0.4415326355
JM,1980,FALSE,1.7797270955
JO,1980,FALSE,0.2981064483
JP,1980,FALSE,226.7407708273
KZ,1980,FALSE,
KE,1980,FALSE,7.4204227813
KG,1980,FALSE,
KH,1980,FALSE,
KI,1980,FALSE,0.8717948718
KN,1980,FALSE,2.6896551724
KP,1980,FALSE,607.433409044
KW,1980,FALSE,0.2702966161
LA,1980,FALSE,10.3525896414
LB,1980,FALSE,3.4364261168
LR,1980,FALSE,
LY,1980,FALSE,0.2960632752
LC,1980,FALSE,2.6891891892
LK,1980,FALSE,16.5346241458
LS,1980,FALSE,0.7786069652
LT,1980,FALSE,
LU,1980,FALSE,0.7238875155
LV,1980,FALSE,
MA,1980,FALSE,3.9366823653
MD,1980,FALSE,
MG,1980,FALSE,42.256308758
MV,1980,FALSE,7.5079365079
MX,1980,FALSE,0.0229436787
MH,1980,FALSE,
MK,1980,FALSE,
ML,1980,FALSE,211.2913946588
