id,year,estimate,value
AF,1980,FALSE,
AO,1980,FALSE,
AL,1980,FALSE,3.5060768955
AE,1980,FALSE,0.8239096418
AR,1980,FALSE,
AM,1980,FALSE,
AG,1980,FALSE,1.1929363076
AU,1980,FALSE,4.2703289924
AT,1980,FALSE,2.2666832761
AZ,1980,FALSE,
BI,1980,FALSE,0.188305006
BE,1980,FALSE,3.3157834605
BJ,1980,FALSE,0.0154934576
BF,1980,FALSE,0.0129279341
BD,1980,FALSE,0.4555512567
BG,1980,FALSE,2427913.21043284
BH,1980,FALSE,6.106032038
BS,1980,FALSE,2.2517563648
BA,1980,FALSE,
BY,1980,FALSE,
BZ,1980,FALSE,0.8067677242
BO,1980,FALSE,
BR,1980,FALSE,
BB,1980,FALSE,1.5374759082
BN,1980,FALSE,
BT,1980,TRUE,1.0741376738
BW,1980,FALSE,20.9039126438
CF,1980,FALSE,0.0176817625
CA,1980,FALSE,2.2018877897
CH,1980,FALSE,1.1060212084
CL,1980,FALSE,0.7221575987
CN,1980,FALSE,3.6516441723
CI,1980,FALSE,0.0166720621
CM,1980,FALSE,0.0168205555
CD,1980,FALSE,
CG,1980,FALSE,0.0218623075
CO,1980,FALSE,2.1196519701
KM,1980,FALSE,0.0200245174
CV,1980,FALSE,0.1041784842
CR,1980,FALSE,17.9119078539
CY,1980,FALSE,6.2024800901
CZ,1980,FALSE,
DE,1980,FALSE,2.1602627036
DJ,1980,FALSE,
DM,1980,FALSE,1.0522141252
DK,1980,FALSE,0.486335569
DO,1980,FALSE,69.3502280791
DZ,1980,FALSE,10.5006018287
EC,1980,FALSE,1.9675283551
EG,1980,FALSE,33.5945860232
ER,1980,FALSE,
ES,1980,FALSE,11.5710286304
EE,1980,FALSE,
ET,1980,FALSE,5.3807003291
FI,1980,FALSE,4.6269223442
FJ,1980,FALSE,3.9490965338
FR,1980,FALSE,3.9475034492
FM,1980,FALSE,
GA,1980,FALSE,0.024186292
GB,1980,FALSE,7.1143222336
GE,1980,FALSE,
GH,1980,FALSE,7896824.22374186
GN,1980,FALSE,1.5176458197
GM,1980,FALSE,8.6566007987
GW,1980,FALSE,0.024265551
GQ,1980,FALSE,0.0831954855
GR,1980,FALSE,162.4080971118
GD,1980,FALSE,0.9756625053
GT,1980,FALSE,23.0937539116
GY,1980,FALSE,99.1073501935
HK,1980,FALSE,0.6303593782
HN,1980,FALSE,10.4207183965
HR,1980,FALSE,
HT,1980,FALSE,7.7509929719
HU,1980,FALSE,0.8337536707
ID,1980,FALSE,0.0513229381
IO,1980,FALSE,1.3084702291
IE,1980,FALSE,6.1958436787
IR,1980,FALSE,4.5089717292
IQ,1980,FALSE,
IS,1980,FALSE,10.1796065054
IL,1980,FALSE,422262.590318162
IT,1980,FALSE,11.3226834851
JM,1980,FALSE,101.3654318434
JO,1980,FALSE,16.9508105864
JP,1980,FALSE,0.004420511
KZ,1980,FALSE,
KE,1980,FALSE,2.182438176
KG,1980,FALSE,
KH,1980,FALSE,
KI,1980,FALSE,4.1302498055
KN,1980,FALSE,1.4363141268
KP,1980,FALSE,0.0070718346
KW,1980,FALSE,9.2101282983
LA,1980,FALSE,97.0307568542
LB,1980,FALSE,646.250952381
LR,1980,FALSE,
LY,1980,FALSE,37.9608000078
LC,1980,FALSE,0.9919481325
LK,1980,FALSE,1.3190507211
LS,1980,FALSE,21.3627798342
LT,1980,FALSE,
LU,1980,FALSE,3.5896578682
LV,1980,FALSE,
MA,1980,FALSE,0.7902577823
MD,1980,FALSE,
MG,1980,FALSE,1.7748712329
MV,1980,FALSE,0.9628784887
MX,1980,FALSE,58223.6028420654
MH,1980,FALSE,
