id,name,old-code,color-id
cash-loan-equity,Cash (loan/equity),A,red-high
cash-grant,Cash grant,B,red-mid
commodities-food,Commodities & Food,C,purple-high
gpgs-nngos,Global Initiatives & NNGOs,D,lightblue-mid
mixed-project-aid,Mixed project aid,E,yellow-high
non-transfer,Non-transfer,F,orange-high
technical-ooperation,Technical cooperation,G,darkblue-mid
export-credit,Export credit,H,black-mid
