crs3-purpose,sector
111,A
112,A
113,A
114,A
121,B
122,B
130,B
140,C
151,D
152,D
160,E
210,F
220,F
230,F
240,G
250,G
311,H
312,H
313,H
321,I
322,I
323,I
331,I
332,I
410,J
430,K
910,K
510,L
520,H
530,K
600,M
720,N
730,N
740,N
930,K
998,K
