country,admin1,admin1-name,lat,long,geonames-id
AS,AS.020,Manu'a,,,5881436
AS,AS.030,Rose Island,,,7309441
AT,AT.09,Vienna,,,2761367
AT,AT.08,Vorarlberg,,,2762300
AT,AT.07,Tyrol,,,2763586
AT,AT.06,Styria,,,2764581
AT,AT.05,Salzburg,,,2766823
AT,AT.04,Upper Austria,,,2769848
AT,AT.03,Lower Austria,,,2770542
AT,AT.02,Carinthia,,,2774686
AT,AT.01,Burgenland,,,2781194
AU,AU.08,Western Australia,,,2058645
AU,AU.05,South Australia,,,2061327
AU,AU.03,Northern Territory,,,2064513
AU,AU.07,Victoria,,,2145234
AU,AU.06,Tasmania,,,2147291
AU,AU.04,Queensland,,,2152274
AU,AU.02,New South Wales,,,2155400
AU,AU.01,Australian Capital Territory,,,2177478
AX,AX.941,Vardoe,,,632425
AX,AX.771,Sund,,,635817
AX,AX.766,Sottunga,,,636159
AX,AX.736,Saltvik,,,637880
AX,AX.438,Lumparland,,,647457
AX,AX.417,Lemland,,,648384
AX,AX.295,Kumlinge,,,650397
AX,AX.318,Koekar,,,651989
AX,AX.062,Foegloe,,,659951
AX,AX.035,Braendoe,,,660528
AX,AX.478,Mariehamn,,,3041733
AX,AX.170,Jomala,,,3041761
AX,AX.076,Hammarland,,,3041777
AX,AX.065,Geta,,,3041793
AX,AX.060,Finstroem,,,3041799
AX,AX.043,Eckeroe,,,3041809
AZ,AZ.12,Beylaqan,,,146879
AZ,AZ.69,Zangilan Rayon,,,146900
AZ,AZ.66,Yardimli,,,146962
AZ,AZ.55,Susa,,,147163
AZ,AZ.49,Salyan,,,147269
AZ,AZ.46,Sabirabad,,,147284
AZ,AZ.45,Saatli,,,147287
AZ,AZ.13,Bilasuvar Rayon,,,147310
AZ,AZ.36,Neftcala,,,147422
AZ,AZ.35,Nakhichevan,,,147435
AZ,AZ.32,Masally District,,,147551
AZ,AZ.31,Lerik,,,147610
AZ,AZ.29,Lankaran,,,147613
AZ,AZ.28,Lacin,,,147626
AZ,AZ.43,Qubadli,,,147694
AZ,AZ.24,Imisli,,,147983
AZ,AZ.18,Fuezuli,,,148107
AZ,AZ.14,Cabrayil Rayonu,,,148140
AZ,AZ.15,Jalilabad District,,,148155
AZ,AZ.08,Astara District,,,148442
AZ,AZ.64,Xocali,,,148449
AZ,AZ.02,Aghjabadi Rayon,,,148615
AZ,AZ.03,Agdam,,,148617
AZ,AZ.07,Ali Bajramly,,,409417
AZ,AZ.30,Lankaran Sahari,,,409418
AZ,AZ.57,Tartar Rayon,,,409420
AZ,AZ.61,Xankandi Sahari,,,409421
AZ,AZ.65,Xocavand Rayonu,,,409423
AZ,AZ.71,Zardab,,,584583
AZ,AZ.70,Zaqatala,,,584604
AZ,AZ.67,Yevlax,,,584650
AZ,AZ.37,Oguz,,,584742
AZ,AZ.59,Ucar,,,584783
AZ,AZ.58,Tovuz,,,584861
AZ,AZ.50,Samaxi,,,585030
AZ,AZ.47,Shaki Rayon,,,585031
AZ,AZ.51,Shamkir Rayon,,,585059
AZ,AZ.27,Kurdamir Rayon,,,585686
AZ,AZ.38,Qabala Rayon,,,585738
AZ,AZ.44,Qusar,,,585749
AZ,AZ.42,Quba,,,585786
AZ,AZ.62,Goygol Rayon,,,585967
AZ,AZ.60,Xacmaz,,,586001
AZ,AZ.26,Kalbacar Rayonu,,,586047
AZ,AZ.40,Qazax,,,586087
AZ,AZ.21,Goranboy,,,586112
AZ,AZ.39,Qakh Rayon,,,586290
AZ,AZ.25,Ismayilli,,,586320
AZ,AZ.22,Goeycay,,,586482
AZ,AZ.17,Davachi Rayon,,,586725
AZ,AZ.16,Dashkasan Rayon,,,586771
AZ,AZ.10,Balakan Rayon,,,587010
AZ,AZ.11,Barda Rayon,,,587056
AZ,AZ.09,Baki,,,587081
AZ,AZ.01,Abseron,,,587245
AZ,AZ.06,Agsu,,,587342
AZ,AZ.04,Agdas,,,587376
AZ,AZ.19,Gadabay Rayon,,,627535
AZ,AZ.05,Agstafa,,,828297
AZ,AZ.20,Ganja City,,,828298
AZ,AZ.33,Mingacevir City,,,828299
AZ,AZ.34,Naftalan,,,828300
AZ,AZ.41,Qobustan,,,828301
AZ,AZ.52,Samux,,,828302
AZ,AZ.48,Shaki City,,,828303
AZ,AZ.53,Siazan Rayon,,,828304
AZ,AZ.54,Sumqayit,,,828305
AZ,AZ.63,Xizi,,,828306
AZ,AZ.68,Yevlax City,,,828307
AZ,AZ.23,Haciqabul,,,828315
AZ,AZ.75,Naxcivan Sahari,,,8411069
BA,BA.01,Federation of Bosnia and Herzegovina,,,3229999
BA,BA.02,Republika Srpska,,,3230000
BA,BA.BRC,Brcko,,,3294903
BB,BB.11,Saint Thomas,,,3373551
BB,BB.10,Saint Philip,,,3373553
BB,BB.09,Saint Peter,,,3373554
BB,BB.08,Saint Michael,,,3373557
BB,BB.07,Saint Lucy,,,3373565
BB,BB.06,Saint Joseph,,,3373568
BB,BB.05,Saint John,,,3373569
BB,BB.04,Saint James,,,3373570
BB,BB.03,Saint George,,,3373572
BB,BB.02,Saint Andrew,,,3373580
BB,BB.01,Christ Church,,,3373988
BD,BD.83,Rajshahi,,,1337166
BD,BD.81,Dhaka,,,1337179
BD,BD.84,Chittagong,,,1337200
BD,BD.82,Khulna,,,1337210
BD,BD.85,Barisal,,,1337229
BD,BD.86,Sylhet,,,1477362
BD,BD.87,Rangpur Division,,,7671048
BE,BE.BRU,Brussels Capital,,,2800867
BE,BE.WAL,Walloon,,,3337387
BE,BE.VLG,Flemish Region,,,3337388
BF,BF.01,Boucle du Mouhoun,,,6930701
BF,BF.02,Cascades,,,6930703
BF,BF.03,Centre,,,6930704
BF,BF.04,Centre-Est,,,6930705
BF,BF.05,Centre-Nord,,,6930706
BF,BF.06,Centre-Ouest,,,6930707
