region,region-name,DAC Continent Code,DAC Continent
89,Europe,89,Europe
189,Africa (North of Sahara),298,Africa
289,Africa (South of Sahara),298,Africa
389,America (North & Central America),498,America
489,America (South America),498,America
589,Asia (Middle East Asia),798,Asia
689,Asia (South & Central Asia),798,Asia
789,Asia (Far East Asia),798,Asia
889,Oceania,889,Oceania
999,Unspecified,999,Unspecified
