Country,district,district_name
UG,47,ABIM
UG,37,ADJUMANI
UG,45,AGAGO
UG,86,ALEBTONG
UG,106,AMOLATAR
UG,70,AMUDAT
UG,28,AMURIA
UG,48,AMURU
UG,107,APAC
UG,38,ARUA
UG,29,BUDAKA
UG,30,BUDUDA
UG,16,BUGIRI
UG,83,BUIKWE
UG,31,BUKEDEA
UG,82,BUKOMANSIMBI
UG,32,BUKWO
UG,97,BULAMBULI
UG,108,BULIISA
UG,54,BUNDIBUGYO
UG,75,BUSHENYI
UG,17,BUSIA
UG,33,BUTALEJA
UG,92,BUTAMBALA
UG,101,BUVUMA
UG,96,BUYENDE
UG,49,DOKOLO
UG,104,GOMBA
UG,39,GULU
UG,55,HOIMA
UG,67,IBANDA
UG,18,IGANGA
UG,68,ISINGIRO
UG,19,JINJA
UG,50,KAABONG
UG,56,KABALE
UG,57,KABAROLE
UG,26,KABERAMAIDO
UG,1,KALANGALA
UG,34,KALIRO
UG,80,KALUNGU
UG,2,KAMPALA
UG,95,KAMULI
UG,64,KAMWENGE
UG,65,KANUNGU
UG,112,KAPCHORWA
UG,58,KASESE
UG,20,KATAKWI
UG,77,KATERERE
UG,11,KAYUNGA
UG,59,KIBAALE
UG,79,KIBINGO
UG,3,KIBOGA
UG,90,KIBUKU
UG,69,KIRUHURA
UG,110,KIRYANDONGO
UG,60,KISORO
UG,40,KITGUM
UG,51,KOBOKO
UG,88,KOLE
UG,41,KOTIDO
UG,21,KUMI
UG,98,KWEEN
UG,91,KYANKWANZI
UG,66,KYEGEGWA
UG,84,KYENJOJO
UG,71,LAMWO
UG,87,LIRA
UG,81,LUUKA
UG,4,LUWERO
UG,102,LWENGO
UG,13,LYANTONDE
UG,35,MANAFWA
UG,52,MARACHA
UG,5,MASAKA
UG,109,MASINDI
UG,27,MAYUGE
UG,22,MBALE
UG,61,MBARARA
UG,78,MITOOMA
UG,14,MITYANA
UG,73,MOROTO
UG,42,MOYO
UG,103,MPIGI
UG,6,MUBENDE
UG,7,MUKONO
UG,44,NAKAPIRIPIRIT
UG,15,NAKASEKE
UG,8,NAKASONGOLA
UG,100,NAMIYANGO
UG,36,NAMUTUMBA
UG,85,NAPAK
UG,43,NEBBI
UG,94,NGORA
UG,76,NSIIKA
UG,99,NTOROKO
UG,62,NTUNGAMO
UG,72,NWOYA
UG,105,OTUKE
UG,53,OYAM
UG,74,PADER
UG,23,PALLISA
UG,9,RAKAI
UG,63,RUKUNGIRI
UG,93,SERERE
UG,111,SIRONKO
UG,24,SOROTI
UG,10,SSEMBABULE
UG,25,TORORO
UG,12,WAKISO
UG,46,YUMBE
UG,89,ZOMBO
