id,year,direction,flow-type,flow-name,value
AO,2013,out,official,oofs-capital-payments-out,4770000
AO,2013,in,commercial,net-portfolio-equity-in,0
AO,2013,out,official,oofs-interest-payments-out,13300000
AO,2013,in,official,oofs-in,59330000
AO,2013,out,official,oda-interest-payments-out,15390000
AO,2013,in,commercial,fdi-in,-4185092240
AO,2013,in,private,remittances-in,46779.3341
AO,2012,out,illicit,trade-mispricing-out,0
AO,2013,out,private,remittances-out,654678666.6
AO,2012,in,official,dfis-in,727493104.3
AO,2012,out,illicit,illicit-financing-out,326436522
AO,2013,in,commercial,long-debt-disbursement-commercial-in,4213207000
AO,2013,in,commercial,short-debt-net-flow-in,430736.162
AO,2013,out,commercial,long-debt-capital-payments-out,2802083000
AO,2013,out,commercial,long-debt-interest-payments-out,458570000
AO,2013,out,commercial,short-debt-interest-out,0
AR,2011,in,private,pda-in,na
AR,2013,in,official,ssc-in,na
AR,2013,in,official,oda-in,82870000
AR,2013,in,commercial,fdi-in-profits-out,8821172906
AR,2013,out,commercial,fdi-out,1221898277
AR,2013,out,official,oda-capital-payments-out,53380000
AR,2013,out,official,oofs-capital-payments-out,1797520000
AR,2013,in,commercial,net-portfolio-equity-in,460680435.5
AR,2013,out,official,oofs-interest-payments-out,566360000
AR,2013,in,official,oofs-in,2372110000
AR,2013,out,official,oda-interest-payments-out,12550000
AR,2013,in,commercial,fdi-in,9059004208
AR,2013,in,private,remittances-in,na
AR,2012,out,illicit,trade-mispricing-out,189714175.6
AR,2013,out,private,remittances-out,861291437.4
AR,2012,in,official,dfis-in,2421171639
AR,2012,out,illicit,illicit-financing-out,2765080142
AR,2013,in,commercial,long-debt-disbursement-commercial-in,7200369000
AR,2013,in,commercial,short-debt-net-flow-in,-3971092596
AR,2013,out,commercial,long-debt-capital-payments-out,10740300001
AR,2013,out,commercial,long-debt-interest-payments-out,2555733000
AR,2013,out,commercial,short-debt-interest-out,218682885.3
AZ,2011,in,private,pda-in,na
AZ,2013,in,official,ssc-in,na
AZ,2013,in,official,oda-in,326130000
AZ,2013,in,commercial,fdi-in-profits-out,4301836471
AZ,2013,out,commercial,fdi-out,1422101958
AZ,2013,out,official,oda-capital-payments-out,381380000
AZ,2013,out,official,oofs-capital-payments-out,264090000
AZ,2013,in,commercial,net-portfolio-equity-in,28486897.41
AZ,2013,out,official,oofs-interest-payments-out,20300000
AZ,2013,in,official,oofs-in,595620000
AZ,2013,out,official,oda-interest-payments-out,13200000
AZ,2013,in,commercial,fdi-in,2512061982
AZ,2013,in,private,remittances-in,1646953070
AZ,2012,out,illicit,trade-mispricing-out,na
AZ,2013,out,private,remittances-out,1815902033
AZ,2012,in,official,dfis-in,277844598.6
AZ,2012,out,illicit,illicit-financing-out,na
AZ,2013,in,commercial,long-debt-disbursement-commercial-in,532754000
AZ,2013,in,commercial,short-debt-net-flow-in,0
AZ,2013,out,commercial,long-debt-capital-payments-out,1941837000
AZ,2013,out,commercial,long-debt-interest-payments-out,877546000
AZ,2013,out,commercial,short-debt-interest-out,0
BA,2011,in,private,pda-in,na
BA,2013,in,official,ssc-in,na
BA,2013,in,official,oda-in,612900000
BA,2013,in,commercial,fdi-in-profits-out,49752345.16
BA,2013,out,commercial,fdi-out,-11702101.14
