"id","year","value","value-ncu"
"d314",2015,4663057.89651777,15772710000
"d301",2015,6376839.0133013,21569544000
"d322",2015,6430391.69831441,21750685000
"d323",2015,5470264.52647876,18503072000
"d315",2015,3740363.59060216,12651713000
"d324",2015,1858947.88524499,6287858000
"d216",2015,5495668.65183134,18589001000
"d316",2015,4772841.18165348,16144050000
"d302",2015,9155174.75683719,30967215000
"d303",2015,4317662.72351982,14604417000
"d217",2015,4613329.62195469,15604505000
"d218",2015,4394367.63728703,14863870000
"d201",2015,8056297.99752559,27250284000
"d420",2015,2672981.75009486,9041313000
"d117",2015,7732390.89075676,26154674000
"d219",2015,5368004.71050913,18157180000
"d118",2015,3238216.07425747,10953208000
"d220",2015,3985958.38412814,13482433000
"d225",2015,4026498.73135926,13619560000
"d416",2015,3824637.2065904,12936767000
"d401",2015,6641089.3377656,22463366000
"d402",2015,1919894.25307696,6494008000
"d202",2015,1344840.80829925,4548900000
"d221",2015,6360339.88695656,21513736000
"d119",2015,4184575.25021664,14154251000
"d120",2015,2084127.78894365,7049525000
"d226",2015,4228413.76712777,14302534000
"d317",2015,4636660.41780155,15683421000
"d121",2015,3770631.30410513,12754093000
"d304",2015,6707176.9005362,22686906000
"d403",2015,4878360.73398845,16500968000
"d417",2015,5931089.13417757,20061803000
"d203",2015,1541727.28830519,5214865000
"d418",2015,7177893.65214797,24279097000
"d204",2015,4338338.95988686,14674354000
"d318",2015,5887319.50159195,19913753000
"d404",2015,4535970.15927465,15342838000
"d405",2015,3664654.98660741,12395630000
"d213",2015,4944488.50391902,16724644000
"d101",2015,2964927.41674753,10028814000
"d222",2015,5758564.34977415,19478241000
"d122",2015,5195626.26834232,17574113000
"d102",,,
"d205",2015,32406387000,32406387000
"d413",2015,19493774000,19493774000
"d414",2015,24934366000,24934366000
"d206",2015,16098831000,16098831000
"d406",2015,9603469000,9603469000
"d207",2015,17742758000,17742758000
"d112",2015,26138285000,26138285000
"d407",2015,37625894000,37625894000
"d103",2015,14658182000,14658182000
"d227",2015,13844048000,13844048000
"d419",2015,19007554000,19007554000
"d421",2015,17076683000,17076683000
"d408",2015,29886684000,29886684000
"d305",2015,24992228000,24992228000
"d319",2015,17856730000,17856730000
"d325",2015,19504871000,19504871000
"d306",2015,10241587000,10241587000
"d208",2015,21547688000,21547688000
"d228",2015,11068047000,11068047000
"d123",2015,14126930000,14126930000
"d422",2015,12297666000,12297666000
"d415",2015,21240802000,21240802000
"d326",2015,17389733000,17389733000
"d307",2015,15958617000,15958617000
"d229",,,
"d104",2015,40160182000,40160182000
"d124",2015,17916012000,17916012000
"d114",2015,8373191000,8373191000
"d223",2015,29017351000,29017351000
"d320",2015,16797080000,16797080000
"d105",2015,14603859000,14603859000
"d409",2015,8913011000,8913011000
"d214",2015,29950130000,29950130000
"d209",2015,17668427000,17668427000
"d410",2015,22782898000,22782898000
"d423",2015,17029430000,17029430000
"d115",,,
"d308",2015,5264734000,5264734000
"d309",2015,16585773000,16585773000
"d106",2015,20899806000,20899806000
"d107",,,
"d108",2015,9388599000,9388599000
"d311",2015,14928833000,14928833000
"d116",2015,17883522000,17883522000
"d109",2015,19840758000,19840758000
"d230",2015,13653367000,13653367000
"d224",2015,16787126000,16787126000
"d327",2015,12689734000,12689734000
"d310",2015,28411743000,28411743000
"d231",2015,15464543000,15464543000
"d424",2015,9409440000,9409440000
"d411",2015,3329306000,3329306000
"d328",2015,13228560000,13228560000
"d329",2015,12040889000,12040889000
"d321",2015,24525194000,24525194000
"d312",2015,22353393000,22353393000
"d210",2015,26699148000,26699148000
"d110",2015,45967264000,45967264000
"d425",2015,10134463000,10134463000
"d412",2015,5224008000,5224008000
"d111",2015,20078141000,20078141000
"d232",2015,19410385000,19410385000
"d426",2015,22264871000,22264871000
"d215",2015,21501393000,21501393000
"d211",2015,21804875000,21804875000
"d212",2015,8434234000,8434234000
"d113",2015,11509204000,11509204000
"d313",2015,30148901000,30148901000
"d330",2015,17509833000,17509833000
