country,year,in_longdebt
BG,2010,1570.16
BG,2011,10290.49
BG,2012,5986.63
BH,1990,
BH,1991,
BH,1992,
BH,1993,
BH,1994,
BH,1995,
BH,1996,
BH,1997,
BH,1998,
BH,1999,
BH,2000,
BH,2001,
BH,2002,
BH,2003,
BH,2004,
BH,2005,
BH,2006,
BH,2007,
BH,2008,
BH,2009,
BH,2010,
BH,2011,
BH,2012,
BI,1990,131.5
BI,1991,0
BI,1992,171.09
BI,1993,127.1
BI,1994,85.29
BI,1995,61.77
BI,1996,0
BI,1997,24.89
BI,1998,0.84
BI,1999,33.78
BI,2000,5.63
BI,2001,3.68
BI,2002,86.86
BI,2003,130.86
BI,2004,0
BI,2005,0
BI,2006,3.77
BI,2007,0
BI,2008,0
BI,2009,0
BI,2010,0
BI,2011,0
BI,2012,60.17
BJ,1990,0
BJ,1991,0
BJ,1992,119.2
BJ,1993,0
BJ,1994,0
BJ,1995,155.17
BJ,1996,0
BJ,1997,84.31
BJ,1998,102.41
BJ,1999,0
BJ,2000,0
BJ,2001,241.92
BJ,2002,117.76
BJ,2003,94.44
BJ,2004,122.23
BJ,2005,128.39
BJ,2006,195.67
BJ,2007,180.3
BJ,2008,0
BJ,2009,145.63
BJ,2010,193.97
BJ,2011,113.53
BJ,2012,116.44
BN,1990,
BN,1991,
BN,1992,
BN,1993,
BN,1994,
BN,1995,
BN,1996,
BN,1997,
BN,1998,
BN,1999,
BN,2000,
BN,2001,
BN,2002,
BN,2003,
BN,2004,
BN,2005,
BN,2006,
BN,2007,
BN,2008,
BN,2009,
BN,2010,
BN,2011,
BN,2012,
BO,1990,21.74
BO,1991,33.59
BO,1992,13.07
BO,1993,119.83
BO,1994,75.73
BO,1995,1051.34
BO,1996,198.89
BO,1997,1269.17
BO,1998,265.77
BO,1999,259.5
BO,2000,968.86
BO,2001,1152
BO,2002,1377.75
BO,2003,1880.83
BO,2004,1443.08
BO,2005,1808.68
BO,2006,650.77
BO,2007,1486.62
BO,2008,1720.74
BO,2009,693.54
BO,2010,686.51
BO,2011,832.53
BO,2012,1249.57
BR,1990,7059.25
BR,1991,10418.18
BR,1992,25375.04
BR,1993,41329.39
BR,1994,26346.57
BR,1995,32504.55
BR,1996,49720.61
BR,1997,68735.28
BR,1998,106748.55
BR,1999,86567.5
BR,2000,91392.2
BR,2001,94344.5
BR,2002,77171.09
BR,2003,70594.35
BR,2004,61771.75
BR,2005,47568.97
BR,2006,80432.97
BR,2007,81312.62
BR,2008,79676.2
BR,2009,63097.4
BR,2010,86283.15
BR,2011,97282.74
BR,2012,74624.81
BS,1990,
BS,1991,
BS,1992,
BS,1993,
BS,1994,
BS,1995,
BS,1996,
BS,1997,
BS,1998,
BS,1999,
BS,2000,
BS,2001,
BS,2002,
BS,2003,
BS,2004,
BS,2005,
BS,2006,
BS,2007,
BS,2008,
BS,2009,
BS,2010,
BS,2011,
BS,2012,
BT,1990,13.95
BT,1991,18.59
BT,1992,22.37
BT,1993,26.69
BT,1994,22.61
BT,1995,21.26
BT,1996,27.59
BT,1997,30.11
BT,1998,99.34
BT,1999,0
BT,2000,59.69
BT,2001,136.71
BT,2002,168.26
BT,2003,157.36
BT,2004,146.24
BT,2005,120.07
BT,2006,61.06
BT,2007,42.42
BT,2008,36.84
BT,2009,106.82
BT,2010,218.17
BT,2011,290.97
BT,2012,409.01
BW,1990,0
BW,1991,137.12
BW,1992,109.4
BW,1993,141.61
BW,1994,76.22
BW,1995,84.13
BW,1996,0
BW,1997,0
BW,1998,0
BW,1999,14.95
BW,2000,5.82
BW,2001,0
BW,2002,3.21
BW,2003,17.8
BW,2004,25.17
BW,2005,0
BW,2006,0
BW,2007,57.79
BW,2008,63.42
BW,2009,1190.69
BW,2010,15.81
BW,2011,0
BW,2012,79.69
BY,1990,
BY,1991,
BY,1992,0
BY,1993,2450.36
BY,1994,1746.76
BY,1995,1601.12
BY,1996,138.04
BY,1997,134.25
BY,1998,245.86
BY,1999,143.75
BY,2000,660.64
BY,2001,897.81
BY,2002,975.74
BY,2003,496.73
BY,2004,506.13
BY,2005,891.34
BY,2006,906.62
BY,2007,3993.71
BY,2008,2988.2
BY,2009,2217.04
BY,2010,4088.2
BY,2011,5658.94
BY,2012,3542.4
BZ,1990,6.27
BZ,1991,35.4
BZ,1992,51.2
BZ,1993,8.88
BZ,1994,5.84
BZ,1995,37.58
BZ,1996,71.55
BZ,1997,58.56
BZ,1998,16.55
BZ,1999,24.78
BZ,2000,202.79
BZ,2001,98.87
BZ,2002,233.3
BZ,2003,320.61
BZ,2004,270.29
BZ,2005,248.5
BZ,2006,112.29
BZ,2007,645.7
BZ,2008,113.87
BZ,2009,84.8
BZ,2010,41.4
BZ,2011,54.77
BZ,2012,37.86
CA,1990,
CA,1991,
CA,1992,
CA,1993,
CA,1994,
CA,1995,
CA,1996,
CA,1997,
CA,1998,
CA,1999,
CA,2000,
CA,2001,
CA,2002,
CA,2003,
CA,2004,
CA,2005,
CA,2006,
CA,2007,
CA,2008,
CA,2009,
CA,2010,
CA,2011,
CA,2012,
CD,1990,1.96
CD,1991,0
CD,1992,0
CD,1993,0
CD,1994,0
CD,1995,0
CD,1996,1.96
CD,1997,0
CD,1998,0.06
CD,1999,6.4
CD,2000,0
CD,2001,0
CD,2002,0
CD,2003,52.77
CD,2004,0
CD,2005,0
CD,2006,0
CD,2007,145.19
CD,2008,0
CD,2009,0
CD,2010,22.94
CD,2011,0
CD,2012,288.59
CF,1990,117.52
CF,1991,104.46
CF,1992,47.72
CF,1993,58.08
CF,1994,0
CF,1995,0
CF,1996,41.33
CF,1997,0
CF,1998,0
CF,1999,0
CF,2000,31.67
CF,2001,0
CF,2002,1.44
CF,2003,0
CF,2004,0
CF,2005,0
CF,2006,0
CF,2007,0
CF,2008,0
CF,2009,0
CF,2010,19.55
CF,2011,16.22
CF,2012,18.37
CG,1990,483.76
CG,1991,33.38
CG,1992,319.42
CG,1993,1464.49
CG,1994,3.57
CG,1995,0.3
CG,1996,0
CG,1997,0
CG,1998,0
CG,1999,0
CG,2000,3.59
CG,2001,198.65
CG,2002,0
CG,2003,3.34
CG,2004,0
CG,2005,0
CG,2006,205.82
CG,2007,34
CG,2008,4.68
CG,2009,0
