id-to,year,debt-flow,destination-institution-type,creditor-type,creditor-institution,financing-type,id-from,value
AL,2013,TDS,PNG,Private,Private,COMMERCIAL BANKS,organisation-unspecified,210370854.2
AM,2013,DIS,PPG,Official,Bilateral,Concessional,organisation-unspecified,29436051.94
AM,2013,DIS,PPG,Official,Bilateral,Non-concessional,organisation-unspecified,0
AM,2013,DIS,PPG,Official,Multilateral,Concessional,IDA,54895606.73
AM,2013,DIS,PPG,Official,Multilateral,Concessional,Other,26048158.5
AM,2013,DIS,PPG,Official,Multilateral,Non-concessional,IBRD,73958740.47
AM,2013,DIS,PPG,Official,Multilateral,Non-concessional,Other,44550065.45
AM,2013,DIS,PPG,Private,Private,Bonds,organisation-unspecified,674840996.7
AM,2013,DIS,PPG,Private,Private,Commercial Banks,organisation-unspecified,3087725.105
AM,2013,DIS,PPG,Private,Private,Other Private,organisation-unspecified,0
AM,2013,DIS,PNG,Private,Private,Bonds,organisation-unspecified,0
AM,2013,DIS,PNG,Private,Private,Commercial Banks,organisation-unspecified,1816688194
AM,2013,INT,PPG,Official,Bilateral,Concessional,organisation-unspecified,20820145.15
AM,2013,INT,PPG,Official,Bilateral,Non-concessional,organisation-unspecified,0
AM,2013,INT,PPG,Official,Multilateral,Concessional,IDA,9566276.894
AM,2013,INT,PPG,Official,Multilateral,Concessional,Other,6648679.771
AM,2013,INT,PPG,Official,Multilateral,Non-concessional,IBRD,2218508
AM,2013,INT,PPG,Official,Multilateral,Non-concessional,Other,1389378.523
AM,2013,INT,PPG,Private,Private,Bonds,organisation-unspecified,0
AM,2013,INT,PPG,Private,Private,Commercial Banks,organisation-unspecified,131018.1014
AM,2013,INT,PPG,Private,Private,Other Private,organisation-unspecified,0
AM,2013,INT,PNG,Private,Private,Bonds,organisation-unspecified,0
AM,2013,INT,PNG,Private,Private,Commercial Banks,organisation-unspecified,79682471.56
AM,2013,TDS,PPG,OFFICIAL,BILATERAL,CONCESSIONAL,organisation-unspecified,522914753
AM,2013,TDS,PPG,OFFICIAL,BILATERAL,NON-CONCESSIONAL,organisation-unspecified,0
AM,2013,TDS,PPG,OFFICIAL,MULTILATERAL,CONCESSIONAL,IDA,28131737.41
AM,2013,TDS,PPG,OFFICIAL,MULTILATERAL,CONCESSIONAL,OTHER,8984517.414
AM,2013,TDS,PPG,OFFICIAL,MULTILATERAL,NON-CONCESSIONAL,IBRD,2805156.215
AM,2013,TDS,PPG,OFFICIAL,MULTILATERAL,NON-CONCESSIONAL,OTHER,2740624.911
AM,2013,TDS,PPG,PRIVATE,Private,BONDS,organisation-unspecified,0
AM,2013,TDS,PPG,PRIVATE,Private,COMMERCIAL BANKS,organisation-unspecified,131018.1014
AM,2013,TDS,PPG,PRIVATE,Private,OTHER PRIVATE,organisation-unspecified,0
AM,2013,TDS,PNG,Private,Private,BONDS,organisation-unspecified,0
AM,2013,TDS,PNG,Private,Private,COMMERCIAL BANKS,organisation-unspecified,1101601174
AO,2013,DIS,PPG,Official,Bilateral,Concessional,organisation-unspecified,315946337.9
AO,2013,DIS,PPG,Official,Bilateral,Non-concessional,organisation-unspecified,3318942088
AO,2013,DIS,PPG,Official,Multilateral,Concessional,IDA,60437625.85
AO,2013,DIS,PPG,Official,Multilateral,Concessional,Other,2394735.086
AO,2013,DIS,PPG,Official,Multilateral,Non-concessional,IBRD,0
AO,2013,DIS,PPG,Official,Multilateral,Non-concessional,Other,0
AO,2013,DIS,PPG,Private,Private,Bonds,organisation-unspecified,0
AO,2013,DIS,PPG,Private,Private,Commercial Banks,organisation-unspecified,4085917685
AO,2013,DIS,PPG,Private,Private,Other Private,organisation-unspecified,227684122.3
AO,2013,DIS,PNG,Private,Private,Bonds,organisation-unspecified,0
AO,2013,DIS,PNG,Private,Private,Commercial Banks,organisation-unspecified,0
AO,2013,INT,PPG,Official,Bilateral,Concessional,organisation-unspecified,127108320.2
AO,2013,INT,PPG,Official,Bilateral,Non-concessional,organisation-unspecified,289898090.8
AO,2013,INT,PPG,Official,Multilateral,Concessional,IDA,6319070.095
AO,2013,INT,PPG,Official,Multilateral,Concessional,Other,634773.7295
AO,2013,INT,PPG,Official,Multilateral,Non-concessional,IBRD,0
AO,2013,INT,PPG,Official,Multilateral,Non-concessional,Other,0
AO,2013,INT,PPG,Private,Private,Bonds,organisation-unspecified,0
AO,2013,INT,PPG,Private,Private,Commercial Banks,organisation-unspecified,371877070.3
AO,2013,INT,PPG,Private,Private,Other Private,organisation-unspecified,97620008.98
AO,2013,INT,PNG,Private,Private,Bonds,organisation-unspecified,0
AO,2013,INT,PNG,Private,Private,Commercial Banks,organisation-unspecified,0
AO,2013,TDS,PPG,OFFICIAL,BILATERAL,CONCESSIONAL,organisation-unspecified,583883305.4
AO,2013,TDS,PPG,OFFICIAL,BILATERAL,NON-CONCESSIONAL,organisation-unspecified,1231212245
AO,2013,TDS,PPG,OFFICIAL,MULTILATERAL,CONCESSIONAL,IDA,18839470
AO,2013,TDS,PPG,OFFICIAL,MULTILATERAL,CONCESSIONAL,OTHER,2669121.15
AO,2013,TDS,PPG,OFFICIAL,MULTILATERAL,NON-CONCESSIONAL,IBRD,0
AO,2013,TDS,PPG,OFFICIAL,MULTILATERAL,NON-CONCESSIONAL,OTHER,0
AO,2013,TDS,PPG,PRIVATE,Private,BONDS,organisation-unspecified,0
AO,2013,TDS,PPG,PRIVATE,Private,COMMERCIAL BANKS,organisation-unspecified,2582855400
AO,2013,TDS,PPG,PRIVATE,Private,OTHER PRIVATE,organisation-unspecified,285997303.8
AO,2013,TDS,PNG,Private,Private,BONDS,organisation-unspecified,0
