id,year,in-oof-gross,capital-repayment,interest-repayment
AL,2000,7270000,9690000,2750000
BY,2000,0,0,0
BA,2000,234780000,173990000,64870000
HR,2000,287410000,159150000,72580000
CY,2000,0,0,0
MK,2000,72560000,44610000,41470000
GI,2000,0,0,0
XK,2000,0,0,0
MT,2000,110000,2830000,1810000
MD,2000,28300000,29190000,26090000
ME,2000,0,0,0
RS,2000,0,3540000,0
SI,2000,155550000,86890000,53200000
ex-yugoslavia,2000,2200000,14100000,11050000
TR,2000,2318030000,1164350000,512830000
UA,2000,0,0,0
europe,2000,4550000,0,650000
DZ,2000,411350000,747950000,620010000
EG,2000,402140000,379620000,289680000
LY,2000,0,0,0
MA,2000,518240000,741890000,495700000
TN,2000,518120000,575070000,277640000
north-of-sahara,2000,0,0,0
AO,2000,5950000,71850000,41570000
BJ,2000,16380000,36030000,440000
BW,2000,41800000,34630000,51640000
BF,2000,8920000,18260000,1250000
BI,2000,0,0,20000
CV,2000,0,2400000,260000
CM,2000,135030000,243700000,97300000
CF,2000,1490000,3850000,1610000
TD,2000,0,1610000,30000
KM,2000,0,50000,0
CG,2000,0,26370000,2420000
CI,2000,65720000,180790000,120330000
CD,2000,0,5520000,6780000
DJ,2000,0,20000,0
GQ,2000,0,1740000,200000
ER,2000,80000,0,20000
ET,2000,5140000,34970000,29080000
GA,2000,35200000,118590000,59600000
GM,2000,0,1050000,440000
GH,2000,38510000,61980000,17310000
GN,2000,9870000,28030000,13990000
GW,2000,540000,550000,6780000
KE,2000,91920000,139970000,35930000
LS,2000,39700000,20850000,19360000
LR,2000,5310000,2140000,530000
MG,2000,6390000,14140000,4080000
MW,2000,14940000,17380000,4400000
ML,2000,350000,26330000,3880000
MR,2000,16950000,21820000,7230000
MU,2000,7740000,59190000,10100000
YT,2000,0,0,0
MZ,2000,300800000,33570000,35060000
NA,2000,5490000,2970000,1960000
NE,2000,5320000,33210000,1040000
NG,2000,148610000,913910000,288960000
RW,2000,4400000,820000,60000
ST,2000,0,0,3640000
SN,2000,47930000,59100000,19410000
SC,2000,3290000,8770000,2740000
SL,2000,0,2730000,220000
SO,2000,0,0,0
ZA,2000,380850000,156130000,89990000
SS,2000,0,0,0
SD,2000,2640000,15300000,4250000
SZ,2000,19860000,15270000,7420000
TZ,2000,59900000,22710000,9230000
TG,2000,7570000,800000,270000
UG,2000,68260000,144690000,8560000
ZM,2000,65560000,259650000,45970000
ZW,2000,84530000,135440000,80120000
south-of-sahara,2000,0,10440000,7930000
africa,2000,14750000,1750000,530000
AI,2000,6460000,170000,230000
AG,2000,140000,0,110000
AW,2000,0,0,0
BS,2000,0,0,0
BB,2000,35630000,17220000,21430000
BZ,2000,35970000,10400000,11650000
BM,2000,0,0,0
KY,2000,0,0,0
CR,2000,132330000,206140000,111900000
CU,2000,22170000,17400000,0
DM,2000,5680000,700000,1120000
DO,2000,168990000,136010000,132850000
SV,2000,256240000,102430000,130720000
GD,2000,6290000,1090000,1330000
GT,2000,235420000,137940000,108310000
HT,2000,0,1970000,170000
HN,2000,83190000,170910000,61510000
JM,2000,380820000,196340000,99510000
MX,2000,5363370000,4770320000,2116380000
MS,2000,0,90000,0
NI,2000,40140000,52210000,21600000
PA,2000,274700000,142250000,126450000
KN,2000,5930000,3090000,1740000
LC,2000,7030000,3220000,3900000
VC,2000,6480000,570000,1320000
TT,2000,122430000,147390000,91350000
TC,2000,990000,50000,230000
west-indies,2000,1230000,2660000,1340000
north-central-america,2000,62740000,35260000,66540000
AR,2000,3300170000,2314230000,2312720000
BO,2000,110620000,159240000,72540000
BR,2000,8652280000,3013000000,2461760000
CL,2000,271550000,664560000,192710000
CO,2000,907920000,1268230000,612290000
EC,2000,460130000,331460000,277910000
FK,2000,0,0,0
GY,2000,290000,18310000,6720000
PY,2000,244860000,65150000,62520000
PE,2000,1791040000,884250000,634260000
SR,2000,4270000,1080000,2350000
UY,2000,484150000,201850000,204930000
VE,2000,857190000,877390000,396560000
south-america,2000,98660000,63560000,31670000
america,2000,770000,2870000,230000
BN,2000,0,0,0
KH,2000,730000,1140000,40000
CN,2000,5808090000,5767390000,1938460000
KP,2000,2290000,0,0
ID,2000,4290520000,3141000000,2548090000
KR,2000,0,0,0
LA,2000,410000,900000,1350000
MY,2000,476310000,673320000,153680000
MN,2000,0,0,0
PH,2000,1422380000,1708810000,751220000
SG,2000,0,0,0
TH,2000,1093350000,3558600000,726890000
TL,2000,1123470000,0,0
VN,2000,191000000,328260000,27160000
east-asia,2000,0,0,0
AF,2000,0,0,0
AM,2000,37950000,11450000,7040000
AZ,2000,137540000,53340000,41380000
BD,2000,28910000,30020000,9380000
BT,2000,0,240000,0
GE,2000,104360000,10510000,10090000
IN,2000,2306420000,2696110000,1250040000
KZ,2000,289640000,146340000,153690000
KG,2000,21450000,26250000,16900000
MV,2000,0,4600000,620000
MM,2000,44160000,17090000,930000
NP,2000,38560000,4270000,11650000
PK,2000,946070000,839070000,596260000
LK,2000,49580000,83510000,6780000
TJ,2000,3570000,2480000,1270000
TM,2000,208920000,14200000,5230000
UZ,2000,295000000,104460000,61750000
central-asia,2000,0,0,0
south-asia,2000,0,0,0
south-central-asia,2000,0,0,1150000
BH,2000,0,360000,0
IR,2000,604180000,1642290000,99710000
IQ,2000,0,0,0
IL,2000,0,0,0
JO,2000,166220000,146640000,105630000
KW,2000,0,0,0
LB,2000,198770000,85050000,72590000
OM,2000,36870000,29730000,4230000
QA,2000,0,0,0
SA,2000,76820000,46680000,80000
SY,2000,566250000,38700000,87010000
AE,2000,0,0,0
PS,2000,79390000,2610000,4820000
YE,2000,12140000,560000,1990000
middle-east,2000,0,0,0
asia,2000,27390000,25650000,1060000
CK,2000,0,430000,30000
FJ,2000,9560000,18470000,7130000
PF,2000,0,0,0
KI,2000,0,0,0
MH,2000,0,0,0
FM,2000,190000,230000,10000
NR,2000,0,0,110000
NC,2000,0,0,0
MP,2000,0,0,0
PW,2000,0,1680000,0
PG,2000,347820000,109020000,48250000
WS,2000,930000,0,60000
SB,2000,3500000,80000,0
TO,2000,80000,0,0
TV,2000,0,0,0
VU,2000,110000,1060000,390000
WF,2000,6300000,4300000,0
oceania,2000,0,7180000,120000
bilateral-unspecified,2000,582190000,106790000,7150000
AL,2001,4980000,10330000,1710000
BY,2001,0,0,0
BA,2001,64770000,41110000,65390000
HR,2001,298670000,159270000,94130000
CY,2001,0,0,0
MK,2001,93820000,81190000,43500000
GI,2001,0,0,0
XK,2001,0,0,0
MT,2001,620000,3800000,1370000
MD,2001,38440000,34730000,25790000
ME,2001,0,0,0
RS,2001,12180000,940000,360000
SI,2001,148780000,124260000,51990000
ex-yugoslavia,2001,1900000,102700000,10790000
TR,2001,3083080000,1342140000,601930000
UA,2001,0,0,0
europe,2001,7880000,0,1310000
DZ,2001,868460000,960670000,590890000
EG,2001,584760000,300910000,222190000
LY,2001,0,0,0
MA,2001,247560000,742890000,425140000
TN,2001,1002920000,517840000,235630000
north-of-sahara,2001,0,0,0
AO,2001,6940000,23090000,3790000
BJ,2001,270000,1600000,1610000
BW,2001,0,26920000,10360000
BF,2001,60000,9680000,2550000
BI,2001,730000,0,30000
CV,2001,70000,1230000,380000
CM,2001,87010000,308410000,105230000
CF,2001,1790000,2330000,530000
TD,2001,17000000,470000,1600000
KM,2001,0,0,0
CG,2001,0,94260000,34420000
CI,2001,31240000,200950000,102580000
CD,2001,0,1370000,16090000
DJ,2001,0,0,570000
GQ,2001,0,1680000,320000
ER,2001,30000,0,0
ET,2001,560000,32340000,17540000
GA,2001,291460000,393480000,92510000
GM,2001,170000,2050000,960000
GH,2001,87810000,91840000,13560000
GN,2001,2110000,51280000,15640000
GW,2001,0,3200000,7130000
KE,2001,116200000,175460000,32730000
LS,2001,20520000,16290000,13430000
LR,2001,0,1110000,580000
MG,2001,8170000,35200000,5420000
MW,2001,2430000,17270000,4330000
ML,2001,1220000,33060000,4280000
MR,2001,0,24210000,7740000
MU,2001,9440000,29030000,7430000
YT,2001,25470000,12820000,0
MZ,2001,28410000,12270000,46510000
NA,2001,12420000,3060000,2510000
NE,2001,14040000,64140000,1110000
NG,2001,162450000,933730000,377190000
RW,2001,3960000,170000,1110000
ST,2001,710000,0,3950000
SN,2001,9070000,32030000,9070000
SC,2001,240000,5830000,2190000
SL,2001,0,6310000,1830000
SO,2001,0,0,0
ZA,2001,277820000,132360000,117720000
SS,2001,0,0,0
SD,2001,0,740000,20000
SZ,2001,31230000,15990000,9720000
TZ,2001,45220000,53500000,20440000
TG,2001,1730000,1860000,620000
UG,2001,3350000,29920000,5960000
ZM,2001,72460000,82150000,26760000
ZW,2001,5120000,50030000,13170000
south-of-sahara,2001,0,990000,1410000
africa,2001,197350000,139620000,5190000
AI,2001,1670000,210000,820000
AG,2001,2920000,5770000,1900000
AW,2001,0,0,0
BS,2001,0,0,0
BB,2001,46540000,19820000,24020000
BZ,2001,51900000,36870000,15140000
BM,2001,0,0,0
KY,2001,0,0,0
CR,2001,99080000,176890000,108210000
CU,2001,58680000,123670000,6550000
DM,2001,4960000,630000,1730000
DO,2001,328130000,225110000,108350000
SV,2001,453430000,134010000,147450000
GD,2001,7260000,1120000,2220000
GT,2001,234820000,122530000,120060000
HT,2001,0,1970000,140000
HN,2001,9060000,141250000,54980000
JM,2001,241900000,184830000,115800000
MX,2001,4028520000,4071120000,2246730000
MS,2001,0,0,0
NI,2001,291980000,31520000,19500000
PA,2001,240450000,124380000,138630000
KN,2001,11860000,3240000,2410000
LC,2001,4990000,3990000,4690000
VC,2001,3520000,780000,2190000
TT,2001,150270000,133700000,92310000
