country-id,year,population-urban
GEO,2012,2.379
GHA,2005,10.199
GHA,2006,10.622
GHA,2007,11.061
GHA,2008,11.51
GHA,2009,11.967
GHA,2010,12.426
GHA,2011,12.874
GHA,2012,13.323
GIN,2005,3.145
GIN,2006,3.26
GIN,2007,3.385
GIN,2008,3.519
GIN,2009,3.659
GIN,2010,3.803
GIN,2011,3.957
GIN,2012,4.116
GMB,2005,0.763
GMB,2006,0.798
GMB,2007,0.834
GMB,2008,0.872
GMB,2009,0.911
GMB,2010,0.952
GMB,2011,0.993
GMB,2012,1.035
GNB,2005,0.562
GNB,2006,0.585
GNB,2007,0.609
GNB,2008,0.633
GNB,2009,0.659
GNB,2010,0.686
GNB,2011,0.713
GNB,2012,0.742
GNQ,2005,0.235
GNQ,2006,0.242
GNQ,2007,0.25
GNQ,2008,0.258
GNQ,2009,0.266
GNQ,2010,0.274
GNQ,2011,0.283
GNQ,2012,0.292
GRD,2005,0.038
GRD,2006,0.039
GRD,2007,0.039
GRD,2008,0.04
GRD,2009,0.04
GRD,2010,0.041
GRD,2011,0.041
GRD,2012,0.042
GTM,2005,5.981
GTM,2006,6.186
GTM,2007,6.397
GTM,2008,6.615
GTM,2009,6.84
GTM,2010,7.074
GTM,2011,7.321
GTM,2012,7.577
GUY,2005,0.215
GUY,2006,0.217
GUY,2007,0.218
GUY,2008,0.22
GUY,2009,0.221
GUY,2010,0.223
GUY,2011,0.225
GUY,2012,0.227
HND,2005,3.356
HND,2006,3.465
HND,2007,3.576
HND,2008,3.691
HND,2009,3.809
HND,2010,3.931
HND,2011,4.056
HND,2012,4.184
HTI,2005,4.082
HTI,2006,4.287
HTI,2007,4.495
HTI,2008,4.706
HTI,2009,4.922
HTI,2010,5.145
HTI,2011,5.349
HTI,2012,5.558
IDN,2005,103.12
IDN,2006,106.419
IDN,2007,109.786
IDN,2008,113.208
IDN,2009,116.669
IDN,2010,120.155
IDN,2011,123.573
IDN,2012,127.006
IND,2005,329.52
IND,2006,338.116
IND,2007,346.72
IND,2008,355.359
IND,2009,364.075
IND,2010,372.9
IND,2011,382.161
IND,2012,391.535
IRN,2005,47.394
IRN,2006,48.146
IRN,2007,48.909
IRN,2008,49.69
IRN,2009,50.496
IRN,2010,51.333
IRN,2011,52.105
IRN,2012,52.906
IRQ,2005,18.354
IRQ,2006,18.786
IRQ,2007,19.21
IRQ,2008,19.641
IRQ,2009,20.1
IRQ,2010,20.601
IRQ,2011,21.122
IRQ,2012,21.655
JAM,2005,1.375
JAM,2006,1.38
JAM,2007,1.385
JAM,2008,1.39
JAM,2009,1.394
JAM,2010,1.399
JAM,2011,1.406
JAM,2012,1.412
JOR,2005,4.392
JOR,2006,4.508
JOR,2007,4.625
JOR,2008,4.742
JOR,2009,4.863
JOR,2010,4.986
JOR,2011,5.112
JOR,2012,5.241
KAZ,2005,8.288
KAZ,2006,8.346
KAZ,2007,8.412
KAZ,2008,8.484
KAZ,2009,8.679
KAZ,2010,8.77
KAZ,2011,8.88
KAZ,2012,8.99
KEN,2005,7.757
KEN,2006,8.107
KEN,2007,8.469
KEN,2008,8.845
KEN,2009,9.236
KEN,2010,9.643
KEN,2011,10.08
KEN,2012,10.534
KGZ,2005,1.822
KGZ,2006,1.842
KGZ,2007,1.86
KGZ,2008,1.877
KGZ,2009,1.9
KGZ,2010,1.923
KGZ,2011,1.952
KGZ,2012,1.989
KHM,2005,2.561
KHM,2006,2.616
KHM,2007,2.671
KHM,2008,2.726
KHM,2009,2.784
KHM,2010,2.846
KHM,2011,2.922
KHM,2012,3.001
KIR,2005,0.039
KIR,2006,0.04
KIR,2007,0.041
KIR,2008,0.041
KIR,2009,0.042
KIR,2010,0.043
KIR,2011,0.044
KIR,2012,0.044
KNA,2005,0.016
KNA,2006,0.016
KNA,2007,0.016
KNA,2008,0.016
KNA,2009,0.017
KNA,2010,0.017
KNA,2011,0.017
KNA,2012,0.017
KSV,2005,
KSV,2006,
KSV,2007,
KSV,2008,
KSV,2009,
KSV,2010,
KSV,2011,
KSV,2012,
LAO,2005,1.586
LAO,2006,1.682
LAO,2007,1.785
LAO,2008,1.893
LAO,2009,2.004
LAO,2010,2.118
LAO,2011,2.232
LAO,2012,2.348
LBN,2005,3.451
LBN,2006,3.537
LBN,2007,3.593
LBN,2008,3.638
LBN,2009,3.696
LBN,2010,3.783
LBN,2011,3.824
LBN,2012,3.866
LBR,2005,1.506
LBR,2006,1.571
LBR,2007,1.647
LBR,2008,1.73
LBR,2009,1.813
LBR,2010,1.892
LBR,2011,1.966
LBR,2012,2.035
LBY,2005,4.3
LBY,2006,4.379
LBY,2007,4.461
LBY,2008,4.542
LBY,2009,4.618
LBY,2010,4.685
LBY,2011,4.744
LBY,2012,4.795
LCA,2005,0.038
LCA,2006,0.037
LCA,2007,0.036
LCA,2008,0.035
LCA,2009,0.034
LCA,2010,0.033
LCA,2011,0.032
LCA,2012,0.031
LKA,2005,2.972
LKA,2006,3.001
LKA,2007,3.024
LKA,2008,3.048
LKA,2009,3.079
LKA,2010,3.106
LKA,2011,3.157
LKA,2012,3.092
LSO,2005,0.448
LSO,2006,0.466
LSO,2007,0.483
LSO,2008,0.501
LSO,2009,0.52
LSO,2010,0.539
LSO,2011,0.56
LSO,2012,0.581
MAR,2005,16.56
MAR,2006,16.812
MAR,2007,17.067
MAR,2008,17.333
MAR,2009,17.62
MAR,2010,17.934
MAR,2011,18.287
MAR,2012,18.669
MDA,2005,1.552
MDA,2006,1.575
MDA,2007,1.598
MDA,2008,1.622
MDA,2009,1.647
MDA,2010,1.672
MDA,2011,1.697
MDA,2012,1.722
MDG,2005,5.27
MDG,2006,5.542
MDG,2007,5.823
MDG,2008,6.114
MDG,2009,6.417
MDG,2010,6.731
MDG,2011,7.06
MDG,2012,7.403
MDV,2005,0.1
MDV,2006,0.106
MDV,2007,0.112
MDV,2008,0.118
MDV,2009,0.124
MDV,2010,0.13
MDV,2011,0.136
MDV,2012,0.143
MEX,2005,84.497
MEX,2006,85.894
MEX,2007,87.321
MEX,2008,88.776
MEX,2009,90.253
MEX,2010,91.745
MEX,2011,93.228
MEX,2012,94.728
MHL,2005,0.036
MHL,2006,0.037
MHL,2007,0.037
MHL,2008,0.037
MHL,2009,0.037
MHL,2010,0.038
MHL,2011,0.038
MHL,2012,0.038
MLI,2005,3.713
MLI,2006,3.911
MLI,2007,4.119
MLI,2008,4.336
MLI,2009,4.561
MLI,2010,4.794
MLI,2011,5.035
MLI,2012,5.284
MMR,2005,14.746
MMR,2006,15.112
MMR,2007,15.485
MMR,2008,15.866
MMR,2009,16.258
MMR,2010,16.661
MMR,2011,17.094
MMR,2012,17.54
MNE,2005,0.383
MNE,2006,0.385
MNE,2007,0.386
MNE,2008,0.388
MNE,2009,0.39
MNE,2010,0.391
MNE,2011,0.393
MNE,2012,0.394
MNG,2005,1.579
MNG,2006,1.626
MNG,2007,1.674
MNG,2008,1.726
MNG,2009,1.778
MNG,2010,1.833
MNG,2011,1.885
MNG,2012,1.939
MOZ,2005,6.303
MOZ,2006,6.517
MOZ,2007,6.736
MOZ,2008,6.96
MOZ,2009,7.187
MOZ,2010,7.42
MOZ,2011,7.673
MOZ,2012,7.932
MUS,2005,0.524
MUS,2006,0.527
MUS,2007,0.53
MUS,2008,0.532
MUS,2009,0.534
MUS,2010,0.535
MUS,2011,0.538
MUS,2012,0.54
MWI,2005,1.946
MWI,2006,2.016
MWI,2007,2.091
MWI,2008,2.17
MWI,2009,2.251
MWI,2010,2.334
MWI,2011,2.426
MWI,2012,2.521
MYS,2005,17.464
MYS,2006,18.024
MYS,2007,18.595
MYS,2008,19.175
MYS,2009,19.764
MYS,2010,20.36
MYS,2011,20.903
MYS,2012,21.451
NAM,2005,0.71
NAM,2006,0.731
NAM,2007,0.752
NAM,2008,0.775
NAM,2009,0.799
NAM,2010,0.824
NAM,2011,0.851
NAM,2012,0.88
NER,2005,2.206
NER,2006,2.313
NER,2007,2.426
NER,2008,2.544
NER,2009,2.669
NER,2010,2.8
NER,2011,2.95
NER,2012,3.109
NGA,2005,63.861
NGA,2006,66.498
NGA,2007,69.252
