id,year,value,budget-type
AZ,2010,4080.6951775576,actual
AZ,2011,6291.3187425674,actual
AZ,2012,7340.6396419087,actual
AZ,2013,8309.1697737106,proj
AZ,2014,8855.0335473366,proj
AZ,2015,8756.4378252097,proj
AZ,2016,,proj
AZ,2017,,proj
AZ,2018,,proj
AZ,2019,,proj
AZ,2020,,proj
BA,2000,1424.4173350007,actual
BA,2001,1488.3818406059,actual
BA,2002,1697.3689824421,actual
BA,2003,2090.2798071338,actual
BA,2004,1982.0342350835,actual
BA,2005,2185.4455733725,actual
BA,2006,2667.0415142245,actual
BA,2007,3447.7529755036,actual
BA,2008,4619.4627977056,actual
BA,2009,4247.5363021475,actual
BA,2010,4485.9817372502,actual
BA,2011,4582.3940980925,actual
BA,2012,4668.4523646857,actual
BA,2013,4582.1100105722,actual
BA,2014,4892.6656189086,actual
BA,2015,4943.8200565914,proj
BA,2016,5200.2048805272,proj
BA,2017,5502.1353061835,proj
BA,2018,5863.2837044031,proj
BA,2019,6330.6855872893,proj
BA,2020,6844.8445366375,proj
BD,2000,,actual
BD,2001,,actual
BD,2002,47.0936027645,actual
BD,2003,51.1233342479,actual
BD,2004,56.1257677382,actual
BD,2005,67.3596807024,actual
BD,2006,78.6439317086,actual
BD,2007,90.7846877226,actual
BD,2008,133.5426401201,actual
BD,2009,142.6710439361,actual
BD,2010,172.2024955149,actual
BD,2011,232.4259063355,actual
BD,2012,290.0913000118,actual
BD,2013,355.8159878668,actual
BD,2014,399.9646428102,actual
BD,2015,467.5927877252,actual
BD,2016,607.2598734424,proj
BD,2017,783.1376846512,proj
BD,2018,,proj
BD,2019,,proj
BD,2020,,proj
BE,2000,11579.3284166141,actual
BE,2001,12174.2538611617,actual
BE,2002,12834.9700623243,actual
BE,2003,13714.1677352918,actual
BE,2004,14207.0751671329,actual
BE,2005,15827.3579331119,actual
BE,2006,15896.7517784125,actual
BE,2007,16929.2225331939,actual
BE,2008,18333.6809027417,actual
BE,2009,19450.9947166173,actual
BE,2010,20263.2377646499,actual
BE,2011,21595.2348962018,actual
BE,2012,22904.5657382476,actual
BE,2013,23290.8352494626,actual
BE,2014,23600.5101975861,actual
BE,2015,23839.4544546224,actual
BE,2016,24480.3441261527,proj
BE,2017,24960.3250088564,proj
BE,2018,25546.6710886881,proj
BE,2019,26310.5079762602,proj
BE,2020,27142.9255360147,proj
BE,2021,28149.1939133706,proj
BF,2000,,actual
BF,2001,127.3774886314,actual
BF,2002,135.1437033006,actual
BF,2003,138.6001084021,actual
BF,2004,153.9087989859,actual
BF,2005,172.4508810989,actual
BF,2006,190.0330058496,actual
BF,2007,215.4245496357,actual
BF,2008,216.4092986653,actual
BF,2009,260.3428892115,actual
BF,2010,289.5951557612,actual
BF,2011,317.4180942674,actual
BF,2012,422.6923388565,actual
BF,2013,465.6240182332,actual
BF,2014,385.5687577377,actual
BF,2015,431.6583665296,proj
BF,2016,479.385463046,proj
BF,2017,,proj
BF,2018,,proj
BF,2019,,proj
BF,2020,,proj
BI,2000,,actual
BI,2001,,actual
BI,2002,,actual
BI,2003,,actual
BI,2004,23.1757016198,actual
BI,2005,28.3665731023,actual
BI,2006,32.6328197849,actual
BI,2007,39.1389635605,actual
BI,2008,91.0548722709,actual
BI,2009,101.6813291359,actual
BI,2010,135.9837094916,actual
BI,2011,167.5682183252,actual
BI,2012,199.646756263,actual
BI,2013,228.1933689901,actual
BI,2014,263.3841863428,actual
BI,2015,288.8861240614,proj
BI,2016,330.4655428461,proj
BI,2017,390.3181876236,proj
BI,2018,443.540107239,proj
BI,2019,,proj
BI,2020,,proj
BJ,2000,146.1063988476,actual
BJ,2001,158.0156675073,actual
BJ,2002,171.3129385301,actual
BJ,2003,190.5194294058,actual
BJ,2004,187.1616123322,actual
BJ,2005,215.318437387,actual
BJ,2006,210.6078126699,actual
BJ,2007,263.7576792647,actual
BJ,2008,299.6304529294,actual
BJ,2009,352.5694389773,actual
BJ,2010,299.9846985853,actual
BJ,2011,325.2780938636,actual
BJ,2012,367.4349780739,actual
BJ,2013,424.4313161331,actual
BJ,2014,393.025200798,actual
BJ,2015,489.0137684801,proj
BJ,2016,502.0900620948,proj
BJ,2017,529.715889696,proj
BJ,2018,564.7816274425,proj
BJ,2019,609.2146466933,proj
BJ,2020,655.1070390667,proj
BO,2000,,actual
BO,2001,292.2747148261,actual
BO,2002,323.9390069437,actual
BO,2003,355.0149518677,actual
BO,2004,428.2111917881,actual
BO,2005,505.9904006874,actual
BO,2006,605.4638561241,actual
BO,2007,765.2182263073,actual
BO,2008,1077.0085171123,actual
BO,2009,1060.2098337535,actual
BO,2010,1131.3918413123,actual
BO,2011,1728.2865684314,actual
BO,2012,2086.8772358531,actual
BO,2013,2629.4322317566,actual
BO,2014,3205.6842243791,actual
BO,2015,2835.3406488833,proj
BO,2016,2885.8866606961,proj
BO,2017,3278.6966691868,proj
BO,2018,3665.5693222909,proj
BO,2019,4101.0097890099,proj
BO,2020,4532.0311642574,proj
BR,2000,,actual
BR,2001,,actual
BR,2002,,actual
BR,2003,,actual
BR,2004,,actual
BR,2005,,actual
BR,2006,,actual
BR,2007,,actual
BR,2008,1803.3407985307,actual
BR,2009,2086.4132423624,actual
BR,2010,2729.0972954638,actual
BR,2011,3388.146545042,actual
BR,2012,3950.5946416212,actual
BR,2013,4757.6222481205,actual
BR,2014,5792.2793571979,actual
BR,2015,,proj
BR,2016,,proj
BR,2017,,proj
BR,2018,,proj
BR,2019,,proj
BR,2020,,proj
BT,2000,,actual
BT,2001,,actual
BT,2002,394.296309273,actual
BT,2003,393.4069214523,actual
BT,2004,392.2105985845,actual
BT,2005,524.428976641,actual
BT,2006,577.3919787742,actual
BT,2007,677.3187142254,actual
BT,2008,793.4541378839,actual
BT,2009,876.3391947668,actual
BT,2010,1406.713153653,actual
BT,2011,1482.4313603157,actual
BT,2012,1796.0036011923,proj
BT,2013,2008.8706302262,actual
BT,2014,1963.942095076,actual
BT,2015,2082.7843381593,actual
BT,2016,2696.2444371223,proj
BT,2017,2818.5271673044,proj
BT,2018,3160.9483877878,proj
BT,2019,,proj
BT,2020,,proj
BW,2000,,actual
BW,2001,,actual
BW,2002,,actual
BW,2003,915.0344207865,actual
BW,2004,1063.0038481999,actual
BW,2005,1229.1218646705,actual
BW,2006,1456.0478341671,actual
BW,2007,1898.5778346563,actual
BW,2008,2776.9020889253,actual
BW,2009,3276.1477151461,actual
BW,2010,3685.5965074643,actual
BW,2011,3870.7048367031,actual
BW,2012,4128.3271963003,proj
BW,2013,4562.5136641279,proj
BW,2014,5430.5341450363,proj
BW,2015,5596.1243217732,proj
BW,2016,5130.9478089284,proj
BW,2017,5809.7088598328,proj
BW,2018,,proj
BW,2019,,proj
BY,2000,,actual
BY,2001,,actual
BY,2002,,actual
BY,2003,,actual
BY,2004,,actual
BY,2005,,actual
BY,2006,,actual
BY,2007,,actual
BY,2008,217.9523003559,actual
BY,2009,239.7295545112,actual
BY,2010,300.9739489492,actual
BY,2011,766.1378066131,actual
BY,2012,2690.2575846285,actual
BY,2013,4103.7361597818,actual
BY,2014,5498.8751457882,actual
BY,2015,8756.3869990874,proj
BY,2016,,proj
BY,2017,,proj
BY,2018,,proj
BY,2019,,proj
BY,2020,,proj
BZ,1999,1318.8735289984,actual
BZ,2000,1446.5981364037,actual
BZ,2001,1625.7860179033,actual
BZ,2003,1604.6282069429,actual
BZ,2004,1549.1739308269,actual
BZ,2005,1569.1746746106,actual
BZ,2006,1796.9017885888,actual
BZ,2007,1862.3878032999,actual
BZ,2008,1902.2920739617,actual
BZ,2009,1841.0600743249,actual
BZ,2010,1993.5223101852,actual
BZ,2011,2132.0897557386,actual
BZ,2012,2083.4565191279,actual
BZ,2013,2479.2877867453,actual
BZ,2014,2735.2547686957,actual
BZ,2015,2770.2542171537,proj
BZ,2016,2704.5143874824,proj
BZ,2017,2760.5015137722,proj
BZ,2018,,proj
BZ,2019,,proj
CA,2000,8947.4990382331,actual
CA,2001,9438.5838161873,actual
CA,2002,9689.2378829265,actual
CA,2003,10388.4429179334,actual
CA,2004,10994.7435291296,actual
CA,2005,11768.2026102762,actual
CA,2006,12631.355001537,actual
CA,2007,13573.8099116037,actual
CA,2008,14768.6238550435,actual
CA,2009,15148.4631364179,actual
CA,2010,16204.8954188674,actual
CA,2011,17026.7336108678,actual
CA,2012,17274.3535346467,actual
CA,2013,17701.138357236,actual
CA,2014,17937.4642278359,actual
CA,2015,18429.0051745684,actual
CA,2016,19090.9701105852,proj
CA,2017,19956.9526774784,proj
CA,2018,20814.5185047747,proj
CA,2019,21658.4733376238,proj
CA,2020,22627.7993514343,proj
CA,2021,23669.3392198122,proj
CD,2000,,actual
CD,2001,,actual
CD,2002,,actual
CD,2003,,actual
CD,2004,,actual
CD,2005,,actual
CD,2006,,actual
CD,2007,10.7917333104,actual
CD,2008,19.2360920358,actual
CD,2009,43.0970585368,actual
CD,2010,63.8331128014,actual
CD,2011,88.0723943979,actual
CD,2012,83.3644903151,actual
CD,2013,91.3182563371,actual
CD,2014,106.3777390026,actual
CD,2015,122.0786541391,proj
