country-id,year,long-debt-usd-2012,,,,,,,,
 BI ,2010,,,,,,,,,
 BI ,2011,,,,,,,,,
 BI ,2012,60168963,,,,,,,,
 BJ ,2000,,,,,,,,,
 BJ ,2001,241921576,,,,,,,,
 BJ ,2002,117760332,,,,,,,,
 BJ ,2003,94438727,,,,,,,,
 BJ ,2004,122226004,,,,,,,,
 BJ ,2005,128393571,,,,,,,,
 BJ ,2006,195668171,,,,,,,,
 BJ ,2007,180299276,,,,,,,,
 BJ ,2008,,,,,,,,,
 BJ ,2009,145631257,,,,,,,,
 BJ ,2010,193973249,,,,,,,,
 BJ ,2011,113531906,,,,,,,,
 BJ ,2012,116438905,,,,,,,,
 BO ,2000,968859089,,,,,,,,
 BO ,2001,1151998093,,,,,,,,
 BO ,2002,1377754668,,,,,,,,
 BO ,2003,1880825980,,,,,,,,
 BO ,2004,1443082123,,,,,,,,
 BO ,2005,1808680758,,,,,,,,
 BO ,2006,650774148,,,,,,,,
 BO ,2007,1486624541,,,,,,,,
 BO ,2008,1720744490,,,,,,,,
 BO ,2009,693536139,,,,,,,,
 BO ,2010,686506761,,,,,,,,
 BO ,2011,832526309,,,,,,,,
 BO ,2012,1249565731,,,,,,,,
 BR ,2000,91392195628,,,,,,,,
 BR ,2001,94344499144,,,,,,,,
 BR ,2002,77171093505,,,,,,,,
 BR ,2003,70594352062,,,,,,,,
 BR ,2004,61771754037,,,,,,,,
 BR ,2005,47568971535,,,,,,,,
 BR ,2006,80432973279,,,,,,,,
 BR ,2007,81312617074,,,,,,,,
 BR ,2008,79676195115,,,,,,,,
 BR ,2009,63097401111,,,,,,,,
 BR ,2010,86283149158,,,,,,,,
 BR ,2011,97282743202,,,,,,,,
 BR ,2012,74624810000,,,,,,,,
 BT ,2000,59685548,,,,,,,,
 BT ,2001,136706255,,,,,,,,
 BT ,2002,168257299,,,,,,,,
 BT ,2003,157358175,,,,,,,,
 BT ,2004,146242808,,,,,,,,
 BT ,2005,120067339,,,,,,,,
 BT ,2006,61056378,,,,,,,,
 BT ,2007,42417992,,,,,,,,
 BT ,2008,36840081,,,,,,,,
 BT ,2009,106817337,,,,,,,,
 BT ,2010,218168077,,,,,,,,
 BT ,2011,290966442,,,,,,,,
 BT ,2012,409014927,,,,,,,,
 BW ,2000,5818492,,,,,,,,
 BW ,2001,,,,,,,,,
 BW ,2002,3205368,,,,,,,,
 BW ,2003,17797444,,,,,,,,
 BW ,2004,25169202,,,,,,,,
 BW ,2005,,,,,,,,,
 BW ,2006,,,,,,,,,
 BW ,2007,57790578,,,,,,,,
 BW ,2008,63419588,,,,,,,,
 BW ,2009,1190693913,,,,,,,,
 BW ,2010,15812642,,,,,,,,
 BW ,2011,,,,,,,,,
 BW ,2012,79689000,,,,,,,,
 BY ,2000,660638831,,,,,,,,
 BY ,2001,897808024,,,,,,,,
 BY ,2002,975743243,,,,,,,,
 BY ,2003,496727137,,,,,,,,
 BY ,2004,506131774,,,,,,,,
 BY ,2005,891336848,,,,,,,,
 BY ,2006,906616311,,,,,,,,
 BY ,2007,3993706561,,,,,,,,
 BY ,2008,2988199925,,,,,,,,
 BY ,2009,2217042744,,,,,,,,
 BY ,2010,4088204146,,,,,,,,
 BY ,2011,5658943899,,,,,,,,
 BY ,2012,3542401666,,,,,,,,
 BZ ,2000,202785921,,,,,,,,
 BZ ,2001,98869734,,,,,,,,
 BZ ,2002,233296957,,,,,,,,
 BZ ,2003,320608697,,,,,,,,
 BZ ,2004,270294360,,,,,,,,
 BZ ,2005,248503411,,,,,,,,
 BZ ,2006,112290396,,,,,,,,
 BZ ,2007,645703544,,,,,,,,
 BZ ,2008,113867665,,,,,,,,
 BZ ,2009,84795971,,,,,,,,
 BZ ,2010,41395878,,,,,,,,
 BZ ,2011,54774311,,,,,,,,
 BZ ,2012,37860975,,,,,,,,
 CD ,2000,,,,,,,,,
 CD ,2001,,,,,,,,,
 CD ,2002,,,,,,,,,
 CD ,2003,52774635,,,,,,,,
 CD ,2004,,,,,,,,,
 CD ,2005,,,,,,,,,
 CD ,2006,,,,,,,,,
 CD ,2007,145185317,,,,,,,,
 CD ,2008,,,,,,,,,
 CD ,2009,,,,,,,,,
 CD ,2010,22938937,,,,,,,,
 CD ,2011,,,,,,,,,
 CD ,2012,288591797,,,,,,,,
 CF ,2000,31666335,,,,,,,,
 CF ,2001,,,,,,,,,
 CF ,2002,1443579,,,,,,,,
 CF ,2003,,,,,,,,,
 CF ,2004,,,,,,,,,
 CF ,2005,,,,,,,,,
 CF ,2006,,,,,,,,,
 CF ,2007,,,,,,,,,
 CF ,2008,,,,,,,,,
 CF ,2009,,,,,,,,,
 CF ,2010,19548692,,,,,,,,
 CF ,2011,16220383,,,,,,,,
 CF ,2012,18369983,,,,,,,,
 CG ,2000,3589487,,,,,,,,
 CG ,2001,198646973,,,,,,,,
 CG ,2002,,,,,,,,,
 CG ,2003,3342988,,,,,,,,
 CG ,2004,,,,,,,,,
 CG ,2005,,,,,,,,,
 CG ,2006,205819219,,,,,,,,
 CG ,2007,33995488,,,,,,,,
 CG ,2008,4681233,,,,,,,,
 CG ,2009,,,,,,,,,
 CG ,2010,533558169,,,,,,,,
 CG ,2011,324691711,,,,,,,,
 CG ,2012,471764953,,,,,,,,
 CI ,2000,,,,,,,,,
 CI ,2001,,,,,,,,,
 CI ,2002,,,,,,,,,
 CI ,2003,,,,,,,,,
 CI ,2004,920158,,,,,,,,
 CI ,2005,71213636,,,,,,,,
 CI ,2006,142422763,,,,,,,,
