country,year,fdi-usd-2012
AE,2000,-1168807750
AE,2001,2798947288
AE,2002,217129909
AE,2003,9317311435
AE,2004,20184223910
AE,2005,18873799378
AE,2006,19818533298
AE,2007,19496328297
AE,2008,15911251013
AE,2009,5469761996
AE,2010,6774226335
AE,2011,8100885156
AE,2012,9602000000
AF,2000,
AF,2001,
AF,2002,95186895
AF,2003,117292001
AF,2004,334923804
AF,2005,453168969
AF,2006,373423706
AF,2007,271585151
AF,2008,117245140
AF,2009,96809635
AF,2010,230551217
AF,2011,83031499
AF,2012,93800000
AG,2000,87779942
AG,2001,142836574
AG,2002,100578902
AG,2003,228757776
AG,2004,117259548
AG,2005,282390970
AG,2006,425015196
AG,2007,377901967
AG,2008,173418741
AG,2009,91075015
AG,2010,105844048
AG,2011,70386026
AG,2012,73960765
AI,2000,
AI,2001,
AI,2002,
AI,2003,
AI,2004,
AI,2005,
AI,2006,
AI,2007,
AI,2008,
AI,2009,
AI,2010,
AI,2011,
AI,2012,
AL,2000,271675656
AL,2001,375720309
AL,2002,234744298
AL,2003,252681311
AL,2004,405419898
AL,2005,293508842
AL,2006,346532645
AL,2007,626736537
AL,2008,820437110
AL,2009,928243681
AL,2010,1048918882
AL,2011,986850099
AL,2012,957041940
AM,2000,221401747
AM,2001,146720836
AM,2002,237989437
AM,2003,250779261
AM,2004,445803308
AM,2005,358673431
AM,2006,589940380
AM,2007,717582431
AM,2008,810957630
AM,2009,780338258
AM,2010,546088091
AM,2011,481178591
AM,2012,489076675
AO,2000,3770748748
AO,2001,9709478974
AO,2002,6801110037
AO,2003,12015806327
AO,2004,3894080691
AO,2005,-2731085673
AO,2006,-64440746
AO,2007,-1293613127
AO,2008,1987135292
AO,2009,2980604263
AO,2010,-4128746269
AO,2011,-3184332767
AO,2012,-6897800000
AR,2000,10265862527
AR,2001,2157503884
AR,2002,5266380069
AR,2003,3368708028
AR,2004,7695573838
AR,2005,8978591064
AR,2006,8740592648
AR,2007,9071506729
AR,2008,11665107993
AR,2009,5155444701
AR,2010,9146570709
AR,2011,10364875435
AR,2012,12551119343
AS,2000,
AS,2001,
AS,2002,
AS,2003,
AS,2004,
AS,2005,
AS,2006,
AS,2007,
AS,2008,
AS,2009,
AS,2010,
AS,2011,
AS,2012,
AT,2000,14498406416
AT,2001,9813449257
AT,2002,223440393
AT,2003,8266927182
AT,2004,3800225025
AT,2005,12616754289
AT,2006,9020566919
AT,2007,31854723036
AT,2008,6536106311
AT,2009,9066967097
AT,2010,846113441
AT,2011,10706947280
AT,2012,6315094295
AU,2000,41978939168
AU,2001,32161902812
AU,2002,40493262858
AU,2003,20688222097
AU,2004,79336215552
AU,2005,-41886164917
AU,2006,51666321370
AU,2007,65576579089
AU,2008,64431992612
AU,2009,38607057230
AU,2010,41074638461
AU,2011,65092574539
AU,2012,56958938746
AW,2000,
AW,2001,
AW,2002,
AW,2003,
AW,2004,
AW,2005,
AW,2006,
AW,2007,
AW,2008,
AW,2009,
AW,2010,
AW,2011,
AW,2012,
AZ,2000,437142986
AZ,2001,749403355
AZ,2002,4564442331
AZ,2003,10189600699
AZ,2004,10187092749
AZ,2005,3987308040
AZ,2006,-1174329072
AZ,2007,-7585249601
AZ,2008,17791566
AZ,2009,684038566
AZ,2010,714827190
AZ,2011,1521501741
AZ,2012,2004600000
BA,2000,311717684
BA,2001,249322654
BA,2002,503593498
BA,2003,595004385
BA,2004,707861140
BA,2005,468820289
BA,2006,687363129
BA,2007,1941739504
BA,2008,946055212
BA,2009,145353721
BA,2010,325979440
BA,2011,354930714
BA,2012,632940352
BB,2000,67204828
BB,2001,103840343
BB,2002,95951387
BB,2003,195568855
BB,2004,141139179
BB,2005,249517044
BB,2006,339298487
BB,2007,458959542
BB,2008,445727799
BB,2009,225037594
BB,2010,273841968
BB,2011,514709341
BB,2012,356372288
BD,2000,754968617
BD,2001,483344150
BD,2002,446955522
BD,2003,458850877
BD,2004,589722438
BD,2005,1113128837
BD,2006,1042206586
BD,2007,821206929
BD,2008,1242292034
BD,2009,754950256
BD,2010,935911411
BD,2011,1154298928
BD,2012,990040000
BE,2000,1.58E+11
BE,2001,1.58E+11
BE,2002,27167597075
BE,2003,45774759818
BE,2004,53031269061
BE,2005,40858930595
BE,2006,67735330478
BE,2007,96241523927
BE,2008,1.86E+11
BE,2009,59727007637
BE,2010,86492637109
BE,2011,97345032321
BE,2012,-1613786051
BF,2000,47545447
BF,2001,12763153
BF,2002,28142651
BF,2003,44926715
BF,2004,20112942
BF,2005,46024394
BF,2006,45243428
BF,2007,414536268
BF,2008,108805006
BF,2009,107171122
BF,2010,36529065
BF,2011,40877793
BF,2012,40091169
BG,2000,2637887402
BG,2001,2038421432
BG,2002,2107015875
BG,2003,3896307856
BG,2004,5533174156
BG,2005,5934002875
BG,2006,10966399934
BG,2007,14605503450
BG,2008,9979618605
BG,2009,3472771328
BG,2010,1597035505
BG,2011,1740614316
BG,2012,1899389272
BH,2000,684509615
BH,2001,152864319
BH,2002,408889017
BH,2003,896389090
BH,2004,1352492028
BH,2005,1441138707
BH,2006,3680327398
BH,2007,2044791309
BH,2008,1875459208
BH,2009,309046172
BH,2010,174311257
