id,vear,value
AD,2000,NA
AE,2000,8.3
AF,2000,2.1
AG,2000,NA
AL,2000,8.5
AM,2000,10.8
AO,2000,4.4
AR,2000,9.1
AT,2000,9.1
AU,2000,11.9
AZ,2000,10.6
BA,2000,NA
BB,2000,8.7
BD,2000,3.7
BE,2000,10
BF,2000,NA
BG,2000,9.5
BH,2000,8.3
BI,2000,1.8
BJ,2000,2.6
BN,2000,8.2
BO,2000,7.4
BR,2000,5.6
BS,2000,10.9
BT,2000,NA
BW,2000,7.5
BY,2000,NA
BZ,2000,8.8
CA,2000,11.1
CD,2000,2.9
CF,2000,2.8
CG,2000,5.5
CH,2000,11.4
CI,2000,3.2
CL,2000,8.8
CM,2000,4.8
CN,2000,6.6
CO,2000,6.5
CR,2000,8
CU,2000,9.6
CV,2000,3.5
CY,2000,10
CZ,2000,11.9
DE,2000,10.5
DJ,2000,NA
DK,2000,10.5
DM,2000,7.7
DO,2000,6.4
DZ,2000,5.9
EC,2000,7
EE,2000,11.7
EG,2000,4.7
ER,2000,NA
ES,2000,8.4
ET,2000,1.5
FI,2000,8.2
FJ,2000,9.1
FM,2000,8.8
FR,2000,9.8
GA,2000,6.1
GB,2000,11.6
GD,2000,NA
GE,2000,NA
GH,2000,6.3
GM,2000,2
GN,2000,NA
GQ,2000,5.4
GR,2000,8.6
GT,2000,3.7
GW,2000,NA
GY,2000,7.7
HK,2000,8.7
HN,2000,4.3
HR,2000,9.4
HT,2000,3.9
HU,2000,10.7
ID,2000,6.7
IE,2000,11.2
IL,2000,12
IN,2000,3.6
IQ,2000,4.8
IR,2000,6
IS,2000,9.3
IT,2000,8.4
JM,2000,8.6
JO,2000,9.5
JP,2000,10.8
KE,2000,5.9
KG,2000,9.2
KH,2000,5.7
KI,2000,NA
KM,2000,NA
KN,2000,NA
KR,2000,10.6
KW,2000,6.2
KZ,2000,9.9
LA,2000,3.9
LB,2000,NA
LC,2000,NA
LI,2000,NA
LK,2000,10
LR,2000,3.2
LS,2000,4.9
LT,2000,10.9
LU,2000,10.8
LV,2000,9.4
LY,2000,5.6
MA,2000,3.4
MD,2000,9
ME,2000,NA
MG,2000,5.2
MK,2000,NA
ML,2000,1.2
MM,2000,3
MN,2000,8.1
MR,2000,2.9
MT,2000,8.1
MU,2000,7.1
MV,2000,4.2
MW,2000,3
MX,2000,6.7
MY,2000,8.2
MZ,2000,1.8
NA,2000,5.6
NE,2000,1.1
NG,2000,NA
NI,2000,4.7
NL,2000,10.8
NO,2000,11.5
NP,2000,2.4
NZ,2000,12
OM,2000,NA
PA,2000,8.5
PE,2000,8
PG,2000,3.2
PH,2000,8
PK,2000,3.3
PL,2000,11.1
PS,2000,NA
PT,2000,6.6
PW,2000,11.4
PY,2000,5.9
QA,2000,7.9
RO,2000,9.9
RS,2000,9.2
RU,2000,11.3
RW,2000,2.3
SA,2000,7.4
SB,2000,4.5
SC,2000,9.4
SD,2000,2.4
SE,2000,11
SG,2000,7.6
SI,2000,11.6
SK,2000,11.2
SL,2000,2.4
SN,2000,3.7
SR,2000,NA
ST,2000,4.2
SV,2000,5.2
SY,2000,5.1
SZ,2000,6
TD,2000,1.5
TG,2000,4.4
TH,2000,6.1
TJ,2000,9.9
TL,2000,2.8
TM,2000,9.9
TN,2000,4.8
TO,2000,8.9
TR,2000,5.5
TT,2000,8.3
TZ,2000,4.6
UA,2000,10.7
UG,2000,3.9
US,2000,12.7
UY,2000,8
UZ,2000,NA
VC,2000,NA
VE,2000,6.6
VN,2000,4.5
VU,2000,NA
WS,2000,10.3
YE,2000,1.1
ZA,2000,8.8
ZM,2000,5.9
ZW,2000,5.9
AD,2001,NA
AE,2001,NA
AF,2001,NA
AG,2001,NA
AL,2001,8.60585
AM,2001,10.27363
AO,2001,NA
AR,2001,NA
AT,2001,NA
AU,2001,NA
AZ,2001,NA
BA,2001,NA
BB,2001,NA
BD,2001,4.25319
BE,2001,NA
BF,2001,NA
BG,2001,9.92206
BH,2001,NA
BI,2001,NA
BJ,2001,NA
BN,2001,NA
BO,2001,7.26961
BR,2001,NA
BS,2001,NA
BT,2001,NA
BW,2001,NA
BY,2001,NA
BZ,2001,NA
CA,2001,NA
CD,2001,NA
CF,2001,NA
CG,2001,NA
CH,2001,NA
CI,2001,NA
CL,2001,NA
CM,2001,NA
CN,2001,NA
CO,2001,NA
CR,2001,NA
CU,2001,NA
CV,2001,NA
CY,2001,NA
CZ,2001,NA
DE,2001,NA
DJ,2001,NA
DK,2001,NA
DM,2001,NA
DO,2001,NA
DZ,2001,NA
EC,2001,NA
EE,2001,NA
EG,2001,NA
ER,2001,NA
ES,2001,NA
ET,2001,NA
FI,2001,NA
FJ,2001,NA
FM,2001,NA
FR,2001,NA
GA,2001,NA
GB,2001,NA
GD,2001,NA
GE,2001,NA
GH,2001,NA
GM,2001,NA
GN,2001,NA
GQ,2001,NA
GR,2001,NA
GT,2001,NA
GW,2001,NA
GY,2001,NA
HK,2001,NA
HN,2001,NA
HR,2001,9.84091
HT,2001,NA
HU,2001,10.17593
ID,2001,NA
IE,2001,NA
IL,2001,NA
IN,2001,NA
IQ,2001,NA
IR,2001,NA
IS,2001,NA
IT,2001,8.68205
JM,2001,NA
JO,2001,NA
JP,2001,NA
KE,2001,NA
KG,2001,NA
KH,2001,NA
KI,2001,NA
KM,2001,NA
KN,2001,NA
KR,2001,NA
KW,2001,NA
KZ,2001,NA
LA,2001,NA
LB,2001,NA
LC,2001,NA
LI,2001,NA
LK,2001,10.90722
LR,2001,NA
LS,2001,NA
LT,2001,NA
LU,2001,NA
LV,2001,NA
LY,2001,NA
MA,2001,NA
MD,2001,NA
ME,2001,NA
MG,2001,NA
MK,2001,NA
ML,2001,NA
MM,2001,NA
MN,2001,NA
MR,2001,NA
MT,2001,NA
MU,2001,NA
MV,2001,NA
MW,2001,NA
MX,2001,NA
MY,2001,NA
MZ,2001,NA
NA,2001,5.77449
NE,2001,NA
NG,2001,NA
NI,2001,NA
NL,2001,NA
NO,2001,NA
NP,2001,NA
NZ,2001,NA
OM,2001,NA
PA,2001,NA
PE,2001,NA
PG,2001,NA
PH,2001,NA
PK,2001,NA
PL,2001,NA
PS,2001,NA
PT,2001,NA
PW,2001,NA
PY,2001,NA
QA,2001,NA
RO,2001,NA
RS,2001,NA
RU,2001,NA
RW,2001,NA
SA,2001,NA
SB,2001,NA
SC,2001,NA
SD,2001,NA
SE,2001,NA
SG,2001,NA
SI,2001,NA
SK,2001,10.12062
SL,2001,NA
SN,2001,NA
SR,2001,NA
ST,2001,NA
SV,2001,NA
SY,2001,NA
SZ,2001,NA
TD,2001,NA
TG,2001,NA
TH,2001,NA
TJ,2001,NA
TL,2001,NA
TM,2001,NA
TN,2001,NA
TO,2001,NA
TR,2001,NA
TT,2001,NA
TZ,2001,NA
UA,2001,NA
UG,2001,NA
US,2001,NA
UY,2001,NA
UZ,2001,NA
VC,2001,NA
VE,2001,NA
VN,2001,NA
VU,2001,NA
WS,2001,NA
YE,2001,NA
ZA,2001,7.53414
ZM,2001,NA
ZW,2001,NA
AD,2002,NA
AE,2002,NA
AF,2002,NA
AG,2002,NA
AL,2002,NA
AM,2002,NA
AO,2002,NA
AR,2002,NA
AT,2002,NA
AU,2002,NA
AZ,2002,NA
BA,2002,NA
BB,2002,NA
BD,2002,NA
BE,2002,NA
BF,2002,NA
BG,2002,NA
BH,2002,NA
BI,2002,NA
BJ,2002,NA
BN,2002,NA
BO,2002,NA
BR,2002,NA
BS,2002,NA
BT,2002,NA
BW,2002,NA
BY,2002,NA
BZ,2002,NA
CA,2002,NA
CD,2002,NA
CF,2002,NA
CG,2002,NA
CH,2002,NA
CI,2002,NA
CL,2002,NA
CM,2002,NA
CN,2002,NA
CO,2002,NA
CR,2002,NA
CU,2002,9.45187
CV,2002,NA
CY,2002,NA
CZ,2002,NA
DE,2002,NA
DJ,2002,NA
DK,2002,NA
DM,2002,NA
DO,2002,NA
DZ,2002,NA
EC,2002,NA
EE,2002,NA
EG,2002,NA
ER,2002,NA
ES,2002,NA
ET,2002,NA
FI,2002,NA
FJ,2002,NA
FM,2002,NA
FR,2002,NA
GA,2002,NA
GB,2002,NA
GD,2002,NA
GE,2002,11.89378
GH,2002,NA
GM,2002,NA
GN,2002,NA
GQ,2002,NA
GR,2002,NA
GT,2002,3.82177
GW,2002,NA
GY,2002,6.41024
HK,2002,NA
HN,2002,NA
HR,2002,NA
HT,2002,NA
HU,2002,NA
ID,2002,NA
IE,2002,NA
IL,2002,NA
IN,2002,NA
IQ,2002,NA
IR,2002,NA
IS,2002,NA
IT,2002,NA
JM,2002,NA
JO,2002,NA
JP,2002,NA
KE,2002,NA
KG,2002,NA
KH,2002,NA
KI,2002,NA
KM,2002,NA
KN,2002,NA
KR,2002,NA
KW,2002,NA
KZ,2002,NA
LA,2002,NA
LB,2002,NA
LC,2002,NA
LI,2002,NA
LK,2002,NA
LR,2002,NA
LS,2002,NA
LT,2002,NA
LU,2002,NA
LV,2002,NA
LY,2002,NA
MA,2002,NA
MD,2002,NA
ME,2002,NA
MG,2002,NA
MK,2002,NA
ML,2002,NA
MM,2002,NA
MN,2002,NA
MR,2002,NA
MT,2002,NA
MU,2002,NA
MV,2002,NA
MW,2002,NA
MX,2002,NA
MY,2002,NA
MZ,2002,NA
NA,2002,NA
NE,2002,NA
NG,2002,NA
NI,2002,NA
NL,2002,NA
NO,2002,NA
NP,2002,NA
NZ,2002,NA
OM,2002,NA
PA,2002,NA
PE,2002,NA
PG,2002,NA
PH,2002,NA
PK,2002,NA
PL,2002,NA
PS,2002,NA
PT,2002,NA
PW,2002,NA
PY,2002,NA
QA,2002,NA
RO,2002,9.55589
RS,2002,NA
RU,2002,NA
RW,2002,NA
SA,2002,NA
SB,2002,NA
SC,2002,NA
SD,2002,NA
SE,2002,NA
SG,2002,NA
SI,2002,NA
SK,2002,NA
SL,2002,NA
SN,2002,NA
SR,2002,NA
ST,2002,NA
SV,2002,NA
SY,2002,NA
SZ,2002,NA
TD,2002,NA
TG,2002,NA
TH,2002,NA
TJ,2002,NA
TL,2002,NA
TM,2002,NA
TN,2002,NA
TO,2002,NA
TR,2002,NA
TT,2002,NA
TZ,2002,NA
UA,2002,NA
UG,2002,NA
US,2002,NA
UY,2002,NA
UZ,2002,NA
VC,2002,NA
VE,2002,NA
VN,2002,NA
VU,2002,NA
WS,2002,NA
YE,2002,NA
ZA,2002,8.54677
ZM,2002,NA
ZW,2002,NA
AD,2003,NA
AE,2003,NA
AF,2003,NA
AG,2003,NA
AL,2003,NA
AM,2003,NA
AO,2003,NA
AR,2003,9.7898
AT,2003,NA
AU,2003,NA
AZ,2003,NA
BA,2003,NA
BB,2003,NA
BD,2003,NA
BE,2003,NA
BF,2003,NA
BG,2003,NA
BH,2003,NA
BI,2003,NA
BJ,2003,NA
BN,2003,NA
BO,2003,NA
BR,2003,NA
BS,2003,NA
BT,2003,NA
BW,2003,NA
BY,2003,NA
BZ,2003,NA
CA,2003,NA
CD,2003,NA
CF,2003,NA
CG,2003,NA
CH,2003,NA
CI,2003,NA
CL,2003,NA
CM,2003,NA
CN,2003,NA
CO,2003,NA
CR,2003,NA
CU,2003,NA
CV,2003,NA
CY,2003,NA
CZ,2003,NA
DE,2003,NA
DJ,2003,NA
DK,2003,12.81881
DM,2003,NA
DO,2003,NA
DZ,2003,NA
EC,2003,NA
EE,2003,NA
EG,2003,NA
ER,2003,NA
ES,2003,NA
ET,2003,NA
FI,2003,NA
FJ,2003,NA
FM,2003,NA
FR,2003,NA
GA,2003,NA
GB,2003,NA
GD,2003,NA
GE,2003,NA
GH,2003,NA
GM,2003,NA
GN,2003,NA
GQ,2003,NA
GR,2003,NA
GT,2003,NA
GW,2003,NA
GY,2003,NA
HK,2003,NA
HN,2003,NA
HR,2003,NA
HT,2003,NA
HU,2003,NA
ID,2003,NA
IE,2003,NA
IL,2003,NA
IN,2003,NA
IQ,2003,NA
IR,2003,NA
IS,2003,NA
IT,2003,NA
JM,2003,NA
JO,2003,NA
JP,2003,NA
KE,2003,NA
KG,2003,NA
KH,2003,NA
KI,2003,NA
KM,2003,NA
KN,2003,NA
KR,2003,NA
KW,2003,NA
KZ,2003,NA
LA,2003,NA
LB,2003,NA
LC,2003,NA
LI,2003,NA
LK,2003,NA
LR,2003,NA
LS,2003,NA
LT,2003,NA
LU,2003,NA
LV,2003,NA
LY,2003,NA
MA,2003,NA
MD,2003,NA
ME,2003,10.34473
MG,2003,NA
MK,2003,NA
ML,2003,NA
MM,2003,NA
MN,2003,NA
MR,2003,NA
MT,2003,NA
MU,2003,NA
MV,2003,NA
MW,2003,NA
MX,2003,NA
MY,2003,NA
MZ,2003,NA
NA,2003,NA
NE,2003,NA
NG,2003,NA
NI,2003,NA
NL,2003,NA
NO,2003,NA
NP,2003,NA
NZ,2003,NA
OM,2003,6.27125
PA,2003,NA
PE,2003,NA
PG,2003,NA
PH,2003,NA
PK,2003,NA
PL,2003,NA
PS,2003,NA
PT,2003,NA
PW,2003,NA
PY,2003,6.9361
QA,2003,NA
RO,2003,NA
RS,2003,NA
RU,2003,NA
RW,2003,NA
SA,2003,NA
SB,2003,NA
SC,2003,NA
SD,2003,NA
SE,2003,NA
SG,2003,NA
SI,2003,NA
SK,2003,NA
SL,2003,NA
SN,2003,NA
SR,2003,NA
ST,2003,NA
SV,2003,NA
SY,2003,NA
SZ,2003,NA
TD,2003,NA
TG,2003,NA
TH,2003,NA
TJ,2003,NA
TL,2003,NA
TM,2003,NA
TN,2003,NA
TO,2003,NA
TR,2003,NA
TT,2003,NA
TZ,2003,NA
UA,2003,NA
UG,2003,NA
US,2003,NA
UY,2003,NA
UZ,2003,NA
VC,2003,NA
VE,2003,NA
VN,2003,NA
VU,2003,NA
WS,2003,NA
YE,2003,NA
ZA,2003,8.75915
ZM,2003,NA
ZW,2003,NA
AD,2004,NA
AE,2004,NA
AF,2004,NA
AG,2004,NA
AL,2004,NA
AM,2004,NA
AO,2004,NA
AR,2004,NA
AT,2004,NA
AU,2004,11.92607
AZ,2004,NA
BA,2004,NA
BB,2004,NA
BD,2004,NA
BE,2004,NA
BF,2004,NA
BG,2004,NA
BH,2004,NA
BI,2004,NA
BJ,2004,NA
BN,2004,NA
BO,2004,NA
BR,2004,NA
BS,2004,NA
BT,2004,NA
BW,2004,NA
BY,2004,NA
BZ,2004,NA
CA,2004,NA
CD,2004,NA
CF,2004,NA
CG,2004,NA
CH,2004,NA
CI,2004,NA
CL,2004,9.59755
CM,2004,NA
CN,2004,NA
CO,2004,6.55907
CR,2004,NA
CU,2004,NA
CV,2004,NA
CY,2004,NA
CZ,2004,NA
DE,2004,NA
DJ,2004,NA
DK,2004,NA
DM,2004,NA
DO,2004,NA
DZ,2004,NA
EC,2004,NA
EE,2004,NA
EG,2004,NA
ER,2004,NA
ES,2004,8.67439
ET,2004,NA
FI,2004,NA
FJ,2004,NA
FM,2004,NA
FR,2004,10.34798
GA,2004,NA
GB,2004,NA
GD,2004,NA
GE,2004,NA
GH,2004,NA
GM,2004,NA
GN,2004,NA
GQ,2004,NA
GR,2004,NA
GT,2004,NA
GW,2004,NA
GY,2004,NA
HK,2004,NA
HN,2004,NA
HR,2004,NA
HT,2004,NA
HU,2004,NA
ID,2004,NA
IE,2004,NA
IL,2004,NA
IN,2004,NA
IQ,2004,NA
IR,2004,NA
IS,2004,NA
IT,2004,NA
JM,2004,NA
JO,2004,NA
JP,2004,NA
KE,2004,NA
KG,2004,NA
KH,2004,NA
KI,2004,NA
KM,2004,NA
KN,2004,NA
KR,2004,NA
KW,2004,NA
KZ,2004,NA
LA,2004,NA
LB,2004,NA
LC,2004,NA
LI,2004,NA
LK,2004,NA
LR,2004,NA
LS,2004,NA
LT,2004,NA
LU,2004,NA
LV,2004,NA
LY,2004,NA
MA,2004,NA
MD,2004,NA
ME,2004,NA
MG,2004,NA
MK,2004,NA
ML,2004,NA
MM,2004,NA
MN,2004,NA
MR,2004,NA
MT,2004,NA
MU,2004,NA
MV,2004,NA
MW,2004,NA
MX,2004,7.29023
MY,2004,NA
MZ,2004,NA
NA,2004,NA
NE,2004,NA
NG,2004,NA
NI,2004,NA
NL,2004,NA
NO,2004,NA
NP,2004,NA
NZ,2004,NA
OM,2004,NA
PA,2004,NA
PE,2004,8.55079
PG,2004,NA
PH,2004,NA
PK,2004,NA
PL,2004,NA
PS,2004,7.54359
PT,2004,6.95862
PW,2004,NA
PY,2004,NA
QA,2004,8.30385
RO,2004,NA
RS,2004,NA
RU,2004,NA
RW,2004,NA
SA,2004,7.29703
SB,2004,NA
SC,2004,NA
SD,2004,NA
SE,2004,NA
SG,2004,NA
SI,2004,11.67903
SK,2004,NA
SL,2004,NA
SN,2004,NA
SR,2004,7.65141
ST,2004,NA
SV,2004,NA
SY,2004,NA
SZ,2004,NA
TD,2004,NA
TG,2004,NA
TH,2004,6.92574
TJ,2004,NA
TL,2004,NA
TM,2004,NA
TN,2004,NA
TO,2004,NA
TR,2004,5.90298
TT,2004,NA
TZ,2004,NA
UA,2004,NA
UG,2004,NA
US,2004,NA
UY,2004,NA
UZ,2004,NA
VC,2004,NA
VE,2004,NA
VN,2004,NA
VU,2004,NA
WS,2004,NA
YE,2004,NA
ZA,2004,8.82416
ZM,2004,NA
ZW,2004,NA
AD,2005,NA
AE,2005,9
AF,2005,2.5
AG,2005,NA
AL,2005,8.8
AM,2005,10.8
AO,2005,4.4
AR,2005,9.1
AT,2005,9.9
AU,2005,12.1
AZ,2005,10.7
BA,2005,8.7
BB,2005,9.2
BD,2005,4.4
BE,2005,10.6
BF,2005,1.3
BG,2005,10
BH,2005,9
BI,2005,2.3
BJ,2005,2.9
BN,2005,8.4
BO,2005,8.3
BR,2005,6.6
BS,2005,10.9
BT,2005,NA
BW,2005,8.2
BY,2005,9.3
BZ,2005,9
CA,2005,12.3
CD,2005,3
CF,2005,3.2
CG,2005,5.8
CH,2005,12
CI,2005,3.7
CL,2005,9.5
CM,2005,5.4
CN,2005,7.1
CO,2005,6.8
CR,2005,7.9
CU,2005,9.9
CV,2005,3.5
CY,2005,10.7
CZ,2005,13.1
DE,2005,12.4
DJ,2005,3.8
DK,2005,11.8
DM,2005,7.7
DO,2005,7
DZ,2005,6.9
EC,2005,7.3
EE,2005,11.9
EG,2005,5.5
ER,2005,NA
ES,2005,8.9
ET,2005,1.5
FI,2005,10.1
FJ,2005,9
FM,2005,8.8
FR,2005,10.4
GA,2005,6.9
GB,2005,12.2
GD,2005,NA
GE,2005,12.1
GH,2005,6.5
GM,2005,2.3
GN,2005,1.6
GQ,2005,5.4
GR,2005,9.8
GT,2005,3.5
GW,2005,2.3
GY,2005,8
HK,2005,9.4
HN,2005,4.7
HR,2005,9.7
HT,2005,4.5
HU,2005,11.1
ID,2005,7.4
IE,2005,11.4
IL,2005,12.3
IN,2005,4
IQ,2005,5.3
IR,2005,7
IS,2005,9.9
IT,2005,9.5
JM,2005,9
JO,2005,9.7
JP,2005,11.1
KE,2005,5.9
KG,2005,9.2
KH,2005,5.7
KI,2005,NA
KM,2005,2.8
KN,2005,NA
KR,2005,11.4
KW,2005,6.1
KZ,2005,10.2
LA,2005,4.2
LB,2005,7.9
LC,2005,NA
LI,2005,NA
LK,2005,10.4
LR,2005,3.4
LS,2005,5.3
LT,2005,11.8
LU,2005,11
LV,2005,10.4
LY,2005,6.4
MA,2005,3.9
MD,2005,9.4
ME,2005,10.6
MG,2005,5.2
MK,2005,8.2
ML,2005,1.7
MM,2005,3.4
MN,2005,8.2
MR,2005,3.3
MT,2005,8.8
MU,2005,7.7
MV,2005,5
MW,2005,3.4
MX,2005,7.5
MY,2005,8.9
MZ,2005,2.9
NA,2005,6
NE,2005,1.3
NG,2005,5
NI,2005,5.1
NL,2005,11.6
NO,2005,12.7
NP,2005,2.7
NZ,2005,12.2
OM,2005,6.5
PA,2005,9
PE,2005,8.4
PG,2005,3.5
PH,2005,8.6
PK,2005,4.5
PL,2005,11.3
PS,2005,7.6
PT,2005,7.1
PW,2005,12.2
PY,2005,7.3
QA,2005,8.7
RO,2005,10.1
RS,2005,9.4
RU,2005,11.6
RW,2005,2.8
SA,2005,8.1
SB,2005,4.5
SC,2005,9.4
SD,2005,2.8
SE,2005,11.6
SG,2005,8.4
SI,2005,11.4
SK,2005,11.6
SL,2005,2.6
SN,2005,4
SR,2005,7.7
ST,2005,4.2
SV,2005,6
SY,2005,6.5
SZ,2005,6.6
TD,2005,1.5
TG,2005,4.8
TH,2005,6.7
TJ,2005,10
TL,2005,2.8
TM,2005,9.9
TN,2005,5.7
TO,2005,9
TR,2005,6
TT,2005,10.3
TZ,2005,4.8
UA,2005,11.1
UG,2005,4.9
US,2005,12.8
UY,2005,8
UZ,2005,10
VC,2005,NA
VE,2005,7.4
VN,2005,4.9
VU,2005,NA
WS,2005,10.3
YE,2005,1.8
ZA,2005,8.9
ZM,2005,6.4
ZW,2005,6.7
AD,2006,NA
AE,2006,9
AF,2006,2.6
AG,2006,NA
AL,2006,8.9
AM,2006,10.8
AO,2006,4.5
AR,2006,9
AT,2006,10.1
AU,2006,12.2
AZ,2006,10.7
BA,2006,8.6
BB,2006,9.2
BD,2006,4.6
BE,2006,10.6
BF,2006,1.3
BG,2006,10.1
BH,2006,9.1
BI,2006,2.4
BJ,2006,3
BN,2006,8.5
BO,2006,8.5
BR,2006,6.7
BS,2006,10.9
BT,2006,NA
BW,2006,8.3
BY,2006,9.7
BZ,2006,9
CA,2006,12.3
CD,2006,3
CF,2006,3.3
CG,2006,5.9
CH,2006,12
CI,2006,3.8
CL,2006,9.5
CM,2006,5.5
CN,2006,7.2
CO,2006,6.7
CR,2006,7.9
CU,2006,10
CV,2006,3.5
CY,2006,10.9
CZ,2006,12.9
DE,2006,12.8
DJ,2006,3.8
DK,2006,11.9
DM,2006,7.7
DO,2006,7.1
DZ,2006,7
EC,2006,7.3
EE,2006,11.9
EG,2006,5.7
ER,2006,NA
ES,2006,9.1
ET,2006,1.6
FI,2006,10.1
FJ,2006,9.3
FM,2006,8.8
FR,2006,10.6
GA,2006,7
GB,2006,12.2
GD,2006,NA
GE,2006,12.1
GH,2006,6.6
GM,2006,2.4
GN,2006,1.6
GQ,2006,5.4
GR,2006,9.9
GT,2006,3.6
GW,2006,2.3
GY,2006,8.1
HK,2006,9.5
HN,2006,4.8
HR,2006,9.9
HT,2006,4.5
HU,2006,11.2
ID,2006,7.6
IE,2006,11.4
IL,2006,12.3
IN,2006,4.1
IQ,2006,5.3
IR,2006,7.2
IS,2006,10
IT,2006,9.6
JM,2006,9.2
JO,2006,9.8
JP,2006,11.2
KE,2006,6
KG,2006,9.2
KH,2006,5.7
KI,2006,NA
KM,2006,2.8
KN,2006,NA
KR,2006,11.4
KW,2006,6.1
KZ,2006,10.2
LA,2006,4.3
LB,2006,7.9
LC,2006,NA
LI,2006,NA
LK,2006,10.5
LR,2006,3.5
LS,2006,5.4
LT,2006,11.9
LU,2006,11.1
LV,2006,10.6
LY,2006,6.6
MA,2006,4
MD,2006,9.5
ME,2006,10.6
MG,2006,5.2
MK,2006,8.2
ML,2006,1.7
MM,2006,3.5
MN,2006,8.2
MR,2006,3.4
MT,2006,8.8
MU,2006,7.9
MV,2006,5.2
MW,2006,3.5
MX,2006,7.9
MY,2006,9.1
MZ,2006,2.9
NA,2006,6
NE,2006,1.3
NG,2006,5
NI,2006,5.3
NL,2006,11.8
NO,2006,12.7
NP,2006,2.8
NZ,2006,12.3
OM,2006,6.6
PA,2006,9.1
PE,2006,8.2
PG,2006,3.6
PH,2006,8.6
PK,2006,4.4
PL,2006,11.3
PS,2006,7.8
PT,2006,7.3
PW,2006,12.2
PY,2006,7
QA,2006,9.1
RO,2006,10.3
RS,2006,9.4
RU,2006,11.6
RW,2006,2.9
SA,2006,8.2
SB,2006,4.5
SC,2006,9.4
SD,2006,2.9
SE,2006,11.6
SG,2006,8.8
SI,2006,11.5
SK,2006,11.6
SL,2006,2.6
SN,2006,4.1
SR,2006,7.7
ST,2006,4.3
SV,2006,6.2
SY,2006,NA
SZ,2006,6.7
TD,2006,1.5
TG,2006,4.9
TH,2006,6.5
TJ,2006,10
TL,2006,3.1
TM,2006,9.9
TN,2006,5.8
TO,2006,9.1
TR,2006,6.1
TT,2006,10.4
TZ,2006,4.8
UA,2006,11.2
UG,2006,5
US,2006,12.8
UY,2006,8
UZ,2006,10
VC,2006,NA
VE,2006,7.6
VN,2006,5.1
VU,2006,NA
WS,2006,10.3
YE,2006,1.9
ZA,2006,8.9
ZM,2006,6.4
ZW,2006,6.8
AD,2007,NA
AE,2007,9
AF,2007,2.8
AG,2007,NA
AL,2007,8.9
AM,2007,10.8
AO,2007,4.5
AR,2007,8.9
AT,2007,10.3
AU,2007,12.2
AZ,2007,10.7
BA,2007,8.5
BB,2007,9.3
BD,2007,4.7
BE,2007,10.7
BF,2007,1.3
BG,2007,10.2
BH,2007,9.2
BI,2007,2.4
BJ,2007,3
BN,2007,8.5
BO,2007,8.7
BR,2007,6.8
BS,2007,10.9
BT,2007,NA
BW,2007,8.5
BY,2007,10.2
BZ,2007,9.1
CA,2007,12.3
CD,2007,3
CF,2007,3.4
CG,2007,5.9
CH,2007,12.1
CI,2007,3.9
CL,2007,9.4
CM,2007,5.6
CN,2007,7.2
CO,2007,6.8
CR,2007,8
CU,2007,10
CV,2007,3.5
CY,2007,11
CZ,2007,12.8
DE,2007,12.8
DJ,2007,3.8
DK,2007,11.9
DM,2007,7.7
DO,2007,7.2
DZ,2007,7.2
EC,2007,7.4
EE,2007,11.9
EG,2007,5.8
ER,2007,NA
ES,2007,9.2
ET,2007,2
FI,2007,10.2
FJ,2007,9.5
FM,2007,8.8
FR,2007,10.7
GA,2007,7.1
GB,2007,12.2
GD,2007,NA
GE,2007,12.1
GH,2007,6.7
