country,year,to-oda-capital
2,2006,179577315
15,2006,2064064250
21,2006,585502450
33,2006,1158195
AT,2006,7970779
BE,2006,71846830
CA,2006,53639892
CH,2006,15051963
DE,2006,1456844541
DK,2006,18103270
ES,2006,70683386
EU,2006,481970824
FR,2006,1082312441
GB,2006,1864826
IT,2006,325256571
JP,2006,7197025039
KR,2006,24687590
NL,2006,627856270
NO,2006,7660670
PT,2006,6562579
SE,2006,-4645
US,2006,962873241
2,2007,117029136
10,2007,34357167
15,2007,1972567508
21,2007,613945186
AT,2007,5351973
BE,2007,76527839
CA,2007,46454989
CH,2007,15004013
DE,2007,1387932725
DK,2007,16880690
ES,2007,67629707
EU,2007,103460891
FR,2007,957126611
GB,2007,1621001616
IT,2007,307747387
JP,2007,7323232303
KR,2007,32630072
NL,2007,427842026
NO,2007,5164437
PT,2007,6139009
SE,2007,1236780
US,2007,881813795
2,2008,124403693
10,2008,29569397
15,2008,2340400790
21,2008,731274998
AT,2008,7267176
BE,2008,97894174
CA,2008,45985244
CH,2008,13677789
DE,2008,1201247411
DK,2008,14991599
ES,2008,304556686
FR,2008,959627276
GB,2008,457730108
IT,2008,212257828
JP,2008,8340675826
KR,2008,42721189
NL,2008,269059671
NO,2008,3476219
PT,2008,5908752
SE,2008,2917555
US,2008,834232646
2,2009,91096454
10,2009,33535928
12,2009,3952667
15,2009,2372957964
17,2009,242796205
21,2009,705226286
24,2009,8057177
25,2009,164432291
AE,2009,214485354
AT,2009,12780923
BE,2009,72581404
CA,2009,50234939
CH,2009,11661384
DE,2009,1158478567
ES,2009,320466728
FR,2009,1087340518
GB,2009,225810628
IT,2009,166852916
JP,2009,7704454871
KR,2009,41710020
NL,2009,258425704
PT,2009,31295018
SE,2009,4818270
US,2009,776548467
1,2010,39529398
2,2010,84887134
3,2010,571930319
6,2010,940797852
11,2010,3024915
12,2010,28345593
15,2010,2437612608
17,2010,228796766
21,2010,666553610
24,2010,12175842
25,2010,159501773
28,2010,11356848
29,2010,366619
31,2010,5224570
33,2010,4422719
34,2010,93711
37,2010,313679
AE,2010,165031595
AT,2010,4563184
BE,2010,71837249
CA,2010,46782030
CH,2010,17790458
DE,2010,1313447013
DK,2010,77385098
ES,2010,265383026
EU,2010,141592764
FR,2010,1125782869
GB,2010,374015318
IT,2010,163718877
JP,2010,8338622104
KR,2010,34298555
KW,2010,427344774
NL,2010,110092651
PT,2010,31388757
SE,2010,8304846
US,2010,663024651
2,2011,80280009
4,2011,517637974
6,2011,1050373856
7,2011,48076653
12,2011,34238189
15,2011,3825091878
17,2011,201183480
21,2011,666173715
24,2011,15771840
25,2011,149746119
28,2011,6813305
29,2011,2342
31,2011,1482260
33,2011,14692613
34,2011,293230
37,2011,7779503
AE,2011,76335781
AT,2011,4090546
BE,2011,73316905
CA,2011,47091286
CH,2011,26622285
DE,2011,1243594729
DK,2011,65708631
ES,2011,273489185
EU,2011,185147218
FI,2011,19047932
FR,2011,989236569
GB,2011,342847021
IT,2011,130287914
JP,2011,7735002357
KR,2011,44371260
KW,2011,342504591
LU,2011,1197241
NL,2011,200905005
PT,2011,30395009
SE,2011,47642294
US,2011,648898926
2,2012,93929080
4,2012,551694322
6,2012,1118565056
7,2012,50672220
11,2012,2029746
12,2012,51610999
15,2012,3123158531
17,2012,206394033
21,2012,668899010
22,2012,175602820
24,2012,16929962
25,2012,164731542
28,2012,3841309
29,2012,17340
31,2012,16236838
33,2012,11983983
34,2012,6683403
37,2012,462936
38,2012,1364
AE,2012,94949156
AT,2012,7682409
AU,2012,108326303
BE,2012,38690334
CA,2012,52485411
CH,2012,50272907
DE,2012,1325260656
DK,2012,119782034
ES,2012,85904812
EU,2012,873009175
FI,2012,6452442
FR,2012,1487078195
GB,2012,317753438
IT,2012,99681940
JP,2012,8053079642
KR,2012,49020650
KW,2012,302497714
LU,2012,2856562
NL,2012,106444730
NO,2012,96462401
NZ,2012,5296329
PT,2012,30937017
SE,2012,56793371
US,2012,563384342
