country,year,out_remittances
GA,2011,370.24
GB,2011,14395.57
GD,2011,0.00
GE,2011,51.87
GH,2011,0.00
GI,2011,0.00
GL,2011,0.00
GM,2011,270.10
GN,2011,149.16
GQ,2011,30.94
GR,2011,929.53
GT,2011,94.12
GU,2011,0.00
GW,2011,13.90
GY,2011,10.14
HK,2011,0.00
HN,2011,34.73
HR,2011,622.53
HT,2011,29.65
HU,2011,70.15
ID,2011,430.02
IE,2011,957.38
IL,2011,1887.67
IM,2011,0.00
IN,2011,8963.14
IQ,2011,57.42
IR,2011,336.59
IS,2011,27.19
IT,2011,8431.56
JM,2011,4.65
JO,2011,4873.29
JP,2011,7563.95
KE,2011,639.16
KG,2011,26.32
KH,2011,1021.81
KI,2011,0.47
KM,2011,0.02
KN,2011,2.39
KP,2011,0.00
KR,2011,0.00
KW,2011,7779.55
KY,2011,0.00
KZ,2011,450.47
LA,2011,32.56
LB,2011,0.00
LC,2011,1.17
LI,2011,0.00
LK,2011,1211.77
LR,2011,70.33
LS,2011,3.69
LT,2011,33.65
LU,2011,41.69
LV,2011,88.54
LY,2011,2029.56
MA,2011,0.00
MC,2011,0.00
MD,2011,174.25
ME,2011,0.00
MG,2011,47.27
MH,2011,0.20
MK,2011,146.71
ML,2011,65.59
MM,2011,325.97
MN,2011,14.89
MO,2011,0.00
MP,2011,0.00
MR,2011,107.61
MT,2011,0.00
MU,2011,130.77
MV,2011,0.00
MW,2011,32.36
MX,2011,297.29
MY,2011,6793.17
MZ,2011,319.76
NA,2011,46.87
NC,2011,0.00
NE,2011,385.01
NG,2011,323.31
NI,2011,91.46
NL,2011,2015.62
NO,2011,631.92
NP,2011,2870.29
NZ,2011,1329.31
OM,2011,3714.90
PA,2011,275.07
PE,2011,40.47
PF,2011,0.00
PG,2011,4.23
PH,2011,345.66
PK,2011,0.00
PL,2011,403.41
PR,2011,0.00
PS,2011,0.00
PT,2011,457.47
PW,2011,10.61
PY,2011,304.70
QA,2011,7144.41
RO,2011,120.05
RS,2011,0.00
RU,2011,0.00
RW,2011,34.47
SA,2011,24520.86
SB,2011,4.38
SC,2011,0.00
SD,2011,522.30
SE,2011,1230.90
SG,2011,6718.03
SI,2011,115.58
SK,2011,29.66
SL,2011,67.50
SM,2011,0.00
SN,2011,43.18
SO,2011,0.00
SR,2011,54.45
ST,2011,0.97
