Country Code,country,year,maternal-mortality
JAM,JM,2006,0
JOR,JO,2006,0
JPN,JP,2006,0
KAZ,KZ,2006,0
KEN,KE,2006,0
KGZ,KG,2006,0
KHM,KH,2006,0
KIR,KI,2006,0
KNA,KN,2006,0
KOR,KR,2006,0
XKS,XK,2006,0
KWT,KW,2006,0
LAO,LA,2006,0
LBN,LB,2006,0
LBR,LR,2006,0
LBY,LY,2006,0
LCA,LC,2006,0
LIE,LI,2006,0
LKA,LK,2006,0
LSO,LS,2006,0
LTU,LT,2006,0
LUX,LU,2006,0
LVA,LV,2006,0
MAC,MO,2006,0
MAF,MF,2006,0
MAR,MA,2006,0
MCO,MC,2006,0
MDA,MD,2006,0
MDG,MG,2006,0
MDV,MV,2006,0
MEX,MX,2006,0
MHL,MH,2006,0
MKD,MK,2006,0
MLI,ML,2006,0
MLT,MT,2006,0
MMR,MM,2006,0
MNE,ME,2006,0
MNG,MN,2006,0
MNP,MP,2006,0
MOZ,MZ,2006,0
MRT,MR,2006,0
MUS,MU,2006,0
MWI,MW,2006,0
MYS,MY,2006,0
NAM,NA,2006,0
NCL,NC,2006,0
NER,NE,2006,0
NGA,NG,2006,0
NIC,NI,2006,0
NLD,NL,2006,0
NOR,NO,2006,0
NPL,NP,2006,0
NZL,NZ,2006,0
OMN,OM,2006,0
PAK,PK,2006,0
PAN,PA,2006,0
PER,PE,2006,0
PHL,PH,2006,0
PLW,PW,2006,0
PNG,PG,2006,0
POL,PL,2006,0
PRI,PR,2006,0
PRK,KP,2006,0
PRT,PT,2006,0
PRY,PY,2006,0
PYF,PF,2006,0
QAT,QA,2006,0
ROU,RO,2006,0
RUS,RU,2006,0
RWA,RW,2006,0
SAU,SA,2006,0
SDN,SD,2006,0
SEN,SN,2006,0
SGP,SG,2006,0
SLB,SB,2006,0
SLE,SL,2006,0
SLV,SV,2006,0
SMR,SM,2006,0
SOM,SO,2006,0
SRB,RS,2006,0
SSD,SS,2006,0
STP,ST,2006,0
SUR,SR,2006,0
SVK,SK,2006,0
SVN,SI,2006,0
SWE,SE,2006,0
SWZ,SZ,2006,0
SXM,SX,2006,0
SYC,SC,2006,0
SYR,SY,2006,0
TCA,TC,2006,0
TCD,TD,2006,0
TGO,TG,2006,0
THA,TH,2006,0
TJK,TJ,2006,0
TKM,TM,2006,0
TLS,TL,2006,0
TON,TO,2006,0
TTO,TT,2006,0
TUN,TN,2006,0
TUR,TR,2006,0
TUV,TV,2006,0
TZA,TZ,2006,0
UGA,UG,2006,0
UKR,UA,2006,0
URY,UY,2006,0
USA,US,2006,0
UZB,UZ,2006,0
VCT,VC,2006,0
VEN,VE,2006,0
VIR,VI,2006,0
VNM,VN,2006,0
VUT,VU,2006,0
PSE,PS,2006,0
WSM,WS,2006,0
YEM,YE,2006,0
ZAF,ZA,2006,0
COD,CD,2006,0
ZMB,ZM,2006,0
ZWE,ZW,2006,0
ABW,AW,2007,0
AND,AD,2007,0
AFG,AF,2007,0
AGO,AO,2007,0
ALB,AL,2007,0
ARE,AE,2007,0
ARG,AR,2007,0
ARM,AM,2007,0
ASM,AS,2007,0
ATG,AG,2007,0
AUS,AU,2007,0
AUT,AT,2007,0
AZE,AZ,2007,0
BDI,BI,2007,0
BEL,BE,2007,0
BEN,BJ,2007,0
BFA,BF,2007,0
BGD,BD,2007,0
BGR,BG,2007,0
BHR,BH,2007,0
BHS,BS,2007,0
BIH,BA,2007,0
BLR,BY,2007,0
BLZ,BZ,2007,0
BMU,BM,2007,0
BOL,BO,2007,0
BRA,BR,2007,0
BRB,BB,2007,0
BRN,BN,2007,0
BTN,BT,2007,0
BWA,BW,2007,0
CAF,CF,2007,0
CAN,CA,2007,0
CHE,CH,2007,0
CHL,CL,2007,0
CHN,CN,2007,0
CIV,CI,2007,0
CMR,CM,2007,0
COG,CG,2007,0
