Country Code,country,year,maternal-mortality
JOR,JO,2010,53
JPN,JP,2010,6
KAZ,KZ,2010,40
KEN,KE,2010,460
KGZ,KG,2010,79
KHM,KH,2010,200
KIR,KI,2010,140
KNA,KN,2010,0
KOR,KR,2010,21
XKS,XK,2010,0
KWT,KW,2010,13
LAO,LA,2010,270
LBN,LB,2010,18
LBR,LR,2010,680
LBY,LY,2010,15
LCA,LC,2010,35
LIE,LI,2010,0
LKA,LK,2010,32
LSO,LS,2010,540
LTU,LT,2010,9
LUX,LU,2010,13
LVA,LV,2010,29
MAC,MO,2010,0
MAF,MF,2010,0
MAR,MA,2010,130
MCO,MC,2010,0
MDA,MD,2010,41
MDG,MG,2010,480
MDV,MV,2010,38
MEX,MX,2010,47
MHL,MH,2010,0
MKD,MK,2010,7
MLI,ML,2010,600
MLT,MT,2010,8
MMR,MM,2010,220
MNE,ME,2010,7
MNG,MN,2010,74
MNP,MP,2010,0
MOZ,MZ,2010,540
MRT,MR,2010,360
MUS,MU,2010,72
MWI,MW,2010,540
MYS,MY,2010,31
NAM,NA,2010,160
NCL,NC,2010,0
NER,NE,2010,690
NGA,NG,2010,610
NIC,NI,2010,110
NLD,NL,2010,7
NOR,NO,2010,5
NPL,NP,2010,220
NZL,NZ,2010,12
OMN,OM,2010,12
PAK,PK,2010,190
PAN,PA,2010,82
PER,PE,2010,100
PHL,PH,2010,120
PLW,PW,2010,0
PNG,PG,2010,240
POL,PL,2010,4
PRI,PR,2010,20
PRK,KP,2010,98
PRT,PT,2010,11
PRY,PY,2010,110
PYF,PF,2010,0
QAT,QA,2010,7
ROU,RO,2010,30
RUS,RU,2010,31
RWA,RW,2010,390
SAU,SA,2010,16
SDN,SD,2010,390
SEN,SN,2010,360
SGP,SG,2010,4
SLB,SB,2010,140
SLE,SL,2010,1200
SLV,SV,2010,71
SMR,SM,2010,0
SOM,SO,2010,930
SRB,RS,2010,14
SSD,SS,2010,830
STP,ST,2010,230
SUR,SR,2010,150
SVK,SK,2010,7
SVN,SI,2010,8
SWE,SE,2010,5
SWZ,SZ,2010,350
SXM,SX,2010,0
SYC,SC,2010,0
SYR,SY,2010,50
TCA,TC,2010,0
TCD,TD,2010,1100
TGO,TG,2010,480
THA,TH,2010,28
TJK,TJ,2010,48
TKM,TM,2010,65
TLS,TL,2010,330
TON,TO,2010,120
TTO,TT,2010,82
TUN,TN,2010,48
TUR,TR,2010,22
TUV,TV,2010,0
TZA,TZ,2010,460
UGA,UG,2010,410
UKR,UA,2010,29
URY,UY,2010,23
USA,US,2010,27
UZB,UZ,2010,40
VCT,VC,2010,47
VEN,VE,2010,110
VIR,VI,2010,0
VNM,VN,2010,51
VUT,VU,2010,90
PSE,PS,2010,53
WSM,WS,2010,62
YEM,YE,2010,290
ZAF,ZA,2010,140
COD,CD,2010,810
ZMB,ZM,2010,320
ZWE,ZW,2010,610
ABW,AW,2011,0
AND,AD,2011,0
AFG,AF,2011,0
AGO,AO,2011,0
ALB,AL,2011,0
ARE,AE,2011,0
ARG,AR,2011,0
ARM,AM,2011,0
ASM,AS,2011,0
ATG,AG,2011,0
AUS,AU,2011,0
AUT,AT,2011,0
AZE,AZ,2011,0
BDI,BI,2011,0
BEL,BE,2011,0
BEN,BJ,2011,0
BFA,BF,2011,0
BGD,BD,2011,0
BGR,BG,2011,0
BHR,BH,2011,0
BHS,BS,2011,0
BIH,BA,2011,0
BLR,BY,2011,0
BLZ,BZ,2011,0
BMU,BM,2011,0
BOL,BO,2011,0
BRA,BR,2011,0
BRB,BB,2011,0
BRN,BN,2011,0
BTN,BT,2011,0
BWA,BW,2011,0
CAF,CF,2011,0
CAN,CA,2011,0
CHE,CH,2011,0
CHL,CL,2011,0
CHN,CN,2011,0
CIV,CI,2011,0
CMR,CM,2011,0
COG,CG,2011,0
COL,CO,2011,0
COM,KM,2011,0
CPV,CV,2011,0
CRI,CR,2011,0
CUB,CU,2011,0
CUW,CW,2011,0
CYM,KY,2011,0
CYP,CY,2011,0
CZE,CZ,2011,0
DEU,DE,2011,0
DJI,DJ,2011,0
DMA,DM,2011,0
DNK,DK,2011,0
DOM,DO,2011,0
DZA,DZ,2011,0
ECU,EC,2011,0
EGY,EG,2011,0
ERI,ER,2011,0
ESP,ES,2011,0
EST,EE,2011,0
ETH,ET,2011,0
FIN,FI,2011,0
FJI,FJ,2011,0
FRA,FR,2011,0
FRO,FO,2011,0
FSM,FM,2011,0
GAB,GA,2011,0
GBR,GB,2011,0
GEO,GE,2011,0
GHA,GH,2011,0
GIN,GN,2011,0
GMB,GM,2011,0
GNB,GW,2011,0
GNQ,GQ,2011,0
GRC,GR,2011,0
GRD,GD,2011,0
GRL,GL,2011,0
GTM,GT,2011,0
GUM,GU,2011,0
GUY,GY,2011,0
HKG,HK,2011,0
HND,HN,2011,0
HRV,HR,2011,0
HTI,HT,2011,0
HUN,HU,2011,0
IDN,ID,2011,0
IND,IN,2011,0
IRL,IE,2011,0
IRN,IR,2011,0
IRQ,IQ,2011,0
ISL,IS,2011,0
ISR,IL,2011,0
ITA,IT,2011,0
JAM,JM,2011,0
JOR,JO,2011,0
JPN,JP,2011,0
KAZ,KZ,2011,0
KEN,KE,2011,0
KGZ,KG,2011,0
KHM,KH,2011,0
KIR,KI,2011,0
KNA,KN,2011,0
KOR,KR,2011,0
XKS,XK,2011,0
KWT,KW,2011,0
LAO,LA,2011,0
LBN,LB,2011,0
LBR,LR,2011,0
LBY,LY,2011,0
LCA,LC,2011,0
LIE,LI,2011,0
LKA,LK,2011,0
LSO,LS,2011,0
LTU,LT,2011,0
LUX,LU,2011,0
LVA,LV,2011,0
MAC,MO,2011,0
MAF,MF,2011,0
MAR,MA,2011,0
MCO,MC,2011,0
MDA,MD,2011,0
MDG,MG,2011,0
MDV,MV,2011,0
MEX,MX,2011,0
MHL,MH,2011,0
MKD,MK,2011,0
MLI,ML,2011,0
MLT,MT,2011,0
MMR,MM,2011,0
MNE,ME,2011,0
MNG,MN,2011,0
MNP,MP,2011,0
MOZ,MZ,2011,0
MRT,MR,2011,0
MUS,MU,2011,0
MWI,MW,2011,0
MYS,MY,2011,0
NAM,NA,2011,0
NCL,NC,2011,0
NER,NE,2011,0
NGA,NG,2011,0
NIC,NI,2011,0
NLD,NL,2011,0
NOR,NO,2011,0
NPL,NP,2011,0
NZL,NZ,2011,0
OMN,OM,2011,0
PAK,PK,2011,0
PAN,PA,2011,0
PER,PE,2011,0
PHL,PH,2011,0
PLW,PW,2011,0
PNG,PG,2011,0
POL,PL,2011,0
PRI,PR,2011,0
PRK,KP,2011,0
PRT,PT,2011,0
PRY,PY,2011,0
PYF,PF,2011,0
QAT,QA,2011,0
ROU,RO,2011,0
RUS,RU,2011,0
RWA,RW,2011,0
SAU,SA,2011,0
SDN,SD,2011,0
SEN,SN,2011,0
SGP,SG,2011,0
SLB,SB,2011,0
SLE,SL,2011,0
SLV,SV,2011,0
SMR,SM,2011,0
SOM,SO,2011,0
SRB,RS,2011,0
SSD,SS,2011,0
STP,ST,2011,0
SUR,SR,2011,0
SVK,SK,2011,0
SVN,SI,2011,0
SWE,SE,2011,0
SWZ,SZ,2011,0
SXM,SX,2011,0
SYC,SC,2011,0
SYR,SY,2011,0
TCA,TC,2011,0
TCD,TD,2011,0
TGO,TG,2011,0
THA,TH,2011,0
TJK,TJ,2011,0
TKM,TM,2011,0
TLS,TL,2011,0
TON,TO,2011,0
TTO,TT,2011,0
TUN,TN,2011,0
TUR,TR,2011,0
TUV,TV,2011,0
TZA,TZ,2011,0
UGA,UG,2011,0
UKR,UA,2011,0
URY,UY,2011,0
USA,US,2011,0
UZB,UZ,2011,0
VCT,VC,2011,0
VEN,VE,2011,0
VIR,VI,2011,0
VNM,VN,2011,0
VUT,VU,2011,0
PSE,PS,2011,0
WSM,WS,2011,0
YEM,YE,2011,0
ZAF,ZA,2011,0
COD,CD,2011,0
ZMB,ZM,2011,0
ZWE,ZW,2011,0
ABW,AW,2012,0
AND,AD,2012,0
AFG,AF,2012,0
AGO,AO,2012,0
ALB,AL,2012,0
ARE,AE,2012,0
ARG,AR,2012,0
ARM,AM,2012,0
ASM,AS,2012,0
ATG,AG,2012,0
AUS,AU,2012,0
AUT,AT,2012,0
AZE,AZ,2012,0
BDI,BI,2012,0
BEL,BE,2012,0
BEN,BJ,2012,0
BFA,BF,2012,0
BGD,BD,2012,0
BGR,BG,2012,0
BHR,BH,2012,0
BHS,BS,2012,0
BIH,BA,2012,0
BLR,BY,2012,0
BLZ,BZ,2012,0
BMU,BM,2012,0
BOL,BO,2012,0
BRA,BR,2012,0
BRB,BB,2012,0
BRN,BN,2012,0
BTN,BT,2012,0
BWA,BW,2012,0
CAF,CF,2012,0
CAN,CA,2012,0
CHE,CH,2012,0
CHL,CL,2012,0
CHN,CN,2012,0
CIV,CI,2012,0
CMR,CM,2012,0
COG,CG,2012,0
COL,CO,2012,0
COM,KM,2012,0
CPV,CV,2012,0
CRI,CR,2012,0
CUB,CU,2012,0
CUW,CW,2012,0
CYM,KY,2012,0
CYP,CY,2012,0
CZE,CZ,2012,0
DEU,DE,2012,0
DJI,DJ,2012,0
DMA,DM,2012,0
DNK,DK,2012,0
DOM,DO,2012,0
DZA,DZ,2012,0
ECU,EC,2012,0
EGY,EG,2012,0
ERI,ER,2012,0
ESP,ES,2012,0
EST,EE,2012,0
ETH,ET,2012,0
FIN,FI,2012,0
FJI,FJ,2012,0
FRA,FR,2012,0
FRO,FO,2012,0
FSM,FM,2012,0
GAB,GA,2012,0
GBR,GB,2012,0
GEO,GE,2012,0
GHA,GH,2012,0
GIN,GN,2012,0
GMB,GM,2012,0
GNB,GW,2012,0
GNQ,GQ,2012,0
GRC,GR,2012,0
GRD,GD,2012,0
GRL,GL,2012,0
GTM,GT,2012,0
GUM,GU,2012,0
GUY,GY,2012,0
HKG,HK,2012,0
HND,HN,2012,0
HRV,HR,2012,0
HTI,HT,2012,0
HUN,HU,2012,0
IDN,ID,2012,0
IND,IN,2012,0
IRL,IE,2012,0
IRN,IR,2012,0
IRQ,IQ,2012,0
ISL,IS,2012,0
ISR,IL,2012,0
ITA,IT,2012,0
JAM,JM,2012,0
JOR,JO,2012,0
JPN,JP,2012,0
KAZ,KZ,2012,0
KEN,KE,2012,0
KGZ,KG,2012,0
KHM,KH,2012,0
KIR,KI,2012,0
KNA,KN,2012,0
KOR,KR,2012,0
XKS,XK,2012,0
KWT,KW,2012,0
LAO,LA,2012,0
LBN,LB,2012,0
LBR,LR,2012,0
LBY,LY,2012,0
LCA,LC,2012,0
LIE,LI,2012,0
LKA,LK,2012,0
LSO,LS,2012,0
LTU,LT,2012,0
LUX,LU,2012,0
LVA,LV,2012,0
MAC,MO,2012,0
MAF,MF,2012,0
MAR,MA,2012,0
MCO,MC,2012,0
MDA,MD,2012,0
MDG,MG,2012,0
MDV,MV,2012,0
MEX,MX,2012,0
MHL,MH,2012,0
MKD,MK,2012,0
MLI,ML,2012,0
MLT,MT,2012,0
MMR,MM,2012,0
MNE,ME,2012,0
MNG,MN,2012,0
MNP,MP,2012,0
MOZ,MZ,2012,0
MRT,MR,2012,0
MUS,MU,2012,0
MWI,MW,2012,0
MYS,MY,2012,0
NAM,NA,2012,0
NCL,NC,2012,0
NER,NE,2012,0
NGA,NG,2012,0
NIC,NI,2012,0
NLD,NL,2012,0
NOR,NO,2012,0
NPL,NP,2012,0
NZL,NZ,2012,0
OMN,OM,2012,0
PAK,PK,2012,0
PAN,PA,2012,0
PER,PE,2012,0
PHL,PH,2012,0
PLW,PW,2012,0
PNG,PG,2012,0
POL,PL,2012,0
PRI,PR,2012,0
PRK,KP,2012,0
PRT,PT,2012,0
PRY,PY,2012,0
PYF,PF,2012,0
QAT,QA,2012,0
ROU,RO,2012,0
RUS,RU,2012,0
RWA,RW,2012,0
SAU,SA,2012,0
SDN,SD,2012,0
SEN,SN,2012,0
SGP,SG,2012,0
SLB,SB,2012,0
SLE,SL,2012,0
SLV,SV,2012,0
SMR,SM,2012,0
SOM,SO,2012,0
SRB,RS,2012,0
SSD,SS,2012,0
STP,ST,2012,0
SUR,SR,2012,0
SVK,SK,2012,0
SVN,SI,2012,0
SWE,SE,2012,0
SWZ,SZ,2012,0
SXM,SX,2012,0
SYC,SC,2012,0
SYR,SY,2012,0
TCA,TC,2012,0
TCD,TD,2012,0
TGO,TG,2012,0
THA,TH,2012,0
TJK,TJ,2012,0
TKM,TM,2012,0
TLS,TL,2012,0
TON,TO,2012,0
TTO,TT,2012,0
TUN,TN,2012,0
TUR,TR,2012,0
TUV,TV,2012,0
TZA,TZ,2012,0
UGA,UG,2012,0
UKR,UA,2012,0
URY,UY,2012,0
USA,US,2012,0
UZB,UZ,2012,0
VCT,VC,2012,0
VEN,VE,2012,0
VIR,VI,2012,0
VNM,VN,2012,0
VUT,VU,2012,0
PSE,PS,2012,0
WSM,WS,2012,0
YEM,YE,2012,0
ZAF,ZA,2012,0
COD,CD,2012,0
ZMB,ZM,2012,0
ZWE,ZW,2012,0
