country,year,govtspend_pc
AF,2000,  
AF,2001,  
AF,2002, 72.17 
AF,2003, 122.27 
AF,2004, 151.75 
AF,2005, 173.50 
AF,2006, 208.54 
AF,2007, 257.71 
AF,2008, 269.59 
AF,2009, 323.38 
AF,2010, 336.88 
AF,2011, 369.58 
AF,2012, 471.38 
AL,2000," 1,656.08 "
AL,2001," 1,742.24 "
AL,2002," 1,743.93 "
AL,2003," 1,718.71 "
AL,2004," 1,881.01 "
AL,2005," 1,919.64 "
AL,2006," 2,097.61 "
AL,2007," 2,239.94 "
AL,2008," 2,631.73 "
AL,2009," 2,872.53 "
AL,2010," 2,694.11 "
AL,2011," 2,676.05 "
AL,2012," 2,607.82 "
DZ,2000," 2,827.11 "
DZ,2001," 3,191.59 "
DZ,2002," 3,649.53 "
DZ,2003," 3,626.68 "
DZ,2004," 3,564.37 "
DZ,2005," 3,280.44 "
DZ,2006," 3,493.20 "
DZ,2007," 4,095.83 "
DZ,2008," 4,677.31 "
DZ,2009," 5,212.29 "
DZ,2010," 4,634.95 "
DZ,2011," 5,081.89 "
DZ,2012," 5,692.97 "
AO,2000," 1,680.69 "
AO,2001," 1,433.07 "
AO,2002," 1,435.35 "
AO,2003," 1,649.07 "
AO,2004," 1,460.55 "
AO,2005," 1,621.25 "
AO,2006," 2,088.65 "
AO,2007," 2,655.54 "
AO,2008," 3,934.56 "
AO,2009," 2,950.44 "
AO,2010," 2,820.87 "
AO,2011," 2,848.91 "
AO,2012," 2,995.28 "
AG,2000," 6,231.67 "
AG,2001," 5,790.71 "
AG,2002," 7,158.37 "
AG,2003," 7,559.30 "
AG,2004," 6,626.12 "
AG,2005," 7,403.94 "
AG,2006," 7,385.30 "
AG,2007," 6,897.71 "
AG,2008," 6,909.46 "
AG,2009," 8,166.15 "
AG,2010," 4,383.27 "
AG,2011," 4,664.54 "
AG,2012," 4,175.85 "
AR,2000, -   
AR,2001, -   
AR,2002, -   
AR,2003, -   
AR,2004, -   
AR,2005, -   
AR,2006, -   
AR,2007, -   
AR,2008, -   
AR,2009, -   
AR,2010, -   
AR,2011, -   
AR,2012, -   
AM,2000,  
AM,2001,  
AM,2002,  
AM,2003,  
AM,2004,  
AM,2005," 1,037.92 "
AM,2006," 1,190.87 "
AM,2007," 1,532.13 "
AM,2008," 1,636.14 "
AM,2009," 1,812.43 "
AM,2010," 1,661.66 "
AM,2011," 1,617.28 "
AM,2012," 1,708.15 "
AU,2000," 12,153.10 "
AU,2001," 12,592.49 "
AU,2002," 12,692.58 "
AU,2003," 12,906.15 "
AU,2004," 13,234.54 "
AU,2005," 13,387.67 "
AU,2006," 13,594.18 "
AU,2007," 13,783.41 "
AU,2008," 14,328.65 "
AU,2009," 15,489.40 "
AU,2010," 15,251.88 "
AU,2011," 15,227.26 "
AU,2012," 15,586.87 "
AT,2000," 19,590.72 "
AT,2001," 19,428.52 "
AT,2002," 19,421.31 "
AT,2003," 19,748.36 "
AT,2004," 21,093.29 "
AT,2005," 19,943.33 "
AT,2006," 20,235.50 "
AT,2007," 20,674.86 "
AT,2008," 21,196.24 "
AT,2009," 21,666.56 "
AT,2010," 22,067.40 "
AT,2011," 21,714.85 "
AT,2012," 22,197.06 "
AZ,2000, 928.85 
AZ,2001, 907.41 
AZ,2002," 1,473.07 "
AZ,2003," 1,667.70 "
AZ,2004," 1,664.53 "
AZ,2005," 1,819.54 "
AZ,2006," 2,878.09 "
AZ,2007," 3,435.02 "
AZ,2008," 4,471.10 "
AZ,2009," 5,200.83 "
AZ,2010," 5,052.08 "
AZ,2011," 5,348.69 "
AZ,2012," 5,822.75 "
BH,2000," 9,439.58 "
BH,2001," 11,835.64 "
BH,2002," 13,692.57 "
BH,2003," 12,793.04 "
BH,2004," 11,310.12 "
BH,2005," 10,881.18 "
BH,2006," 10,388.90 "
BH,2007," 10,039.37 "
BH,2008," 9,996.77 "
BH,2009," 10,466.39 "
BH,2010," 11,576.72 "
BH,2011," 11,022.16 "
BH,2012," 12,173.01 "
BD,2000, 183.15 
BD,2001, 211.41 
BD,2002, 209.73 
BD,2003, 212.64 
BD,2004, 213.55 
BD,2005, 233.65 
BD,2006, 243.71 
BD,2007, 246.50 
BD,2008, 309.47 
BD,2009, 295.55 
BD,2010, 311.36 
BD,2011, 361.08 
BD,2012, 383.72 
BB,2000," 5,067.11 "
BB,2001," 5,153.15 "
BB,2002," 5,548.13 "
BB,2003," 5,477.25 "
BB,2004," 5,156.01 "
BB,2005," 5,546.47 "
BB,2006," 5,289.16 "
BB,2007," 6,117.48 "
BB,2008," 6,258.51 "
BB,2009," 5,866.62 "
BB,2010," 6,372.19 "
BB,2011," 6,352.16 "
BB,2012," 6,719.81 "
BY,2000, 768.52 
BY,2001," 3,509.15 "
BY,2002," 3,687.01 "
BY,2003," 3,816.88 "
BY,2004," 4,379.92 "
BY,2005," 4,934.45 "
BY,2006," 5,750.06 "
BY,2007," 6,284.96 "
BY,2008," 7,075.04 "
BY,2009," 6,720.92 "
BY,2010," 6,606.52 "
BY,2011," 5,731.82 "
BY,2012," 6,553.91 "
BE,2000," 18,031.60 "
BE,2001," 18,128.47 "
BE,2002," 18,538.58 "
BE,2003," 19,083.42 "
BE,2004," 18,904.23 "
BE,2005," 20,180.56 "
BE,2006," 19,234.57 "
BE,2007," 19,549.53 "
BE,2008," 20,218.55 "
BE,2009," 21,038.06 "
BE,2010," 20,868.60 "
BE,2011," 21,299.85 "
BE,2012," 21,708.75 "
BZ,2000," 2,233.30 "
BZ,2001," 2,490.25 "
BZ,2002," 2,367.35 "
BZ,2003," 2,464.72 "
BZ,2004," 2,492.00 "
BZ,2005," 2,245.53 "
BZ,2006," 2,454.77 "
BZ,2007," 2,342.39 "
BZ,2008," 2,338.05 "
BZ,2009," 2,304.00 "
BZ,2010," 2,387.18 "
BZ,2011," 2,358.76 "
BZ,2012," 2,269.75 "
BJ,2000, 354.62 
BJ,2001, 354.90 
BJ,2002, 350.22 
BJ,2003, 320.33 
BJ,2004, 309.43 
BJ,2005, 321.92 
BJ,2006, 297.82 
BJ,2007, 358.53 
BJ,2008, 331.59 
BJ,2009, 382.80 
BJ,2010, 313.69 
BJ,2011, 346.67 
BJ,2012, 342.30 
BT,2000," 1,632.83 "
BT,2001," 2,006.50 "
