id,year,original-employment-agriculture,original-employment-industry,original-employment-services,employment-agriculture,employment-industry,employment-services
AR,2012,0.600000024,23.39999962,75.30000305,0.600000024,23.39999962,75.30000305
AR,2013,NA,NA,NA,NA,NA,NA
AS,2000,3.099999905,41.70000076,51.90000153,3.099999905,41.70000076,51.90000153
AS,2001,NA,NA,NA,NA,NA,NA
AS,2002,NA,NA,NA,NA,NA,NA
AS,2003,NA,NA,NA,NA,NA,NA
AS,2004,NA,NA,NA,NA,NA,NA
AS,2005,NA,NA,NA,NA,NA,NA
AS,2006,NA,NA,NA,NA,NA,NA
AS,2007,NA,NA,NA,NA,NA,NA
AS,2008,NA,NA,NA,NA,NA,NA
AS,2009,NA,NA,NA,NA,NA,NA
AS,2010,NA,NA,NA,NA,NA,NA
AS,2011,NA,NA,NA,NA,NA,NA
AS,2012,NA,NA,NA,NA,NA,NA
AS,2013,NA,NA,NA,NA,NA,NA
AT,2000,5.800000191,30.29999924,64,5.800000191,30.29999924,64
AT,2001,5.699999809,29.70000076,64.69999695,5.699999809,29.70000076,64.69999695
AT,2002,5.599999905,29.39999962,65,5.599999905,29.39999962,65
AT,2003,5.599999905,29.29999924,65.09999847,5.599999905,29.29999924,65.09999847
AT,2004,5,27.70000076,67.30000305,5,27.70000076,67.30000305
AT,2005,5.5,27.5,66.90000153,5.5,27.5,66.90000153
AT,2006,5.5,28.20000076,66.30000305,5.5,28.20000076,66.30000305
AT,2007,5.699999809,27.29999924,67,5.699999809,27.29999924,67
AT,2008,5.400000095,26.20000076,68.40000153,5.400000095,26.20000076,68.40000153
AT,2009,5.300000191,25,69.80000305,5.300000191,25,69.80000305
AT,2010,5.199999809,24.89999962,69.90000153,5.199999809,24.89999962,69.90000153
AT,2011,5.300000191,26,68.69999695,5.300000191,26,68.69999695
AT,2012,4.900000095,26.20000076,68.90000153,4.900000095,26.20000076,68.90000153
AT,2013,NA,NA,NA,NA,NA,NA
AU,2000,5,21.70000076,73.30000305,5,21.70000076,73.30000305
AU,2001,4.800000191,21,74.19999695,4.800000191,21,74.19999695
AU,2002,4.400000095,21.10000038,74.5,4.400000095,21.10000038,74.5
AU,2003,3.900000095,21.10000038,75,3.900000095,21.10000038,75
AU,2004,3.700000048,21.39999962,74.90000153,3.700000048,21.39999962,74.90000153
AU,2005,3.599999905,21.29999924,75.09999847,3.599999905,21.29999924,75.09999847
AU,2006,3.400000095,21.39999962,75.09999847,3.400000095,21.39999962,75.09999847
AU,2007,3.299999952,21.29999924,75.30000305,3.299999952,21.29999924,75.30000305
AU,2008,3.299999952,21.60000038,75.09999847,3.299999952,21.60000038,75.09999847
AU,2009,3.299999952,21.10000038,75.5,3.299999952,21.10000038,75.5
AU,2010,NA,NA,NA,NA,NA,NA
AU,2011,NA,NA,NA,NA,NA,NA
AU,2012,NA,NA,NA,NA,NA,NA
AU,2013,NA,NA,NA,NA,NA,NA
AW,2000,0.5,16.39999962,82.30000305,0.5,16.39999962,82.30000305
AW,2001,NA,NA,NA,0.5285714269,16.9571424229,81.8142885471
AW,2002,NA,NA,NA,0.5571428537,17.5142852257,81.3285740443
AW,2003,NA,NA,NA,0.5857142806,18.0714280286,80.8428595414
AW,2004,NA,NA,NA,0.6142857074,18.6285708314,80.3571450386
AW,2005,NA,NA,NA,0.6428571343,19.1857136343,79.8714305357
AW,2006,NA,NA,NA,0.6714285611,19.7428564371,79.3857160329
AW,2007,0.699999988,20.29999924,78.90000153,0.699999988,20.29999924,78.90000153
AW,2008,NA,NA,NA,NA,NA,NA
AW,2009,NA,NA,NA,NA,NA,NA
AW,2010,NA,NA,NA,NA,NA,NA
AW,2011,NA,NA,NA,NA,NA,NA
AW,2012,NA,NA,NA,NA,NA,NA
AW,2013,NA,NA,NA,NA,NA,NA
AZ,2000,41,10.89999962,48.09999847,41,10.89999962,48.09999847
AZ,2001,40,10.80000019,49.20000076,40,10.80000019,49.20000076
AZ,2002,40.20000076,11.5,48.29999924,40.20000076,11.5,48.29999924
AZ,2003,40,11.5,48.40000153,40,11.5,48.40000153
AZ,2004,39.5,11.89999962,48.59999847,39.5,11.89999962,48.59999847
AZ,2005,39.29999924,12.10000038,48.59999847,39.29999924,12.10000038,48.59999847
AZ,2006,39.09999847,12.69999981,48.29999924,39.09999847,12.69999981,48.29999924
AZ,2007,38.70000076,12.80000019,48.5,38.70000076,12.80000019,48.5
AZ,2008,38.40000153,12.69999981,48.90000153,38.40000153,12.69999981,48.90000153
AZ,2009,38.09999847,12.69999981,49.20000076,38.09999847,12.69999981,49.20000076
AZ,2010,38.20000076,13.69999981,48.09999847,38.20000076,13.69999981,48.09999847
AZ,2011,37.90000153,14.10000038,48,37.90000153,14.10000038,48
AZ,2012,37.70000076,14.30000019,48,37.70000076,14.30000019,48
AZ,2013,NA,NA,NA,NA,NA,NA
BA,2000,NA,NA,NA,NA,NA,NA
BA,2001,NA,NA,NA,NA,NA,NA
BA,2002,NA,NA,NA,NA,NA,NA
BA,2003,NA,NA,NA,NA,NA,NA
BA,2004,NA,NA,NA,NA,NA,NA
BA,2005,NA,NA,NA,NA,NA,NA
BA,2006,20.60000038,30.70000076,48.70000076,20.60000038,30.70000076,48.70000076
BA,2007,19.79999924,32.59999847,47.5,19.79999924,32.59999847,47.5
BA,2008,20.60000038,32.5,47,20.60000038,32.5,47
BA,2009,21.20000076,31.39999962,47.29999924,21.20000076,31.39999962,47.29999924
BA,2010,19.70000076,31,49.29999924,19.70000076,31,49.29999924
BA,2011,19.60000038,28.89999962,51.5,19.60000038,28.89999962,51.5
BA,2012,20.5,30.29999924,49,20.5,30.29999924,49
BA,2013,NA,NA,NA,NA,NA,NA
BB,2000,3.700000048,20.39999962,64.40000153,3.700000048,20.39999962,64.40000153
BB,2001,4.199999809,19.60000038,65.5,4.199999809,19.60000038,65.5
BB,2002,4,18.70000076,65.90000153,4,18.70000076,65.90000153
BB,2003,4.599999905,17.60000038,66.80000305,4.599999905,17.60000038,66.80000305
BB,2004,3.299999952,17.29999924,69.69999695,3.299999952,17.29999924,69.69999695
BB,2005,NA,NA,NA,3.2166666187,17.6833327633,71.01666387
BB,2006,NA,NA,NA,3.1333332853,18.0666662867,72.33333079
BB,2007,NA,NA,NA,3.049999952,18.44999981,73.64999771
BB,2008,NA,NA,NA,2.9666666187,18.8333333333,74.96666463
BB,2009,NA,NA,NA,2.8833332853,19.2166668567,76.28333155
BB,2010,2.799999952,19.60000038,77.59999847,2.799999952,19.60000038,77.59999847
BB,2011,3.299999952,20.29999924,76.40000153,3.299999952,20.29999924,76.40000153
BB,2012,2.799999952,19.39999962,72.59999847,2.799999952,19.39999962,72.59999847
BB,2013,NA,NA,NA,NA,NA,NA
BD,2000,62.09999847,10.30000019,23.5,62.09999847,10.30000019,23.5
BD,2001,NA,NA,NA,58.6333325667,11.4333333967,27.19999949
BD,2002,NA,NA,NA,55.1666666633,12.5666666033,30.89999898
BD,2003,51.70000076,13.69999981,34.59999847,51.70000076,13.69999981,34.59999847
BD,2004,NA,NA,NA,49.899999615,14.099999905,36
BD,2005,48.09999847,14.5,37.40000153,48.09999847,14.5,37.40000153
BD,2006,NA,NA,NA,NA,NA,NA
BD,2007,NA,NA,NA,NA,NA,NA
BD,2008,NA,NA,NA,NA,NA,NA
BD,2009,NA,NA,NA,NA,NA,NA
BD,2010,NA,NA,NA,NA,NA,NA
BD,2011,NA,NA,NA,NA,NA,NA
BD,2012,NA,NA,NA,NA,NA,NA
BD,2013,NA,NA,NA,NA,NA,NA
BE,2000,1.899999976,25.79999924,72.30000305,1.899999976,25.79999924,72.30000305
BE,2001,1.399999976,25.5,73.09999847,1.399999976,25.5,73.09999847
BE,2002,1.799999952,25.79999924,72.40000153,1.799999952,25.79999924,72.40000153
BE,2003,1.700000048,24.89999962,73.40000153,1.700000048,24.89999962,73.40000153
BE,2004,2.200000048,24.89999962,72.80000305,2.200000048,24.89999962,72.80000305
BE,2005,2,24.70000076,73.30000305,2,24.70000076,73.30000305
BE,2006,1.899999976,24.70000076,73.30000305,1.899999976,24.70000076,73.30000305
BE,2007,1.799999952,24.39999962,73.69999695,1.799999952,24.39999962,73.69999695
BE,2008,1.600000024,24.70000076,73.80000305,1.600000024,24.70000076,73.80000305
BE,2009,1.5,23.5,75,1.5,23.5,75
BE,2010,1.399999976,23.39999962,75.30000305,1.399999976,23.39999962,75.30000305
BE,2011,1.299999952,23.20000076,75.5,1.299999952,23.20000076,75.5
BE,2012,1.200000048,21.79999924,77.09999847,1.200000048,21.79999924,77.09999847
BE,2013,NA,NA,NA,NA,NA,NA
BF,2000,NA,NA,NA,NA,NA,NA
BF,2001,NA,NA,NA,NA,NA,NA
BF,2002,NA,NA,NA,NA,NA,NA
BF,2003,85.09999847,3.400000095,11.5,85.09999847,3.400000095,11.5
BF,2004,NA,NA,NA,84.95000076,3.25,11.849999905
BF,2005,84.80000305,3.099999905,12.19999981,84.80000305,3.099999905,12.19999981
BF,2006,NA,NA,NA,NA,NA,NA
BF,2007,NA,NA,NA,NA,NA,NA
BF,2008,NA,NA,NA,NA,NA,NA
BF,2009,NA,NA,NA,NA,NA,NA
BF,2010,NA,NA,NA,NA,NA,NA
BF,2011,NA,NA,NA,NA,NA,NA
BF,2012,NA,NA,NA,NA,NA,NA
BF,2013,NA,NA,NA,NA,NA,NA
BG,2000,13.10000038,32.70000076,53.59999847,13.10000038,32.70000076,53.59999847
BG,2001,9.699999809,32.70000076,57.40000153,9.699999809,32.70000076,57.40000153
BG,2002,10.69999981,32.59999847,56.5,10.69999981,32.59999847,56.5
BG,2003,11.10000038,32.09999847,56.59999847,11.10000038,32.09999847,56.59999847
BG,2004,10.60000038,32.90000153,56.09999847,10.60000038,32.90000153,56.09999847
BG,2005,8.899999619,34.20000076,56.59999847,8.899999619,34.20000076,56.59999847
BG,2006,8.100000381,34.5,57.20000076,8.100000381,34.5,57.20000076
BG,2007,7.5,35.5,56.90000153,7.5,35.5,56.90000153
BG,2008,7.5,36.40000153,56.09999847,7.5,36.40000153,56.09999847
BG,2009,7.099999905,35.20000076,57.59999847,7.099999905,35.20000076,57.59999847
BG,2010,6.800000191,33.29999924,59.90000153,6.800000191,33.29999924,59.90000153
BG,2011,6.800000191,31.5,61.70000076,6.800000191,31.5,61.70000076
BG,2012,6.400000095,31.29999924,62.20000076,6.400000095,31.29999924,62.20000076
BG,2013,NA,NA,NA,NA,NA,NA
BH,2000,NA,NA,NA,NA,NA,NA
BH,2001,1.5,28,68.59999847,1.5,28,68.59999847
BH,2002,NA,NA,NA,1.2666666707,23.6666666667,73.7999979633
BH,2003,NA,NA,NA,1.0333333413,19.3333333333,78.9999974567
BH,2004,0.800000012,15,84.19999695,0.800000012,15,84.19999695
BH,2005,NA,NA,NA,0.850000014,18.3833332067,80.56666438
BH,2006,NA,NA,NA,0.900000016,21.7666664133,76.93333181
BH,2007,NA,NA,NA,0.950000018,25.14999962,73.29999924
BH,2008,NA,NA,NA,1.00000002,28.5333328267,69.66666667
BH,2009,NA,NA,NA,1.050000022,31.9166660333,66.0333341
BH,2010,1.100000024,35.29999924,62.40000153,1.100000024,35.29999924,62.40000153
BH,2011,NA,NA,NA,NA,NA,NA
BH,2012,NA,NA,NA,NA,NA,NA
BH,2013,NA,NA,NA,NA,NA,NA
BI,2000,NA,NA,NA,NA,NA,NA
BI,2001,NA,NA,NA,NA,NA,NA
BI,2002,NA,NA,NA,NA,NA,NA
BI,2003,NA,NA,NA,NA,NA,NA
BI,2004,NA,NA,NA,NA,NA,NA
BI,2005,NA,NA,NA,NA,NA,NA
BI,2006,NA,NA,NA,NA,NA,NA
BI,2007,NA,NA,NA,NA,NA,NA
BI,2008,NA,NA,NA,NA,NA,NA
BI,2009,NA,NA,NA,NA,NA,NA
BI,2010,NA,NA,NA,NA,NA,NA
BI,2011,NA,NA,NA,NA,NA,NA
BI,2012,NA,NA,NA,NA,NA,NA
BI,2013,NA,NA,NA,NA,NA,NA
BJ,2000,NA,NA,NA,NA,NA,NA
BJ,2001,NA,NA,NA,NA,NA,NA
BJ,2002,NA,NA,NA,NA,NA,NA
BJ,2003,42.70000076,9.5,46.20000076,42.70000076,9.5,46.20000076
BJ,2004,NA,NA,NA,NA,NA,NA
BJ,2005,NA,NA,NA,NA,NA,NA
BJ,2006,NA,NA,NA,NA,NA,NA
BJ,2007,NA,NA,NA,NA,NA,NA
BJ,2008,NA,NA,NA,NA,NA,NA
BJ,2009,NA,NA,NA,NA,NA,NA
BJ,2010,NA,NA,NA,NA,NA,NA
BJ,2011,NA,NA,NA,NA,NA,NA
BJ,2012,NA,NA,NA,NA,NA,NA
BJ,2013,NA,NA,NA,NA,NA,NA
BM,2000,1.399999976,14.80000019,75,1.399999976,14.80000019,75
BM,2001,1.600000024,11.69999981,86.69999695,1.600000024,11.69999981,86.69999695
BM,2002,1.700000048,11.69999981,86.59999847,1.700000048,11.69999981,86.59999847
BM,2003,1.700000048,11.69999981,86.59999847,1.700000048,11.69999981,86.59999847
BM,2004,1.700000048,12.10000038,86.19999695,1.700000048,12.10000038,86.19999695
BM,2005,NA,NA,NA,NA,NA,NA
BM,2006,NA,NA,NA,NA,NA,NA
BM,2007,NA,NA,NA,NA,NA,NA
BM,2008,NA,NA,NA,NA,NA,NA
BM,2009,NA,NA,NA,NA,NA,NA
BM,2010,NA,NA,NA,NA,NA,NA
BM,2011,NA,NA,NA,NA,NA,NA
BM,2012,NA,NA,NA,NA,NA,NA
BM,2013,NA,NA,NA,NA,NA,NA
BN,2000,NA,NA,NA,NA,NA,NA
BN,2001,1.399999976,21.39999962,77.19999695,1.399999976,21.39999962,77.19999695
BN,2002,NA,NA,NA,NA,NA,NA
BN,2003,NA,NA,NA,NA,NA,NA
BN,2004,NA,NA,NA,NA,NA,NA
BN,2005,NA,NA,NA,NA,NA,NA
BN,2006,NA,NA,NA,NA,NA,NA
BN,2007,NA,NA,NA,NA,NA,NA
BN,2008,NA,NA,NA,NA,NA,NA
BN,2009,NA,NA,NA,NA,NA,NA
BN,2010,NA,NA,NA,NA,NA,NA
BN,2011,NA,NA,NA,NA,NA,NA
BN,2012,NA,NA,NA,NA,NA,NA
BN,2013,NA,NA,NA,NA,NA,NA
BO,2000,36.79999924,19.5,43.70000076,36.79999924,19.5,43.70000076
BO,2001,41.5,16.60000038,41.79999924,41.5,16.60000038,41.79999924
BO,2002,39.59999847,18.79999924,41.59999847,39.59999847,18.79999924,41.59999847
BO,2003,35.09999847,20.5,44.40000153,35.09999847,20.5,44.40000153
BO,2004,35.09999847,20.5,44.40000153,35.09999847,20.5,44.40000153
BO,2005,38.59999847,19.39999962,42,38.59999847,19.39999962,42
BO,2006,39.5,17.5,43,39.5,17.5,43
BO,2007,36.09999847,19.70000076,44.20000076,36.09999847,19.70000076,44.20000076
BO,2008,34.29999924,19.10000038,46.5,34.29999924,19.10000038,46.5
BO,2009,32.09999847,20,47.90000153,32.09999847,20,47.90000153
BO,2010,NA,NA,NA,NA,NA,NA
BO,2011,NA,NA,NA,NA,NA,NA
BO,2012,NA,NA,NA,NA,NA,NA
BO,2013,NA,NA,NA,NA,NA,NA
BR,2000,NA,NA,NA,NA,NA,NA
BR,2001,20.60000038,20,59.40000153,20.60000038,20,59.40000153
BR,2002,20.60000038,21.39999962,57.79999924,20.60000038,21.39999962,57.79999924
BR,2003,20.70000076,20.89999962,58.20000076,20.70000076,20.89999962,58.20000076
BR,2004,21,21,57.79999924,21,21,57.79999924
BR,2005,20.5,21.39999962,57.90000153,20.5,21.39999962,57.90000153
BR,2006,19.29999924,21.39999962,59.09999847,19.29999924,21.39999962,59.09999847
BR,2007,18.29999924,22,59.5,18.29999924,22,59.5
BR,2008,17.39999962,22.60000038,59.70000076,17.39999962,22.60000038,59.70000076
BR,2009,17,22.10000038,60.70000076,17,22.10000038,60.70000076
BR,2010,NA,NA,NA,16.150000095,22,61.70000076
BR,2011,15.30000019,21.89999962,62.70000076,15.30000019,21.89999962,62.70000076
BR,2012,NA,NA,NA,NA,NA,NA
BR,2013,NA,NA,NA,NA,NA,NA
BS,2000,NA,NA,NA,NA,NA,NA
BS,2001,4.199999809,17,78.40000153,4.199999809,17,78.40000153
BS,2002,3.700000048,16.60000038,79.19999695,3.700000048,16.60000038,79.19999695
BS,2003,3,15.80000019,80.90000153,3,15.80000019,80.90000153
BS,2004,4.400000095,16.10000038,79.40000153,4.400000095,16.10000038,79.40000153
BS,2005,3.5,17.79999924,78.40000153,3.5,17.79999924,78.40000153
BS,2006,2.5,18.39999962,79.5,2.5,18.39999962,79.5
BS,2007,2.299999952,17.89999962,79.59999847,2.299999952,17.89999962,79.59999847
BS,2008,2.900000095,16.20000076,80.5,2.900000095,16.20000076,80.5
BS,2009,2.900000095,16,80.80000305,2.900000095,16,80.80000305
BS,2010,NA,NA,NA,3.3000000715,14.44999981,81.900001525
BS,2011,3.700000048,12.89999962,83,3.700000048,12.89999962,83
BS,2012,NA,NA,NA,NA,NA,NA
BS,2013,NA,NA,NA,NA,NA,NA
BT,2000,NA,NA,NA,NA,NA,NA
BT,2001,NA,NA,NA,NA,NA,NA
BT,2002,NA,NA,NA,NA,NA,NA
BT,2003,79.80000305,2.700000048,17.5,79.80000305,2.700000048,17.5
BT,2004,NA,NA,NA,61.70000076,9.950000404,28.35000038
BT,2005,43.59999847,17.20000076,39.20000076,43.59999847,17.20000076,39.20000076
BT,2006,63.09999847,7.599999905,29.79999924,63.09999847,7.599999905,29.79999924
BT,2007,NA,NA,NA,63.8666661567,7.1999999683,29.2666664133
BT,2008,NA,NA,NA,64.6333338433,6.8000000317,28.7333335867
BT,2009,65.40000153,6.400000095,28.20000076,65.40000153,6.400000095,28.20000076
BT,2010,59.5,6.699999809,33.79999924,59.5,6.699999809,33.79999924
BT,2011,60.09999847,9.199999809,30.60000038,60.09999847,9.199999809,30.60000038
BT,2012,62.20000076,8.600000381,29.10000038,62.20000076,8.600000381,29.10000038
BT,2013,NA,NA,NA,NA,NA,NA
BW,2000,19.70000076,20.89999962,58.20000076,19.70000076,20.89999962,58.20000076
BW,2001,12.39999962,25.5,61.40000153,12.39999962,25.5,61.40000153
BW,2002,NA,NA,NA,16.80000019,24.05000019,58.75
BW,2003,21.20000076,22.60000038,56.09999847,21.20000076,22.60000038,56.09999847
BW,2004,NA,NA,NA,24.10000038,20.1333335233,55.69999949
BW,2005,NA,NA,NA,27,17.6666666667,55.30000051
BW,2006,29.89999962,15.19999981,54.90000153,29.89999962,15.19999981,54.90000153
BW,2007,NA,NA,NA,NA,NA,NA
BW,2008,NA,NA,NA,NA,NA,NA
BW,2009,NA,NA,NA,NA,NA,NA
BW,2010,NA,NA,NA,NA,NA,NA
BW,2011,NA,NA,NA,NA,NA,NA
BW,2012,NA,NA,NA,NA,NA,NA
BW,2013,NA,NA,NA,NA,NA,NA
BY,2000,NA,NA,NA,NA,NA,NA
BY,2001,NA,NA,NA,NA,NA,NA
BY,2002,NA,NA,NA,NA,NA,NA
BY,2003,NA,NA,NA,NA,NA,NA
BY,2004,NA,NA,NA,NA,NA,NA
BY,2005,NA,NA,NA,NA,NA,NA
BY,2006,NA,NA,NA,NA,NA,NA
BY,2007,NA,NA,NA,NA,NA,NA
BY,2008,NA,NA,NA,NA,NA,NA
BY,2009,10.5,33.70000076,49.90000153,10.5,33.70000076,49.90000153
BY,2010,NA,NA,NA,NA,NA,NA
BY,2011,NA,NA,NA,NA,NA,NA
BY,2012,NA,NA,NA,NA,NA,NA
BY,2013,NA,NA,NA,NA,NA,NA
BZ,2000,NA,NA,NA,NA,NA,NA
BZ,2001,NA,NA,NA,NA,NA,NA
BZ,2002,NA,NA,NA,NA,NA,NA
BZ,2003,NA,NA,NA,NA,NA,NA
BZ,2004,22.60000038,16,60.90000153,22.60000038,16,60.90000153
BZ,2005,19.5,17.89999962,61.90000153,19.5,17.89999962,61.90000153
BZ,2006,NA,NA,NA,NA,NA,NA
BZ,2007,NA,NA,NA,NA,NA,NA
BZ,2008,NA,NA,NA,NA,NA,NA
BZ,2009,NA,NA,NA,NA,NA,NA
BZ,2010,NA,NA,NA,NA,NA,NA
BZ,2011,NA,NA,NA,NA,NA,NA
BZ,2012,NA,NA,NA,NA,NA,NA
BZ,2013,NA,NA,NA,NA,NA,NA
CA,2000,3.299999952,22.5,74.19999695,3.299999952,22.5,74.19999695
CA,2001,2.799999952,22.39999962,74.69999695,2.799999952,22.39999962,74.69999695
CA,2002,2.799999952,22.5,74.69999695,2.799999952,22.5,74.69999695
CA,2003,2.799999952,22.20000076,75,2.799999952,22.20000076,75
CA,2004,2.700000048,22.29999924,75,2.700000048,22.29999924,75
CA,2005,2.700000048,22,75.30000305,2.700000048,22,75.30000305
CA,2006,2.599999905,22,75.69999695,2.599999905,22,75.69999695
CA,2007,2.5,21.60000038,76.30000305,2.5,21.60000038,76.30000305
CA,2008,2.400000095,21.5,76.5,2.400000095,21.5,76.5
CA,2009,NA,NA,NA,NA,NA,NA
CA,2010,NA,NA,NA,NA,NA,NA
CA,2011,NA,NA,NA,NA,NA,NA
