id,year,budget-type,value,value-ncu
d314,2014,budget,55.5575798553,177389.062628968
d301,2014,budget,33.2558336428,106182.111823652
d322,2014,budget,31.9655884343,102062.504945359
d323,2014,budget,27.2511785111,87009.9277938285
d315,2014,budget,30.9452890423,98804.8044981757
d324,2014,budget,19.7095433564,62930.3405572755
d216,2014,budget,22.3311477789,71300.8266783937
d316,2014,budget,34.0671488057,108772.549287199
d302,2014,budget,29.5244685972,94268.2856724496
d303,2014,budget,28.5815078901,91257.5188903563
d217,2014,budget,24.5022235781,78232.8259106981
d218,2014,budget,23.4662372509,74925.0388552694
d201,2014,budget,23.2508978383,74237.4844902019
d420,2014,budget,24.0188917417,76689.6020766825
d117,2014,budget,22.7578426167,72663.2149878783
d219,2014,budget,32.6610344094,104282.985210515
d118,2014,budget,25.1624177887,80340.7512824756
d220,2014,budget,50.2768869445,160528.408008694
d225,2014,budget,24.6727889601,78777.4218653072
d416,2014,budget,38.1248922246,121728.464633835
d401,2014,budget,32.9957199641,105351.598295746
d402,2014,budget,38.360364513,122480.300991847
d202,2014,budget,31.380804819,100195.357067156
d221,2014,budget,28.7357030145,91749.8464654517
d119,2014,budget,45.1058946851,144018.01514865
d120,2014,budget,28.0598900006,89592.0520231214
d226,2014,budget,14.5527828645,46465.3881198747
d317,2014,budget,28.4856177613,90951.352565191
d121,2014,budget,26.8101051495,85601.6304857098
d304,2014,budget,52.001506156,166034.921901233
d403,2014,budget,22.9752276531,73357.3007982185
d417,2014,budget,28.0492334773,89558.0269506576
d203,2014,budget,29.7649218653,95036.025735207
d418,2014,budget,16.2835063516,51991.3922733664
d204,2014,budget,40.4873325162,129271.46902549
d318,2014,budget,40.6705875611,129856.581636873
d404,2014,budget,37.4366183284,119530.884004793
d405,2014,budget,31.0653343955,99188.0957200938
d213,2014,budget,26.3298007645,84068.0729610918
d101,2014,budget,90.9019854819,290239.748342883
d222,2014,budget,27.4318146695,87586.678597205
d122,2014,budget,32.0327703834,102277.009303159
d205,2014,budget,22.3377356711,71321.8610722991
d413,2014,budget,16.3304511514,52141.2817045104
d414,2014,budget,33.4192649191,106703.929386095
d206,2014,budget,50.7210220638,161946.481162746
d406,2014,budget,26.2346826397,83764.3715573003
d207,2014,budget,37.8610450435,120886.030455504
d112,2014,budget,23.1207776114,73822.0253369709
d407,2014,budget,15.9558026153,50945.0713439853
d103,2014,budget,33.3185864595,106382.474462673
d227,2014,budget,21.7698529739,69508.6759117604
d419,2014,budget,20.6410959353,65904.6824778416
d421,2014,budget,21.6981453816,69279.7216877713
d408,2014,budget,35.2868689873,112666.977738623
d305,2014,budget,42.7917499457,136629.212987471
d319,2014,budget,30.2444616869,96567.1420953772
d325,2014,budget,26.1836710884,83601.4974491272
d306,2014,budget,20.3727711299,65047.951752008
d208,2014,budget,28.2761919649,90282.6797069046
d228,2014,budget,37.7051695131,120388.337533857
d123,2014,budget,21.6264463765,69050.7948817371
d422,2014,budget,15.8488269009,50603.5099989545
d415,2014,budget,19.239967325,61431.0374512667
d326,2014,budget,52.968233868,169121.574039537
d307,2014,budget,42.5612823876,135893.356166386
d229,2014,budget,21.5050095114,68663.0607198917
d104,2014,budget,28.7992823682,91952.84814409
d124,2014,budget,21.982390017,70187.2826284262
d114,2014,budget,30.9947332752,98962.674336227
d223,2014,budget,26.8287135646,85661.0450485173
d320,2014,budget,24.255118957,77443.8488312135
d105,2014,budget,36.5793898883,116793.850645038
d409,2014,budget,34.8607431524,111306.406190796
d214,2014,budget,20.9054167407,66748.6288848263
d209,2014,budget,36.3209709478,115968.748224446
d410,2014,budget,38.7103700134,123597.828929608
d423,2014,budget,29.8304407656,95245.2201661285
d115,2014,budget,29.1489879683,93069.4185337463
d308,2014,budget,0,0
d309,2014,budget,44.4379136042,141885.227181811
d106,2014,budget,28.1929837048,90017.0051528357
d107,2014,budget,15.7440704124,50269.0343907471
d108,2014,budget,23.7684426352,75889.9464336623
d311,2014,budget,31.903816064,101865.272760488
d116,2014,budget,30.7200727675,98085.7144302312
d109,2014,budget,35.8126228491,114345.650297202
d230,2014,budget,21.4688585961,68547.6349399048
d224,2014,budget,21.7691947481,69506.5742714996
d327,2014,budget,29.9522852618,95634.255848064
d310,2014,budget,24.9119354598,79540.9895644048
d231,2014,budget,36.0335404482,115051.015180332
d424,2014,budget,51.0274416398,162924.844178134
d411,2014,budget,26.291789081,83946.7059590495
d328,2014,budget,48.0692836045,153479.780473715
d329,2014,budget,38.2278796781,122057.291913234
d321,2014,budget,21.444170572,68468.8088739752
d312,2014,budget,41.2882419925,131828.682309782
d210,2014,budget,23.0393901066,73562.1642483047
d110,2014,budget,29.9799588,95722.6143225587
d425,2014,budget,25.9703901185,82920.5154583356
d412,2014,budget,32.8703525669,104951.314389816
d111,2014,budget,26.0258074916,83097.4568566844
d232,2014,budget,22.7100039023,72510.4713887812
d426,2014,budget,34.2199685868,109260.485546949
d215,2014,budget,29.4386304372,93994.2141455424
d211,2014,budget,46.2986557293,147826.366126655
d212,2014,budget,28.5477526407,91149.7422004719
d113,2014,budget,14.6436062162,46755.3767993226
d313,2014,budget,21.0097881398,67081.8749459412
d330,2014,budget,25.3730954137,81013.4210876656
