country-from,country to,sector,bundle,channel,oda
2,CD,D,E,C,1331169
2,CD,F,B,C,32729769
2,CD,F,E,C,1177237
2,CD,H,A,C,4523087
2,CD,H,E,C,69489
2,CD,K,A,C,0
2,CD,K,B,C,11945169
2,CD,K,E,C,949306
2,CD,L,A,C,0
2,CF,C,A,C,0
2,CF,C,E,C,149702
2,CF,D,E,C,162358
2,CF,K,B,C,683915
2,CF,K,E,C,278969
2,CF,L,B,C,12251652
2,CG,C,B,C,2124879
2,CG,D,E,C,211674
2,CG,G,B,C,1697746
2,CG,H,E,C,672494
2,CG,L,A,C,0
2,CI,A,A,C,0
2,CI,B,A,C,0
2,CI,C,A,C,0
2,CI,C,E,C,474303
2,CI,D,A,C,0
2,CI,H,A,C,0
2,CI,H,E,C,335066
2,CI,K,A,C,0
2,CI,K,B,C,1466779
2,CI,K,E,C,360674
2,CI,L,A,C,0
2,CI,M,F,C,248376295
2,CM,A,A,C,5100836
2,CM,B,A,C,1736214
2,CM,C,A,C,1979056
2,CM,C,B,C,3300617
2,CM,D,A,C,1198198
2,CM,E,A,C,0
2,CM,F,A,C,59228997
2,CM,H,A,C,0
2,CM,K,A,C,3398357
2,CM,K,E,C,97814
2,CM,L,A,C,0
2,CV,A,A,C,0
2,CV,C,A,C,0
2,CV,D,A,C,0
2,CV,E,A,C,0
2,CV,F,A,C,936298
2,CV,H,A,C,0
2,CV,K,A,C,0
2,CV,L,A,C,0
2,DJ,A,A,C,1403009
2,DJ,B,A,C,0
2,DJ,C,A,C,0
2,DJ,C,B,C,1404791
2,DJ,D,A,C,0
2,DJ,F,A,C,0
2,DJ,H,A,C,0
2,DJ,K,B,C,1200037
2,DJ,L,A,C,0
2,EG,A,A,C,0
2,EG,B,A,C,0
2,EG,D,A,C,0
2,EG,F,A,C,0
2,EG,G,A,C,0
2,EG,H,A,C,0
2,EG,K,A,C,0
2,ER,A,A,C,3284658
2,ER,A,B,C,8453627
2,ER,A,E,C,338608
2,ER,F,A,C,0
2,ER,H,A,C,0
2,ER,K,A,C,0
2,ET,A,A,C,0
2,ET,B,A,C,0
2,ET,C,A,C,3062816
2,ET,C,B,C,13081486
2,ET,C,E,C,351424
2,ET,F,A,C,65213729
2,ET,F,B,C,9515729
2,ET,G,A,C,0
2,ET,H,A,C,5332427
2,ET,H,B,C,2755924
2,ET,L,A,C,0
2,GA,A,A,C,0
2,GA,H,A,C,0
2,GA,I,A,C,0
2,GH,A,A,C,3634939
2,GH,A,E,C,56432
2,GH,B,A,C,4176853
2,GH,C,A,C,6794740
2,GH,C,B,C,2265912
2,GH,D,A,C,475476
2,GH,D,E,C,875563
2,GH,F,A,C,54266540
2,GH,F,B,C,9979339
2,GH,G,A,C,34469
2,GH,H,A,C,11314191
2,GH,K,A,C,4858297
2,GH,L,A,C,67384089
2,GH,L,B,C,39817871
2,GM,A,A,C,0
2,GM,B,A,C,0
2,GM,C,E,C,0
2,GM,D,A,C,0
2,GM,D,B,C,1126837
2,GM,F,A,C,0
2,GM,F,E,C,0
2,GM,G,B,C,2780884
2,GM,H,A,C,2007306
2,GM,H,B,C,2480156
2,GM,J,A,C,0
2,GM,L,B,C,2879138
2,GN,A,A,C,0
2,GN,A,B,C,3072721
2,GN,B,A,C,0
2,GN,C,A,C,0
2,GN,D,A,C,0
2,GN,D,B,C,2272374
2,GN,D,E,C,545787
2,GN,F,A,C,0
2,GN,F,B,C,7413561
2,GN,F,E,C,206033
2,GN,H,A,C,1276108
2,GN,K,A,C,0
2,GN,K,B,C,1564512
2,GN,K,E,C,143871
2,GN,L,A,C,0
2,GN,L,B,C,7657282
2,GN,M,F,C,272834817
2,GQ,A,A,C,0
2,GQ,B,A,C,0
2,GQ,C,A,C,0
2,GQ,F,A,C,0
2,GQ,H,A,C,0
2,GQ,K,A,C,0
2,GQ,L,A,C,0
2,GW,A,A,C,478352
2,GW,A,E,C,81205
2,GW,B,A,C,773658
2,GW,B,E,C,75328
2,GW,C,A,C,0
2,GW,D,E,C,0
2,GW,F,A,C,0
2,GW,H,A,C,315244
2,GW,H,E,C,704040
2,GW,K,A,C,0
2,KE,A,A,C,19362938
2,KE,A,B,C,4992623
2,KE,B,A,C,9700156
2,KE,C,A,C,21084157
