id,colour,detail,source-title,source-link
DZ,Red,MICS 2006,International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/737/study-description
AO,Orange,DHS (2015),The Demographic and Health Surveys Programme,http://dhsprogram.com/what-we-do/survey/survey-display-477.cfm
BJ,Orange,DHS 2011 (2016),International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/4200
BW,Red,HIES 2002; DHS 1988,The Demographic and Health Surveys Programme,http://dhsprogram.com/what-we-do/survey/survey-display-23.cfm
BF,Orange,DHS 2010,International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/3388
BI,Orange,DHS 2010,International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/3387
CM,Orange,DHS 2011,International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/3368/related_materials
CV,Orange,DHS 2005,International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/98
CF,Orange,MICS 2010,International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/4742
TD,Green,DHS 2014,The Demographic and Health Surveys Programme,http://dhsprogram.com/what-we-do/survey/survey-display-465.cfm
KM,Green,DHS 2012,International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/4741
CG,Orange,DHS 2011,International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/3783
CI,Orange,DHS 2011,International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/6036
CD,Green,DHS 2013,International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/5256
DJ,Red,MICS 2006,International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/76
EG,Green,DHS 2014,International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/6007
GQ,Orange,DHS 2011,The Demographic and Health Surveys Programme,http://dhsprogram.com/what-we-do/survey/survey-display-314.cfm
ER,Red,DHS 2002,International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/153
ET,Orange,DHS 2011 (2016),International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/2429
GA,Green,DHS 2012,International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/3357
GM,Green,DHS 2013,The Demographic and Health Surveys Programme,http://dhsprogram.com/what-we-do/survey/survey-display-425.cfm
GH,Green,DHS 2014,The Demographic and Health Surveys Programme,http://dhsprogram.com/what-we-do/survey/survey-display-437.cfm
GN,Green,DHS 2012,International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/4086
GW,Orange,MICS 2010,International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/2960
KE,Green,DHS 2014,The Demographic and Health Surveys Programme,http://dhsprogram.com/what-we-do/survey/survey-display-451.cfm
LS,Green,DHS 2014,The Demographic and Health Surveys Programme,http://dhsprogram.com/what-we-do/survey/survey-display-462.cfm
LR,Green,DHS 2013,International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/5402
LY,Orange,NS (2011),"Institute of Human Sciences, Oxford",http://www.ihs.ox.ac.uk/fileadmin/IHS/First_National_Survey_of_Libya_Cover_Sheet_and_Technical_Summary.pdf
MG,Orange,DHS 2008 (2016),International Household Survey Network,http://catalog.ihsn.org/index.php/catalog/2440
MW,Orange,DHS 2010 (2015),The Demographic and Health Surveys Programme,http://dhsprogram.com/what-we-do/survey/survey-display-483.cfm
