country-id,year,population-65-
AFG,2005,2.04
AFG,2006,2.05
AFG,2007,2.07
AFG,2008,2.09
AFG,2009,2.12
AFG,2010,2.17
AFG,2011,2.22
AFG,2012,2.28
AGO,2005,2.46
AGO,2006,2.45
AGO,2007,2.44
AGO,2008,2.44
AGO,2009,2.43
AGO,2010,2.42
AGO,2011,2.41
AGO,2012,2.4
ALB,2005,8.54
ALB,2006,8.88
ALB,2007,9.22
ALB,2008,9.53
ALB,2009,9.83
ALB,2010,10.1
ALB,2011,10.35
ALB,2012,10.57
ARG,2005,10.23
ARG,2006,10.3
ARG,2007,10.37
ARG,2008,10.45
ARG,2009,10.53
ARG,2010,10.62
ARG,2011,10.72
ARG,2012,10.83
ARM,2005,11.6
ARM,2006,11.56
ARM,2007,11.36
ARM,2008,11.08
ARM,2009,10.78
ARM,2010,10.55
ARM,2011,10.39
ARM,2012,10.31
ATG,2005,7.27
ATG,2006,7.29
ATG,2007,7.3
ATG,2008,7.29
ATG,2009,7.27
ATG,2010,7.23
ATG,2011,7.19
ATG,2012,7.14
AZE,2005,6.42
AZE,2006,6.41
AZE,2007,6.33
AZE,2008,6.2
AZE,2009,6.06
AZE,2010,5.92
AZE,2011,5.8
AZE,2012,5.69
BDI,2005,2.72
BDI,2006,2.68
BDI,2007,2.65
BDI,2008,2.61
BDI,2009,2.57
BDI,2010,2.53
BDI,2011,2.48
BDI,2012,2.44
BEN,2005,2.81
BEN,2006,2.82
BEN,2007,2.83
BEN,2008,2.85
BEN,2009,2.87
BEN,2010,2.88
BEN,2011,2.89
BEN,2012,2.89
BFA,2005,2.57
BFA,2006,2.54
BFA,2007,2.52
BFA,2008,2.51
BFA,2009,2.49
BFA,2010,2.48
BFA,2011,2.46
BFA,2012,2.45
BGD,2005,4.3
BGD,2006,4.36
BGD,2007,4.42
BGD,2008,4.49
BGD,2009,4.55
BGD,2010,4.61
BGD,2011,4.66
BGD,2012,4.71
BIH,2005,13.14
BIH,2006,13.59
BIH,2007,14.02
BIH,2008,14.42
BIH,2009,14.78
BIH,2010,15.07
BIH,2011,15.29
BIH,2012,15.46
BLR,2005,14.67
BLR,2006,14.65
BLR,2007,14.52
BLR,2008,14.32
BLR,2009,14.11
BLR,2010,13.94
BLR,2011,13.83
BLR,2012,13.77
BLZ,2005,4.1
BLZ,2006,4.05
BLZ,2007,4
BLZ,2008,3.95
BLZ,2009,3.91
BLZ,2010,3.9
BLZ,2011,3.91
BLZ,2012,3.93
BOL,2005,4.42
BOL,2006,4.47
BOL,2007,4.52
BOL,2008,4.57
BOL,2009,4.63
BOL,2010,4.69
BOL,2011,4.76
BOL,2012,4.83
BRA,2005,6.17
BRA,2006,6.31
BRA,2007,6.44
BRA,2008,6.59
BRA,2009,6.74
BRA,2010,6.91
BRA,2011,7.1
BRA,2012,7.3
BTN,2005,4.07
BTN,2006,4.14
BTN,2007,4.23
BTN,2008,4.32
BTN,2009,4.41
BTN,2010,4.51
BTN,2011,4.6
BTN,2012,4.7
BWA,2005,3.21
BWA,2006,3.27
BWA,2007,3.32
BWA,2008,3.38
BWA,2009,3.43
BWA,2010,3.48
BWA,2011,3.53
BWA,2012,3.57
CAF,2005,3.96
CAF,2006,3.95
CAF,2007,3.94
CAF,2008,3.93
CAF,2009,3.91
CAF,2010,3.89
CAF,2011,3.87
CAF,2012,3.85
CHL,2005,8.04
CHL,2006,8.24
CHL,2007,8.46
CHL,2008,8.69
CHL,2009,8.93
CHL,2010,9.18
CHL,2011,9.44
CHL,2012,9.7
CHN,2005,7.67
CHN,2006,7.81
CHN,2007,7.94
CHN,2008,8.07
CHN,2009,8.2
CHN,2010,8.35
CHN,2011,8.51
CHN,2012,8.68
CIV,2005,2.95
CIV,2006,2.98
CIV,2007,3.01
CIV,2008,3.05
CIV,2009,3.08
CIV,2010,3.11
CIV,2011,3.13
CIV,2012,3.14
CMR,2005,3.31
CMR,2006,3.3
CMR,2007,3.28
CMR,2008,3.27
CMR,2009,3.26
CMR,2010,3.25
CMR,2011,3.24
CMR,2012,3.23
COG,2005,3.51
COG,2006,3.49
COG,2007,3.47
COG,2008,3.44
COG,2009,3.42
COG,2010,3.41
COG,2011,3.39
COG,2012,3.39
COL,2005,5.07
COL,2006,5.16
COL,2007,5.25
COL,2008,5.35
COL,2009,5.47
COL,2010,5.62
COL,2011,5.78
COL,2012,5.96
COM,2005,3
COM,2006,2.99
COM,2007,2.97
COM,2008,2.95
COM,2009,2.93
COM,2010,2.91
COM,2011,2.89
COM,2012,2.86
CRI,2005,5.88
CRI,2006,5.99
CRI,2007,6.1
CRI,2008,6.22
CRI,2009,6.35
CRI,2010,6.5
CRI,2011,6.66
CRI,2012,6.83
CUB,2005,10.97
CUB,2006,11.25
CUB,2007,11.53
CUB,2008,11.83
CUB,2009,12.14
CUB,2010,12.44
CUB,2011,12.73
CUB,2012,13.02
DJI,2005,3.35
DJI,2006,3.42
DJI,2007,3.48
DJI,2008,3.55
DJI,2009,3.62
DJI,2010,3.7
DJI,2011,3.78
DJI,2012,3.88
DMA,2005,
DMA,2006,
DMA,2007,
DMA,2008,
DMA,2009,
DMA,2010,
DMA,2011,
DMA,2012,
DOM,2005,5.67
DOM,2006,5.74
DOM,2007,5.8
DOM,2008,5.86
DOM,2009,5.93
DOM,2010,6
DOM,2011,6.09
DOM,2012,6.19
DZA,2005,4.41
DZA,2006,4.5
DZA,2007,4.59
DZA,2008,4.67
DZA,2009,4.72
DZA,2010,4.73
DZA,2011,4.71
DZA,2012,4.67
ECU,2005,5.63
ECU,2006,5.73
ECU,2007,5.84
ECU,2008,5.95
ECU,2009,6.06
ECU,2010,6.17
ECU,2011,6.28
ECU,2012,6.4
EGY,2005,5.46
EGY,2006,5.46
EGY,2007,5.45
EGY,2008,5.44
EGY,2009,5.46
EGY,2010,5.49
EGY,2011,5.56
EGY,2012,5.65
ERI,2005,1.96
ERI,2006,1.98
ERI,2007,2.01
ERI,2008,2.04
ERI,2009,2.08
ERI,2010,2.11
ERI,2011,2.16
ERI,2012,2.2
ETH,2005,3.1
ETH,2006,3.13
ETH,2007,3.17
ETH,2008,3.22
ETH,2009,3.26
ETH,2010,3.31
ETH,2011,3.35
ETH,2012,3.39
FJI,2005,4.11
FJI,2006,4.25
FJI,2007,4.38
FJI,2008,4.52
FJI,2009,4.67
FJI,2010,4.83
FJI,2011,5.01
FJI,2012,5.2
FSM,2005,4
FSM,2006,3.99
FSM,2007,3.95
FSM,2008,3.89
FSM,2009,3.85
FSM,2010,3.85
FSM,2011,3.88
FSM,2012,3.95
GAB,2005,5.64
GAB,2006,5.58
GAB,2007,5.51
GAB,2008,5.45
GAB,2009,5.39
GAB,2010,5.33
GAB,2011,5.27
GAB,2012,5.21
GEO,2005,14.6
GEO,2006,14.69
GEO,2007,14.63
GEO,2008,14.47
GEO,2009,14.31
GEO,2010,14.22
GEO,2011,14.21
GEO,2012,14.27
GHA,2005,3.39
GHA,2006,3.44
GHA,2007,3.49
GHA,2008,3.52
GHA,2009,3.54
GHA,2010,3.55
GHA,2011,3.54
GHA,2012,3.51
GIN,2005,3.25
GIN,2006,3.22
GIN,2007,3.21
GIN,2008,3.2
GIN,2009,3.18
GIN,2010,3.17
GIN,2011,3.15
GIN,2012,3.12
GMB,2005,2.54
GMB,2006,2.53
GMB,2007,2.54
GMB,2008,2.54
GMB,2009,2.54
GMB,2010,2.52
GMB,2011,2.49
GMB,2012,2.44
GNB,2005,2.93
GNB,2006,2.92
GNB,2007,2.93
GNB,2008,2.95
GNB,2009,2.95
GNB,2010,2.95
GNB,2011,2.93
GNB,2012,2.9
GNQ,2005,3.25
GNQ,2006,3.17
GNQ,2007,3.1
GNQ,2008,3.03
GNQ,2009,2.97
GNQ,2010,2.91
GNQ,2011,2.85
GNQ,2012,2.8
GRD,2005,7.66
GRD,2006,7.59
GRD,2007,7.51
GRD,2008,7.42
GRD,2009,7.33
GRD,2010,7.25
GRD,2011,7.18
GRD,2012,7.12
GTM,2005,4.29
GTM,2006,4.32
GTM,2007,4.34
GTM,2008,4.36
GTM,2009,4.39
GTM,2010,4.42
GTM,2011,4.46
GTM,2012,4.51
GUY,2005,3.81
GUY,2006,3.66
GUY,2007,3.52
GUY,2008,3.39
GUY,2009,3.3
GUY,2010,3.25
GUY,2011,3.25
GUY,2012,3.3
HND,2005,4.14
HND,2006,4.18
HND,2007,4.21
HND,2008,4.24
HND,2009,4.27
HND,2010,4.3
HND,2011,4.35
HND,2012,4.39
HTI,2005,4.16
HTI,2006,4.22
HTI,2007,4.29
HTI,2008,4.36
HTI,2009,4.42
HTI,2010,4.46
HTI,2011,4.49
HTI,2012,4.51
IDN,2005,4.87
IDN,2006,4.89
IDN,2007,4.91
IDN,2008,4.94
IDN,2009,4.97
IDN,2010,5.01
IDN,2011,5.06
IDN,2012,5.13
IND,2005,4.72
IND,2006,4.79
IND,2007,4.86
IND,2008,4.93
IND,2009,5
IND,2010,5.07
IND,2011,5.13
IND,2012,5.2
IRN,2005,4.92
IRN,2006,5
IRN,2007,5.06
IRN,2008,5.09
IRN,2009,5.12
IRN,2010,5.16
IRN,2011,5.2
IRN,2012,5.24
IRQ,2005,3.45
IRQ,2006,3.44
IRQ,2007,3.44
IRQ,2008,3.43
IRQ,2009,3.41
IRQ,2010,3.37
IRQ,2011,3.32
IRQ,2012,3.26
JAM,2005,7.68
JAM,2006,7.71
JAM,2007,7.75
JAM,2008,7.78
JAM,2009,7.82
JAM,2010,7.84
JAM,2011,7.87
JAM,2012,7.89
JOR,2005,3.18
JOR,2006,3.21
JOR,2007,3.26
JOR,2008,3.3
JOR,2009,3.35
JOR,2010,3.4
JOR,2011,3.44
JOR,2012,3.49
KAZ,2005,7.62
KAZ,2006,7.53
KAZ,2007,7.33
KAZ,2008,7.07
KAZ,2009,6.82
KAZ,2010,6.65
KAZ,2011,6.57
KAZ,2012,6.55
KEN,2005,2.72
KEN,2006,2.69
KEN,2007,2.66
KEN,2008,2.64
KEN,2009,2.62
KEN,2010,2.62
KEN,2011,2.62
KEN,2012,2.64
KGZ,2005,5.61
KGZ,2006,5.44
KGZ,2007,5.2
KGZ,2008,4.91
KGZ,2009,4.65
KGZ,2010,4.43
KGZ,2011,4.28
KGZ,2012,4.17
KHM,2005,4.38
KHM,2006,4.51
KHM,2007,4.64
KHM,2008,4.78
KHM,2009,4.91
KHM,2010,5.03
KHM,2011,5.15
KHM,2012,5.25
KIR,2005,3.61
KIR,2006,3.66
KIR,2007,3.69
KIR,2008,3.74
KIR,2009,3.79
KIR,2010,3.85
KIR,2011,3.93
KIR,2012,4.02
KNA,2005,
KNA,2006,
KNA,2007,
KNA,2008,
KNA,2009,
KNA,2010,
KNA,2011,
KNA,2012,
KSV,2005,
KSV,2006,
KSV,2007,
KSV,2008,
KSV,2009,
KSV,2010,6.7
KSV,2011,
KSV,2012,
LAO,2005,3.75
LAO,2006,3.75
LAO,2007,3.75
LAO,2008,3.74
LAO,2009,3.73
LAO,2010,3.73
LAO,2011,3.74
LAO,2012,3.76
LBN,2005,7.47
LBN,2006,7.63
LBN,2007,7.85
LBN,2008,8.08
LBN,2009,8.3
LBN,2010,8.45
LBN,2011,8.53
LBN,2012,8.57
LBR,2005,3.01
LBR,2006,3.02
LBR,2007,3.04
LBR,2008,3.06
LBR,2009,3.07
LBR,2010,3.07
LBR,2011,3.06
LBR,2012,3.05
LBY,2005,4.26
LBY,2006,4.32
LBY,2007,4.39
LBY,2008,4.45
LBY,2009,4.51
LBY,2010,4.57
LBY,2011,4.64
LBY,2012,4.71
LCA,2005,7.25
LCA,2006,7.42
LCA,2007,7.67
LCA,2008,7.97
LCA,2009,8.25
LCA,2010,8.47
LCA,2011,8.63
LCA,2012,8.74
LKA,2005,7.04
LKA,2006,7.19
LKA,2007,7.31
LKA,2008,7.44
LKA,2009,7.59
LKA,2010,7.77
LKA,2011,7.98
LKA,2012,8.21
LSO,2005,4.62
LSO,2006,4.57
LSO,2007,4.5
LSO,2008,4.42
LSO,2009,4.34
LSO,2010,4.28
LSO,2011,4.23
LSO,2012,4.2
MAR,2005,4.98
MAR,2006,5.01
MAR,2007,5.02
MAR,2008,5.03
MAR,2009,5.03
MAR,2010,5.02
MAR,2011,5
MAR,2012,4.98
MDA,2005,11.23
MDA,2006,11.31
MDA,2007,11.3
MDA,2008,11.24
MDA,2009,11.18
MDA,2010,11.16
MDA,2011,11.18
MDA,2012,11.23
MDG,2005,2.92
MDG,2006,2.91
MDG,2007,2.89
MDG,2008,2.88
MDG,2009,2.86
MDG,2010,2.85
MDG,2011,2.83
MDG,2012,2.82
MDV,2005,4.59
MDV,2006,4.72
MDV,2007,4.83
MDV,2008,4.92
MDV,2009,4.98
MDV,2010,5.01
MDV,2011,5.01
MDV,2012,4.98
MEX,2005,5.32
MEX,2006,5.43
MEX,2007,5.56
MEX,2008,5.7
MEX,2009,5.84
MEX,2010,5.98
MEX,2011,6.12
MEX,2012,6.26
MHL,2005,
MHL,2006,
MHL,2007,
MHL,2008,
MHL,2009,
MHL,2010,
MHL,2011,
MHL,2012,
MLI,2005,3.07
MLI,2006,3.03
MLI,2007,2.99
MLI,2008,2.96
MLI,2009,2.93
MLI,2010,2.9
MLI,2011,2.86
MLI,2012,2.82
MMR,2005,4.92
MMR,2006,4.95
MMR,2007,4.99
MMR,2008,5.02
MMR,2009,5.06
MMR,2010,5.09
MMR,2011,5.13
MMR,2012,5.16
MNE,2005,12.91
MNE,2006,12.91
MNE,2007,12.79
MNE,2008,12.62
MNE,2009,12.49
MNE,2010,12.46
MNE,2011,12.56
MNE,2012,12.76
MNG,2005,3.73
MNG,2006,3.74
MNG,2007,3.77
MNG,2008,3.79
MNG,2009,3.81
MNG,2010,3.81
MNG,2011,3.81
MNG,2012,3.8
MOZ,2005,3.19
MOZ,2006,3.19
MOZ,2007,3.2
MOZ,2008,3.21
MOZ,2009,3.22
MOZ,2010,3.23
MOZ,2011,3.25
MOZ,2012,3.26
MUS,2005,6.64
MUS,2006,6.8
MUS,2007,6.98
MUS,2008,7.21
MUS,2009,7.46
MUS,2010,7.73
MUS,2011,8.04
MUS,2012,8.38
MWI,2005,3.05
MWI,2006,3.05
MWI,2007,3.04
MWI,2008,3.04
MWI,2009,3.05
MWI,2010,3.07
MWI,2011,3.11
MWI,2012,3.15
MYS,2005,4.37
MYS,2006,4.46
MYS,2007,4.54
MYS,2008,4.62
MYS,2009,4.72
MYS,2010,4.84
MYS,2011,4.99
MYS,2012,5.16
NAM,2005,3.33
NAM,2006,3.35
NAM,2007,3.37
NAM,2008,3.39
NAM,2009,3.42
NAM,2010,3.45
NAM,2011,3.48
NAM,2012,3.51
NER,2005,2.53
NER,2006,2.53
NER,2007,2.55
NER,2008,2.56
NER,2009,2.57
NER,2010,2.58
NER,2011,2.59
NER,2012,2.61
NGA,2005,2.73
NGA,2006,2.73
NGA,2007,2.73
NGA,2008,2.73
NGA,2009,2.73
NGA,2010,2.73
NGA,2011,2.73
NGA,2012,2.73
NIC,2005,4.13
NIC,2006,4.22
NIC,2007,4.33
NIC,2008,4.43
NIC,2009,4.51
NIC,2010,4.58
NIC,2011,4.61
NIC,2012,4.63
NPL,2005,4.4
NPL,2006,4.52
NPL,2007,4.63
NPL,2008,4.74
NPL,2009,4.83
NPL,2010,4.92
NPL,2011,5
NPL,2012,5.07
PAK,2005,4.13
PAK,2006,4.17
PAK,2007,4.21
PAK,2008,4.26
PAK,2009,4.29
PAK,2010,4.32
PAK,2011,4.34
PAK,2012,4.36
PAN,2005,6.08
PAN,2006,6.21
PAN,2007,6.34
PAN,2008,6.48
PAN,2009,6.62
PAN,2010,6.77
PAN,2011,6.92
PAN,2012,7.07
PER,2005,5.39
PER,2006,5.51
PER,2007,5.63
PER,2008,5.75
PER,2009,5.87
PER,2010,5.99
PER,2011,6.12
PER,2012,6.26
PHL,2005,3.43
PHL,2006,3.48
PHL,2007,3.54
PHL,2008,3.6
PHL,2009,3.66
PHL,2010,3.72
PHL,2011,3.77
PHL,2012,3.83
PLW,2005,
PLW,2006,
PLW,2007,
PLW,2008,
PLW,2009,
PLW,2010,
PLW,2011,
PLW,2012,
PNG,2005,2.61
PNG,2006,2.64
PNG,2007,2.67
PNG,2008,2.71
PNG,2009,2.74
PNG,2010,2.78
PNG,2011,2.82
PNG,2012,2.86
PRK,2005,7.44
PRK,2006,7.74
PRK,2007,8.02
PRK,2008,8.29
PRK,2009,8.54
PRK,2010,8.78
PRK,2011,9.01
PRK,2012,9.23
PRY,2005,4.77
PRY,2006,4.84
PRY,2007,4.92
PRY,2008,5
PRY,2009,5.08
PRY,2010,5.17
PRY,2011,5.26
PRY,2012,5.36
RWA,2005,2.51
RWA,2006,2.43
RWA,2007,2.36
RWA,2008,2.32
RWA,2009,2.3
RWA,2010,2.29
RWA,2011,2.3
RWA,2012,2.33
SDN,2005,3.04
