id,year,direction,flow-type,flow-name,value
AF,2005,out,commercial,long-debt-capital-payments-out,0
AF,2005,in,commercial,long-debt-disbursement-in,0
AF,2005,in,official,long-debt-net-official-in,0
AF,2005,out,commercial,long-debt-interest-payments-out,0
AF,2005,in,commercial,net-portfolio-equity-in,0
AF,2005,out,official,oda-capital-payments-out,4300000
AF,2005,in,official,oda-in,3318840000
AF,2005,out,official,oda-interest-payments-out,5800000
AF,2005,out,official,oofs-capital-payments-out,500000
AF,2005,in,official,oofs-in,65060000
AF,2005,out,official,oofs-interest-payments-out,2240000
AF,2005,in,private,pda-in,NA
AF,2005,in,private,remittances-in,NA
AF,2005,out,private,remittances-out,NA
AF,2005,out,commercial,short-debt-interest-out,0
AF,2005,in,commercial,short-debt-net-flow-in,NA
AF,2005,in,official,ssc-in,NA
AF,2005,out,illicit,trade-mispricing-out,844447267.8
AF,2006,in,official,dfis-in,NA
AF,2006,in,commercial,fdi-in,373423706.3
AF,2006,in,commercial,fdi-in-profits-out,0
AF,2006,out,commercial,fdi-out,NA
AF,2006,out,illicit,illicit-financing-out,NA
AF,2006,out,commercial,long-debt-capital-payments-out,5480542.042
AF,2006,in,commercial,long-debt-disbursement-in,19415208.51
AF,2006,in,official,long-debt-net-official-in,0
AF,2006,out,commercial,long-debt-interest-payments-out,9047052.238
AF,2006,in,commercial,net-portfolio-equity-in,0
AF,2006,out,official,oda-capital-payments-out,4620000
AF,2006,in,official,oda-in,3374950000
AF,2006,out,official,oda-interest-payments-out,6270000
AF,2006,out,official,oofs-capital-payments-out,650000
AF,2006,in,official,oofs-in,30220000
AF,2006,out,official,oofs-interest-payments-out,7000000
AF,2006,in,private,pda-in,NA
AF,2006,in,private,remittances-in,NA
AF,2006,out,private,remittances-out,NA
AF,2006,out,commercial,short-debt-interest-out,0
AF,2006,in,commercial,short-debt-net-flow-in,0
AF,2006,in,official,ssc-in,NA
AF,2006,out,illicit,trade-mispricing-out,249420817.7
AF,2007,in,official,dfis-in,NA
AF,2007,in,commercial,fdi-in,271585152
AF,2007,in,commercial,fdi-in-profits-out,0
AF,2007,out,commercial,fdi-out,NA
AF,2007,out,illicit,illicit-financing-out,NA
AF,2007,out,commercial,long-debt-capital-payments-out,1830814.104
AF,2007,in,commercial,long-debt-disbursement-in,0
AF,2007,in,official,long-debt-net-official-in,0
AF,2007,out,commercial,long-debt-interest-payments-out,4668719.897
AF,2007,in,commercial,net-portfolio-equity-in,0
