country,year,population-rural
JO,2012,1077181
KE,2005,28029164
KE,2006,28650926
KE,2007,29283179
KE,2008,29928084
KE,2009,30588661
KE,2010,31266488
KE,2011,31947838
KE,2012,32643797
KG,2005,3340718
KG,2006,3376681
KG,2007,3408887
KG,2008,3441284
KG,2009,3482931
KG,2010,3524573
KG,2011,3563005
KG,2012,3618035
KH,2005,10795463
KH,2006,10938657
KH,2007,11076190
KH,2008,11214031
KH,2009,11359793
KH,2010,11518664
KH,2011,11684251
KH,2012,11863177
KI,2005,51068
KI,2006,51859
KI,2007,52628
KI,2008,53386
KI,2009,54147
KI,2010,54925
KI,2011,55643
KI,2012,56373
KM,2005,433279
KM,2006,444552
KM,2007,456120
KM,2008,467931
KM,2009,479916
KM,2010,492023
KM,2011,503675
KM,2012,515402
KN,2005,33376
KN,2006,33855
KN,2007,34314
KN,2008,34757
KN,2009,35194
KN,2010,35631
KN,2011,36007
KN,2012,36379
KP,2005,9571769
KP,2006,9615293
KP,2007,9652753
KP,2008,9685921
KP,2009,9717306
KP,2010,9748757
KP,2011,9768277
KP,2012,9787898
KZ,2005,6858726
KZ,2006,6961872
KZ,2007,7072529
KZ,2008,7190165
KZ,2009,7414004
KZ,2010,7551669
KZ,2011,7676170
KZ,2012,7801027
LA,2005,4204820
LA,2006,4213644
LA,2007,4228537
LA,2008,4246618
LA,2009,4263848
LA,2010,4277389
LA,2011,4289564
LA,2012,4298268
LB,2005,535436
LB,2006,543302
LB,2007,546604
LB,2008,547976
LB,2009,551132
LB,2010,558438
LB,2011,558902
LB,2012,559324
LC,2005,127223
LC,2006,130550
LC,2007,134109
LC,2008,137791
LC,2009,141425
LC,2010,144887
LC,2011,147634
LC,2012,150178
LK,2005,16672452
LK,2006,16857496
LK,2007,17014594
LK,2008,17169206
LK,2009,17370598
LK,2010,17546582
LK,2011,17712272
LK,2012,17235745
LR,2005,1764017
LR,2006,1814214
LR,2007,1875586
LR,2008,1942829
LR,2009,2008129
LR,2010,2066031
LR,2011,2114009
LR,2012,2155417
LS,2005,1477585
LS,2006,1474904
LS,2007,1472619
LS,2008,1470894
LS,2009,1469863
LS,2010,1469586
LS,2011,1469901
LS,2012,1470945
LY,2005,1294332
LY,2006,1307673
LY,2007,1321582
LY,2008,1335010
LY,2009,1346554
LY,2010,1355332
LY,2011,1358885
LY,2012,1359741
MA,2005,13565488
MA,2006,13583204
MA,2007,13600117
MA,2008,13622248
MA,2009,13656974
MA,2010,13708736
MA,2011,13772408
MA,2012,13852056
MD,2005,2043396
MD,2006,2010671
MD,2007,1979026
MD,2008,1948322
MD,2009,1918958
